,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-04,IN,FORT WAYNE,2010-04,4.85,"(-85.129428, 41.147276)",12794.98,Other FHA,0.24183250000000003,-0.03934585511188346,0.2495495,-0.03404590204847328,0.2597455000000001,-0.030202962701578993,0.2840375,-0.025291908547545382,0.3116065,-0.011461957678718184,0.4758610000000001,0.0037594885847801814,0.9598030000000002,0.058698118077141356,0.15045454545454548,-0.035087080279699215,0.2440909090909091,-0.015791936963308145,0.44499999999999995,0.030860764323031656,2.581363636363637,0.5474840755278237,3.8468181818181817,0.6897949513864535,4.531363636363637,0.6006172167083478,4.693181818181819,0.5335408658066584,28477062769.4533,-0.38787518731656234,11556490165.0911,0.5919140554197944,97.9962893430168,0.39141828412618235,4.3,0.4079631588937953,3.3,0.28098816046121605,-85.129428,41.147276
1,2010-07,IN,FORT WAYNE,2010-07,3.8,"(-85.018803, 41.115151000000004)",11935.33,Other FHA,0.26711500000000005,-0.03934585511188346,0.31483090909090916,-0.03404590204847328,0.3341213636363637,-0.030202962701578993,0.41480272727272727,-0.025291908547545382,0.5103277272727272,-0.011461957678718184,0.7185045454545452,0.0037594885847801814,1.117797727272727,0.058698118077141356,0.15666666666666668,-0.035087080279699215,0.20047619047619053,-0.015791936963308145,0.2914285714285714,0.030860764323031656,1.7628571428571433,0.5474840755278237,3.0114285714285716,0.6897949513864535,3.796190476190476,0.6006172167083478,3.994285714285714,0.5335408658066584,30512069858.4251,-0.38787518731656234,11082139451.8714,0.5919140554197944,99.0214107435932,0.39141828412618235,3.8,0.4079631588937953,3.1,0.28098816046121605,-85.018803,41.115151000000004
2,2010-08,IN,FORT WAYNE,2010-08,4.85,"(-85.09805300000001, 41.094466)",20202.6,Other FHA,0.23101619047619049,-0.03934585511188346,0.2659952380952381,-0.03404590204847328,0.27546238095238096,-0.030202962701578993,0.3123080952380952,-0.025291908547545382,0.3625466666666667,-0.011461957678718184,0.5790957142857143,0.0037594885847801814,0.9435780952380955,0.058698118077141356,0.15409090909090908,-0.035087080279699215,0.19136363636363637,-0.015791936963308145,0.25909090909090904,0.030860764323031656,1.4654545454545451,0.5474840755278237,2.6986363636363637,0.6897949513864535,3.516818181818181,0.6006172167083478,3.8031818181818178,0.5335408658066584,30207558860.6451,-0.38787518731656234,10792773250.4017,0.5919140554197944,98.6449594200431,0.39141828412618235,3.9,0.4079631588937953,2.8,0.28098816046121605,-85.09805300000001,41.094466
3,2010-10,IN,FORT WAYNE,2010-10,4.0,"(-85.305768, 41.075305)",12539.38,Other FHA,0.22598619047619048,-0.03934585511188346,0.25051619047619045,-0.03404590204847328,0.25605714285714287,-0.030202962701578993,0.2720304761904762,-0.025291908547545382,0.28884,-0.011461957678718184,0.45499142857142844,0.0037594885847801814,0.7680966666666665,0.058698118077141356,0.14050000000000004,-0.035087080279699215,0.17650000000000005,-0.015791936963308145,0.22800000000000006,0.030860764323031656,1.1824999999999999,0.5474840755278237,2.54,0.6897949513864535,3.524,0.6006172167083478,3.8724999999999996,0.5335408658066584,31618591270.7387,-0.38787518731656234,11726514214.1317,0.5919140554197944,95.21340255359091,0.39141828412618235,3.3,0.4079631588937953,2.7,0.28098816046121605,-85.305768,41.075305
4,2010-11,IN,FORT WAYNE,2010-11,3.4,"(-85.045407, 41.109631)",10509.88,Other FHA,0.22869727272727272,-0.03934585511188346,0.24913818181818187,-0.03404590204847328,0.2541922727272727,-0.030202962701578993,0.27004181818181816,-0.025291908547545382,0.2871204545454545,-0.011461957678718184,0.44597000000000014,0.0037594885847801814,0.7651345454545454,0.058698118077141356,0.13400000000000004,-0.035087080279699215,0.182,-0.015791936963308145,0.25200000000000006,0.030860764323031656,1.35,0.5474840755278237,2.7630000000000003,0.6897949513864535,3.817999999999999,0.6006172167083478,4.186,0.5335408658066584,32217867353.4185,-0.38787518731656234,11311909309.5948,0.5919140554197944,95.6415096715633,0.39141828412618235,2.8,0.4079631588937953,2.5,0.28098816046121605,-85.045407,41.109631
5,2011-12,IN,FORT WAYNE,2011-12,4.25,"(-85.096298, 41.031138)",8377.17,Other FHA,0.1499335,-0.03934585511188346,0.2029985,-0.03404590204847328,0.2836085,-0.030202962701578993,0.40829250000000006,-0.025291908547545382,0.5557375,-0.011461957678718184,0.7798775000000001,0.0037594885847801814,1.1003555000000003,0.058698118077141356,0.0033333333333333335,-0.035087080279699215,0.048571428571428585,-0.015791936963308145,0.11523809523809528,0.030860764323031656,0.8914285714285713,0.5474840755278237,1.9780952380952384,0.6897949513864535,2.6676190476190476,0.6006172167083478,2.9823809523809524,0.5335408658066584,35767585536.868996,-0.38787518731656234,11641401212.0971,0.5919140554197944,90.4806728327692,0.39141828412618235,2.9,0.4079631588937953,2.4,0.28098816046121605,-85.096298,41.031138
6,2012-11,IN,FORT WAYNE,2012-11,2.84,"(-85.017052, 41.126791)",48876.96,Other FHA,0.1555,-0.03934585511188346,0.18060909090909089,-0.03404590204847328,0.20888636363636362,-0.030202962701578993,0.25813636363636355,-0.025291908547545382,0.31102272727272723,-0.011461957678718184,0.528347727272727,0.0037594885847801814,0.8631931818181818,0.058698118077141356,0.12449999999999999,-0.035087080279699215,0.14450000000000002,-0.015791936963308145,0.17850000000000002,0.030860764323031656,0.665,0.5474840755278237,1.654,0.6897949513864535,2.3894999999999995,0.6006172167083478,2.8034999999999997,0.5335408658066584,39658399389.4891,-0.38787518731656234,9855625468.0504,0.5919140554197944,89.6061116730853,0.39141828412618235,2.8,0.4079631588937953,2.3,0.28098816046121605,-85.017052,41.126791
7,2013-01,IN,FORT WAYNE,2013-01,2.35,"(-85.14200600000001, 41.133198)",17632.58,Other FHA,0.16043181818181818,-0.03934585511188346,0.17947272727272726,-0.03404590204847328,0.20497272727272725,-0.030202962701578993,0.2497954545454545,-0.025291908547545382,0.30261363636363625,-0.011461957678718184,0.48810454545454546,0.0037594885847801814,0.8142727272727271,0.058698118077141356,0.05190476190476192,-0.035087080279699215,0.10761904761904766,-0.015791936963308145,0.14523809523809525,0.030860764323031656,0.8052380952380951,0.5474840755278237,1.9147619047619049,0.6897949513864535,2.681428571428571,0.6006172167083478,3.0804761904761913,0.5335408658066584,40395555554.9932,-0.38787518731656234,9498561196.652071,0.5919140554197944,90.37816904639429,0.39141828412618235,3.0,0.4079631588937953,2.2,0.28098816046121605,-85.14200600000001,41.133198
8,2013-03,IN,FORT WAYNE,2013-03,2.55,"(-85.18496800000001, 41.017084000000004)",12410.3,Other FHA,0.15505000000000002,-0.03934585511188346,0.17309999999999998,-0.03404590204847328,0.20345,-0.030202962701578993,0.2419,-0.025291908547545382,0.28190000000000004,-0.011461957678718184,0.44782500000000003,0.0037594885847801814,0.7351250000000001,0.058698118077141356,0.07800000000000003,-0.035087080279699215,0.11450000000000005,-0.015791936963308145,0.14750000000000002,0.030860764323031656,0.8185000000000002,0.5474840755278237,1.9575,0.6897949513864535,2.7840000000000003,0.6006172167083478,3.1625000000000005,0.5335408658066584,41507587847.7023,-0.38787518731656234,8901986132.75728,0.5919140554197944,89.2801736441717,0.39141828412618235,2.9,0.4079631588937953,2.3,0.28098816046121605,-85.18496800000001,41.017084000000004
9,2013-07,IN,FORT WAYNE,2013-07,2.98,"(-85.15016, 41.014463)",41443.37,Other FHA,0.12117913043478262,-0.03934585511188346,0.15611695652173913,-0.03404590204847328,0.19111913043478265,-0.030202962701578993,0.232388695652174,-0.025291908547545382,0.26758260869565215,-0.011461957678718184,0.40307869565217386,0.0037594885847801814,0.6838491304347826,0.058698118077141356,0.020909090909090912,-0.035087080279699215,0.07363636363636367,-0.015791936963308145,0.12181818181818184,0.030860764323031656,1.4031818181818183,0.5474840755278237,2.5822727272727275,0.6897949513864535,3.3072727272727276,0.6006172167083478,3.605,0.5335408658066584,41244159430.5284,-0.38787518731656234,10396023519.0372,0.5919140554197944,86.5850023909696,0.39141828412618235,2.8,0.4079631588937953,2.1,0.28098816046121605,-85.15016,41.014463
