,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2010-12,MI,KALAMAZOO,2010-12,4.35,"(-85.114266, 44.668219)",49001,11073.14,Other FHA,0.24122190476190472,-0.2077935283979233,0.25412380952380953,-0.22145096553272905,0.26178857142857137,-0.273363754696744,0.28196571428571415,-0.3299370887363898,0.30272333333333334,-0.3592637181320198,0.4583942857142857,-0.3973074351048917,0.7839004761904763,-0.40814613073170175,0.0854166666666667,-0.2562498310220471,0.19333333333333338,-0.15219689751493592,0.2937499999999999,-0.08740317975208844,1.9429166666666664,0.8327893254228961,3.2949999999999995,0.781318742777745,4.173333333333333,0.6708892126177425,4.415,0.6446995596210678,31252070876.7547,-0.22935414477113966,15995126134.7035,0.5438266391267707,92.8594669911348,-0.3553305646059267,4.2,0.28690475070245564,2.7,0.1477058932180627,-85.114266,44.668219
1,2012-07,MI,KALAMAZOO,2012-07,2.95,"(-85.568788, 42.268329)",49001,4613.82,Other FHA,0.16720454545454547,-0.2077935283979233,0.19873636363636368,-0.22145096553272905,0.24646136363636365,-0.273363754696744,0.34024999999999994,-0.3299370887363898,0.4535545454545455,-0.3592637181320198,0.7302181818181818,-0.3973074351048917,1.0653181818181816,-0.40814613073170175,0.06952380952380956,-0.2562498310220471,0.14571428571428574,-0.15219689751493592,0.18571428571428572,-0.08740317975208844,0.6195238095238095,0.8327893254228961,1.5266666666666664,0.781318742777745,2.217142857142857,0.6708892126177425,2.5900000000000003,0.6446995596210678,38410438812.4053,-0.22935414477113966,10740081615.3953,0.5438266391267707,89.56768058609659,-0.3553305646059267,3.1,0.28690475070245564,2.9,0.1477058932180627,-85.568788,42.268329
2,2013-02,MI,KALAMAZOO,2013-02,2.5,"(-95.063709, 40.396309)",49009,36160.64,Other FHA,0.15464999999999998,-0.2077935283979233,0.17315,-0.22145096553272905,0.20129999999999998,-0.273363754696744,0.2455,-0.3299370887363898,0.29049499999999995,-0.3592637181320198,0.463425,-0.3973074351048917,0.761875,-0.40814613073170175,0.0768421052631579,-0.2562498310220471,0.12421052631578947,-0.15219689751493592,0.15736842105263157,-0.08740317975208844,0.8463157894736841,0.8327893254228961,1.9842105263157896,0.781318742777745,2.782631578947368,0.6708892126177425,3.165263157894737,0.6446995596210678,41507587847.7023,-0.22935414477113966,9260696074.4491,0.5438266391267707,91.578064558499,-0.3553305646059267,3.3,0.28690475070245564,2.0,0.1477058932180627,-95.063709,40.396309
3,2013-06,MI,KALAMAZOO,2013-06,3.25,"(-85.541048, 42.317895)",49001,7365.98,Other FHA,0.13074,-0.2077935283979233,0.15964599999999998,-0.22145096553272905,0.19319250000000002,-0.273363754696744,0.23164600000000002,-0.3299370887363898,0.27374,-0.3592637181320198,0.4139935,-0.3973074351048917,0.6839425000000002,-0.40814613073170175,0.0345,-0.2562498310220471,0.08750000000000002,-0.15219689751493592,0.142,-0.08740317975208844,1.2035,0.8327893254228961,2.3000000000000003,0.781318742777745,3.0740000000000003,0.6708892126177425,3.400000000000001,0.6446995596210678,41244159430.5284,-0.22935414477113966,9473893018.88319,0.5438266391267707,88.29263433660921,-0.3553305646059267,3.1,0.28690475070245564,1.7,0.1477058932180627,-85.541048,42.317895
4,2013-07,MI,KALAMAZOO,2013-07,3.1,"(-85.582356, 42.286743)",49007,23114.8,Other FHA,0.12117913043478262,-0.2077935283979233,0.15611695652173913,-0.22145096553272905,0.19111913043478265,-0.273363754696744,0.232388695652174,-0.3299370887363898,0.26758260869565215,-0.3592637181320198,0.40307869565217386,-0.3973074351048917,0.6838491304347826,-0.40814613073170175,0.020909090909090912,-0.2562498310220471,0.07363636363636367,-0.15219689751493592,0.12181818181818184,-0.08740317975208844,1.4031818181818183,0.8327893254228961,2.5822727272727275,0.781318742777745,3.3072727272727276,0.6708892126177425,3.605,0.6446995596210678,41658198449.9001,-0.22935414477113966,10396023519.0372,0.5438266391267707,89.95115518901541,-0.3553305646059267,3.1,0.28690475070245564,1.6,0.1477058932180627,-85.582356,42.286743
5,2013-09,MI,KALAMAZOO,2013-09,3.375,"(-85.525801, 42.3184)",49048,12529.63,Other FHA,0.11272380952380952,-0.2077935283979233,0.14323238095238094,-0.22145096553272905,0.18057476190476196,-0.273363754696744,0.22133904761904755,-0.3299370887363898,0.2531785714285715,-0.3592637181320198,0.38033809523809525,-0.3973074351048917,0.6526857142857143,-0.40814613073170175,0.017500000000000005,-0.2562498310220471,0.04150000000000001,-0.15219689751493592,0.11850000000000002,-0.08740317975208844,1.5959999999999999,0.8327893254228961,2.8095,0.781318742777745,3.526,0.6708892126177425,3.7870000000000004,0.6446995596210678,42151687038.4775,-0.22935414477113966,9438159522.248821,0.5438266391267707,88.1059676388142,-0.3553305646059267,2.8,0.28690475070245564,1.9,0.1477058932180627,-85.525801,42.3184
6,2014-02,MI,KALAMAZOO,2014-02,3.92,"(-85.63600799999999, 42.268131)",49008,24373.52,Other FHA,0.08627,-0.2077935283979233,0.11939250000000004,-0.22145096553272905,0.155105,-0.273363754696744,0.19663749999999997,-0.3299370887363898,0.23520249999999998,-0.3592637181320198,0.3308,-0.3973074351048917,0.554605,-0.40814613073170175,0.046842105263157914,-0.2562498310220471,0.08105263157894738,-0.15219689751493592,0.11684210526315793,-0.08740317975208844,1.5157894736842106,0.8327893254228961,2.7094736842105265,0.781318742777745,3.3847368421052626,0.6708892126177425,3.6626315789473685,0.6446995596210678,43938467193.2505,-0.22935414477113966,10121843859.6075,0.5438266391267707,84.4459748156831,-0.3553305646059267,2.9,0.28690475070245564,1.6,0.1477058932180627,-85.63600799999999,42.268131
7,2014-04,MI,KALAMAZOO,2014-04,4.08,"(-95.28930600000001, 29.700896999999998)",49008,26742.48,Other FHA,0.08864000000000001,-0.2077935283979233,0.120115,-0.22145096553272905,0.1517,-0.273363754696744,0.1918625,-0.3299370887363898,0.227495,-0.3592637181320198,0.32422500000000004,-0.3973074351048917,0.550005,-0.40814613073170175,0.023333333333333345,-0.2562498310220471,0.05333333333333336,-0.15219689751493592,0.10761904761904763,-0.08740317975208844,1.7009523809523805,0.8327893254228961,2.705238095238095,0.781318742777745,3.265238095238095,0.6708892126177425,3.5176190476190476,0.6446995596210678,45277214883.1472,-0.22935414477113966,11117378455.0815,0.5438266391267707,80.910251046009,-0.3553305646059267,3.2,0.28690475070245564,2.1,0.1477058932180627,-95.28930600000001,29.700896999999998
8,2015-08,MI,KALAMAZOO,2015-08,3.48,"(-85.62, 42.96)",49006,15710.91,Other FHA,0.13010000000000005,-0.2077935283979233,0.151965,-0.22145096553272905,0.1967275,-0.273363754696744,0.2610100000000001,-0.3299370887363898,0.3207975,-0.3592637181320198,0.5193599999999999,-0.3973074351048917,0.8364375,-0.40814613073170175,0.03523809523809525,-0.2562498310220471,0.22000000000000006,-0.15219689751493592,0.3757142857142857,-0.08740317975208844,1.5414285714285714,0.8327893254228961,2.167142857142857,0.781318742777745,2.5466666666666664,0.6708892126177425,2.8557142857142854,0.6446995596210678,48291644449.3811,-0.22935414477113966,13039171751.3192,0.5438266391267707,81.7923503982947,-0.3553305646059267,1.9,0.28690475070245564,0.9,0.1477058932180627,-85.62,42.96
9,2015-11,MI,KALAMAZOO,2015-11,3.53,"(-85.628523, 42.256467)",49008,27060.0,Other FHA,0.13066666666666668,-0.2077935283979233,0.1559214285714286,-0.22145096553272905,0.20844761904761913,-0.273363754696744,0.286702380952381,-0.3299370887363898,0.3709714285714286,-0.3592637181320198,0.6063738095238096,-0.3973074351048917,0.9343738095238093,-0.40814613073170175,0.07105263157894738,-0.2562498310220471,0.32789473684210524,-0.15219689751493592,0.47684210526315784,-0.08740317975208844,1.6710526315789473,0.8327893254228961,2.2631578947368416,0.781318742777745,2.6863157894736847,0.6708892126177425,3.03,0.6446995596210678,48187387172.2131,-0.22935414477113966,11362184412.0981,0.5438266391267707,82.4529898168143,-0.3553305646059267,2.1,0.28690475070245564,0.9,0.1477058932180627,-85.628523,42.256467
