,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-3),Corr with auto_vol(-3),student_vol(4),Corr with student_vol(4),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(2),Corr with mortgage 90(2),long,lat
0,2012-07,TX,AUSTIN,2012-07,2.88,"(-97.70615600000001, 30.228640000000002)",26888.92,Other FHA,0.16720454545454547,0.613381289281978,0.19873636363636368,0.6166530735856445,0.24646136363636365,0.6237936845492504,0.34024999999999994,0.6174581486292565,0.4535545454545455,0.6283585694359164,0.7302181818181818,0.6035379112884687,1.0653181818181816,0.5977928489377958,0.06952380952380956,0.5982922676644619,0.14571428571428574,0.6349778094884194,0.18571428571428572,0.6853480951127784,0.6195238095238095,0.848141205797201,1.5266666666666664,0.8025427519557742,2.217142857142857,0.5068979592570421,2.5900000000000003,0.3781040725226174,36623269866.4569,0.8264394649774081,10740081615.3953,0.5674383359600361,90.37816904639429,-0.5599392759326335,2.6,-0.8534743242373481,1.7,-0.8565904167222278,-97.70615600000001,30.228640000000002
1,2012-09,TX,AUSTIN,2012-09,2.89,"(-97.77, 30.19)",57717.11,Other FHA,0.15189500000000006,0.613381289281978,0.183625,0.6166530735856445,0.22133750000000002,0.6237936845492504,0.3079875,0.6174581486292565,0.3856325000000001,0.6283585694359164,0.6716749999999999,0.6035379112884687,0.9997750000000002,0.5977928489377958,0.07526315789473685,0.5982922676644619,0.13736842105263158,0.6349778094884194,0.17578947368421055,0.6853480951127784,0.6689473684210526,0.848141205797201,1.7231578947368422,0.8025427519557742,2.488421052631579,0.5068979592570421,2.8815789473684212,0.3781040725226174,36186315501.0541,0.8264394649774081,11154944519.578999,0.5674383359600361,89.2801736441717,-0.5599392759326335,2.8,-0.8534743242373481,1.8,-0.8565904167222278,-97.77,30.19
2,2013-04,TX,AUSTIN,2013-04,3.03,"(-97.760531, 30.372342)",136521.13,Other FHA,0.1539047619047619,0.613381289281978,0.17210476190476193,0.6166530735856445,0.19953333333333334,0.6237936845492504,0.24005714285714277,0.6174581486292565,0.27714285714285714,0.6283585694359164,0.4360190476190476,0.6035379112884687,0.7168333333333334,0.5977928489377958,0.049090909090909116,0.5982922676644619,0.09409090909090913,0.6349778094884194,0.12454545454545456,0.6853480951127784,0.7104545454545454,0.848141205797201,1.7590909090909093,0.8025427519557742,2.5500000000000003,0.5068979592570421,2.9327272727272726,0.3781040725226174,39268596272.9965,0.8264394649774081,10210246554.7955,0.5674383359600361,90.32258801944451,-0.5599392759326335,2.4,-0.8534743242373481,1.4,-0.8565904167222278,-97.760531,30.372342
3,2013-05,TX,AUSTIN,2013-05,3.25,"(-97.666317, 30.3085)",10588.13,Other FHA,0.1435047619047619,0.613381289281978,0.1638380952380952,0.6166530735856445,0.19670952380952378,0.6237936845492504,0.23396000000000003,0.6174581486292565,0.27416904761904765,0.6283585694359164,0.42137333333333327,0.6035379112884687,0.6936104761904763,0.5977928489377958,0.020454545454545458,0.5982922676644619,0.08090909090909093,0.6349778094884194,0.11863636363636366,0.6853480951127784,0.840909090909091,0.848141205797201,1.9281818181818182,0.8025427519557742,2.7286363636363635,0.5068979592570421,3.112727272727273,0.3781040725226174,39658399389.4891,0.8264394649774081,10216278752.7557,0.5674383359600361,88.1059676388142,-0.5599392759326335,2.3,-0.8534743242373481,1.3,-0.8565904167222278,-97.666317,30.3085
4,2015-05,TX,AUSTIN,2015-05,3.18,"(-97.787725, 30.202253999999996)",7725.53,Other FHA,0.12315789473684212,0.613381289281978,0.14795,0.6166530735856445,0.1842289473684211,0.6237936845492504,0.2296,0.6174581486292565,0.2795368421052632,0.6283585694359164,0.41659473684210524,0.6035379112884687,0.7346236842105265,0.5977928489377958,0.013000000000000001,0.5982922676644619,0.07950000000000002,0.6349778094884194,0.24100000000000002,0.6853480951127784,1.5385000000000002,0.848141205797201,2.1975000000000002,0.8025427519557742,2.692,0.5068979592570421,2.9550000000000005,0.3781040725226174,45758876905.2845,0.8264394649774081,11492007418.0579,0.5674383359600361,82.89218119322959,-0.5599392759326335,1.6,-0.8534743242373481,0.9,-0.8565904167222278,-97.787725,30.202253999999996
5,2015-09,TX,AUSTIN,2015-09,3.45,"(-97.67036800000001, 30.445733)",29522.46,Other FHA,0.1344409090909091,0.613381289281978,0.15661363636363634,0.6166530735856445,0.20107727272727274,0.6237936845492504,0.26589318181818195,0.6174581486292565,0.3311113636363637,0.6283585694359164,0.5371681818181817,0.6035379112884687,0.8526636363636364,0.5977928489377958,0.008571428571428572,0.5982922676644619,0.17952380952380947,0.6349778094884194,0.3733333333333333,0.6853480951127784,1.4900000000000002,0.848141205797201,2.1728571428571435,0.8025427519557742,2.618095238095238,0.5068979592570421,2.9528571428571433,0.3781040725226174,48997735451.5931,0.8264394649774081,11404853913.5663,0.5674383359600361,82.3313446344394,-0.5599392759326335,1.5,-0.8534743242373481,0.8,-0.8565904167222278,-97.67036800000001,30.445733
6,2015-10,TX,AUSTIN,2015-10,3.36,"(-97.645051, 30.389153000000004)",78264.24,Other FHA,0.13160454545454547,0.613381289281978,0.15531363636363638,0.6166530735856445,0.19451136363636365,0.6237936845492504,0.2514522727272726,0.6174581486292565,0.32135909090909087,0.6283585694359164,0.5284272727272726,0.6035379112884687,0.8378659090909092,0.5977928489377958,0.014285714285714287,0.5982922676644619,0.11380952380952382,0.6349778094884194,0.26333333333333336,0.6853480951127784,1.3857142857142857,0.848141205797201,2.0699999999999994,0.8025427519557742,2.5028571428571427,0.5068979592570421,2.8880952380952376,0.3781040725226174,48668534366.8701,0.8264394649774081,11240513229.2606,0.5674383359600361,83.80897781081251,-0.5599392759326335,1.6,-0.8534743242373481,0.7,-0.8565904167222278,-97.645051,30.389153000000004
7,2016-03,TX,AUSTIN,2016-03,3.39,"(-97.703293, 30.31955)",38731.18,Other FHA,0.3739333333333333,0.613381289281978,0.39734047619047613,0.6166530735856445,0.43639523809523806,0.6237936845492504,0.5204357142857143,0.6174581486292565,0.632,0.6283585694359164,0.9009761904761905,0.6035379112884687,1.2156690476190475,0.5977928489377958,0.2531818181818182,0.5982922676644619,0.47,0.6349778094884194,0.6563636363636364,0.6853480951127784,1.3759090909090912,0.848141205797201,1.889090909090909,0.8025427519557742,2.2759090909090913,0.5068979592570421,2.6845454545454546,0.3781040725226174,48291644449.3811,0.8264394649774081,11531266279.4831,0.5674383359600361,85.1896726255448,-0.5599392759326335,1.6,-0.8534743242373481,0.8,-0.8565904167222278,-97.703293,30.31955
8,2016-04,TX,AUSTIN,2016-04,3.25,"(-97.776905, 30.432645)",83776.82,Other FHA,0.38031428571428566,0.613381289281978,0.39864523809523805,0.6166530735856445,0.4373976190476192,0.6237936845492504,0.5229452380952381,0.6174581486292565,0.6327499999999999,0.6283585694359164,0.9025404761904764,0.6035379112884687,1.2222214285714286,0.5977928489377958,0.18761904761904763,0.5982922676644619,0.37238095238095237,0.6349778094884194,0.5557142857142858,0.6853480951127784,1.2580952380952382,0.848141205797201,1.8052380952380953,0.8025427519557742,2.2104761904761907,0.5068979592570421,2.6233333333333335,0.3781040725226174,48154770296.6926,0.8264394649774081,11412820253.2316,0.5674383359600361,87.39008859346599,-0.5599392759326335,1.5,-0.8534743242373481,0.8,-0.8565904167222278,-97.776905,30.432645
9,2016-09,TX,AUSTIN,2016-09,3.25,"(-97.62618499999999, 30.296753000000002)",56378.21,Other FHA,0.42159363636363634,0.613381289281978,0.4495609090909092,0.6166530735856445,0.5270018181818182,0.6237936845492504,0.6625254545454545,0.6174581486292565,0.8496804545454547,0.6283585694359164,1.2471445454545458,0.6035379112884687,1.5560313636363639,0.5977928489377958,0.1914285714285715,0.5982922676644619,0.4671428571428572,0.6349778094884194,0.5933333333333333,0.6853480951127784,1.178095238095238,0.848141205797201,1.6304761904761906,0.8025427519557742,2.0152380952380957,0.5068979592570421,2.350476190476191,0.3781040725226174,49206523977.8161,0.8264394649774081,12351593318.9066,0.5674383359600361,88.1697673489486,-0.5599392759326335,1.6,-0.8534743242373481,0.7,-0.8565904167222278,-97.62618499999999,30.296753000000002
10,2016-12,TX,AUSTIN,2016-12,3.43,"(-97.773198, 30.197488)",100183.21,Other FHA,0.5606285,0.613381289281978,0.6315605,0.6166530735856445,0.7119585,0.6237936845492504,0.7883325000000001,0.6174581486292565,0.9753284999999998,0.6283585694359164,1.3063339999999999,0.6035379112884687,1.6692235,0.5977928489377958,0.42333333333333334,0.5982922676644619,0.638095238095238,0.6349778094884194,0.8661904761904763,0.6853480951127784,1.9590476190476194,0.848141205797201,2.491904761904762,0.8025427519557742,2.835238095238095,0.5068979592570421,3.1133333333333324,0.3781040725226174,50249654907.7038,0.8264394649774081,12388258203.7622,0.5674383359600361,88.7707153640316,-0.5599392759326335,1.7,-0.8534743242373481,0.6,-0.8565904167222278,-97.773198,30.197488
11,2017-11,TX,AUSTIN,2017-11,3.25,"(-97.756121, 30.235224)",42287.35,Other FHA,1.183300476190476,0.613381289281978,1.2036563636363637,0.6166530735856445,1.2878790909090911,0.6237936845492504,1.3757831818181818,0.6174581486292565,1.4342040909090912,0.6283585694359164,1.6264599999999996,0.6035379112884687,1.9015695454545458,0.5977928489377958,1.09,0.5982922676644619,1.3895238095238096,0.6349778094884194,1.5600000000000003,0.6853480951127784,2.05,0.848141205797201,2.353333333333333,0.8025427519557742,2.6023809523809525,0.5068979592570421,2.801904761904762,0.3781040725226174,47520522623.6854,0.8264394649774081,11725018303.5706,0.5674383359600361,87.010875232225,-0.5599392759326335,1.6,-0.8534743242373481,0.5,-0.8565904167222278,-97.756121,30.235224
12,2018-05,TX,AUSTIN,2018-05,3.75,"(-97.722757, 30.29247)",197349.79,Other FHA,1.7065971428571427,0.613381289281978,1.7524533333333332,0.6166530735856445,1.94629,0.6237936845492504,2.0937409523809523,0.6174581486292565,2.3356085714285713,0.6283585694359164,2.499740476190476,0.6035379112884687,2.754757142857143,0.5977928489377958,1.706818181818182,0.5982922676644619,2.0731818181818187,0.6349778094884194,2.2736363636363635,0.6853480951127784,2.816818181818181,0.848141205797201,2.977727272727273,0.8025427519557742,3.0518181818181818,0.5068979592570421,3.1318181818181827,0.3781040725226174,49574400061.0285,0.8264394649774081,12115078194.3566,0.5674383359600361,85.8866598662335,-0.5599392759326335,1.2,-0.8534743242373481,0.4,-0.8565904167222278,-97.722757,30.29247
