,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(2),Corr with mortgage 90(2)
0,2011-01,NJ,JERSEY CITY,2011-01,3.71,"(-74.030928, 40.727713)",309969.76,Other FHA,0.2391115000000001,0.1243538921948933,0.25406500000000004,0.12109763201781822,0.2606254999999999,0.11573091974527891,0.2827834999999999,0.1087143445478458,0.30341049999999997,0.07242226029817689,0.4554005000000002,-0.02470473180208907,0.7818229999999999,-0.11012250825236178,0.14099999999999996,0.1301022447560177,0.1815,0.08623020877879621,0.27349999999999997,0.02974293502536342,1.9944999999999997,0.30491660920646635,3.3940000000000006,0.4519406367053905,4.281000000000001,0.41676779631924415,4.5230000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914278,5.6,0.40978467066219143
1,2011-11,NJ,JERSEY CITY,2011-11,3.83,"(-74.063342, 40.730511)",19658.97,Other FHA,0.14255090909090912,0.1243538921948933,0.19244863636363635,0.12109763201781822,0.2536463636363637,0.11573091974527891,0.3593790909090909,0.1087143445478458,0.47529181818181826,0.07242226029817689,0.6805422727272729,-0.02470473180208907,1.000305,-0.11012250825236178,0.013999999999999999,0.1301022447560177,0.04650000000000002,0.08623020877879621,0.11200000000000002,0.02974293502536342,0.908,0.30491660920646635,2.0134999999999996,0.4519406367053905,2.7180000000000004,0.41676779631924415,3.0155000000000003,0.37329261164759764,34825519831.2788,-0.4625416815751535,10258833668.6773,-0.7621099424096692,90.0868950067716,-0.5230055149245929,3.0,0.6614662016914278,6.1,0.40978467066219143
2,2013-02,NJ,JERSEY CITY,2013-02,2.6,"(-74.030937, 40.726715999999996)",268529.36,Other FHA,0.15464999999999998,0.1243538921948933,0.17315,0.12109763201781822,0.20129999999999998,0.11573091974527891,0.2455,0.1087143445478458,0.29049499999999995,0.07242226029817689,0.463425,-0.02470473180208907,0.761875,-0.11012250825236178,0.0768421052631579,0.1301022447560177,0.12421052631578947,0.08623020877879621,0.15736842105263157,0.02974293502536342,0.8463157894736841,0.30491660920646635,1.9842105263157896,0.4519406367053905,2.782631578947368,0.41676779631924415,3.165263157894737,0.37329261164759764,39658399389.4891,-0.4625416815751535,11154944519.578999,-0.7621099424096692,89.95115518901541,-0.5230055149245929,2.4,0.6614662016914278,5.2,0.40978467066219143
3,2013-12,NJ,JERSEY CITY,2013-12,4.2,"(-74.09335, 40.69359)",27981.95,Other FHA,0.10022500000000001,0.1243538921948933,0.1273025,0.12109763201781822,0.16723,0.11573091974527891,0.2127325,0.1087143445478458,0.24389749999999996,0.07242226029817689,0.34639499999999995,-0.02470473180208907,0.579045,-0.11012250825236178,0.019047619047619053,0.1301022447560177,0.09523809523809526,0.08623020877879621,0.13285714285714287,0.02974293502536342,1.5761904761904764,0.30491660920646635,2.901904761904762,0.4519406367053905,3.6266666666666674,0.41676779631924415,3.889047619047619,0.37329261164759764,41561863313.5151,-0.4625416815751535,10396023519.0372,-0.7621099424096692,82.56600445924391,-0.5230055149245929,2.7,0.6614662016914278,4.5,0.40978467066219143
4,2016-07,NJ,JERSEY CITY,2016-07,3.13,"(-74.07252199999999, 40.715784)",30547.07,Other FHA,0.41380476190476195,0.1243538921948933,0.43819285714285716,0.12109763201781822,0.4828833333333333,0.11573091974527891,0.5734595238095239,0.1087143445478458,0.6963095238095237,0.07242226029817689,0.9990666666666668,-0.02470473180208907,1.31707619047619,-0.11012250825236178,0.2635000000000001,0.1301022447560177,0.4040000000000001,0.08623020877879621,0.5135000000000001,0.02974293502536342,1.0715,0.30491660920646635,1.504,0.4519406367053905,1.8224999999999998,0.41676779631924415,2.227,0.37329261164759764,49692544708.3448,-0.4625416815751535,11496937509.4445,-0.7621099424096692,89.2057504560787,-0.5230055149245929,2.1,0.6614662016914278,2.5,0.40978467066219143
5,2016-12,NJ,JERSEY CITY,2016-12,2.95,"(-74.058887, 40.736049)",362961.94,Other FHA,0.5606285,0.1243538921948933,0.6315605,0.12109763201781822,0.7119585,0.11573091974527891,0.7883325000000001,0.1087143445478458,0.9753284999999998,0.07242226029817689,1.3063339999999999,-0.02470473180208907,1.6692235,-0.11012250825236178,0.42333333333333334,0.1301022447560177,0.638095238095238,0.08623020877879621,0.8661904761904763,0.02974293502536342,1.9590476190476194,0.30491660920646635,2.491904761904762,0.4519406367053905,2.835238095238095,0.41676779631924415,3.1133333333333324,0.37329261164759764,51124149514.2735,-0.4625416815751535,12137144620.0221,-0.7621099424096692,89.1200725980081,-0.5230055149245929,2.2,0.6614662016914278,2.3,0.40978467066219143
