,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol,Corr with student_vol,credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-4),Corr with mortgage 90(-4)
0,TAMPA,2013-03,3.48,Other FHA,0.15505000000000002,3.32495,0.056908578552541854,0.17309999999999998,3.3069,0.04290122770439457,0.20345,3.27655,0.04158498524693245,0.2419,3.2381,0.04371992703833431,0.28190000000000004,3.1981,0.03748383623981695,0.44782500000000003,3.032175,-0.00812921994714563,0.7351250000000001,2.744875,-0.03820116609276247,0.07800000000000003,3.402,0.0797278905239574,0.11450000000000005,3.3655,0.05412693069790628,0.14750000000000002,3.3325,0.0444686599278064,0.8185000000000002,2.6614999999999998,0.06920019838722577,1.9575,1.5225,-0.11224781110084872,2.7840000000000003,0.6959999999999997,-0.2494670745997408,3.1625000000000005,0.31749999999999945,-0.2822689937712105,41471481477.9035,0.3598103551991755,9855625468.0504,0.25829890092013413,88.794109524791,-0.7239152085077233,2.7,-0.27619427826989496,7.6,-0.15870070785050125
1,TAMPA,2013-07,2.91,Other FHA,0.12117913043478262,2.7888208695652175,0.056908578552541854,0.15611695652173913,2.753883043478261,0.04290122770439457,0.19111913043478265,2.7188808695652176,0.04158498524693245,0.232388695652174,2.6776113043478262,0.04371992703833431,0.26758260869565215,2.642417391304348,0.03748383623981695,0.40307869565217386,2.5069213043478262,-0.00812921994714563,0.6838491304347826,2.2261508695652177,-0.03820116609276247,0.020909090909090912,2.889090909090909,0.0797278905239574,0.07363636363636367,2.8363636363636364,0.05412693069790628,0.12181818181818184,2.788181818181818,0.0444686599278064,1.4031818181818183,1.5068181818181818,0.06920019838722577,2.5822727272727275,0.32772727272727264,-0.11224781110084872,3.3072727272727276,-0.39727272727272744,-0.2494670745997408,3.605,-0.6949999999999998,-0.2822689937712105,41658198449.9001,0.3598103551991755,8901986132.75728,0.25829890092013413,89.95115518901541,-0.7239152085077233,2.8,-0.27619427826989496,6.8,-0.15870070785050125
2,TAMPA,2013-08,3.2,Other FHA,0.11782999999999999,3.08217,0.056908578552541854,0.1493142857142857,3.0506857142857147,0.04290122770439457,0.1840704761904762,3.015929523809524,0.04158498524693245,0.22633523809523812,2.9736647619047623,0.04371992703833431,0.2633952380952381,2.936604761904762,0.03748383623981695,0.3949285714285714,2.805071428571429,-0.00812921994714563,0.6679499999999999,2.5320500000000004,-0.03820116609276247,0.03681818181818183,3.1631818181818185,0.0797278905239574,0.07181818181818184,3.1281818181818184,0.05412693069790628,0.12681818181818183,3.0731818181818182,0.0444686599278064,1.5204545454545455,1.6795454545454547,0.06920019838722577,2.7372727272727273,0.4627272727272729,-0.11224781110084872,3.488181818181818,-0.28818181818181765,-0.2494670745997408,3.757727272727273,-0.5577272727272726,-0.2822689937712105,41561863313.5151,0.3598103551991755,10210246554.7955,0.25829890092013413,90.32258801944451,-0.7239152085077233,2.4,-0.27619427826989496,6.6,-0.15870070785050125
3,TAMPA,2013-09,3.45,Other FHA,0.11272380952380952,3.3372761904761905,0.056908578552541854,0.14323238095238094,3.306767619047619,0.04290122770439457,0.18057476190476196,3.269425238095238,0.04158498524693245,0.22133904761904755,3.2286609523809524,0.04371992703833431,0.2531785714285715,3.196821428571429,0.03748383623981695,0.38033809523809525,3.069661904761905,-0.00812921994714563,0.6526857142857143,2.797314285714286,-0.03820116609276247,0.017500000000000005,3.4325,0.0797278905239574,0.04150000000000001,3.4085,0.05412693069790628,0.11850000000000002,3.3315,0.0444686599278064,1.5959999999999999,1.8540000000000003,0.06920019838722577,2.8095,0.6405000000000003,-0.11224781110084872,3.526,-0.07599999999999962,-0.2494670745997408,3.7870000000000004,-0.3370000000000002,-0.2822689937712105,42151687038.4775,0.3598103551991755,10216278752.7557,0.25829890092013413,88.1059676388142,-0.7239152085077233,2.8,-0.27619427826989496,6.2,-0.15870070785050125
4,TAMPA,2014-04,4.05,Other FHA,0.08864000000000001,3.96136,0.056908578552541854,0.120115,3.9298849999999996,0.04290122770439457,0.1517,3.8983,0.04158498524693245,0.1918625,3.8581374999999998,0.04371992703833431,0.227495,3.8225049999999996,0.03748383623981695,0.32422500000000004,3.7257749999999996,-0.00812921994714563,0.550005,3.4999949999999997,-0.03820116609276247,0.023333333333333345,4.026666666666666,0.0797278905239574,0.05333333333333336,3.9966666666666666,0.05412693069790628,0.10761904761904763,3.9423809523809523,0.0444686599278064,1.7009523809523805,2.349047619047619,0.06920019838722577,2.705238095238095,1.3447619047619046,-0.11224781110084872,3.265238095238095,0.784761904761905,-0.2494670745997408,3.5176190476190476,0.5323809523809522,-0.2822689937712105,45277214883.1472,0.3598103551991755,11032404366.8063,0.25829890092013413,80.910251046009,-0.7239152085077233,2.4,-0.27619427826989496,5.1,-0.15870070785050125
5,TAMPA,2015-02,3.67,Other FHA,0.11784999999999998,3.55215,0.056908578552541854,0.13764249999999997,3.5323575,0.04290122770439457,0.17207499999999998,3.497925,0.04158498524693245,0.2121925,3.4578075,0.04371992703833431,0.25842,3.41158,0.03748383623981695,0.37596500000000005,3.294035,-0.00812921994714563,0.6601375,3.0098624999999997,-0.03820116609276247,0.017894736842105265,3.6521052631578947,0.0797278905239574,0.07105263157894741,3.5989473684210527,0.05412693069790628,0.22421052631578947,3.4457894736842105,0.0444686599278064,1.472631578947368,2.197368421052632,0.06920019838722577,1.9752631578947366,1.6947368421052633,-0.11224781110084872,2.3384210526315794,1.3315789473684205,-0.2494670745997408,2.566315789473684,1.1036842105263158,-0.2822689937712105,48997735451.5931,0.3598103551991755,11837215038.8922,0.25829890092013413,80.33849809561521,-0.7239152085077233,2.1,-0.27619427826989496,4.0,-0.15870070785050125
6,TAMPA,2015-10,3.75,Other FHA,0.13160454545454547,3.6183954545454546,0.056908578552541854,0.15531363636363638,3.5946863636363635,0.04290122770439457,0.19451136363636365,3.5554886363636364,0.04158498524693245,0.2514522727272726,3.4985477272727272,0.04371992703833431,0.32135909090909087,3.428640909090909,0.03748383623981695,0.5284272727272726,3.2215727272727275,-0.00812921994714563,0.8378659090909092,2.912134090909091,-0.03820116609276247,0.014285714285714287,3.7357142857142858,0.0797278905239574,0.11380952380952382,3.636190476190476,0.05412693069790628,0.26333333333333336,3.486666666666667,0.0444686599278064,1.3857142857142857,2.3642857142857143,0.06920019838722577,2.0699999999999994,1.6800000000000006,-0.11224781110084872,2.5028571428571427,1.2471428571428573,-0.2494670745997408,2.8880952380952376,0.8619047619047624,-0.2822689937712105,48927223434.2447,0.3598103551991755,11758109185.709,0.25829890092013413,81.36742750908279,-0.7239152085077233,2.2,-0.27619427826989496,3.1,-0.15870070785050125
7,TAMPA,2016-12,2.88,Other FHA,0.5606285,2.3193715,0.056908578552541854,0.6315605,2.2484395,0.04290122770439457,0.7119585,2.1680414999999997,0.04158498524693245,0.7883325000000001,2.0916675,0.04371992703833431,0.9753284999999998,1.9046715,0.03748383623981695,1.3063339999999999,1.573666,-0.00812921994714563,1.6692235,1.2107765,-0.03820116609276247,0.42333333333333334,2.4566666666666666,0.0797278905239574,0.638095238095238,2.241904761904762,0.05412693069790628,0.8661904761904763,2.0138095238095235,0.0444686599278064,1.9590476190476194,0.9209523809523805,0.06920019838722577,2.491904761904762,0.38809523809523805,-0.11224781110084872,2.835238095238095,0.04476190476190478,-0.2494670745997408,3.1133333333333324,-0.2333333333333325,-0.2822689937712105,47316214443.3566,0.3598103551991755,12605986919.9069,0.25829890092013413,89.2057504560787,-0.7239152085077233,2.3,-0.27619427826989496,2.3,-0.15870070785050125
8,TAMPA,2017-03,3.4,Other FHA,0.8095565217391305,2.5904434782608696,0.056908578552541854,0.8706386956521739,2.529361304347826,0.04290122770439457,0.9286352173913045,2.4713647826086955,0.04158498524693245,0.982656956521739,2.417343043478261,0.04371992703833431,1.134713043478261,2.265286956521739,0.03748383623981695,1.4258673913043478,1.974132608695652,-0.00812921994714563,1.8069104347826086,1.5930895652173913,-0.03820116609276247,0.662608695652174,2.7373913043478257,0.0797278905239574,0.8856521739130436,2.514347826086956,0.05412693069790628,1.0104347826086957,2.3895652173913042,0.0444686599278064,2.013478260869565,1.3865217391304347,0.06920019838722577,2.4817391304347827,0.9182608695652172,-0.11224781110084872,2.8317391304347823,0.5682608695652176,-0.2494670745997408,3.0813043478260873,0.3186956521739126,-0.2822689937712105,48416221734.2909,0.3598103551991755,12509011080.2031,0.25829890092013413,84.4501908643932,-0.7239152085077233,1.8,-0.27619427826989496,2.1,-0.15870070785050125
9,TAMPA,2018-02,3.42,Other FHA,1.4432573684210526,1.9767426315789474,0.056908578552541854,1.4712210000000003,1.9487789999999996,0.04290122770439457,1.6018225000000001,1.8181774999999998,0.04158498524693245,1.722691,1.697309,0.04371992703833431,1.874672,1.545328,0.03748383623981695,2.0893395000000003,1.3306604999999996,-0.00812921994714563,2.3701375000000002,1.0498624999999997,-0.03820116609276247,1.3805263157894736,2.0394736842105265,0.0797278905239574,1.7857894736842108,1.6342105263157891,0.05412693069790628,1.9636842105263155,1.4563157894736845,0.0444686599278064,2.599473684210526,0.8205263157894738,0.06920019838722577,2.8589473684210525,0.5610526315789475,-0.11224781110084872,3.016842105263158,0.4031578947368417,-0.2494670745997408,3.1310526315789478,0.2889473684210522,-0.2822689937712105,50165072031.0326,0.3598103551991755,11318405616.2761,0.25829890092013413,88.1148323663994,-0.7239152085077233,1.4,-0.27619427826989496,1.3,-0.15870070785050125
10,TAMPA,2018-04,3.74,Other FHA,1.7027510000000003,2.037249,0.056908578552541854,1.7432829999999995,1.9967170000000007,0.04290122770439457,1.896724,1.8432760000000001,0.04158498524693245,2.0408605,1.6991395000000002,0.04371992703833431,2.349426,1.3905740000000004,0.03748383623981695,2.493657999999999,1.2463420000000012,-0.00812921994714563,2.7355454999999997,1.0044545000000005,-0.03820116609276247,1.6604761904761904,2.0795238095238098,0.0797278905239574,1.9780952380952381,1.761904761904762,0.05412693069790628,2.153809523809524,1.5861904761904762,0.0444686599278064,2.701904761904762,1.0380952380952384,0.06920019838722577,2.869047619047619,0.8709523809523811,-0.11224781110084872,2.9595238095238092,0.780476190476191,-0.2494670745997408,3.0719047619047624,0.6680952380952379,-0.2822689937712105,50563742345.0186,0.3598103551991755,12344213844.2875,0.25829890092013413,88.50967086025801,-0.7239152085077233,1.5,-0.27619427826989496,1.2,-0.15870070785050125
