,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(1),Corr with student_vol(1),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-2),Corr with mortgage 90(-2)
0,TX,SAN ANTONIO,2010-11,3.8,Other FHA,0.22869727272727272,3.571302727272727,0.46646831861378024,0.24913818181818187,3.550861818181818,0.46588789612080295,0.2541922727272727,3.5458077272727273,0.45527530167138014,0.27004181818181816,3.5299581818181816,0.44137215334745533,0.2871204545454545,3.5128795454545454,0.42484323131499396,0.44597000000000014,3.35403,0.38106447100255864,0.7651345454545454,3.0348654545454545,0.34691579436963854,0.13400000000000004,3.666,0.46560661061499276,0.182,3.618,0.41912842773016296,0.25200000000000006,3.5479999999999996,0.39068754684994306,1.35,2.4499999999999997,0.5397371356206184,2.7630000000000003,1.0369999999999995,0.6326352600876057,3.817999999999999,-0.01799999999999935,0.4894939150769989,4.186,-0.3860000000000001,0.37526209189645277,31565012894.7234,-0.13474375389198212,10792773250.4017,0.516114254767757,94.51558950569391,0.40081635934017507,5.1,0.24819952718113114,2.7,0.09801735340330546
1,TX,SAN ANTONIO,2011-03,4.25,Other FHA,0.2076739130434783,4.042326086956522,0.46646831861378024,0.23889782608695653,4.011102173913043,0.46588789612080295,0.2532847826086956,3.9967152173913045,0.45527530167138014,0.2829456521739131,3.967054347826087,0.44137215334745533,0.30843478260869567,3.9415652173913043,0.42484323131499396,0.4607826086956522,3.789217391304348,0.38106447100255864,0.7797065217391305,3.4702934782608694,0.34691579436963854,0.06478260869565221,4.185217391304348,0.46560661061499276,0.15652173913043482,4.093478260869565,0.41912842773016296,0.25913043478260867,3.990869565217391,0.39068754684994306,2.1134782608695653,2.1365217391304347,0.5397371356206184,3.414347826086956,0.835652173913044,0.6326352600876057,4.26608695652174,-0.016086956521739637,0.4894939150769989,4.5139130434782615,-0.2639130434782615,0.37526209189645277,31992172727.7437,-0.13474375389198212,15995126134.7035,0.516114254767757,94.0022251537174,0.40081635934017507,5.3,0.24819952718113114,3.0,0.09801735340330546
2,TX,SAN ANTONIO,2012-01,3.75,Other FHA,0.14564761904761903,3.604352380952381,0.46646831861378024,0.2014238095238095,3.5485761904761906,0.46588789612080295,0.28289523809523814,3.467104761904762,0.45527530167138014,0.41424761904761903,3.335752380952381,0.44137215334745533,0.5659000000000001,3.1841,0.42484323131499396,0.7969761904761906,2.9530238095238093,0.38106447100255864,1.1145476190476191,2.6354523809523807,0.34691579436963854,0.0245,3.7255,0.46560661061499276,0.06550000000000003,3.6845,0.41912842773016296,0.11500000000000003,3.635,0.39068754684994306,0.835,2.915,0.5397371356206184,1.9664999999999995,1.7835000000000005,0.6326352600876057,2.6950000000000003,1.0549999999999997,0.4894939150769989,3.026,0.7240000000000002,0.37526209189645277,36777908030.9335,-0.13474375389198212,10728874885.7875,0.516114254767757,90.35087768078328,0.40081635934017507,4.8,0.24819952718113114,2.7,0.09801735340330546
3,TX,SAN ANTONIO,2012-08,3.25,Other FHA,0.15374090909090915,3.096259090909091,0.46646831861378024,0.18745454545454548,3.0625454545454547,0.46588789612080295,0.23783863636363634,3.0121613636363636,0.45527530167138014,0.3331136363636364,2.9168863636363636,0.44137215334745533,0.43259999999999993,2.8174,0.42484323131499396,0.7177749999999997,2.5322250000000004,0.38106447100255864,1.0426272727272727,2.2073727272727273,0.34691579436963854,0.09217391304347829,3.1578260869565216,0.46560661061499276,0.14043478260869566,3.1095652173913044,0.41912842773016296,0.18347826086956526,3.066521739130435,0.39068754684994306,0.7139130434782609,2.536086956521739,0.5397371356206184,1.6782608695652175,1.5717391304347825,0.6326352600876057,2.3978260869565218,0.8521739130434782,0.4894939150769989,2.7708695652173914,0.47913043478260864,0.37526209189645277,38808856509.5085,-0.13474375389198212,11631947675.6117,0.516114254767757,89.56768058609659,0.40081635934017507,4.2,0.24819952718113114,2.6,0.09801735340330546
4,TX,SAN ANTONIO,2013-05,3.34,Other FHA,0.1435047619047619,3.196495238095238,0.46646831861378024,0.1638380952380952,3.1761619047619045,0.46588789612080295,0.19670952380952378,3.143290476190476,0.45527530167138014,0.23396000000000003,3.1060399999999997,0.44137215334745533,0.27416904761904765,3.0658309523809524,0.42484323131499396,0.42137333333333327,2.9186266666666665,0.38106447100255864,0.6936104761904763,2.6463895238095234,0.34691579436963854,0.020454545454545458,3.3195454545454544,0.46560661061499276,0.08090909090909093,3.259090909090909,0.41912842773016296,0.11863636363636366,3.221363636363636,0.39068754684994306,0.840909090909091,2.499090909090909,0.5397371356206184,1.9281818181818182,1.4118181818181816,0.6326352600876057,2.7286363636363635,0.6113636363636363,0.4894939150769989,3.112727272727273,0.22727272727272707,0.37526209189645277,41062625933.5941,-0.13474375389198212,9260696074.4491,0.516114254767757,88.920473853359,0.40081635934017507,4.5,0.24819952718113114,2.5,0.09801735340330546
5,TX,SAN ANTONIO,2013-09,3.88,Other FHA,0.11272380952380952,3.7672761904761902,0.46646831861378024,0.14323238095238094,3.736767619047619,0.46588789612080295,0.18057476190476196,3.699425238095238,0.45527530167138014,0.22133904761904755,3.658660952380952,0.44137215334745533,0.2531785714285715,3.6268214285714286,0.42484323131499396,0.38033809523809525,3.4996619047619046,0.38106447100255864,0.6526857142857143,3.227314285714286,0.34691579436963854,0.017500000000000005,3.8625,0.46560661061499276,0.04150000000000001,3.8385,0.41912842773016296,0.11850000000000002,3.7615,0.39068754684994306,1.5959999999999999,2.284,0.5397371356206184,2.8095,1.0705,0.6326352600876057,3.526,0.3540000000000001,0.4894939150769989,3.7870000000000004,0.09299999999999953,0.37526209189645277,42151687038.4775,-0.13474375389198212,9473893018.88319,0.516114254767757,90.32258801944451,0.40081635934017507,4.0,0.24819952718113114,2.2,0.09801735340330546
6,TX,SAN ANTONIO,2014-01,4.255000000000001,Other FHA,0.09003181818181817,4.164968181818183,0.46646831861378024,0.1219931818181818,4.133006818181819,0.46588789612080295,0.1597090909090909,4.0952909090909095,0.45527530167138014,0.204425,4.050575000000001,0.44137215334745533,0.23822954545454544,4.016770454545456,0.42484323131499396,0.33795909090909093,3.9170409090909097,0.38106447100255864,0.5752999999999999,3.679700000000001,0.34691579436963854,0.017142857142857144,4.237857142857144,0.46560661061499276,0.0690476190476191,4.185952380952382,0.41912842773016296,0.11619047619047623,4.138809523809525,0.39068754684994306,1.6466666666666665,2.6083333333333343,0.5397371356206184,2.858095238095238,1.396904761904763,0.6326352600876057,3.521904761904762,0.7330952380952387,0.4894939150769989,3.76904761904762,0.4859523809523809,0.37526209189645277,44462292713.4678,-0.13474375389198212,10011024566.6146,0.516114254767757,88.4263020205016,0.40081635934017507,4.2,0.24819952718113114,2.2,0.09801735340330546
7,TX,SAN ANTONIO,2015-12,3.32,Other FHA,0.2286238095238095,3.0913761904761903,0.46646831861378024,0.289352380952381,3.0306476190476186,0.46588789612080295,0.3523071428571429,2.967692857142857,0.45527530167138014,0.44092857142857156,2.8790714285714283,0.44137215334745533,0.5332357142857143,2.786764285714286,0.42484323131499396,0.7638285714285715,2.556171428571428,0.38106447100255864,1.0841380952380955,2.2358619047619044,0.34691579436963854,0.17181818181818184,3.148181818181818,0.46560661061499276,0.4990909090909091,2.820909090909091,0.41912842773016296,0.6536363636363638,2.666363636363636,0.39068754684994306,1.6986363636363635,1.6213636363636363,0.5397371356206184,2.2427272727272736,1.0772727272727263,0.6326352600876057,2.6072727272727274,0.7127272727272724,0.4894939150769989,2.97,0.34999999999999964,0.37526209189645277,48887248013.451,-0.13474375389198212,11404853913.5663,0.516114254767757,82.4529898168143,0.40081635934017507,3.5,0.24819952718113114,1.4,0.09801735340330546
8,TX,SAN ANTONIO,2016-05,3.38,Other FHA,0.38527368421052627,2.9947263157894737,0.46646831861378024,0.4053315789473685,2.9746684210526313,0.46588789612080295,0.4424947368421052,2.937505263157895,0.45527530167138014,0.5332263157894737,2.8467736842105262,0.44137215334745533,0.6455710526315791,2.734428947368421,0.42484323131499396,0.9348736842105263,2.445126315789474,0.38106447100255864,1.2675078947368421,2.112492105263158,0.34691579436963854,0.2261904761904762,3.1538095238095236,0.46560661061499276,0.4185714285714286,2.9614285714285713,0.41912842773016296,0.5914285714285713,2.7885714285714287,0.39068754684994306,1.3004761904761903,2.0795238095238098,0.5397371356206184,1.8061904761904766,1.5738095238095233,0.6326352600876057,2.2166666666666663,1.1633333333333336,0.4894939150769989,2.627619047619048,0.7523809523809519,0.37526209189645277,50249654907.7038,-0.13474375389198212,11496937509.4445,0.516114254767757,83.5754036116387,0.40081635934017507,3.6,0.24819952718113114,1.5,0.09801735340330546
9,TX,SAN ANTONIO,2017-03,3.95,Other FHA,0.8095565217391305,3.1404434782608694,0.46646831861378024,0.8706386956521739,3.0793613043478265,0.46588789612080295,0.9286352173913045,3.021364782608696,0.45527530167138014,0.982656956521739,2.967343043478261,0.44137215334745533,1.134713043478261,2.815286956521739,0.42484323131499396,1.4258673913043478,2.5241326086956524,0.38106447100255864,1.8069104347826086,2.143089565217392,0.34691579436963854,0.662608695652174,3.2873913043478264,0.46560661061499276,0.8856521739130436,3.0643478260869568,0.41912842773016296,1.0104347826086957,2.9395652173913045,0.39068754684994306,2.013478260869565,1.936521739130435,0.5397371356206184,2.4817391304347827,1.4682608695652175,0.6326352600876057,2.8317391304347823,1.1182608695652179,0.4894939150769989,3.0813043478260873,0.8686956521739129,0.37526209189645277,48416221734.2909,-0.13474375389198212,12388258203.7622,0.516114254767757,87.62096056152771,0.40081635934017507,3.8,0.24819952718113114,1.5,0.09801735340330546
10,TX,SAN ANTONIO,2017-04,3.9,Other FHA,0.9290682352941175,2.9709317647058824,0.46646831861378024,0.9469605882352942,2.953039411764706,0.46588789612080295,0.9906858823529412,2.9093141176470585,0.45527530167138014,1.0343464705882355,2.865653529411764,0.44137215334745533,1.1592282352941174,2.7407717647058822,0.42484323131499396,1.4162570588235293,2.4837429411764704,0.38106447100255864,1.7758141176470588,2.124185882352941,0.34691579436963854,0.7457894736842106,3.154210526315789,0.46560661061499276,0.9489473684210525,2.951052631578947,0.41912842773016296,1.0421052631578949,2.857894736842105,0.39068754684994306,1.8242105263157897,2.0757894736842104,0.5397371356206184,2.297368421052632,1.602631578947368,0.6326352600876057,2.6673684210526316,1.2326315789473683,0.4894939150769989,2.9415789473684213,0.9584210526315786,0.37526209189645277,47520522623.6854,-0.13474375389198212,12747516848.3499,0.516114254767757,84.4501908643932,0.40081635934017507,3.8,0.24819952718113114,1.4,0.09801735340330546
11,TX,SAN ANTONIO,2018-01,3.38,Other FHA,1.4378880952380952,1.9421119047619047,0.46646831861378024,1.467563181818182,1.9124368181818179,0.46588789612080295,1.5610881818181819,1.818911818181818,0.45527530167138014,1.6355336363636364,1.7444663636363635,0.44137215334745533,1.733970909090909,1.6460290909090909,0.42484323131499396,1.9067609090909092,1.4732390909090907,0.38106447100255864,2.196459545454545,1.1835404545454549,0.34691579436963854,1.3000000000000003,2.0799999999999996,0.46560661061499276,1.6199999999999994,1.7600000000000005,0.41912842773016296,1.8028571428571425,1.5771428571428574,0.39068754684994306,2.381904761904762,0.9980952380952379,0.5397371356206184,2.5838095238095242,0.7961904761904757,0.6326352600876057,2.7342857142857144,0.6457142857142855,0.4894939150769989,2.8776190476190475,0.5023809523809524,0.37526209189645277,50407042046.8076,-0.13474375389198212,11318405616.2761,0.516114254767757,87.3618752869242,0.40081635934017507,2.6,0.24819952718113114,1.1,0.09801735340330546
12,TX,SAN ANTONIO,2018-06,4.0,Other FHA,1.8376333333333337,2.1623666666666663,0.46646831861378024,1.9170571428571423,2.0829428571428577,0.46588789612080295,2.068429047619047,1.931570952380953,0.45527530167138014,2.1502619047619045,1.8497380952380955,0.44137215334745533,2.330264285714286,1.6697357142857139,0.42484323131499396,2.4958952380952377,1.5041047619047623,0.38106447100255864,2.759644285714286,1.2403557142857138,0.34691579436963854,1.8052380952380953,2.1947619047619047,0.46560661061499276,2.113809523809524,1.886190476190476,0.41912842773016296,2.328095238095238,1.671904761904762,0.39068754684994306,2.775714285714286,1.2242857142857142,0.5397371356206184,2.9123809523809525,1.0876190476190475,0.6326352600876057,2.9776190476190476,1.0223809523809524,0.4894939150769989,3.0500000000000007,0.9499999999999993,0.37526209189645277,51507450037.54,-0.13474375389198212,13062636860.3963,0.516114254767757,88.437943439718,0.40081635934017507,3.1,0.24819952718113114,1.2,0.09801735340330546
13,TX,SAN ANTONIO,2018-08,3.98,Other FHA,1.916485,2.0635149999999998,0.46646831861378024,1.9541377272727276,2.0258622727272724,0.46588789612080295,2.074109545454545,1.905890454545455,0.45527530167138014,2.18963,1.7903699999999998,0.44137215334745533,2.323575,1.656425,0.42484323131499396,2.5196563636363636,1.4603436363636364,0.38106447100255864,2.8215668181818185,1.1584331818181814,0.34691579436963854,1.9408695652173917,2.0391304347826082,0.46560661061499276,2.244347826086957,1.735652173913043,0.41912842773016296,2.445652173913043,1.534347826086957,0.39068754684994306,2.7678260869565223,1.2121739130434777,0.5397371356206184,2.889130434782609,1.0908695652173912,0.6326352600876057,2.970434782608696,1.009565217391304,0.4894939150769989,3.041739130434783,0.9382608695652168,0.37526209189645277,52638985994.1642,-0.13474375389198212,12115078194.3566,0.516114254767757,87.17587933428369,0.40081635934017507,3.1,0.24819952718113114,1.0,0.09801735340330546
