,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(1),Corr with mortgage 90(1)
0,TN,MEMPHIS,2011-01,4.35,Other FHA,0.2391115000000001,4.1108885,0.35255666786824275,0.25406500000000004,4.095935,0.3543905832997246,0.2606254999999999,4.0893745,0.35476356423753436,0.2827834999999999,4.0672165,0.34263633406775185,0.30341049999999997,4.0465895,0.31838944113037343,0.4554005000000002,3.8945994999999995,0.27283029928687563,0.7818229999999999,3.5681769999999995,0.25977949738298667,0.14099999999999996,4.209,0.3808338218606928,0.1815,4.1685,0.3738917759637839,0.27349999999999997,4.076499999999999,0.3840493499898122,1.9944999999999997,2.3555,0.7100974004720658,3.3940000000000006,0.9559999999999991,0.7469052307158325,4.281000000000001,0.06899999999999906,0.6047103425846739,4.5230000000000015,-0.17300000000000182,0.530933082296305,31041077337.2648,-0.0827711308522144,13753511368.0623,0.5729759551017332,91.13289228397959,-0.2747578424060475,6.7,0.2828963192171212,5.4,0.28384307825706095
1,TN,MEMPHIS,2011-02,3.92,Other FHA,0.23214,3.6878599999999997,0.35255666786824275,0.25165,3.6683499999999998,0.3543905832997246,0.26292499999999996,3.657075,0.35476356423753436,0.28731249999999997,3.6326875,0.34263633406775185,0.31189999999999996,3.6081,0.31838944113037343,0.46404500000000004,3.455955,0.27283029928687563,0.7933949999999999,3.126605,0.25977949738298667,0.11473684210526319,3.805263157894737,0.3808338218606928,0.16842105263157894,3.751578947368421,0.3738917759637839,0.2863157894736842,3.6336842105263156,0.3840493499898122,2.257894736842106,1.662105263157894,0.7100974004720658,3.5763157894736834,0.3436842105263165,0.7469052307158325,4.423684210526316,-0.5036842105263162,0.6047103425846739,4.652105263157895,-0.7321052631578953,0.530933082296305,31300541846.2612,-0.0827711308522144,12472473242.0863,0.5729759551017332,90.24550000965358,-0.2747578424060475,5.8,0.2828963192171212,5.3,0.28384307825706095
2,TN,MEMPHIS,2012-07,2.77,Other FHA,0.16720454545454547,2.6027954545454546,0.35255666786824275,0.19873636363636368,2.5712636363636365,0.3543905832997246,0.24646136363636365,2.5235386363636363,0.35476356423753436,0.34024999999999994,2.4297500000000003,0.34263633406775185,0.4535545454545455,2.3164454545454545,0.31838944113037343,0.7302181818181818,2.0397818181818184,0.27283029928687563,1.0653181818181816,1.7046818181818184,0.25977949738298667,0.06952380952380956,2.7004761904761905,0.3808338218606928,0.14571428571428574,2.624285714285714,0.3738917759637839,0.18571428571428572,2.5842857142857145,0.3840493499898122,0.6195238095238095,2.1504761904761907,0.7100974004720658,1.5266666666666664,1.2433333333333336,0.7469052307158325,2.217142857142857,0.5528571428571429,0.6047103425846739,2.5900000000000003,0.17999999999999972,0.530933082296305,38410438812.4053,-0.0827711308522144,10740081615.3953,0.5729759551017332,90.2956809830492,-0.2747578424060475,5.7,0.2828963192171212,4.4,0.28384307825706095
3,TN,MEMPHIS,2013-02,2.75,Other FHA,0.15464999999999998,2.59535,0.35255666786824275,0.17315,2.57685,0.3543905832997246,0.20129999999999998,2.5487,0.35476356423753436,0.2455,2.5045,0.34263633406775185,0.29049499999999995,2.459505,0.31838944113037343,0.463425,2.286575,0.27283029928687563,0.761875,1.9881250000000001,0.25977949738298667,0.0768421052631579,2.673157894736842,0.3808338218606928,0.12421052631578947,2.6257894736842107,0.3738917759637839,0.15736842105263157,2.5926315789473686,0.3840493499898122,0.8463157894736841,1.9036842105263159,0.7100974004720658,1.9842105263157896,0.7657894736842104,0.7469052307158325,2.782631578947368,-0.03263157894736812,0.6047103425846739,3.165263157894737,-0.4152631578947368,0.530933082296305,41507587847.7023,-0.0827711308522144,9260696074.4491,0.5729759551017332,89.95115518901541,-0.2747578424060475,5.4,0.2828963192171212,4.3,0.28384307825706095
4,TN,MEMPHIS,2013-05,3.543333333333333,Other FHA,0.1435047619047619,3.399828571428571,0.35255666786824275,0.1638380952380952,3.3794952380952377,0.3543905832997246,0.19670952380952378,3.346623809523809,0.35476356423753436,0.23396000000000003,3.309373333333333,0.34263633406775185,0.27416904761904765,3.2691642857142855,0.31838944113037343,0.42137333333333327,3.1219599999999996,0.27283029928687563,0.6936104761904763,2.8497228571428566,0.25977949738298667,0.020454545454545458,3.5228787878787875,0.3808338218606928,0.08090909090909093,3.462424242424242,0.3738917759637839,0.11863636363636366,3.4246969696969694,0.3840493499898122,0.840909090909091,2.702424242424242,0.7100974004720658,1.9281818181818182,1.6151515151515148,0.7469052307158325,2.7286363636363635,0.8146969696969695,0.6047103425846739,3.112727272727273,0.4306060606060602,0.530933082296305,41062625933.5941,-0.0827711308522144,10216278752.7557,0.5729759551017332,86.47441597957871,-0.2747578424060475,5.1,0.2828963192171212,3.7,0.28384307825706095
5,TN,MEMPHIS,2013-06,2.8449999999999998,Other FHA,0.13074,2.71426,0.35255666786824275,0.15964599999999998,2.685354,0.3543905832997246,0.19319250000000002,2.6518075,0.35476356423753436,0.23164600000000002,2.6133539999999997,0.34263633406775185,0.27374,2.5712599999999997,0.31838944113037343,0.4139935,2.4310064999999996,0.27283029928687563,0.6839425000000002,2.1610574999999996,0.25977949738298667,0.0345,2.8104999999999998,0.3808338218606928,0.08750000000000002,2.7575,0.3738917759637839,0.142,2.703,0.3840493499898122,1.2035,1.6414999999999997,0.7100974004720658,2.3000000000000003,0.5449999999999995,0.7469052307158325,3.0740000000000003,-0.22900000000000054,0.6047103425846739,3.400000000000001,-0.555000000000001,0.530933082296305,41244159430.5284,-0.0827711308522144,9473893018.88319,0.5729759551017332,85.7873584996498,-0.2747578424060475,5.1,0.2828963192171212,3.6,0.28384307825706095
6,TN,MEMPHIS,2013-12,4.38,Other FHA,0.10022500000000001,4.279775,0.35255666786824275,0.1273025,4.2526975,0.3543905832997246,0.16723,4.21277,0.35476356423753436,0.2127325,4.1672674999999995,0.34263633406775185,0.24389749999999996,4.1361025,0.31838944113037343,0.34639499999999995,4.033605,0.27283029928687563,0.579045,3.800955,0.25977949738298667,0.019047619047619053,4.360952380952381,0.3808338218606928,0.09523809523809526,4.284761904761905,0.3738917759637839,0.13285714285714287,4.247142857142857,0.3840493499898122,1.5761904761904764,2.8038095238095235,0.7100974004720658,2.901904761904762,1.478095238095238,0.7469052307158325,3.6266666666666674,0.7533333333333325,0.6047103425846739,3.889047619047619,0.4909523809523808,0.530933082296305,44109559396.2995,-0.0827711308522144,11032404366.8063,0.5729759551017332,82.56600445924391,-0.2747578424060475,5.4,0.2828963192171212,3.9,0.28384307825706095
7,TN,MEMPHIS,2014-08,3.47,Other FHA,0.090785,3.3792150000000003,0.35255666786824275,0.121725,3.348275,0.3543905832997246,0.15602,3.3139800000000004,0.35476356423753436,0.19527250000000002,3.2747275,0.34263633406775185,0.23465000000000003,3.2353500000000004,0.31838944113037343,0.32965500000000003,3.140345,0.27283029928687563,0.55889,2.9111100000000003,0.25977949738298667,0.030000000000000006,3.4400000000000004,0.3808338218606928,0.0523809523809524,3.417619047619048,0.3738917759637839,0.10714285714285714,3.362857142857143,0.3840493499898122,1.6314285714285717,1.8385714285714285,0.7100974004720658,2.42,1.0500000000000003,0.7469052307158325,2.9366666666666665,0.5333333333333337,0.6047103425846739,3.2009523809523808,0.2690476190476194,0.530933082296305,45241950015.4561,-0.0827711308522144,14245911418.8887,0.5729759551017332,82.4770523961592,-0.2747578424060475,5.0,0.2828963192171212,3.3,0.28384307825706095
8,TN,MEMPHIS,2014-09,3.7,Other FHA,0.09027272727272727,3.609727272727273,0.35255666786824275,0.12087045454545454,3.5791295454545455,0.3543905832997246,0.15410454545454544,3.545895454545455,0.35476356423753436,0.19699999999999998,3.503,0.34263633406775185,0.23403181818181817,3.465968181818182,0.31838944113037343,0.32999090909090917,3.370009090909091,0.27283029928687563,0.5770545454545455,3.1229454545454547,0.25977949738298667,0.01142857142857143,3.6885714285714286,0.3808338218606928,0.04380952380952382,3.6561904761904764,0.3738917759637839,0.10952380952380954,3.5904761904761906,0.3840493499898122,1.7738095238095242,1.926190476190476,0.7100974004720658,2.5342857142857147,1.1657142857142855,0.7469052307158325,3.0133333333333328,0.6866666666666674,0.6047103425846739,3.26,0.4400000000000004,0.530933082296305,45667781053.6763,-0.0827711308522144,11733364706.6996,0.5729759551017332,80.33849809561521,-0.2747578424060475,4.4,0.2828963192171212,3.1,0.28384307825706095
9,TN,MEMPHIS,2015-04,3.48,Other FHA,0.12200000000000003,3.358,0.35255666786824275,0.14605250000000003,3.3339475,0.3543905832997246,0.18076750000000003,3.2992325,0.35476356423753436,0.22830999999999996,3.25169,0.34263633406775185,0.27596,3.20404,0.31838944113037343,0.404505,3.075495,0.27283029928687563,0.6969449999999999,2.783055,0.25977949738298667,0.018181818181818188,3.461818181818182,0.3808338218606928,0.09363636363636368,3.3863636363636362,0.3738917759637839,0.23363636363636367,3.246363636363636,0.3840493499898122,1.3545454545454545,2.1254545454545455,0.7100974004720658,1.9349999999999996,1.5450000000000004,0.7469052307158325,2.334090909090909,1.145909090909091,0.6047103425846739,2.5859090909090905,0.8940909090909095,0.530933082296305,48836554747.323,-0.0827711308522144,10986955735.8103,0.5729759551017332,82.89218119322959,-0.2747578424060475,3.7,0.2828963192171212,2.7,0.28384307825706095
10,TN,MEMPHIS,2015-06,3.68,Other FHA,0.12293636363636364,3.5570636363636363,0.35255666786824275,0.14681590909090908,3.5331840909090912,0.3543905832997246,0.1858840909090909,3.494115909090909,0.35476356423753436,0.23472954545454539,3.445270454545455,0.34263633406775185,0.2827113636363637,3.3972886363636365,0.31838944113037343,0.43974545454545466,3.2402545454545457,0.27283029928687563,0.7702659090909093,2.9097340909090907,0.25977949738298667,0.007727272727272728,3.6722727272727274,0.3808338218606928,0.08681818181818185,3.5931818181818183,0.3738917759637839,0.2754545454545455,3.4045454545454548,0.3840493499898122,1.6836363636363636,1.9963636363636366,0.7100974004720658,2.3636363636363638,1.3163636363636364,0.7469052307158325,2.8454545454545452,0.8345454545454549,0.6047103425846739,3.1118181818181814,0.5681818181818188,0.530933082296305,48752987466.2114,-0.0827711308522144,11758109185.709,0.5729759551017332,82.4529898168143,-0.2747578424060475,3.6,0.2828963192171212,2.5,0.28384307825706095
11,TN,MEMPHIS,2015-07,3.65,Other FHA,0.1263,3.5237,0.35255666786824275,0.1488782608695652,3.5011217391304346,0.3543905832997246,0.1881586956521739,3.4618413043478258,0.35476356423753436,0.23940652173913043,3.4105934782608696,0.34263633406775185,0.29066956521739135,3.3593304347826085,0.31838944113037343,0.46192391304347824,3.1880760869565217,0.27283029928687563,0.7858413043478262,2.864158695652174,0.25977949738298667,0.030000000000000002,3.62,0.3808338218606928,0.11636363636363636,3.5336363636363637,0.3738917759637839,0.2968181818181819,3.353181818181818,0.3840493499898122,1.632272727272727,2.0177272727272726,0.7100974004720658,2.3245454545454547,1.3254545454545452,0.7469052307158325,2.7663636363636357,0.8836363636363642,0.6047103425846739,3.066363636363636,0.583636363636364,0.530933082296305,48491901272.6637,-0.0827711308522144,10798655053.3939,0.5729759551017332,81.9752078939728,-0.2747578424060475,4.2,0.2828963192171212,2.4,0.28384307825706095
12,TN,MEMPHIS,2015-09,3.66,Other FHA,0.1344409090909091,3.5255590909090913,0.35255666786824275,0.15661363636363634,3.5033863636363636,0.3543905832997246,0.20107727272727274,3.458922727272727,0.35476356423753436,0.26589318181818195,3.394106818181818,0.34263633406775185,0.3311113636363637,3.3288886363636365,0.31838944113037343,0.5371681818181817,3.1228318181818184,0.27283029928687563,0.8526636363636364,2.807336363636364,0.25977949738298667,0.008571428571428572,3.6514285714285717,0.3808338218606928,0.17952380952380947,3.4804761904761907,0.3738917759637839,0.3733333333333333,3.286666666666667,0.3840493499898122,1.4900000000000002,2.17,0.7100974004720658,2.1728571428571435,1.4871428571428567,0.7469052307158325,2.618095238095238,1.0419047619047621,0.6047103425846739,2.9528571428571433,0.7071428571428569,0.530933082296305,48154770296.6926,-0.0827711308522144,11404853913.5663,0.5729759551017332,83.80897781081251,-0.2747578424060475,4.1,0.2828963192171212,2.5,0.28384307825706095
13,TN,MEMPHIS,2016-05,3.15,Other FHA,0.38527368421052627,2.7647263157894737,0.35255666786824275,0.4053315789473685,2.7446684210526313,0.3543905832997246,0.4424947368421052,2.707505263157895,0.35476356423753436,0.5332263157894737,2.6167736842105263,0.34263633406775185,0.6455710526315791,2.504428947368421,0.31838944113037343,0.9348736842105263,2.2151263157894734,0.27283029928687563,1.2675078947368421,1.8824921052631578,0.25977949738298667,0.2261904761904762,2.9238095238095236,0.3808338218606928,0.4185714285714286,2.7314285714285713,0.3738917759637839,0.5914285714285713,2.5585714285714287,0.3840493499898122,1.3004761904761903,1.8495238095238096,0.7100974004720658,1.8061904761904766,1.3438095238095233,0.7469052307158325,2.2166666666666663,0.9333333333333336,0.6047103425846739,2.627619047619048,0.522380952380952,0.530933082296305,50249654907.7038,-0.0827711308522144,11482367114.4991,0.5729759551017332,88.3913281030881,-0.2747578424060475,3.7,0.2828963192171212,2.3,0.28384307825706095
14,TN,MEMPHIS,2016-08,3.04,Other FHA,0.41817045454545454,2.6218295454545455,0.35255666786824275,0.4429568181818182,2.597043181818182,0.3543905832997246,0.5122418181818182,2.527758181818182,0.35476356423753436,0.6351372727272727,2.4048627272727274,0.34263633406775185,0.810223181818182,2.229776818181818,0.31838944113037343,1.1977463636363632,1.8422536363636368,0.27283029928687563,1.5097959090909088,1.5302040909090913,0.25977949738298667,0.2608695652173914,2.7791304347826085,0.3808338218606928,0.4460869565217393,2.5939130434782607,0.3738917759637839,0.5682608695652173,2.471739130434783,0.3840493499898122,1.1330434782608694,1.9069565217391307,0.7100974004720658,1.5565217391304347,1.4834782608695654,0.7469052307158325,1.8895652173913038,1.1504347826086962,0.6047103425846739,2.261739130434783,0.7782608695652171,0.530933082296305,51124149514.2735,-0.0827711308522144,12605986919.9069,0.5729759551017332,88.1697673489486,-0.2747578424060475,4.0,0.2828963192171212,1.9,0.28384307825706095
15,TN,MEMPHIS,2016-12,3.24,Other FHA,0.5606285,2.6793715000000002,0.35255666786824275,0.6315605,2.6084395000000002,0.3543905832997246,0.7119585,2.5280415,0.35476356423753436,0.7883325000000001,2.4516675,0.34263633406775185,0.9753284999999998,2.2646715000000004,0.31838944113037343,1.3063339999999999,1.9336660000000003,0.27283029928687563,1.6692235,1.5707765000000002,0.25977949738298667,0.42333333333333334,2.816666666666667,0.3808338218606928,0.638095238095238,2.601904761904762,0.3738917759637839,0.8661904761904763,2.373809523809524,0.3840493499898122,1.9590476190476194,1.2809523809523808,0.7100974004720658,2.491904761904762,0.7480952380952384,0.7469052307158325,2.835238095238095,0.4047619047619051,0.6047103425846739,3.1133333333333324,0.12666666666666782,0.530933082296305,47316214443.3566,-0.0827711308522144,12388258203.7622,0.5729759551017332,89.1200725980081,-0.2747578424060475,4.2,0.2828963192171212,2.0,0.28384307825706095
16,TN,MEMPHIS,2017-01,3.675,Other FHA,0.6908933333333332,2.9841066666666665,0.35255666786824275,0.720819523809524,2.954180476190476,0.3543905832997246,0.7713747619047617,2.903625238095238,0.35476356423753436,0.8375133333333332,2.8374866666666665,0.34263633406775185,1.0256928571428574,2.6493071428571424,0.31838944113037343,1.3400880952380954,2.3349119047619045,0.27283029928687563,1.7079285714285712,1.9670714285714286,0.25977949738298667,0.496,3.179,0.3808338218606928,0.617,3.058,0.3738917759637839,0.8255000000000002,2.8494999999999995,0.3840493499898122,1.9164999999999996,1.7585000000000002,0.7100974004720658,2.4325,1.2424999999999997,0.7469052307158325,2.7475,0.9274999999999998,0.6047103425846739,3.0189999999999997,0.6560000000000001,0.530933082296305,48693341763.9087,-0.0827711308522144,12747516848.3499,0.5729759551017332,89.1832712740787,-0.2747578424060475,4.4,0.2828963192171212,2.0,0.28384307825706095
17,TN,MEMPHIS,2017-07,3.13,Other FHA,1.1766928571428568,1.9533071428571431,0.35255666786824275,1.1913757142857144,1.9386242857142855,0.3543905832997246,1.2280366666666667,1.9019633333333332,0.35476356423753436,1.2566676190476191,1.8733323809523807,0.34263633406775185,1.307512857142857,1.822487142857143,0.31838944113037343,1.4570814285714284,1.6729185714285715,0.27283029928687563,1.7410885714285718,1.3889114285714281,0.25977949738298667,0.9720000000000001,2.158,0.3808338218606928,1.1284999999999996,2.0015,0.3738917759637839,1.2235,1.9064999999999999,0.3840493499898122,1.8720000000000003,1.2579999999999996,0.7100974004720658,2.3179999999999996,0.8120000000000003,0.7469052307158325,2.6505,0.4794999999999998,0.6047103425846739,2.884,0.246,0.530933082296305,50938614889.0817,-0.0827711308522144,11707722927.962,0.5729759551017332,87.3618752869242,-0.2747578424060475,3.3,0.2828963192171212,1.5,0.28384307825706095
