,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness,Corr with credit_tightness,mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90,Corr with mortgage 90
0,2012-07,TX,DALLAS,2012-07,2.93,"(-96.698939, 32.789671999999996)",36515.23,Other FHA,0.16720454545454547,0.22191351978272564,0.19873636363636368,0.2222192801602639,0.24646136363636365,0.2211796102160089,0.34024999999999994,0.2163224605265635,0.4535545454545455,0.21063657158379562,0.7302181818181818,0.17432790308965462,1.0653181818181816,0.15112639368650443,0.06952380952380956,0.23539424720655616,0.14571428571428574,0.23419066256402313,0.18571428571428572,0.24734869951416247,0.6195238095238095,0.5165905033488412,1.5266666666666664,0.6352678490861355,2.217142857142857,0.5709098801995883,2.5900000000000003,0.53854708054792,37685204803.0042,0.4321859683956931,11641401212.0971,-0.571414269130251,89.02745876405929,-0.6426278515144371,3.7,-0.4646507531144324,2.9,-0.3203281626632925
1,2012-10,TX,DALLAS,2012-10,2.43,"(-96.867767, 32.996078999999995)",53242.79,Other FHA,0.15320434782608702,0.22191351978272564,0.17955217391304346,0.2222192801602639,0.21346521739130433,0.2211796102160089,0.2717391304347827,0.2163224605265635,0.3304891304347827,0.21063657158379562,0.5823021739130435,0.17432790308965462,0.9185760869565219,0.15112639368650443,0.10952380952380951,0.23539424720655616,0.14904761904761904,0.23419066256402313,0.17952380952380956,0.24734869951416247,0.7085714285714285,0.5165905033488412,1.7461904761904758,0.6352678490861355,2.505714285714286,0.5709098801995883,2.90047619047619,0.53854708054792,39268596272.9965,0.4321859683956931,16111780903.4699,-0.571414269130251,90.37816904639429,-0.6426278515144371,4.1,-0.4646507531144324,2.7,-0.3203281626632925
2,2012-11,TX,DALLAS,2012-11,3.55,"(-96.94715, 32.662199)",51512.67,Other FHA,0.1555,0.22191351978272564,0.18060909090909089,0.2222192801602639,0.20888636363636362,0.2211796102160089,0.25813636363636355,0.2163224605265635,0.31102272727272723,0.21063657158379562,0.528347727272727,0.17432790308965462,0.8631931818181818,0.15112639368650443,0.12449999999999999,0.23539424720655616,0.14450000000000002,0.23419066256402313,0.17850000000000002,0.24734869951416247,0.665,0.5165905033488412,1.654,0.6352678490861355,2.3894999999999995,0.5709098801995883,2.8034999999999997,0.53854708054792,39658399389.4891,0.4321859683956931,11986368496.8635,-0.571414269130251,90.2956809830492,-0.6426278515144371,4.1,-0.4646507531144324,2.8,-0.3203281626632925
3,2013-01,TX,DALLAS,2013-01,2.5,"(-96.84561, 33.009413)",39231.88,Other FHA,0.16043181818181818,0.22191351978272564,0.17947272727272726,0.2222192801602639,0.20497272727272725,0.2211796102160089,0.2497954545454545,0.2163224605265635,0.30261363636363625,0.21063657158379562,0.48810454545454546,0.17432790308965462,0.8142727272727271,0.15112639368650443,0.05190476190476192,0.23539424720655616,0.10761904761904766,0.23419066256402313,0.14523809523809525,0.24734869951416247,0.8052380952380951,0.5165905033488412,1.9147619047619049,0.6352678490861355,2.681428571428571,0.5709098801995883,3.0804761904761913,0.53854708054792,40395555554.9932,0.4321859683956931,12022315813.7363,-0.571414269130251,91.578064558499,-0.6426278515144371,4.2,-0.4646507531144324,2.7,-0.3203281626632925
4,2013-12,TX,DALLAS,2013-12,4.43,"(-96.85323100000001, 32.99418)",93521.25,Other FHA,0.10022500000000001,0.22191351978272564,0.1273025,0.2222192801602639,0.16723,0.2211796102160089,0.2127325,0.2163224605265635,0.24389749999999996,0.21063657158379562,0.34639499999999995,0.17432790308965462,0.579045,0.15112639368650443,0.019047619047619053,0.23539424720655616,0.09523809523809526,0.23419066256402313,0.13285714285714287,0.24734869951416247,1.5761904761904764,0.5165905033488412,2.901904761904762,0.6352678490861355,3.6266666666666674,0.5709098801995883,3.889047619047619,0.53854708054792,44555116847.5878,0.4321859683956931,10216278752.7557,-0.571414269130251,85.3165844012547,-0.6426278515144371,3.3,-0.4646507531144324,2.2,-0.3203281626632925
5,2014-04,TX,DALLAS,2014-04,4.0,"(-96.664022, 32.749558)",22389.38,Other FHA,0.08864000000000001,0.22191351978272564,0.120115,0.2222192801602639,0.1517,0.2211796102160089,0.1918625,0.2163224605265635,0.227495,0.21063657158379562,0.32422500000000004,0.17432790308965462,0.550005,0.15112639368650443,0.023333333333333345,0.23539424720655616,0.05333333333333336,0.23419066256402313,0.10761904761904763,0.24734869951416247,1.7009523809523805,0.5165905033488412,2.705238095238095,0.6352678490861355,3.265238095238095,0.5709098801995883,3.5176190476190476,0.53854708054792,44931729222.7983,0.4321859683956931,9438159522.248821,-0.571414269130251,82.56600445924391,-0.6426278515144371,3.1,-0.4646507531144324,1.9,-0.3203281626632925
6,2015-11,TX,DALLAS,2015-11,3.56,"(-96.855287, 32.912015999999994)",36192.05,Other FHA,0.13066666666666668,0.22191351978272564,0.1559214285714286,0.2222192801602639,0.20844761904761913,0.2211796102160089,0.286702380952381,0.2163224605265635,0.3709714285714286,0.21063657158379562,0.6063738095238096,0.17432790308965462,0.9343738095238093,0.15112639368650443,0.07105263157894738,0.23539424720655616,0.32789473684210524,0.23419066256402313,0.47684210526315784,0.24734869951416247,1.6710526315789473,0.5165905033488412,2.2631578947368416,0.6352678490861355,2.6863157894736847,0.5709098801995883,3.03,0.53854708054792,48927223434.2447,0.4321859683956931,10986955735.8103,-0.571414269130251,81.9752078939728,-0.6426278515144371,3.0,-0.4646507531144324,1.4,-0.3203281626632925
7,2016-01,TX,DALLAS,2016-01,3.35,"(-97.8915261, 33.175504100000005)",35666.06,Other FHA,0.36607999999999996,0.22191351978272564,0.387725,0.2222192801602639,0.42545,0.2211796102160089,0.5163949999999999,0.2163224605265635,0.6195525000000001,0.21063657158379562,0.8560224999999999,0.17432790308965462,1.1534299999999997,0.15112639368650443,0.22736842105263158,0.23539424720655616,0.43473684210526314,0.23419066256402313,0.5431578947368422,0.24734869951416247,1.5184210526315787,0.5165905033488412,2.085263157894737,0.6352678490861355,2.4889473684210524,0.5709098801995883,2.8584210526315785,0.53854708054792,48887248013.451,0.4321859683956931,11758109185.709,-0.571414269130251,83.80897781081251,-0.6426278515144371,3.2,-0.4646507531144324,1.4,-0.3203281626632925
8,2016-02,TX,DALLAS,2016-02,3.28,"(-96.839904, 32.820085)",117950.09,Other FHA,0.3714619047619048,0.22191351978272564,0.39233095238095245,0.2222192801602639,0.43129761904761904,0.2211796102160089,0.5186452380952381,0.2163224605265635,0.6227190476190477,0.21063657158379562,0.8697642857142857,0.17432790308965462,1.1407690476190477,0.15112639368650443,0.25600000000000006,0.23539424720655616,0.445,0.23419066256402313,0.534,0.24734869951416247,1.222,0.5165905033488412,1.7794999999999999,0.6352678490861355,2.1990000000000003,0.5709098801995883,2.623,0.53854708054792,49276189942.4712,0.4321859683956931,10798655053.3939,-0.571414269130251,85.06205357591242,-0.6426278515144371,3.1,-0.4646507531144324,1.4,-0.3203281626632925
9,2016-04,TX,DALLAS,2016-04,3.88,"(-96.941909, 32.664703)",26136.35,Other FHA,0.38031428571428566,0.22191351978272564,0.39864523809523805,0.2222192801602639,0.4373976190476192,0.2211796102160089,0.5229452380952381,0.2163224605265635,0.6327499999999999,0.21063657158379562,0.9025404761904764,0.17432790308965462,1.2222214285714286,0.15112639368650443,0.18761904761904763,0.23539424720655616,0.37238095238095237,0.23419066256402313,0.5557142857142858,0.24734869951416247,1.2580952380952382,0.5165905033488412,1.8052380952380953,0.6352678490861355,2.2104761904761907,0.5709098801995883,2.6233333333333335,0.53854708054792,49692544708.3448,0.4321859683956931,11404853913.5663,-0.571414269130251,84.0267577476249,-0.6426278515144371,2.4,-0.4646507531144324,1.2,-0.3203281626632925
10,2016-05,TX,DALLAS,2016-05,3.83,"(-96.767099, 32.672286)",47416.89,Other FHA,0.38527368421052627,0.22191351978272564,0.4053315789473685,0.2222192801602639,0.4424947368421052,0.2211796102160089,0.5332263157894737,0.2163224605265635,0.6455710526315791,0.21063657158379562,0.9348736842105263,0.17432790308965462,1.2675078947368421,0.15112639368650443,0.2261904761904762,0.23539424720655616,0.4185714285714286,0.23419066256402313,0.5914285714285713,0.24734869951416247,1.3004761904761903,0.5165905033488412,1.8061904761904766,0.6352678490861355,2.2166666666666663,0.5709098801995883,2.627619047619048,0.53854708054792,50596067254.1766,0.4321859683956931,11240513229.2606,-0.571414269130251,85.2359522201137,-0.6426278515144371,2.2,-0.4646507531144324,1.1,-0.3203281626632925
11,2016-09,TX,DALLAS,2016-09,2.98,"(-96.76431099999999, 32.845039)",166372.48,Other FHA,0.42159363636363634,0.22191351978272564,0.4495609090909092,0.2222192801602639,0.5270018181818182,0.2211796102160089,0.6625254545454545,0.2163224605265635,0.8496804545454547,0.21063657158379562,1.2471445454545458,0.17432790308965462,1.5560313636363639,0.15112639368650443,0.1914285714285715,0.23539424720655616,0.4671428571428572,0.23419066256402313,0.5933333333333333,0.24734869951416247,1.178095238095238,0.5165905033488412,1.6304761904761906,0.6352678490861355,2.0152380952380957,0.5709098801995883,2.350476190476191,0.53854708054792,51124149514.2735,0.4321859683956931,11496937509.4445,-0.571414269130251,88.3913281030881,-0.6426278515144371,2.7,-0.4646507531144324,1.1,-0.3203281626632925
12,2017-06,TX,DALLAS,2017-06,3.39,"(-96.768327, 32.670121)",56971.97,Other FHA,1.0640909090909094,0.22191351978272564,1.1183336363636365,0.2222192801602639,1.1714068181818182,0.2211796102160089,1.2101513636363637,0.2163224605265635,1.2624095454545452,0.21063657158379562,1.4322822727272726,0.17432790308965462,1.7322577272727273,0.15112639368650443,0.8413636363636363,0.23539424720655616,1.1095454545454546,0.23419066256402313,1.200909090909091,0.24734869951416247,1.7740909090909094,0.5165905033488412,2.186818181818182,0.6352678490861355,2.5399999999999996,0.5709098801995883,2.796363636363637,0.53854708054792,49256214828.7987,0.4321859683956931,12509011080.2031,-0.571414269130251,88.94830277813108,-0.6426278515144371,2.5,-0.4646507531144324,0.9,-0.3203281626632925
13,2017-07,TX,DALLAS,2017-07,3.51,"(-96.870809, 32.763067)",46171.130000000005,Other FHA,1.1766928571428568,0.22191351978272564,1.1913757142857144,0.2222192801602639,1.2280366666666667,0.2211796102160089,1.2566676190476191,0.2163224605265635,1.307512857142857,0.21063657158379562,1.4570814285714284,0.17432790308965462,1.7410885714285718,0.15112639368650443,0.9720000000000001,0.23539424720655616,1.1284999999999996,0.23419066256402313,1.2235,0.24734869951416247,1.8720000000000003,0.5165905033488412,2.3179999999999996,0.6352678490861355,2.6505,0.5709098801995883,2.884,0.53854708054792,49855182727.6109,0.4321859683956931,12388258203.7622,-0.571414269130251,88.11497433433529,-0.6426278515144371,2.3,-0.4646507531144324,0.9,-0.3203281626632925
14,2017-09,TX,DALLAS,2017-09,3.27,"(-96.851748, 32.815321999999995)",16803.18,Other FHA,1.1784444999999997,0.22191351978272564,1.1967471428571432,0.2222192801602639,1.23492,0.2211796102160089,1.2721638095238097,0.2163224605265635,1.3232957142857147,0.21063657158379562,1.4732157142857143,0.17432790308965462,1.738246666666667,0.15112639368650443,0.9940000000000001,0.23539424720655616,1.171,0.23419066256402313,1.2799999999999998,0.24734869951416247,1.7975,0.5165905033488412,2.2020000000000004,0.6352678490861355,2.5300000000000002,0.5709098801995883,2.7764999999999995,0.53854708054792,50617906919.2487,0.4321859683956931,12745337772.3068,-0.571414269130251,89.9213768261837,-0.6426278515144371,2.5,-0.4646507531144324,0.9,-0.3203281626632925
15,2017-11,TX,DALLAS,2017-11,3.27,"(-96.769963, 32.69643)",30402.96,Other FHA,1.183300476190476,0.22191351978272564,1.2036563636363637,0.2222192801602639,1.2878790909090911,0.2211796102160089,1.3757831818181818,0.2163224605265635,1.4342040909090912,0.21063657158379562,1.6264599999999996,0.17432790308965462,1.9015695454545458,0.15112639368650443,1.09,0.23539424720655616,1.3895238095238096,0.23419066256402313,1.5600000000000003,0.24734869951416247,2.05,0.5165905033488412,2.353333333333333,0.6352678490861355,2.6023809523809525,0.5709098801995883,2.801904761904762,0.53854708054792,49574400061.0285,0.4321859683956931,12103218541.1776,-0.571414269130251,87.3618752869242,-0.6426278515144371,2.5,-0.4646507531144324,0.9,-0.3203281626632925
16,2017-12,TX,DALLAS,2017-12,3.3,"(-96.817571, 32.929884)",172728.14,Other FHA,1.3144094736842107,0.22191351978272564,1.3913115789473685,0.2222192801602639,1.4850410526315792,0.2211796102160089,1.5354463157894738,0.2163224605265635,1.6017521052631578,0.21063657158379562,1.7680373684210524,0.17432790308965462,2.0434931578947366,0.15112639368650443,1.204,0.23539424720655616,1.4950000000000003,0.23419066256402313,1.7005,0.24734869951416247,2.1819999999999995,0.5165905033488412,2.4025,0.6352678490861355,2.5970000000000004,0.5709098801995883,2.768,0.53854708054792,50828048870.0026,0.4321859683956931,11813706431.8634,-0.571414269130251,88.55316323110772,-0.6426278515144371,2.4,-0.4646507531144324,1.0,-0.3203281626632925
17,2018-01,TX,DALLAS,2018-01,3.54,"(-96.7531, 32.803391)",27638.17,Other FHA,1.4378880952380952,0.22191351978272564,1.467563181818182,0.2222192801602639,1.5610881818181819,0.2211796102160089,1.6355336363636364,0.2163224605265635,1.733970909090909,0.21063657158379562,1.9067609090909092,0.17432790308965462,2.196459545454545,0.15112639368650443,1.3000000000000003,0.23539424720655616,1.6199999999999994,0.23419066256402313,1.8028571428571425,0.24734869951416247,2.381904761904762,0.5165905033488412,2.5838095238095242,0.6352678490861355,2.7342857142857144,0.5709098801995883,2.8776190476190475,0.53854708054792,50505964400.0098,0.4321859683956931,11537595366.1601,-0.571414269130251,88.1148323663994,-0.6426278515144371,2.7,-0.4646507531144324,1.0,-0.3203281626632925
18,2018-06,TX,DALLAS,2018-06,3.79,"(-96.707084, 32.832714)",130904.48,Other FHA,1.8376333333333337,0.22191351978272564,1.9170571428571423,0.2222192801602639,2.068429047619047,0.2211796102160089,2.1502619047619045,0.2163224605265635,2.330264285714286,0.21063657158379562,2.4958952380952377,0.17432790308965462,2.759644285714286,0.15112639368650443,1.8052380952380953,0.23539424720655616,2.113809523809524,0.23419066256402313,2.328095238095238,0.24734869951416247,2.775714285714286,0.5165905033488412,2.9123809523809525,0.6352678490861355,2.9776190476190476,0.5709098801995883,3.0500000000000007,0.53854708054792,50593420247.4287,0.4321859683956931,11725018303.5706,-0.571414269130251,87.17587933428369,-0.6426278515144371,2.2,-0.4646507531144324,0.8,-0.3203281626632925
