,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(1),Corr with student_vol(1),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-06,MD,BALTIMORE,2010-06,4.6,"(-76.6108, 39.2909)",42193.24,Other FHA,0.29840136363636366,0.38075860629445385,0.3291213636363637,0.3784985483193586,0.3487363636363637,0.3684012504335295,0.4336950000000001,0.36713050007180603,0.5368986363636363,0.3475226684955834,0.7518195454545455,0.3222326074969126,1.187955909090909,0.3124981910000489,0.07954545454545457,0.38639844763697934,0.19090909090909092,0.3682345496773681,0.3181818181818181,0.34899489699737707,1.9963636363636363,0.4652244579692261,3.2040909090909095,0.6136463668398892,3.9499999999999997,0.5622723699790604,4.127727272727272,0.5011830533235702,27396832704.0094,-0.2763409105038576,10534224377.9144,-0.2547227244000911,99.0214107435932,0.37343691816994057,4.2,0.4108134153179662,5.0,0.29294638310521004,-76.6108,39.2909
1,2012-04,MD,BALTIMORE,2012-04,3.49,"(-76.6108, 39.2909)",17939.47,Other FHA,0.14868421052631575,0.38075860629445385,0.18980526315789473,0.3784985483193586,0.23982894736842097,0.3684012504335295,0.34777368421052635,0.36713050007180603,0.46680789473684203,0.3475226684955834,0.7313999999999999,0.3222326074969126,1.048621052631579,0.3124981910000489,0.0666666666666667,0.38639844763697934,0.13904761904761903,0.3682345496773681,0.18333333333333335,0.34899489699737707,0.8947619047619045,0.4652244579692261,2.0528571428571425,0.6136463668398892,2.8166666666666664,0.5622723699790604,3.1842857142857137,0.5011830533235702,35767585536.868996,-0.2763409105038576,12770391029.1034,-0.2547227244000911,90.6452366150782,0.37343691816994057,4.1,0.4108134153179662,4.8,0.29294638310521004,-76.6108,39.2909
2,2012-06,MD,BALTIMORE,2012-06,2.71,"(-76.58290699999999, 39.357339)",17951.91,Other FHA,0.163,0.38075860629445385,0.19464736842105262,0.3784985483193586,0.24319736842105263,0.3684012504335295,0.3459342105263157,0.36713050007180603,0.46558684210526313,0.3475226684955834,0.7364000000000004,0.3222326074969126,1.0691894736842107,0.3124981910000489,0.05190476190476193,0.38639844763697934,0.14809523809523809,0.3682345496773681,0.18904761904761905,0.34899489699737707,0.7114285714285714,0.4652244579692261,1.6223809523809525,0.6136463668398892,2.3061904761904763,0.5622723699790604,2.698095238095238,0.5011830533235702,36777908030.9335,-0.2763409105038576,16111780903.4699,-0.2547227244000911,89.00857713430821,0.37343691816994057,3.7,0.4108134153179662,5.0,0.29294638310521004,-76.58290699999999,39.357339
3,2013-07,MD,BALTIMORE,2013-07,3.55,"(-76.58279499999999, 39.364969)",114536.26,Other FHA,0.12117913043478262,0.38075860629445385,0.15611695652173913,0.3784985483193586,0.19111913043478265,0.3684012504335295,0.232388695652174,0.36713050007180603,0.26758260869565215,0.3475226684955834,0.40307869565217386,0.3222326074969126,0.6838491304347826,0.3124981910000489,0.020909090909090912,0.38639844763697934,0.07363636363636367,0.3682345496773681,0.12181818181818184,0.34899489699737707,1.4031818181818183,0.4652244579692261,2.5822727272727275,0.6136463668398892,3.3072727272727276,0.5622723699790604,3.605,0.5011830533235702,41507587847.7023,-0.2763409105038576,10210246554.7955,-0.2547227244000911,88.29263433660921,0.37343691816994057,3.4,0.4108134153179662,4.6,0.29294638310521004,-76.58279499999999,39.364969
4,2013-08,MD,BALTIMORE,2013-08,3.83,"(-76.6108, 39.2909)",14965.99,Other FHA,0.11782999999999999,0.38075860629445385,0.1493142857142857,0.3784985483193586,0.1840704761904762,0.3684012504335295,0.22633523809523812,0.36713050007180603,0.2633952380952381,0.3475226684955834,0.3949285714285714,0.3222326074969126,0.6679499999999999,0.3124981910000489,0.03681818181818183,0.38639844763697934,0.07181818181818184,0.3682345496773681,0.12681818181818183,0.34899489699737707,1.5204545454545455,0.4652244579692261,2.7372727272727273,0.6136463668398892,3.488181818181818,0.5622723699790604,3.757727272727273,0.5011830533235702,41471481477.9035,-0.2763409105038576,10216278752.7557,-0.2547227244000911,89.95115518901541,0.37343691816994057,3.0,0.4108134153179662,4.3,0.29294638310521004,-76.6108,39.2909
5,2014-04,MD,BALTIMORE,2014-04,3.9,"(-76.706183, 39.366987)",24787.33,Other FHA,0.08864000000000001,0.38075860629445385,0.120115,0.3784985483193586,0.1517,0.3684012504335295,0.1918625,0.36713050007180603,0.227495,0.3475226684955834,0.32422500000000004,0.3222326074969126,0.550005,0.3124981910000489,0.023333333333333345,0.38639844763697934,0.05333333333333336,0.3682345496773681,0.10761904761904763,0.34899489699737707,1.7009523809523805,0.4652244579692261,2.705238095238095,0.6136463668398892,3.265238095238095,0.5622723699790604,3.5176190476190476,0.5011830533235702,44555116847.5878,-0.2763409105038576,9507943209.106209,-0.2547227244000911,83.69462947740479,0.37343691816994057,3.2,0.4108134153179662,3.7,0.29294638310521004,-76.706183,39.366987
6,2014-09,MD,BALTIMORE,2014-09,3.55,"(-76.6108, 39.2909)",24773.78,Other FHA,0.09027272727272727,0.38075860629445385,0.12087045454545454,0.3784985483193586,0.15410454545454544,0.3684012504335295,0.19699999999999998,0.36713050007180603,0.23403181818181817,0.3475226684955834,0.32999090909090917,0.3222326074969126,0.5770545454545455,0.3124981910000489,0.01142857142857143,0.38639844763697934,0.04380952380952382,0.3682345496773681,0.10952380952380954,0.34899489699737707,1.7738095238095242,0.4652244579692261,2.5342857142857147,0.6136463668398892,3.0133333333333328,0.5622723699790604,3.26,0.5011830533235702,45277214883.1472,-0.2763409105038576,10950177839.1879,-0.2547227244000911,81.64661519553,0.37343691816994057,2.7,0.4108134153179662,3.4,0.29294638310521004,-76.6108,39.2909
7,2014-12,MD,BALTIMORE,2014-12,3.73,"(-76.633413, 39.376072)",136552.44,Other FHA,0.1101,0.38075860629445385,0.1330809523809524,0.3784985483193586,0.16305,0.3684012504335295,0.20744285714285715,0.36713050007180603,0.2446071428571429,0.3475226684955834,0.34302142857142864,0.3222326074969126,0.6021190476190476,0.3124981910000489,0.02500000000000001,0.38639844763697934,0.1063636363636364,0.3682345496773681,0.21454545454545454,0.34899489699737707,1.64,0.4652244579692261,2.2072727272727275,0.6136463668398892,2.5504545454545453,0.5622723699790604,2.8331818181818185,0.5011830533235702,44940573200.2924,-0.2763409105038576,11733364706.6996,-0.2547227244000911,82.08517590205541,0.37343691816994057,3.1,0.4108134153179662,3.1,0.29294638310521004,-76.633413,39.376072
8,2015-03,MD,BALTIMORE,2015-03,3.39,"(-76.62859300000001, 39.304741)",16092.38,Other FHA,0.12134999999999999,0.38075860629445385,0.14022954545454547,0.3784985483193586,0.17560000000000003,0.3684012504335295,0.21958181818181813,0.36713050007180603,0.26829772727272727,0.3475226684955834,0.39945,0.3222326074969126,0.700025,0.3124981910000489,0.02272727272727273,0.38639844763697934,0.11000000000000001,0.3682345496773681,0.25363636363636366,0.34899489699737707,1.5190909090909088,0.4652244579692261,2.042727272727273,0.6136463668398892,2.4068181818181817,0.5622723699790604,2.626363636363636,0.5011830533235702,45758876905.2845,-0.2763409105038576,11835194000.8273,-0.2547227244000911,80.33849809561521,0.37343691816994057,2.8,0.4108134153179662,2.9,0.29294638310521004,-76.62859300000001,39.304741
9,2015-06,MD,BALTIMORE,2015-06,2.97,"(-76.716385, 39.294185)",16584.71,Other FHA,0.12293636363636364,0.38075860629445385,0.14681590909090908,0.3784985483193586,0.1858840909090909,0.3684012504335295,0.23472954545454539,0.36713050007180603,0.2827113636363637,0.3475226684955834,0.43974545454545466,0.3222326074969126,0.7702659090909093,0.3124981910000489,0.007727272727272728,0.38639844763697934,0.08681818181818185,0.3682345496773681,0.2754545454545455,0.34899489699737707,1.6836363636363636,0.4652244579692261,2.3636363636363638,0.6136463668398892,2.8454545454545452,0.5622723699790604,3.1118181818181814,0.5011830533235702,47692027772.9219,-0.2763409105038576,11834405659.8436,-0.2547227244000911,79.25862065623551,0.37343691816994057,2.5,0.4108134153179662,2.9,0.29294638310521004,-76.716385,39.294185
10,2015-09,MD,BALTIMORE,2015-09,3.415,"(-76.6108, 39.2909)",28612.795,Other FHA,0.1344409090909091,0.38075860629445385,0.15661363636363634,0.3784985483193586,0.20107727272727274,0.3684012504335295,0.26589318181818195,0.36713050007180603,0.3311113636363637,0.3475226684955834,0.5371681818181817,0.3222326074969126,0.8526636363636364,0.3124981910000489,0.008571428571428572,0.38639844763697934,0.17952380952380947,0.3682345496773681,0.3733333333333333,0.34899489699737707,1.4900000000000002,0.4652244579692261,2.1728571428571435,0.6136463668398892,2.618095238095238,0.5622723699790604,2.9528571428571433,0.5011830533235702,48836554747.323,-0.2763409105038576,11758109185.709,-0.2547227244000911,81.7923503982947,0.37343691816994057,2.4,0.4108134153179662,2.6,0.29294638310521004,-76.6108,39.2909
11,2015-10,MD,BALTIMORE,2015-10,3.42,"(-76.617453, 39.311279)",26382.44,Other FHA,0.13160454545454547,0.38075860629445385,0.15531363636363638,0.3784985483193586,0.19451136363636365,0.3684012504335295,0.2514522727272726,0.36713050007180603,0.32135909090909087,0.3475226684955834,0.5284272727272726,0.3222326074969126,0.8378659090909092,0.3124981910000489,0.014285714285714287,0.38639844763697934,0.11380952380952382,0.3682345496773681,0.26333333333333336,0.34899489699737707,1.3857142857142857,0.4652244579692261,2.0699999999999994,0.6136463668398892,2.5028571428571427,0.5622723699790604,2.8880952380952376,0.5011830533235702,49379202635.7798,-0.2763409105038576,10798655053.3939,-0.2547227244000911,82.89218119322959,0.37343691816994057,2.2,0.4108134153179662,2.5,0.29294638310521004,-76.617453,39.311279
12,2016-06,MD,BALTIMORE,2016-06,3.69,"(-76.590873, 39.358649)",78136.18,Other FHA,0.3904409090909091,0.38075860629445385,0.41572500000000007,0.3784985483193586,0.4527090909090909,0.3684012504335295,0.5394386363636363,0.36713050007180603,0.6516204545454546,0.3475226684955834,0.9360386363636366,0.3222326074969126,1.2592227272727274,0.3124981910000489,0.22136363636363632,0.38639844763697934,0.40409090909090906,0.3682345496773681,0.5522727272727272,0.34899489699737707,1.1663636363636367,0.4652244579692261,1.6440909090909095,0.6136463668398892,2.019090909090909,0.5622723699790604,2.452272727272727,0.5011830533235702,49276189942.4712,-0.2763409105038576,11531266279.4831,-0.2547227244000911,84.0267577476249,0.37343691816994057,2.6,0.4108134153179662,2.4,0.29294638310521004,-76.590873,39.358649
13,2017-01,MD,BALTIMORE,2017-01,2.89,"(-76.481321, 39.332423)",24862.39,Other FHA,0.6908933333333332,0.38075860629445385,0.720819523809524,0.3784985483193586,0.7713747619047617,0.3684012504335295,0.8375133333333332,0.36713050007180603,1.0256928571428574,0.3475226684955834,1.3400880952380954,0.3222326074969126,1.7079285714285712,0.3124981910000489,0.496,0.38639844763697934,0.617,0.3682345496773681,0.8255000000000002,0.34899489699737707,1.9164999999999996,0.4652244579692261,2.4325,0.6136463668398892,2.7475,0.5622723699790604,3.0189999999999997,0.5011830533235702,51124149514.2735,-0.2763409105038576,12722317795.1324,-0.2547227244000911,89.2057504560787,0.37343691816994057,2.5,0.4108134153179662,1.8,0.29294638310521004,-76.481321,39.332423
14,2017-07,MD,BALTIMORE,2017-07,3.25,"(-76.646025, 39.287464)",21542.61,Other FHA,1.1766928571428568,0.38075860629445385,1.1913757142857144,0.3784985483193586,1.2280366666666667,0.3684012504335295,1.2566676190476191,0.36713050007180603,1.307512857142857,0.3475226684955834,1.4570814285714284,0.3222326074969126,1.7410885714285718,0.3124981910000489,0.9720000000000001,0.38639844763697934,1.1284999999999996,0.3682345496773681,1.2235,0.34899489699737707,1.8720000000000003,0.4652244579692261,2.3179999999999996,0.6136463668398892,2.6505,0.5622723699790604,2.884,0.5011830533235702,49068548953.9206,-0.2763409105038576,12103218541.1776,-0.2547227244000911,89.1832712740787,0.37343691816994057,2.4,0.4108134153179662,1.7,0.29294638310521004,-76.646025,39.287464
15,2017-12,MD,BALTIMORE,2017-12,3.37,"(-76.739901, 39.324802000000005)",73289.895,Other FHA,1.3144094736842107,0.38075860629445385,1.3913115789473685,0.3784985483193586,1.4850410526315792,0.3684012504335295,1.5354463157894738,0.36713050007180603,1.6017521052631578,0.3475226684955834,1.7680373684210524,0.3222326074969126,2.0434931578947366,0.3124981910000489,1.204,0.38639844763697934,1.4950000000000003,0.3682345496773681,1.7005,0.34899489699737707,2.1819999999999995,0.4652244579692261,2.4025,0.6136463668398892,2.5970000000000004,0.5622723699790604,2.768,0.5011830533235702,50938614889.0817,-0.2763409105038576,11226317067.5623,-0.2547227244000911,87.46440959377459,0.37343691816994057,2.6,0.4108134153179662,1.5,0.29294638310521004,-76.739901,39.324802000000005
16,2018-02,MD,BALTIMORE,2018-02,3.75,"(-76.584106, 39.371553000000006)",61276.0,Other FHA,1.4432573684210526,0.38075860629445385,1.4712210000000003,0.3784985483193586,1.6018225000000001,0.3684012504335295,1.722691,0.36713050007180603,1.874672,0.3475226684955834,2.0893395000000003,0.3222326074969126,2.3701375000000002,0.3124981910000489,1.3805263157894736,0.38639844763697934,1.7857894736842108,0.3682345496773681,1.9636842105263155,0.34899489699737707,2.599473684210526,0.4652244579692261,2.8589473684210525,0.6136463668398892,3.016842105263158,0.5622723699790604,3.1310526315789478,0.5011830533235702,49589347299.2381,-0.2763409105038576,11725018303.5706,-0.2547227244000911,88.55316323110772,0.37343691816994057,2.8,0.4108134153179662,1.5,0.29294638310521004,-76.584106,39.371553000000006
17,2018-03,MD,BALTIMORE,2018-03,3.3,"(-76.6108, 39.2909)",91372.365,Other FHA,1.5183047619047625,0.38075860629445385,1.6006185714285712,0.3784985483193586,1.7991309523809524,0.3684012504335295,1.9184628571428568,0.36713050007180603,2.173357619047619,0.3475226684955834,2.345182380952381,0.3222326074969126,2.596475714285714,0.3124981910000489,1.636666666666667,0.38639844763697934,1.917142857142857,0.3682345496773681,2.0628571428571427,0.34899489699737707,2.6295238095238096,0.4652244579692261,2.8423809523809527,0.6136463668398892,2.9733333333333327,0.5622723699790604,3.0914285714285716,0.5011830533235702,49574400061.0285,-0.2763409105038576,12344213844.2875,-0.2547227244000911,88.1148323663994,0.37343691816994057,2.4,0.4108134153179662,1.5,0.29294638310521004,-76.6108,39.2909
