,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2013-04,OR,MEDFORD,2013-04,3.35,"(-122.844315, 42.314793)",97504,11386.36,Other FHA,0.1539047619047619,0.0028331954798138225,0.17210476190476193,0.003010447424368295,0.19953333333333334,0.011913793293685047,0.24005714285714277,0.01580155441682689,0.27714285714285714,0.019512762508499537,0.4360190476190476,0.008744381455931413,0.7168333333333334,0.001060178451214367,0.049090909090909116,0.05859210715273138,0.09409090909090913,0.0351132886945519,0.12454545454545456,0.02642158289365413,0.7104545454545454,0.4007278779182858,1.7590909090909093,0.841120892719309,2.5500000000000003,0.9150838307006848,2.9327272727272726,0.8175462144651251,41334062733.8549,0.18975113983694397,11337096053.4966,-0.466867687439629,89.95115518901541,-0.921233383107278,1.6,-0.8174900780976627,3.1,0.6465226604009356,-122.844315,42.314793
1,2014-01,OR,MEDFORD,2014-01,4.43,"(-122.831547, 42.31449)",97504,9327.51,Other FHA,0.09003181818181817,0.0028331954798138225,0.1219931818181818,0.003010447424368295,0.1597090909090909,0.011913793293685047,0.204425,0.01580155441682689,0.23822954545454544,0.019512762508499537,0.33795909090909093,0.008744381455931413,0.5752999999999999,0.001060178451214367,0.017142857142857144,0.05859210715273138,0.0690476190476191,0.0351132886945519,0.11619047619047623,0.02642158289365413,1.6466666666666665,0.4007278779182858,2.858095238095238,0.841120892719309,3.521904761904762,0.9150838307006848,3.76904761904762,0.8175462144651251,44462292713.4678,0.18975113983694397,10216278752.7557,-0.466867687439629,80.910251046009,-0.921233383107278,0.6,-0.8174900780976627,3.4,0.6465226604009356,-122.831547,42.31449
2,2014-03,OR,MEDFORD,2014-03,3.97,"(-122.847171, 42.302471000000004)",97501,31385.66,Other FHA,0.0888,0.0028331954798138225,0.1207452380952381,0.003010447424368295,0.15488333333333335,0.011913793293685047,0.19711666666666672,0.01580155441682689,0.23409761904761903,0.019512762508499537,0.33106666666666673,0.008744381455931413,0.5571428571428573,0.001060178451214367,0.051428571428571455,0.05859210715273138,0.07857142857142858,0.0351132886945519,0.1280952380952381,0.02642158289365413,1.6395238095238096,0.4007278779182858,2.7233333333333327,0.841120892719309,3.3466666666666667,0.9150838307006848,3.6209523809523807,0.8175462144651251,44931729222.7983,0.18975113983694397,10396023519.0372,-0.466867687439629,82.11515832772571,-0.921233383107278,1.1,-0.8174900780976627,3.1,0.6465226604009356,-122.847171,42.302471000000004
3,2017-12,OR,MEDFORD,2017-12,3.3,"(-122.86666899999999, 42.336178000000004)",97504,27651.77,Other FHA,1.3144094736842107,0.0028331954798138225,1.3913115789473685,0.003010447424368295,1.4850410526315792,0.011913793293685047,1.5354463157894738,0.01580155441682689,1.6017521052631578,0.019512762508499537,1.7680373684210524,0.008744381455931413,2.0434931578947366,0.001060178451214367,1.204,0.05859210715273138,1.4950000000000003,0.0351132886945519,1.7005,0.02642158289365413,2.1819999999999995,0.4007278779182858,2.4025,0.841120892719309,2.5970000000000004,0.9150838307006848,2.768,0.8175462144651251,50505964400.0098,0.18975113983694397,12103218541.1776,-0.466867687439629,87.010875232225,-0.921233383107278,1.1,-0.8174900780976627,0.8,0.6465226604009356,-122.86666899999999,42.336178000000004
