,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(3),Corr with student_vol(3),credit_tightness,Corr with credit_tightness,mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2010-04,CA,LOS ANGELES,2010-04,4.115,"(10.41944, 5.47944)",90016,65585.85,Other FHA,0.24183250000000003,0.073785063735246,0.2495495,0.08033098912218904,0.2597455000000001,0.07424445440187247,0.2840375,0.05476845404449829,0.3116065,0.04043917884987906,0.4758610000000001,-0.010521821694875727,0.9598030000000002,-0.021595124913998797,0.15045454545454548,0.07089595456125924,0.2440909090909091,0.0691979077894846,0.44499999999999995,0.09066809852421998,2.581363636363637,0.583519774411217,3.8468181818181817,0.6729870005558641,4.531363636363637,0.5706144430094963,4.693181818181819,0.5282490692675202,29160609360.1217,-0.03483220712855728,10534224377.9144,0.2889089625814886,99.0214107435932,-0.15329572833967758,3.0,-0.19447611790887562,6.3,0.11300101184807092,10.41944,5.47944
1,2011-03,CA,LOS ANGELES,2011-03,4.03,"(-118.33175, 34.03237)",90018,6184.53,Other FHA,0.2076739130434783,0.073785063735246,0.23889782608695653,0.08033098912218904,0.2532847826086956,0.07424445440187247,0.2829456521739131,0.05476845404449829,0.30843478260869567,0.04043917884987906,0.4607826086956522,-0.010521821694875727,0.7797065217391305,-0.021595124913998797,0.06478260869565221,0.07089595456125924,0.15652173913043482,0.0691979077894846,0.25913043478260867,0.09066809852421998,2.1134782608695653,0.583519774411217,3.414347826086956,0.6729870005558641,4.26608695652174,0.5706144430094963,4.5139130434782615,0.5282490692675202,31992172727.7437,-0.03483220712855728,12472473242.0863,0.2889089625814886,91.59671843464591,-0.15329572833967758,2.7,-0.19447611790887562,4.9,0.11300101184807092,-118.33175,34.03237
2,2011-05,CA,LOS ANGELES,2011-05,3.8,"(-118.421539, 34.236637)",91331,3655.36,Other FHA,0.130775,0.073785063735246,0.16787249999999998,0.08033098912218904,0.1978005,0.07424445440187247,0.23078799999999994,0.05476845404449829,0.260713,0.04043917884987906,0.41407550000000004,-0.010521821694875727,0.7391499999999999,-0.021595124913998797,0.024285714285714285,0.07089595456125924,0.0866666666666667,0.0691979077894846,0.18809523809523812,0.09066809852421998,1.8423809523809527,0.583519774411217,3.168571428571429,0.6729870005558641,4.011428571428572,0.5706144430094963,4.293333333333333,0.5282490692675202,33690910289.8878,-0.03483220712855728,12477113046.1263,0.2889089625814886,91.13289228397959,-0.15329572833967758,2.7,-0.19447611790887562,4.5,0.11300101184807092,-118.421539,34.236637
3,2011-08,CA,LOS ANGELES,2011-08,3.88,"(-118.311931, 34.086776)",90034,19781.73,Other FHA,0.14468363636363638,0.073785063735246,0.18038681818181818,0.08033098912218904,0.21116590909090904,0.07424445440187247,0.24895727272727275,0.05476845404449829,0.29323772727272723,0.04043917884987906,0.45919454545454547,-0.010521821694875727,0.7783581818181818,-0.021595124913998797,0.017391304347826094,0.07089595456125924,0.06217391304347828,0.0691979077894846,0.11478260869565218,0.09066809852421998,1.021304347826087,0.583519774411217,2.303043478260869,0.6729870005558641,3.244782608695652,0.5706144430094963,3.6513043478260867,0.5282490692675202,35344521679.5642,-0.03483220712855728,11784187253.6333,0.2889089625814886,88.33905735772379,-0.15329572833967758,2.6,-0.19447611790887562,4.2,0.11300101184807092,-118.311931,34.086776
4,2011-09,CA,LOS ANGELES,2011-09,3.6506666666666665,"(-118.38758, 34.20251)",91605,52655.35,Other FHA,0.14525181818181823,0.073785063735246,0.1884,0.08033098912218904,0.23085045454545455,0.07424445440187247,0.2845913636363636,0.05476845404449829,0.3502268181818181,0.04043917884987906,0.5222018181818182,-0.010521821694875727,0.8332045454545454,-0.021595124913998797,0.005714285714285713,0.07089595456125924,0.04333333333333335,0.0691979077894846,0.10476190476190479,0.09066809852421998,0.9004761904761904,0.583519774411217,1.9752380952380955,0.6729870005558641,2.8271428571428574,0.5706144430094963,3.182380952380953,0.5282490692675202,35385458151.3724,-0.03483220712855728,11508699084.1195,0.2889089625814886,90.4806728327692,-0.15329572833967758,2.6,-0.19447611790887562,4.2,0.11300101184807092,-118.38758,34.20251
5,2011-10,CA,LOS ANGELES,2011-10,3.95,"(-118.35947, 34.05611)",90019,26023.14,Other FHA,0.1416352380952381,0.073785063735246,0.19074095238095234,0.08033098912218904,0.24373904761904758,0.07424445440187247,0.3185252380952381,0.05476845404449829,0.4064785714285714,0.04043917884987906,0.59521,-0.010521821694875727,0.9086428571428572,-0.021595124913998797,0.013500000000000003,0.07089595456125924,0.05450000000000003,0.0691979077894846,0.1145,0.09066809852421998,1.0614999999999999,0.583519774411217,2.1519999999999997,0.6729870005558641,2.8695,0.5706144430094963,3.128,0.5282490692675202,35532707747.113,-0.03483220712855728,11510278467.2037,0.2889089625814886,91.3646878868074,-0.15329572833967758,2.8,-0.19447611790887562,4.1,0.11300101184807092,-118.35947,34.05611
6,2012-05,CA,LOS ANGELES,2012-05,2.98,"(-119.1498, 34.2831)",91405,26777.44,Other FHA,0.15161363636363637,0.073785063735246,0.19053181818181822,0.08033098912218904,0.23893181818181805,0.07424445440187247,0.3457045454545453,0.05476845404449829,0.4665318181818183,0.04043917884987906,0.732990909090909,-0.010521821694875727,1.0615068181818177,-0.021595124913998797,0.06590909090909093,0.07089595456125924,0.14545454545454548,0.0691979077894846,0.19181818181818186,0.09066809852421998,0.7618181818181818,0.583519774411217,1.8031818181818189,0.6729870005558641,2.525909090909091,0.5706144430094963,2.930909090909091,0.5282490692675202,37571290060.6541,-0.03483220712855728,11986368496.8635,0.2889089625814886,89.6038877472871,-0.15329572833967758,2.7,-0.19447611790887562,3.2,0.11300101184807092,-119.1498,34.2831
7,2012-06,CA,LOS ANGELES,2012-06,2.7249999999999996,"(-118.30431000000002, 34.08915)",90029,27780.56,Other FHA,0.163,0.073785063735246,0.19464736842105262,0.08033098912218904,0.24319736842105263,0.07424445440187247,0.3459342105263157,0.05476845404449829,0.46558684210526313,0.04043917884987906,0.7364000000000004,-0.010521821694875727,1.0691894736842107,-0.021595124913998797,0.05190476190476193,0.07089595456125924,0.14809523809523809,0.0691979077894846,0.18904761904761905,0.09066809852421998,0.7114285714285714,0.583519774411217,1.6223809523809525,0.6729870005558641,2.3061904761904763,0.5706144430094963,2.698095238095238,0.5282490692675202,37685204803.0042,-0.03483220712855728,11631947675.6117,0.2889089625814886,89.56768058609659,-0.15329572833967758,2.7,-0.19447611790887562,3.0,0.11300101184807092,-118.30431000000002,34.08915
8,2012-08,CA,LOS ANGELES,2012-08,2.3,"(-118.27118999999999, 34.06064)",90057,15948.19,Other FHA,0.15374090909090915,0.073785063735246,0.18745454545454548,0.08033098912218904,0.23783863636363634,0.07424445440187247,0.3331136363636364,0.05476845404449829,0.43259999999999993,0.04043917884987906,0.7177749999999997,-0.010521821694875727,1.0426272727272727,-0.021595124913998797,0.09217391304347829,0.07089595456125924,0.14043478260869566,0.0691979077894846,0.18347826086956526,0.09066809852421998,0.7139130434782609,0.583519774411217,1.6782608695652175,0.6729870005558641,2.3978260869565218,0.5706144430094963,2.7708695652173914,0.5282490692675202,38808856509.5085,-0.03483220712855728,10740081615.3953,0.2889089625814886,89.6061116730853,-0.15329572833967758,2.7,-0.19447611790887562,2.8,0.11300101184807092,-118.27118999999999,34.06064
9,2012-09,CA,LOS ANGELES,2012-09,2.68,"(-118.178653, 34.037861)",90063,13648.67,Other FHA,0.15189500000000006,0.073785063735246,0.183625,0.08033098912218904,0.22133750000000002,0.07424445440187247,0.3079875,0.05476845404449829,0.3856325000000001,0.04043917884987906,0.6716749999999999,-0.010521821694875727,0.9997750000000002,-0.021595124913998797,0.07526315789473685,0.07089595456125924,0.13736842105263158,0.0691979077894846,0.17578947368421055,0.09066809852421998,0.6689473684210526,0.583519774411217,1.7231578947368422,0.6729870005558641,2.488421052631579,0.5706144430094963,2.8815789473684212,0.5282490692675202,39268596272.9965,-0.03483220712855728,11337096053.4966,0.2889089625814886,89.513287195688,-0.15329572833967758,2.6,-0.19447611790887562,2.7,0.11300101184807092,-118.178653,34.037861
