,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(1),Corr with student_vol(1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(-3),Corr with mortgage 90(-3)
0,OH,COLUMBUS,2009-11,4.15,Other FHA,0.1780742857142857,3.9719257142857147,0.30231341819530233,0.21678666666666663,3.9332133333333337,0.31016541865497577,0.2378266666666667,3.9121733333333335,0.30809727639297213,0.24931714285714288,3.9006828571428573,0.3012640388799584,0.2681409523809524,3.8818590476190478,0.29607178843286386,0.516785238095238,3.633214761904762,0.283251679234105,1.0843766666666663,3.065623333333334,0.2977886086842031,0.052631578947368446,4.097368421052632,0.3127178521827781,0.15473684210526314,3.9952631578947373,0.2952557184513004,0.3131578947368421,3.836842105263158,0.30834143234407635,2.230526315789474,1.9194736842105264,0.5726739212094544,3.402631578947368,0.7473684210526326,0.5909643532782971,4.235263157894737,-0.08526315789473671,0.45428042958757314,4.314736842105263,-0.1647368421052624,0.4011115833599577,25116521917.8418,-0.15700407946516223,14018940117.4091,0.5668814044972619,105.55167238105,0.1756308545208302,3.9,0.13254224680744137,3.1,-0.13185428079612652
1,OH,COLUMBUS,2010-01,3.65,Other FHA,0.172129,3.477871,0.30231341819530233,0.207845,3.442155,0.31016541865497577,0.23159750000000004,3.4184025,0.30809727639297213,0.24093950000000003,3.4090605,0.3012640388799584,0.25011950000000005,3.3998805,0.29607178843286386,0.39936099999999997,3.250639,0.283251679234105,0.8985025,2.7514975,0.2977886086842031,0.022631578947368423,3.6273684210526316,0.3127178521827781,0.14842105263157898,3.501578947368421,0.2952557184513004,0.3457894736842104,3.3042105263157895,0.30834143234407635,2.4842105263157896,1.1657894736842103,0.5726739212094544,3.7331578947368427,-0.08315789473684276,0.5909643532782971,4.501578947368422,-0.8515789473684223,0.45428042958757314,4.604736842105263,-0.9547368421052629,0.4011115833599577,27606233351.339,-0.15700407946516223,14228362706.5907,0.5668814044972619,103.99632208797199,0.1756308545208302,3.1,0.13254224680744137,3.5,-0.13185428079612652
2,OH,COLUMBUS,2011-03,4.2,Other FHA,0.2076739130434783,3.992326086956522,0.30231341819530233,0.23889782608695653,3.9611021739130434,0.31016541865497577,0.2532847826086956,3.9467152173913047,0.30809727639297213,0.2829456521739131,3.9170543478260873,0.3012640388799584,0.30843478260869567,3.8915652173913045,0.29607178843286386,0.4607826086956522,3.739217391304348,0.283251679234105,0.7797065217391305,3.4202934782608696,0.2977886086842031,0.06478260869565221,4.135217391304348,0.3127178521827781,0.15652173913043482,4.043478260869565,0.2952557184513004,0.25913043478260867,3.9408695652173913,0.30834143234407635,2.1134782608695653,2.086521739130435,0.5726739212094544,3.414347826086956,0.7856521739130442,0.5909643532782971,4.26608695652174,-0.06608695652173946,0.45428042958757314,4.5139130434782615,-0.3139130434782613,0.4011115833599577,31300541846.2612,-0.15700407946516223,15995126134.7035,0.5668814044972619,92.8594669911348,0.1756308545208302,2.9,0.13254224680744137,3.1,-0.13185428079612652
3,OH,COLUMBUS,2012-02,3.9,Other FHA,0.1410714285714286,3.758928571428571,0.30231341819530233,0.19146190476190478,3.708538095238095,0.31016541865497577,0.2500238095238095,3.6499761904761905,0.30809727639297213,0.3686547619047619,3.531345238095238,0.3012640388799584,0.5032404761904763,3.3967595238095236,0.29607178843286386,0.7572880952380953,3.1427119047619048,0.283251679234105,1.0711880952380954,2.8288119047619045,0.2977886086842031,0.06350000000000003,3.8365,0.3127178521827781,0.124,3.776,0.2952557184513004,0.161,3.739,0.30834143234407635,0.8310000000000001,3.069,0.5726739212094544,1.9674999999999998,1.9325,0.5909643532782971,2.7479999999999998,1.1520000000000001,0.45428042958757314,3.109,0.7909999999999999,0.4011115833599577,36777908030.9335,-0.15700407946516223,11251067892.2966,0.5668814044972619,91.3646878868074,0.1756308545208302,2.8,0.13254224680744137,3.1,-0.13185428079612652
4,OH,COLUMBUS,2012-08,3.05,Other FHA,0.15374090909090915,2.8962590909090906,0.30231341819530233,0.18745454545454548,2.8625454545454545,0.31016541865497577,0.23783863636363634,2.8121613636363634,0.30809727639297213,0.3331136363636364,2.7168863636363634,0.3012640388799584,0.43259999999999993,2.6174,0.29607178843286386,0.7177749999999997,2.332225,0.283251679234105,1.0426272727272727,2.007372727272727,0.2977886086842031,0.09217391304347829,2.9578260869565214,0.3127178521827781,0.14043478260869566,2.9095652173913042,0.2952557184513004,0.18347826086956526,2.8665217391304347,0.30834143234407635,0.7139130434782609,2.336086956521739,0.5726739212094544,1.6782608695652175,1.3717391304347823,0.5909643532782971,2.3978260869565218,0.652173913043478,0.45428042958757314,2.7708695652173914,0.27913043478260846,0.4011115833599577,38410438812.4053,-0.15700407946516223,11631947675.6117,0.5668814044972619,89.00857713430821,0.1756308545208302,3.1,0.13254224680744137,3.0,-0.13185428079612652
5,OH,COLUMBUS,2013-02,2.5,Other FHA,0.15464999999999998,2.34535,0.30231341819530233,0.17315,2.32685,0.31016541865497577,0.20129999999999998,2.2987,0.30809727639297213,0.2455,2.2545,0.3012640388799584,0.29049499999999995,2.209505,0.29607178843286386,0.463425,2.036575,0.283251679234105,0.761875,1.7381250000000001,0.2977886086842031,0.0768421052631579,2.423157894736842,0.3127178521827781,0.12421052631578947,2.3757894736842107,0.2952557184513004,0.15736842105263157,2.3426315789473686,0.30834143234407635,0.8463157894736841,1.6536842105263159,0.5726739212094544,1.9842105263157896,0.5157894736842104,0.5909643532782971,2.782631578947368,-0.2826315789473681,0.45428042958757314,3.165263157894737,-0.6652631578947368,0.4011115833599577,40995097959.5386,-0.15700407946516223,9855625468.0504,0.5668814044972619,90.37816904639429,0.1756308545208302,2.4,0.13254224680744137,2.9,-0.13185428079612652
6,OH,COLUMBUS,2013-04,3.0,Other FHA,0.1539047619047619,2.8460952380952382,0.30231341819530233,0.17210476190476193,2.827895238095238,0.31016541865497577,0.19953333333333334,2.800466666666667,0.30809727639297213,0.24005714285714277,2.7599428571428573,0.3012640388799584,0.27714285714285714,2.722857142857143,0.29607178843286386,0.4360190476190476,2.5639809523809522,0.283251679234105,0.7168333333333334,2.2831666666666663,0.2977886086842031,0.049090909090909116,2.9509090909090907,0.3127178521827781,0.09409090909090913,2.9059090909090908,0.2952557184513004,0.12454545454545456,2.8754545454545455,0.30834143234407635,0.7104545454545454,2.2895454545454546,0.5726739212094544,1.7590909090909093,1.2409090909090907,0.5909643532782971,2.5500000000000003,0.44999999999999973,0.45428042958757314,2.9327272727272726,0.06727272727272737,0.4011115833599577,41471481477.9035,-0.15700407946516223,9498561196.652071,0.5668814044972619,89.2801736441717,0.1756308545208302,2.6,0.13254224680744137,2.9,-0.13185428079612652
7,OH,COLUMBUS,2013-10,4.34,Other FHA,0.10426086956521738,4.235739130434783,0.30231341819530233,0.13668260869565219,4.203317391304347,0.31016541865497577,0.17241521739130433,4.167584782608696,0.30809727639297213,0.21265,4.12735,0.3012640388799584,0.2417652173913043,4.098234782608696,0.29607178843286386,0.36121521739130424,3.9787847826086957,0.283251679234105,0.6177847826086957,3.7222152173913043,0.2977886086842031,0.1059090909090909,4.234090909090909,0.3127178521827781,0.07590909090909094,4.264090909090909,0.2952557184513004,0.12136363636363635,4.218636363636364,0.30834143234407635,1.366818181818182,2.9731818181818177,0.5726739212094544,2.615909090909091,1.7240909090909087,0.5909643532782971,3.3795454545454544,0.9604545454545454,0.45428042958757314,3.6759090909090903,0.6640909090909095,0.4011115833599577,42151687038.4775,-0.15700407946516223,10396023519.0372,0.5668814044972619,89.95115518901541,0.1756308545208302,2.7,0.13254224680744137,2.2,-0.13185428079612652
8,OH,COLUMBUS,2014-10,3.63,Other FHA,0.09059565217391304,3.539404347826087,0.30231341819530233,0.11953260869565213,3.510467391304348,0.31016541865497577,0.15351739130434783,3.476482608695652,0.30809727639297213,0.1974043478260869,3.432595652173913,0.3012640388799584,0.2313760869565217,3.3986239130434783,0.29607178843286386,0.3236195652173913,3.3063804347826085,0.283251679234105,0.5523869565217392,3.0776130434782605,0.2977886086842031,0.020909090909090912,3.609090909090909,0.3127178521827781,0.05045454545454548,3.5795454545454546,0.2952557184513004,0.10454545454545458,3.5254545454545454,0.30834143234407635,1.5459090909090911,2.084090909090909,0.5726739212094544,2.304090909090909,1.3259090909090907,0.5909643532782971,2.7731818181818184,0.8568181818181815,0.45428042958757314,3.039999999999999,0.5900000000000007,0.4011115833599577,45667781053.6763,-0.15700407946516223,11357071284.6333,0.5668814044972619,81.9669757663089,0.1756308545208302,2.5,0.13254224680744137,2.0,-0.13185428079612652
9,OH,COLUMBUS,2015-06,3.68,Other FHA,0.12293636363636364,3.5570636363636363,0.30231341819530233,0.14681590909090908,3.5331840909090912,0.31016541865497577,0.1858840909090909,3.494115909090909,0.30809727639297213,0.23472954545454539,3.445270454545455,0.3012640388799584,0.2827113636363637,3.3972886363636365,0.29607178843286386,0.43974545454545466,3.2402545454545457,0.283251679234105,0.7702659090909093,2.9097340909090907,0.2977886086842031,0.007727272727272728,3.6722727272727274,0.3127178521827781,0.08681818181818185,3.5931818181818183,0.2952557184513004,0.2754545454545455,3.4045454545454548,0.30834143234407635,1.6836363636363636,1.9963636363636366,0.5726739212094544,2.3636363636363638,1.3163636363636364,0.5909643532782971,2.8454545454545452,0.8345454545454549,0.45428042958757314,3.1118181818181814,0.5681818181818188,0.4011115833599577,49379202635.7798,-0.15700407946516223,11834405659.8436,0.5668814044972619,82.122236078369,0.1756308545208302,2.4,0.13254224680744137,1.7,-0.13185428079612652
