,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-3),Corr with student_vol(-3),credit_tightness,Corr with credit_tightness,mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2010-11,MI,GRAND RAPIDS,2010-11,4.13,"(-92.186399, 43.857675)",4077.98,Other FHA,0.22869727272727272,0.1232265572207941,0.24913818181818187,0.12268325404302864,0.2541922727272727,0.11755154208207419,0.27004181818181816,0.11176586807787539,0.2871204545454545,0.10852923853494548,0.44597000000000014,0.07594224495279465,0.7651345454545454,0.04960155124649003,0.13400000000000004,0.13625064605413326,0.182,0.12529280785217106,0.25200000000000006,0.12430034190944482,1.35,0.3015141171863961,2.7630000000000003,0.32719828546660557,3.817999999999999,0.19713061801312914,4.186,0.1936810631866639,31044830349.9256,0.23802265832829275,11556490165.0911,-0.7046156991464195,92.8594669911348,-0.39259956818073977,2.9,-0.463004462488692,2.6,-0.18429347526706413,-92.186399,43.857675
1,2012-08,MI,GRAND RAPIDS,2012-08,2.48,"(-85.61731800000001, 42.917035999999996)",31231.81,Other FHA,0.15374090909090915,0.1232265572207941,0.18745454545454548,0.12268325404302864,0.23783863636363634,0.11755154208207419,0.3331136363636364,0.11176586807787539,0.43259999999999993,0.10852923853494548,0.7177749999999997,0.07594224495279465,1.0426272727272727,0.04960155124649003,0.09217391304347829,0.13625064605413326,0.14043478260869566,0.12529280785217106,0.18347826086956526,0.12430034190944482,0.7139130434782609,0.3015141171863961,1.6782608695652175,0.32719828546660557,2.3978260869565218,0.19713061801312914,2.7708695652173914,0.1936810631866639,37571290060.6541,0.23802265832829275,12770391029.1034,-0.7046156991464195,89.6061116730853,-0.39259956818073977,3.1,-0.463004462488692,2.1,-0.18429347526706413,-85.61731800000001,42.917035999999996
2,2014-10,MI,GRAND RAPIDS,2014-10,4.75,"(-85.63656, 42.987059)",5262.05,Other FHA,0.09059565217391304,0.1232265572207941,0.11953260869565213,0.12268325404302864,0.15351739130434783,0.11755154208207419,0.1974043478260869,0.11176586807787539,0.2313760869565217,0.10852923853494548,0.3236195652173913,0.07594224495279465,0.5523869565217392,0.04960155124649003,0.020909090909090912,0.13625064605413326,0.05045454545454548,0.12529280785217106,0.10454545454545458,0.12430034190944482,1.5459090909090911,0.3015141171863961,2.304090909090909,0.32719828546660557,2.7731818181818184,0.19713061801312914,3.039999999999999,0.1936810631866639,44940573200.2924,0.23802265832829275,10638305940.4607,-0.7046156991464195,82.08517590205541,-0.39259956818073977,1.7,-0.463004462488692,1.0,-0.18429347526706413,-85.63656,42.987059
3,2015-02,MI,GRAND RAPIDS,2015-02,3.88,"(-85.703542, 42.996992999999996)",35749.29,Other FHA,0.11784999999999998,0.1232265572207941,0.13764249999999997,0.12268325404302864,0.17207499999999998,0.11755154208207419,0.2121925,0.11176586807787539,0.25842,0.10852923853494548,0.37596500000000005,0.07594224495279465,0.6601375,0.04960155124649003,0.017894736842105265,0.13625064605413326,0.07105263157894741,0.12529280785217106,0.22421052631578947,0.12430034190944482,1.472631578947368,0.3015141171863961,1.9752631578947366,0.32719828546660557,2.3384210526315794,0.19713061801312914,2.566315789473684,0.1936810631866639,47944164595.1044,0.23802265832829275,11357071284.6333,-0.7046156991464195,82.122236078369,-0.39259956818073977,1.8,-0.463004462488692,0.9,-0.18429347526706413,-85.703542,42.996992999999996
4,2015-05,MI,GRAND RAPIDS,2015-05,3.18,"(-85.64780920000001, 42.8532652)",30838.93,Other FHA,0.12315789473684212,0.1232265572207941,0.14795,0.12268325404302864,0.1842289473684211,0.11755154208207419,0.2296,0.11176586807787539,0.2795368421052632,0.10852923853494548,0.41659473684210524,0.07594224495279465,0.7346236842105265,0.04960155124649003,0.013000000000000001,0.13625064605413326,0.07950000000000002,0.12529280785217106,0.24100000000000002,0.12430034190944482,1.5385000000000002,0.3015141171863961,2.1975000000000002,0.32719828546660557,2.692,0.19713061801312914,2.9550000000000005,0.1936810631866639,48997735451.5931,0.23802265832829275,11837215038.8922,-0.7046156991464195,83.34061286074021,-0.39259956818073977,2.1,-0.463004462488692,0.7,-0.18429347526706413,-85.64780920000001,42.8532652
5,2015-08,MI,GRAND RAPIDS,2015-08,4.15,"(-85.669943, 42.961881)",16082.59,Other FHA,0.13010000000000005,0.1232265572207941,0.151965,0.12268325404302864,0.1967275,0.11755154208207419,0.2610100000000001,0.11176586807787539,0.3207975,0.10852923853494548,0.5193599999999999,0.07594224495279465,0.8364375,0.04960155124649003,0.03523809523809525,0.13625064605413326,0.22000000000000006,0.12529280785217106,0.3757142857142857,0.12430034190944482,1.5414285714285714,0.3015141171863961,2.167142857142857,0.32719828546660557,2.5466666666666664,0.19713061801312914,2.8557142857142854,0.1936810631866639,49379202635.7798,0.23802265832829275,11119760586.3258,-0.7046156991464195,82.89218119322959,-0.39259956818073977,2.0,-0.463004462488692,0.8,-0.18429347526706413,-85.669943,42.961881
6,2016-04,MI,GRAND RAPIDS,2016-04,4.13,"(-85.648211, 42.852844)",126530.16,Other FHA,0.38031428571428566,0.1232265572207941,0.39864523809523805,0.12268325404302864,0.4373976190476192,0.11755154208207419,0.5229452380952381,0.11176586807787539,0.6327499999999999,0.10852923853494548,0.9025404761904764,0.07594224495279465,1.2222214285714286,0.04960155124649003,0.18761904761904763,0.13625064605413326,0.37238095238095237,0.12529280785217106,0.5557142857142858,0.12430034190944482,1.2580952380952382,0.3015141171863961,1.8052380952380953,0.32719828546660557,2.2104761904761907,0.19713061801312914,2.6233333333333335,0.1936810631866639,49276189942.4712,0.23802265832829275,11404853913.5663,-0.7046156991464195,84.0267577476249,-0.39259956818073977,1.7,-0.463004462488692,0.6,-0.18429347526706413,-85.648211,42.852844
7,2016-05,MI,GRAND RAPIDS,2016-05,4.2,"(-85.624098, 42.890570000000004)",4054.46,Other FHA,0.38527368421052627,0.1232265572207941,0.4053315789473685,0.12268325404302864,0.4424947368421052,0.11755154208207419,0.5332263157894737,0.11176586807787539,0.6455710526315791,0.10852923853494548,0.9348736842105263,0.07594224495279465,1.2675078947368421,0.04960155124649003,0.2261904761904762,0.13625064605413326,0.4185714285714286,0.12529280785217106,0.5914285714285713,0.12430034190944482,1.3004761904761903,0.3015141171863961,1.8061904761904766,0.32719828546660557,2.2166666666666663,0.19713061801312914,2.627619047619048,0.1936810631866639,49206523977.8161,0.23802265832829275,11240513229.2606,-0.7046156991464195,85.2359522201137,-0.39259956818073977,1.8,-0.463004462488692,0.6,-0.18429347526706413,-85.624098,42.890570000000004
8,2018-01,MI,GRAND RAPIDS,2018-01,3.15,"(-85.6679, 42.9632)",25562.56,Other FHA,1.4378880952380952,0.1232265572207941,1.467563181818182,0.12268325404302864,1.5610881818181819,0.11755154208207419,1.6355336363636364,0.11176586807787539,1.733970909090909,0.10852923853494548,1.9067609090909092,0.07594224495279465,2.196459545454545,0.04960155124649003,1.3000000000000003,0.13625064605413326,1.6199999999999994,0.12529280785217106,1.8028571428571425,0.12430034190944482,2.381904761904762,0.3015141171863961,2.5838095238095242,0.32719828546660557,2.7342857142857144,0.19713061801312914,2.8776190476190475,0.1936810631866639,49574400061.0285,0.23802265832829275,11537595366.1601,-0.7046156991464195,88.1148323663994,-0.39259956818073977,1.6,-0.463004462488692,0.5,-0.18429347526706413,-85.6679,42.9632
