,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(1),Corr with mortgage 90(1)
0,2010-11,OK,TULSA,2010-11,3.68,"(-95.9762, 36.114000000000004)",12278.8,Other FHA,0.22869727272727272,0.03763923502486477,0.24913818181818187,0.037275700119384574,0.2541922727272727,0.02790461893782431,0.27004181818181816,0.002926573367451153,0.2871204545454545,-0.022996732894015506,0.44597000000000014,-0.07047918098933052,0.7651345454545454,-0.08061834729204156,0.13400000000000004,0.037601409410531854,0.182,0.04624066350596229,0.25200000000000006,0.07139054356814196,1.35,0.48803661985152264,2.7630000000000003,0.6866957855279795,3.817999999999999,0.6601099280800804,4.186,0.6453024492047772,31565012894.7234,-0.09860223360818485,12342273869.2704,-0.7571027070299459,95.6415096715633,0.25633679208042726,4.2,0.3485253006657943,2.7,-0.2052258057817045
1,2011-05,OK,TULSA,2011-05,3.8,"(-95.861581, 36.116333000000004)",13429.82,Other FHA,0.130775,0.03763923502486477,0.16787249999999998,0.037275700119384574,0.1978005,0.02790461893782431,0.23078799999999994,0.002926573367451153,0.260713,-0.022996732894015506,0.41407550000000004,-0.07047918098933052,0.7391499999999999,-0.08061834729204156,0.024285714285714285,0.037601409410531854,0.0866666666666667,0.04624066350596229,0.18809523809523812,0.07139054356814196,1.8423809523809527,0.48803661985152264,3.168571428571429,0.6866957855279795,4.011428571428572,0.6601099280800804,4.293333333333333,0.6453024492047772,33690910289.8878,-0.09860223360818485,11311909309.5948,-0.7571027070299459,93.74313363440879,0.25633679208042726,4.3,0.3485253006657943,2.9,-0.2052258057817045
2,2012-06,OK,TULSA,2012-06,3.65,"(-95.925782, 36.119859999999996)",8609.48,Other FHA,0.163,0.03763923502486477,0.19464736842105262,0.037275700119384574,0.24319736842105263,0.02790461893782431,0.3459342105263157,0.002926573367451153,0.46558684210526313,-0.022996732894015506,0.7364000000000004,-0.07047918098933052,1.0691894736842107,-0.08061834729204156,0.05190476190476193,0.037601409410531854,0.14809523809523809,0.04624066350596229,0.18904761904761905,0.07139054356814196,0.7114285714285714,0.48803661985152264,1.6223809523809525,0.6866957855279795,2.3061904761904763,0.6601099280800804,2.698095238095238,0.6453024492047772,37685204803.0042,-0.09860223360818485,11641401212.0971,-0.7571027070299459,90.0868950067716,0.25633679208042726,3.5,0.3485253006657943,2.9,-0.2052258057817045
3,2012-07,OK,TULSA,2012-07,3.1,"(-94.51369100000001, 37.08692)",35805.29,Other FHA,0.16720454545454547,0.03763923502486477,0.19873636363636368,0.037275700119384574,0.24646136363636365,0.02790461893782431,0.34024999999999994,0.002926573367451153,0.4535545454545455,-0.022996732894015506,0.7302181818181818,-0.07047918098933052,1.0653181818181816,-0.08061834729204156,0.06952380952380956,0.037601409410531854,0.14571428571428574,0.04624066350596229,0.18571428571428572,0.07139054356814196,0.6195238095238095,0.48803661985152264,1.5266666666666664,0.6866957855279795,2.217142857142857,0.6601099280800804,2.5900000000000003,0.6453024492047772,38410438812.4053,-0.09860223360818485,12770391029.1034,-0.7571027070299459,89.00857713430821,0.25633679208042726,3.3,0.3485253006657943,3.0,-0.2052258057817045
4,2015-11,OK,TULSA,2015-11,3.64,"(-95.946167, 36.022949)",132570.34,Other FHA,0.13066666666666668,0.03763923502486477,0.1559214285714286,0.037275700119384574,0.20844761904761913,0.02790461893782431,0.286702380952381,0.002926573367451153,0.3709714285714286,-0.022996732894015506,0.6063738095238096,-0.07047918098933052,0.9343738095238093,-0.08061834729204156,0.07105263157894738,0.037601409410531854,0.32789473684210524,0.04624066350596229,0.47684210526315784,0.07139054356814196,1.6710526315789473,0.48803661985152264,2.2631578947368416,0.6866957855279795,2.6863157894736847,0.6601099280800804,3.03,0.6453024492047772,48187387172.2131,-0.09860223360818485,11492007418.0579,-0.7571027070299459,82.89218119322959,0.25633679208042726,2.5,0.3485253006657943,1.7,-0.2052258057817045
5,2018-04,OK,TULSA,2018-04,3.6,"(-95.86719599999999, 36.117734000000006)",40607.12,Other FHA,1.7027510000000003,0.03763923502486477,1.7432829999999995,0.037275700119384574,1.896724,0.02790461893782431,2.0408605,0.002926573367451153,2.349426,-0.022996732894015506,2.493657999999999,-0.07047918098933052,2.7355454999999997,-0.08061834729204156,1.6604761904761904,0.037601409410531854,1.9780952380952381,0.04624066350596229,2.153809523809524,0.07139054356814196,2.701904761904762,0.48803661985152264,2.869047619047619,0.6866957855279795,2.9595238095238092,0.6601099280800804,3.0719047619047624,0.6453024492047772,50563742345.0186,-0.09860223360818485,11318405616.2761,-0.7571027070299459,88.1148323663994,0.25633679208042726,3.4,0.3485253006657943,1.4,-0.2052258057817045
