,PROPERTY STATE,Month,INTEREST RATE,ON,1W,1M,2M,3M,6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,6 Mo,1 Yr,5 Yr,10 Yr,20 Yr,30 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,spread between 20 Yr treasury,Corr with 20 Yr treasury,spread between 30 Yr treasury,Corr with 30 Yr treasury
0,AR,2010-04,6.7,0.24183250000000003,0.2495495,0.2597455000000001,0.2840375,0.3116065,0.4758610000000001,0.9598030000000002,5.740197,,0.15045454545454548,0.2440909090909091,0.44499999999999995,2.581363636363637,3.8468181818181817,4.531363636363637,4.693181818181819,2.8531818181818185,,2.168636363636363,,2.006818181818181,
1,AZ,2012-09,8.66,0.15189500000000006,0.183625,0.22133750000000002,0.3079875,0.3856325000000001,0.6716749999999999,0.9997750000000002,7.660225,,0.07526315789473685,0.13736842105263158,0.17578947368421055,0.6689473684210526,1.7231578947368422,2.488421052631579,2.8815789473684212,6.936842105263158,,6.171578947368421,,5.778421052631579,
2,CA,2010-11,6.55,0.22869727272727272,0.24913818181818187,0.2541922727272727,0.27004181818181816,0.2871204545454545,0.44597000000000014,0.7651345454545454,5.7848654545454545,-0.1924280723184905,0.13400000000000004,0.182,0.25200000000000006,1.35,2.7630000000000003,3.817999999999999,4.186,3.7869999999999995,-0.0864057811539757,2.7320000000000007,0.06857653886124278,2.364,0.11708488231555604
3,CA,2011-07,4.219666666666666,0.12388095238095237,0.1598857142857143,0.18661904761904766,0.2182333333333334,0.24991190476190472,0.41392857142857137,0.7452261904761905,3.4744404761904755,-0.1924280723184905,0.037500000000000006,0.08400000000000002,0.185,1.541,3.003,3.9475000000000002,4.2705,1.216666666666666,-0.0864057811539757,0.2721666666666658,0.06857653886124278,-0.050833333333334174,0.11708488231555604
4,CA,2012-01,8.2,0.14564761904761903,0.2014238095238095,0.28289523809523814,0.41424761904761903,0.5659000000000001,0.7969761904761906,1.1145476190476191,7.08545238095238,-0.1924280723184905,0.0245,0.06550000000000003,0.11500000000000003,0.835,1.9664999999999995,2.6950000000000003,3.026,6.233499999999999,-0.0864057811539757,5.504999999999999,0.06857653886124278,5.1739999999999995,0.11708488231555604
5,CA,2012-02,4.49475,0.1410714285714286,0.19146190476190478,0.2500238095238095,0.3686547619047619,0.5032404761904763,0.7572880952380953,1.0711880952380954,3.4235619047619044,-0.1924280723184905,0.06350000000000003,0.124,0.161,0.8310000000000001,1.9674999999999998,2.7479999999999998,3.109,2.52725,-0.0864057811539757,1.74675,0.06857653886124278,1.3857499999999998,0.11708488231555604
6,CA,2012-06,4.6746,0.163,0.19464736842105262,0.24319736842105263,0.3459342105263157,0.46558684210526313,0.7364000000000004,1.0691894736842107,3.605410526315789,-0.1924280723184905,0.05190476190476193,0.14809523809523809,0.18904761904761905,0.7114285714285714,1.6223809523809525,2.3061904761904763,2.698095238095238,3.0522190476190474,-0.0864057811539757,2.3684095238095235,0.06857653886124278,1.9765047619047618,0.11708488231555604
7,CA,2012-10,4.42,0.15320434782608702,0.17955217391304346,0.21346521739130433,0.2717391304347827,0.3304891304347827,0.5823021739130435,0.9185760869565219,3.501423913043478,-0.1924280723184905,0.10952380952380951,0.14904761904761904,0.17952380952380956,0.7085714285714285,1.7461904761904758,2.505714285714286,2.90047619047619,2.673809523809524,-0.0864057811539757,1.9142857142857141,0.06857653886124278,1.5195238095238097,0.11708488231555604
8,CA,2012-12,4.24,0.1631578947368421,0.1875157894736842,0.21092631578947374,0.2552894736842105,0.30947368421052623,0.5145657894736843,0.8483157894736841,3.391684210526316,-0.1924280723184905,0.039500000000000014,0.11950000000000005,0.1585,0.6960000000000001,1.7189999999999999,2.4675000000000002,2.8835,2.5210000000000004,-0.0864057811539757,1.7725,0.06857653886124278,1.3565,0.11708488231555604
9,CA,2013-03,5.0,0.15505000000000002,0.17309999999999998,0.20345,0.2419,0.28190000000000004,0.44782500000000003,0.7351250000000001,4.264875,-0.1924280723184905,0.07800000000000003,0.11450000000000005,0.14750000000000002,0.8185000000000002,1.9575,2.7840000000000003,3.1625000000000005,3.0425,-0.0864057811539757,2.2159999999999997,0.06857653886124278,1.8374999999999995,0.11708488231555604
10,CA,2013-04,5.2233285714285715,0.1539047619047619,0.17210476190476193,0.19953333333333334,0.24005714285714277,0.27714285714285714,0.4360190476190476,0.7168333333333334,4.506495238095238,-0.1924280723184905,0.049090909090909116,0.09409090909090913,0.12454545454545456,0.7104545454545454,1.7590909090909093,2.5500000000000003,2.9327272727272726,3.4642376623376623,-0.0864057811539757,2.6733285714285713,0.06857653886124278,2.290601298701299,0.11708488231555604
11,CA,2013-07,4.48,0.12117913043478262,0.15611695652173913,0.19111913043478265,0.232388695652174,0.26758260869565215,0.40307869565217386,0.6838491304347826,3.796150869565218,-0.1924280723184905,0.020909090909090912,0.07363636363636367,0.12181818181818184,1.4031818181818183,2.5822727272727275,3.3072727272727276,3.605,1.897727272727273,-0.0864057811539757,1.1727272727272728,0.06857653886124278,0.8750000000000004,0.11708488231555604
12,CA,2013-08,4.813,0.11782999999999999,0.1493142857142857,0.1840704761904762,0.22633523809523812,0.2633952380952381,0.3949285714285714,0.6679499999999999,4.1450499999999995,-0.1924280723184905,0.03681818181818183,0.07181818181818184,0.12681818181818183,1.5204545454545455,2.7372727272727273,3.488181818181818,3.757727272727273,2.0757272727272724,-0.0864057811539757,1.324818181818182,0.06857653886124278,1.055272727272727,0.11708488231555604
13,CA,2013-10,4.1160000000000005,0.10426086956521738,0.13668260869565219,0.17241521739130433,0.21265,0.2417652173913043,0.36121521739130424,0.6177847826086957,3.498215217391305,-0.1924280723184905,0.1059090909090909,0.07590909090909094,0.12136363636363635,1.366818181818182,2.615909090909091,3.3795454545454544,3.6759090909090903,1.5000909090909094,-0.0864057811539757,0.7364545454545461,0.06857653886124278,0.4400909090909102,0.11708488231555604
14,CA,2014-02,4.705,0.08627,0.11939250000000004,0.155105,0.19663749999999997,0.23520249999999998,0.3308,0.554605,4.150395,-0.1924280723184905,0.046842105263157914,0.08105263157894738,0.11684210526315793,1.5157894736842106,2.7094736842105265,3.3847368421052626,3.6626315789473685,1.9955263157894736,-0.0864057811539757,1.3202631578947375,0.06857653886124278,1.0423684210526316,0.11708488231555604
15,CA,2014-03,5.8,0.0888,0.1207452380952381,0.15488333333333335,0.19711666666666672,0.23409761904761903,0.33106666666666673,0.5571428571428573,5.242857142857143,-0.1924280723184905,0.051428571428571455,0.07857142857142858,0.1280952380952381,1.6395238095238096,2.7233333333333327,3.3466666666666667,3.6209523809523807,3.076666666666667,-0.0864057811539757,2.453333333333333,0.06857653886124278,2.179047619047619,0.11708488231555604
16,CA,2014-04,4.53,0.08864000000000001,0.120115,0.1517,0.1918625,0.227495,0.32422500000000004,0.550005,3.979995,-0.1924280723184905,0.023333333333333345,0.05333333333333336,0.10761904761904763,1.7009523809523805,2.705238095238095,3.265238095238095,3.5176190476190476,1.824761904761905,-0.0864057811539757,1.2647619047619054,0.06857653886124278,1.0123809523809526,0.11708488231555604
17,CA,2014-08,4.25,0.090785,0.121725,0.15602,0.19527250000000002,0.23465000000000003,0.32965500000000003,0.55889,3.69111,-0.1924280723184905,0.030000000000000006,0.0523809523809524,0.10714285714285714,1.6314285714285717,2.42,2.9366666666666665,3.2009523809523808,1.83,-0.0864057811539757,1.3133333333333335,0.06857653886124278,1.0490476190476192,0.11708488231555604
18,CA,2015-06,5.95,0.12293636363636364,0.14681590909090908,0.1858840909090909,0.23472954545454539,0.2827113636363637,0.43974545454545466,0.7702659090909093,5.179734090909091,-0.1924280723184905,0.007727272727272728,0.08681818181818185,0.2754545454545455,1.6836363636363636,2.3636363636363638,2.8454545454545452,3.1118181818181814,3.5863636363636364,-0.0864057811539757,3.104545454545455,0.06857653886124278,2.838181818181819,0.11708488231555604
19,CA,2015-12,5.5,0.2286238095238095,0.289352380952381,0.3523071428571429,0.44092857142857156,0.5332357142857143,0.7638285714285715,1.0841380952380955,4.415861904761904,-0.1924280723184905,0.17181818181818184,0.4990909090909091,0.6536363636363638,1.6986363636363635,2.2427272727272736,2.6072727272727274,2.97,3.2572727272727264,-0.0864057811539757,2.8927272727272726,0.06857653886124278,2.53,0.11708488231555604
20,CA,2016-03,5.0,0.3739333333333333,0.39734047619047613,0.43639523809523806,0.5204357142857143,0.632,0.9009761904761905,1.2156690476190475,3.7843309523809525,-0.1924280723184905,0.2531818181818182,0.47,0.6563636363636364,1.3759090909090912,1.889090909090909,2.2759090909090913,2.6845454545454546,3.1109090909090913,-0.0864057811539757,2.7240909090909087,0.06857653886124278,2.3154545454545454,0.11708488231555604
21,CA,2016-08,5.0,0.41817045454545454,0.4429568181818182,0.5122418181818182,0.6351372727272727,0.810223181818182,1.1977463636363632,1.5097959090909088,3.4902040909090912,-0.1924280723184905,0.2608695652173914,0.4460869565217393,0.5682608695652173,1.1330434782608694,1.5565217391304347,1.8895652173913038,2.261739130434783,3.4434782608695653,-0.0864057811539757,3.110434782608696,0.06857653886124278,2.738260869565217,0.11708488231555604
22,CA,2016-09,4.28,0.42159363636363634,0.4495609090909092,0.5270018181818182,0.6625254545454545,0.8496804545454547,1.2471445454545458,1.5560313636363639,2.7239686363636366,-0.1924280723184905,0.1914285714285715,0.4671428571428572,0.5933333333333333,1.178095238095238,1.6304761904761906,2.0152380952380957,2.350476190476191,2.6495238095238096,-0.0864057811539757,2.2647619047619045,0.06857653886124278,1.9295238095238094,0.11708488231555604
23,CA,2016-12,4.14,0.5606285,0.6315605,0.7119585,0.7883325000000001,0.9753284999999998,1.3063339999999999,1.6692235,2.4707764999999995,-0.1924280723184905,0.42333333333333334,0.638095238095238,0.8661904761904763,1.9590476190476194,2.491904761904762,2.835238095238095,3.1133333333333324,1.6480952380952378,-0.0864057811539757,1.3047619047619046,0.06857653886124278,1.0266666666666673,0.11708488231555604
24,CA,2017-03,3.65,0.8095565217391305,0.8706386956521739,0.9286352173913045,0.982656956521739,1.134713043478261,1.4258673913043478,1.8069104347826086,1.8430895652173913,-0.1924280723184905,0.662608695652174,0.8856521739130436,1.0104347826086957,2.013478260869565,2.4817391304347827,2.8317391304347823,3.0813043478260873,1.1682608695652172,-0.0864057811539757,0.8182608695652176,0.06857653886124278,0.5686956521739126,0.11708488231555604
25,CA,2017-07,4.0,1.1766928571428568,1.1913757142857144,1.2280366666666667,1.2566676190476191,1.307512857142857,1.4570814285714284,1.7410885714285718,2.2589114285714285,-0.1924280723184905,0.9720000000000001,1.1284999999999996,1.2235,1.8720000000000003,2.3179999999999996,2.6505,2.884,1.6820000000000004,-0.0864057811539757,1.3495,0.06857653886124278,1.116,0.11708488231555604
26,CA,2017-09,4.11,1.1784444999999997,1.1967471428571432,1.23492,1.2721638095238097,1.3232957142857147,1.4732157142857143,1.738246666666667,2.3717533333333334,-0.1924280723184905,0.9940000000000001,1.171,1.2799999999999998,1.7975,2.2020000000000004,2.5300000000000002,2.7764999999999995,1.908,-0.0864057811539757,1.58,0.06857653886124278,1.3335000000000008,0.11708488231555604
27,CA,2018-02,3.89,1.4432573684210526,1.4712210000000003,1.6018225000000001,1.722691,1.874672,2.0893395000000003,2.3701375000000002,1.5198625,-0.1924280723184905,1.3805263157894736,1.7857894736842108,1.9636842105263155,2.599473684210526,2.8589473684210525,3.016842105263158,3.1310526315789478,1.0310526315789477,-0.0864057811539757,0.8731578947368419,0.06857653886124278,0.7589473684210524,0.11708488231555604
