,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
0,NEW YORK,2012-12,2.78,New Construction,0.1631578947368421,2.616842105263158,-0.9999999999999999,0.1875157894736842,2.5924842105263157,-1.0,0.21092631578947374,2.569073684210526,-0.9999999999999999,0.2552894736842105,2.5247105263157894,-0.9999999999999999,0.30947368421052623,2.4705263157894737,-1.0,0.5145657894736843,2.2654342105263154,-1.0,0.8483157894736841,1.9316842105263157,-1.0,0.039500000000000014,2.7405,-1.0,0.11950000000000005,2.6605,-1.0,0.1585,2.6214999999999997,-1.0,0.6960000000000001,2.0839999999999996,1.0,1.7189999999999999,1.061,1.0,2.4675000000000002,0.31249999999999956,1.0,2.8835,-0.10350000000000037,1.0,37160101000.5239,1.0,12022315813.7363,-1.0,89.6061116730853,-1.0,3.0,-1.0,5.9,-1.0
1,NEW YORK,2014-04,4.98,New Construction,0.08864000000000001,4.891360000000001,-0.9999999999999999,0.120115,4.859885,-1.0,0.1517,4.8283000000000005,-0.9999999999999999,0.1918625,4.7881375,-0.9999999999999999,0.227495,4.752505,-1.0,0.32422500000000004,4.655775,-1.0,0.550005,4.429995000000001,-1.0,0.023333333333333345,4.956666666666667,-1.0,0.05333333333333336,4.926666666666667,-1.0,0.10761904761904763,4.8723809523809525,-1.0,1.7009523809523805,3.2790476190476197,1.0,2.705238095238095,2.274761904761905,1.0,3.265238095238095,1.7147619047619056,1.0,3.5176190476190476,1.4623809523809528,1.0,41561863313.5151,1.0,10011024566.6146,-1.0,85.3165844012547,-1.0,2.7,-1.0,4.7,-1.0
