,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-4),Corr with student_vol(-4),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(3),Corr with mortgage 90(3)
0,2011-07,LA,BATON ROUGE,2011-07,3.4,"(-91.178885, 30.388571999999996)",8014.55,New Construction,0.12388095238095237,-0.10719304098142571,0.1598857142857143,-0.10742633013261187,0.18661904761904766,-0.10360472831895272,0.2182333333333334,-0.11515643397880089,0.24991190476190472,-0.1484747187784064,0.41392857142857137,-0.22543478923038016,0.7452261904761905,-0.27348477887391526,0.037500000000000006,-0.0644670572592837,0.08400000000000002,-0.0866422174407588,0.185,-0.09257279353455107,1.541,0.3130308280898407,3.003,0.4713791532379578,3.9475000000000002,0.3562020093599201,4.2705,0.29008852211751723,34623712775.9563,0.2005846504447743,11311909309.5948,-0.6354315217113131,91.3646878868074,-0.7197109111801748,4.5,-0.31543168596780785,3.3,-0.29124349790319487
1,2012-05,LA,BATON ROUGE,2012-05,3.74,"(-91.07969399999999, 30.385369)",92673.61,New Construction,0.15161363636363637,-0.10719304098142571,0.19053181818181822,-0.10742633013261187,0.23893181818181805,-0.10360472831895272,0.3457045454545453,-0.11515643397880089,0.4665318181818183,-0.1484747187784064,0.732990909090909,-0.22543478923038016,1.0615068181818177,-0.27348477887391526,0.06590909090909093,-0.0644670572592837,0.14545454545454548,-0.0866422174407588,0.19181818181818186,-0.09257279353455107,0.7618181818181818,0.3130308280898407,1.8031818181818189,0.4713791532379578,2.525909090909091,0.3562020093599201,2.930909090909091,0.29008852211751723,37160101000.5239,0.2005846504447743,11510278467.2037,-0.6354315217113131,89.6061116730853,-0.7197109111801748,4.8,-0.31543168596780785,3.1,-0.29124349790319487
2,2012-12,LA,BATON ROUGE,2012-12,2.83,"(-91.178949, 30.400327)",133294.95,New Construction,0.1631578947368421,-0.10719304098142571,0.1875157894736842,-0.10742633013261187,0.21092631578947374,-0.10360472831895272,0.2552894736842105,-0.11515643397880089,0.30947368421052623,-0.1484747187784064,0.5145657894736843,-0.22543478923038016,0.8483157894736841,-0.27348477887391526,0.039500000000000014,-0.0644670572592837,0.11950000000000005,-0.0866422174407588,0.1585,-0.09257279353455107,0.6960000000000001,0.3130308280898407,1.7189999999999999,0.4713791532379578,2.4675000000000002,0.3562020093599201,2.8835,0.29008852211751723,39298206327.5877,0.2005846504447743,11986368496.8635,-0.6354315217113131,88.920473853359,-0.7197109111801748,3.9,-0.31543168596780785,3.2,-0.29124349790319487
3,2013-07,LA,BATON ROUGE,2013-07,3.84,"(-91.018488, 30.394877)",95899.48,New Construction,0.12117913043478262,-0.10719304098142571,0.15611695652173913,-0.10742633013261187,0.19111913043478265,-0.10360472831895272,0.232388695652174,-0.11515643397880089,0.26758260869565215,-0.1484747187784064,0.40307869565217386,-0.22543478923038016,0.6838491304347826,-0.27348477887391526,0.020909090909090912,-0.0644670572592837,0.07363636363636367,-0.0866422174407588,0.12181818181818184,-0.09257279353455107,1.4031818181818183,0.3130308280898407,2.5822727272727275,0.4713791532379578,3.3072727272727276,0.3562020093599201,3.605,0.29008852211751723,41244159430.5284,0.2005846504447743,9855625468.0504,-0.6354315217113131,85.7873584996498,-0.7197109111801748,4.5,-0.31543168596780785,2.6,-0.29124349790319487
4,2013-12,LA,BATON ROUGE,2013-12,5.15,"(-91.13777900000001, 30.488549)",10911.48,New Construction,0.10022500000000001,-0.10719304098142571,0.1273025,-0.10742633013261187,0.16723,-0.10360472831895272,0.2127325,-0.11515643397880089,0.24389749999999996,-0.1484747187784064,0.34639499999999995,-0.22543478923038016,0.579045,-0.27348477887391526,0.019047619047619053,-0.0644670572592837,0.09523809523809526,-0.0866422174407588,0.13285714285714287,-0.09257279353455107,1.5761904761904764,0.3130308280898407,2.901904761904762,0.4713791532379578,3.6266666666666674,0.3562020093599201,3.889047619047619,0.29008852211751723,44555116847.5878,0.2005846504447743,10210246554.7955,-0.6354315217113131,80.910251046009,-0.7197109111801748,3.1,-0.31543168596780785,2.5,-0.29124349790319487
5,2014-10,LA,BATON ROUGE,2014-10,4.08,"(-91.18803, 30.450492999999998)",74638.0,New Construction,0.09059565217391304,-0.10719304098142571,0.11953260869565213,-0.10742633013261187,0.15351739130434783,-0.10360472831895272,0.1974043478260869,-0.11515643397880089,0.2313760869565217,-0.1484747187784064,0.3236195652173913,-0.22543478923038016,0.5523869565217392,-0.27348477887391526,0.020909090909090912,-0.0644670572592837,0.05045454545454548,-0.0866422174407588,0.10454545454545458,-0.09257279353455107,1.5459090909090911,0.3130308280898407,2.304090909090909,0.4713791532379578,2.7731818181818184,0.3562020093599201,3.039999999999999,0.29008852211751723,45667781053.6763,0.2005846504447743,10121843859.6075,-0.6354315217113131,80.33849809561521,-0.7197109111801748,3.6,-0.31543168596780785,2.4,-0.29124349790319487
6,2015-02,LA,BATON ROUGE,2015-02,4.13,"(-91.13752, 30.522751)",38892.88,New Construction,0.11784999999999998,-0.10719304098142571,0.13764249999999997,-0.10742633013261187,0.17207499999999998,-0.10360472831895272,0.2121925,-0.11515643397880089,0.25842,-0.1484747187784064,0.37596500000000005,-0.22543478923038016,0.6601375,-0.27348477887391526,0.017894736842105265,-0.0644670572592837,0.07105263157894741,-0.0866422174407588,0.22421052631578947,-0.09257279353455107,1.472631578947368,0.3130308280898407,1.9752631578947366,0.4713791532379578,2.3384210526315794,0.3562020093599201,2.566315789473684,0.29008852211751723,47692027772.9219,0.2005846504447743,10950177839.1879,-0.6354315217113131,83.34061286074021,-0.7197109111801748,3.1,-0.31543168596780785,2.1,-0.29124349790319487
7,2015-09,LA,BATON ROUGE,2015-09,3.83,"(122.58233600000001, 10.69852)",29135.6,New Construction,0.1344409090909091,-0.10719304098142571,0.15661363636363634,-0.10742633013261187,0.20107727272727274,-0.10360472831895272,0.26589318181818195,-0.11515643397880089,0.3311113636363637,-0.1484747187784064,0.5371681818181817,-0.22543478923038016,0.8526636363636364,-0.27348477887391526,0.008571428571428572,-0.0644670572592837,0.17952380952380947,-0.0866422174407588,0.3733333333333333,-0.09257279353455107,1.4900000000000002,0.3130308280898407,2.1728571428571435,0.4713791532379578,2.618095238095238,0.3562020093599201,2.9528571428571433,0.29008852211751723,48291644449.3811,0.2005846504447743,11119760586.3258,-0.6354315217113131,82.3313446344394,-0.7197109111801748,4.5,-0.31543168596780785,1.8,-0.29124349790319487
8,2016-09,LA,BATON ROUGE,2016-09,3.375,"(106.833, 14.8)",99654.875,New Construction,0.42159363636363634,-0.10719304098142571,0.4495609090909092,-0.10742633013261187,0.5270018181818182,-0.10360472831895272,0.6625254545454545,-0.11515643397880089,0.8496804545454547,-0.1484747187784064,1.2471445454545458,-0.22543478923038016,1.5560313636363639,-0.27348477887391526,0.1914285714285715,-0.0644670572592837,0.4671428571428572,-0.0866422174407588,0.5933333333333333,-0.09257279353455107,1.178095238095238,0.3130308280898407,1.6304761904761906,0.4713791532379578,2.0152380952380957,0.3562020093599201,2.350476190476191,0.29008852211751723,51124149514.2735,0.2005846504447743,11703539581.608,-0.6354315217113131,88.1697673489486,-0.7197109111801748,3.6,-0.31543168596780785,2.2,-0.29124349790319487
9,2017-02,LA,BATON ROUGE,2017-02,3.49,"(-91.019975, 30.438194)",68458.99,New Construction,0.6863609999999999,-0.10719304098142571,0.7163664999999999,-0.10742633013261187,0.7767084999999999,-0.10360472831895272,0.8480275,-0.11515643397880089,1.0445964999999997,-0.1484747187784064,1.3514585000000001,-0.22543478923038016,1.723958,-0.27348477887391526,0.48210526315789465,-0.0644670572592837,0.653157894736842,-0.0866422174407588,0.8205263157894739,-0.09257279353455107,1.9015789473684213,0.3130308280898407,2.4189473684210525,0.4713791532379578,2.763684210526316,0.3562020093599201,3.0321052631578946,0.29008852211751723,48693341763.9087,0.2005846504447743,11692339154.1207,-0.6354315217113131,89.1832712740787,-0.7197109111801748,2.9,-0.31543168596780785,2.0,-0.29124349790319487
10,2017-12,LA,BATON ROUGE,2017-12,3.75,"(106.833, 14.8)",98957.195,New Construction,1.3144094736842107,-0.10719304098142571,1.3913115789473685,-0.10742633013261187,1.4850410526315792,-0.10360472831895272,1.5354463157894738,-0.11515643397880089,1.6017521052631578,-0.1484747187784064,1.7680373684210524,-0.22543478923038016,2.0434931578947366,-0.27348477887391526,1.204,-0.0644670572592837,1.4950000000000003,-0.0866422174407588,1.7005,-0.09257279353455107,2.1819999999999995,0.3130308280898407,2.4025,0.4713791532379578,2.5970000000000004,0.3562020093599201,2.768,0.29008852211751723,50828048870.0026,0.2005846504447743,12103218541.1776,-0.6354315217113131,88.50967086025801,-0.7197109111801748,3.4,-0.31543168596780785,1.9,-0.29124349790319487
11,2018-01,LA,BATON ROUGE,2018-01,3.87,"(-91.1755593, 30.4547517)",30903.24,New Construction,1.4378880952380952,-0.10719304098142571,1.467563181818182,-0.10742633013261187,1.5610881818181819,-0.10360472831895272,1.6355336363636364,-0.11515643397880089,1.733970909090909,-0.1484747187784064,1.9067609090909092,-0.22543478923038016,2.196459545454545,-0.27348477887391526,1.3000000000000003,-0.0644670572592837,1.6199999999999994,-0.0866422174407588,1.8028571428571425,-0.09257279353455107,2.381904761904762,0.3130308280898407,2.5838095238095242,0.4713791532379578,2.7342857142857144,0.3562020093599201,2.8776190476190475,0.29008852211751723,50505964400.0098,0.2005846504447743,11813706431.8634,-0.6354315217113131,88.437943439718,-0.7197109111801748,3.8,-0.31543168596780785,1.9,-0.29124349790319487
