,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2011-04,AR,LITTLE ROCK,2011-04,3.925,"(-92.26933000000001, 34.742104)",29594.649999999998,New Construction,0.14759444444444447,-0.3271487937695967,0.19237777777777781,-0.26944731403399824,0.22143500000000005,-0.23649993765152164,0.25190277777777786,-0.2352836829719742,0.28138222222222226,-0.24786241590328942,0.44229888888888896,-0.28013523075978985,0.7700555555555555,-0.30710722012631475,0.029500000000000005,-0.327565483214943,0.11950000000000002,-0.31086431672128095,0.24650000000000002,-0.24635747052176254,2.169,0.3811523837523385,3.4549999999999996,0.4156316526146088,4.276000000000001,0.40575934827725657,4.5015,0.38905747669824187,31754785132.2305,-0.26547339173764395,12477113046.1263,0.24596494630551002,88.33905735772379,0.33491642215336703,3.9,0.5061995618379764,2.6,0.21667209767230466,-92.26933000000001,34.742104
1,2011-07,AR,LITTLE ROCK,2011-07,4.23,"(-92.2896, 34.7465)",92303.67,New Construction,0.12388095238095237,-0.3271487937695967,0.1598857142857143,-0.26944731403399824,0.18661904761904766,-0.23649993765152164,0.2182333333333334,-0.2352836829719742,0.24991190476190472,-0.24786241590328942,0.41392857142857137,-0.28013523075978985,0.7452261904761905,-0.30710722012631475,0.037500000000000006,-0.327565483214943,0.08400000000000002,-0.31086431672128095,0.185,-0.24635747052176254,1.541,0.3811523837523385,3.003,0.4156316526146088,3.9475000000000002,0.40575934827725657,4.2705,0.38905747669824187,34825519831.2788,-0.26547339173764395,11784187253.6333,0.24596494630551002,90.35087768078328,0.33491642215336703,4.3,0.5061995618379764,3.0,0.21667209767230466,-92.2896,34.7465
2,2011-09,AR,LITTLE ROCK,2011-09,4.33,"(-112.13004199999999, 33.627303000000005)",11351.2,New Construction,0.14525181818181823,-0.3271487937695967,0.1884,-0.26944731403399824,0.23085045454545455,-0.23649993765152164,0.2845913636363636,-0.2352836829719742,0.3502268181818181,-0.24786241590328942,0.5222018181818182,-0.28013523075978985,0.8332045454545454,-0.30710722012631475,0.005714285714285713,-0.327565483214943,0.04333333333333335,-0.31086431672128095,0.10476190476190479,-0.24635747052176254,0.9004761904761904,0.3811523837523385,1.9752380952380955,0.4156316526146088,2.8271428571428574,0.40575934827725657,3.182380952380953,0.38905747669824187,35385458151.3724,-0.26547339173764395,11510278467.2037,0.24596494630551002,90.7743282432688,0.33491642215336703,4.6,0.5061995618379764,3.3,0.21667209767230466,-112.13004199999999,33.627303000000005
3,2013-01,AR,LITTLE ROCK,2013-01,2.5,"(-92.44579, 34.740017)",20622.184999999998,New Construction,0.16043181818181818,-0.3271487937695967,0.17947272727272726,-0.26944731403399824,0.20497272727272725,-0.23649993765152164,0.2497954545454545,-0.2352836829719742,0.30261363636363625,-0.24786241590328942,0.48810454545454546,-0.28013523075978985,0.8142727272727271,-0.30710722012631475,0.05190476190476192,-0.327565483214943,0.10761904761904766,-0.31086431672128095,0.14523809523809525,-0.24635747052176254,0.8052380952380951,0.3811523837523385,1.9147619047619049,0.4156316526146088,2.681428571428571,0.40575934827725657,3.0804761904761913,0.38905747669824187,40995097959.5386,-0.26547339173764395,9498561196.652071,0.24596494630551002,88.29263433660921,0.33491642215336703,3.2,0.5061995618379764,2.8,0.21667209767230466,-92.44579,34.740017
4,2013-05,AR,LITTLE ROCK,2013-05,3.7,"(-92.2896, 34.7465)",22925.42,New Construction,0.1435047619047619,-0.3271487937695967,0.1638380952380952,-0.26944731403399824,0.19670952380952378,-0.23649993765152164,0.23396000000000003,-0.2352836829719742,0.27416904761904765,-0.24786241590328942,0.42137333333333327,-0.28013523075978985,0.6936104761904763,-0.30710722012631475,0.020454545454545458,-0.327565483214943,0.08090909090909093,-0.31086431672128095,0.11863636363636366,-0.24635747052176254,0.840909090909091,0.3811523837523385,1.9281818181818182,0.4156316526146088,2.7286363636363635,0.40575934827725657,3.112727272727273,0.38905747669824187,41062625933.5941,-0.26547339173764395,10216278752.7557,0.24596494630551002,86.47441597957871,0.33491642215336703,3.8,0.5061995618379764,2.7,0.21667209767230466,-92.2896,34.7465
5,2013-07,AR,LITTLE ROCK,2013-07,5.08,"(-92.2896, 34.7465)",11212.66,New Construction,0.12117913043478262,-0.3271487937695967,0.15611695652173913,-0.26944731403399824,0.19111913043478265,-0.23649993765152164,0.232388695652174,-0.2352836829719742,0.26758260869565215,-0.24786241590328942,0.40307869565217386,-0.28013523075978985,0.6838491304347826,-0.30710722012631475,0.020909090909090912,-0.327565483214943,0.07363636363636367,-0.31086431672128095,0.12181818181818184,-0.24635747052176254,1.4031818181818183,0.3811523837523385,2.5822727272727275,0.4156316526146088,3.3072727272727276,0.40575934827725657,3.605,0.38905747669824187,41658198449.9001,-0.26547339173764395,10396023519.0372,0.24596494630551002,88.4263020205016,0.33491642215336703,3.6,0.5061995618379764,2.6,0.21667209767230466,-92.2896,34.7465
6,2016-08,AR,LITTLE ROCK,2016-08,3.49,"(-92.440306, 34.737122)",84327.88,New Construction,0.41817045454545454,-0.3271487937695967,0.4429568181818182,-0.26944731403399824,0.5122418181818182,-0.23649993765152164,0.6351372727272727,-0.2352836829719742,0.810223181818182,-0.24786241590328942,1.1977463636363632,-0.28013523075978985,1.5097959090909088,-0.30710722012631475,0.2608695652173914,-0.327565483214943,0.4460869565217393,-0.31086431672128095,0.5682608695652173,-0.24635747052176254,1.1330434782608694,0.3811523837523385,1.5565217391304347,0.4156316526146088,1.8895652173913038,0.40575934827725657,2.261739130434783,0.38905747669824187,51124149514.2735,-0.26547339173764395,12605986919.9069,0.24596494630551002,88.1697673489486,0.33491642215336703,2.7,0.5061995618379764,1.5,0.21667209767230466,-92.440306,34.737122
