,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol,Corr with student_vol,credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-05,VA,NORFOLK,2010-05,3.73,"(-75.17198499999999, 39.901118)",23510,140035.67,New Construction,0.2957715789473684,-0.20480671812916193,0.3152057894736842,-0.21185527200026238,0.3354642105263158,-0.22948716811732908,0.39242105263157895,-0.281092225580403,0.45851421052631586,-0.3572167090161292,0.6592468421052632,-0.46805545752622785,1.129987894736842,-0.5067857089023935,0.147,-0.20255236531789,0.22350000000000003,-0.24750221183847537,0.37099999999999994,-0.23991826985449594,2.1799999999999997,0.5128475113949896,3.4199999999999995,0.6704823291656145,4.1145,0.6488272178930621,4.286,0.6400768951755368,28477062769.4533,-0.036792542621341566,11978266411.3233,-0.9176138295797722,94.51558950569391,-0.42412648916077744,3.9,-0.2495416733663962,3.3,-0.232057878879905,-75.17198499999999,39.901118
1,2011-06,VA,NORFOLK,2011-06,4.19,"(-79.581416, 43.790532)",23510,50914.74,New Construction,0.12706818181818183,-0.20480671812916193,0.1615431818181819,-0.21185527200026238,0.18716409090909092,-0.22948716811732908,0.21923909090909086,-0.281092225580403,0.24782409090909094,-0.3572167090161292,0.39758,-0.46805545752622785,0.7268749999999999,-0.5067857089023935,0.0190909090909091,-0.20255236531789,0.1013636363636364,-0.24750221183847537,0.18090909090909094,-0.23991826985449594,1.5799999999999998,0.5128475113949896,3.002272727272727,0.6704823291656145,3.9145454545454546,0.6488272178930621,4.2327272727272724,0.6400768951755368,31754785132.2305,-0.036792542621341566,12472473242.0863,-0.9176138295797722,91.3646878868074,-0.42412648916077744,3.8,-0.2495416733663962,3.0,-0.232057878879905,-79.581416,43.790532
2,2012-07,VA,NORFOLK,2012-07,2.74,"(-85.17638000000001, 39.91813)",23509,86575.78,New Construction,0.16720454545454547,-0.20480671812916193,0.19873636363636368,-0.21185527200026238,0.24646136363636365,-0.22948716811732908,0.34024999999999994,-0.281092225580403,0.4535545454545455,-0.3572167090161292,0.7302181818181818,-0.46805545752622785,1.0653181818181816,-0.5067857089023935,0.06952380952380956,-0.20255236531789,0.14571428571428574,-0.24750221183847537,0.18571428571428572,-0.23991826985449594,0.6195238095238095,0.5128475113949896,1.5266666666666664,0.6704823291656145,2.217142857142857,0.6488272178930621,2.5900000000000003,0.6400768951755368,37571290060.6541,-0.036792542621341566,16111780903.4699,-0.9176138295797722,90.2956809830492,-0.42412648916077744,3.9,-0.2495416733663962,3.3,-0.232057878879905,-85.17638000000001,39.91813
3,2013-09,VA,NORFOLK,2013-09,4.52,"(-76.222926, 36.862004)",23502,40576.43,New Construction,0.11272380952380952,-0.20480671812916193,0.14323238095238094,-0.21185527200026238,0.18057476190476196,-0.22948716811732908,0.22133904761904755,-0.281092225580403,0.2531785714285715,-0.3572167090161292,0.38033809523809525,-0.46805545752622785,0.6526857142857143,-0.5067857089023935,0.017500000000000005,-0.20255236531789,0.04150000000000001,-0.24750221183847537,0.11850000000000002,-0.23991826985449594,1.5959999999999999,0.5128475113949896,2.8095,0.6704823291656145,3.526,0.6488272178930621,3.7870000000000004,0.6400768951755368,41658198449.9001,-0.036792542621341566,10216278752.7557,-0.9176138295797722,84.4459748156831,-0.42412648916077744,3.0,-0.2495416733663962,2.4,-0.232057878879905,-76.222926,36.862004
4,2014-08,VA,NORFOLK,2014-08,4.08,"(-76.22139200000001, 36.862149)",23502,62593.3,New Construction,0.090785,-0.20480671812916193,0.121725,-0.21185527200026238,0.15602,-0.22948716811732908,0.19527250000000002,-0.281092225580403,0.23465000000000003,-0.3572167090161292,0.32965500000000003,-0.46805545752622785,0.55889,-0.5067857089023935,0.030000000000000006,-0.20255236531789,0.0523809523809524,-0.24750221183847537,0.10714285714285714,-0.23991826985449594,1.6314285714285717,0.5128475113949896,2.42,0.6704823291656145,2.9366666666666665,0.6488272178930621,3.2009523809523808,0.6400768951755368,44591810060.8257,-0.036792542621341566,11117378455.0815,-0.9176138295797722,82.4770523961592,-0.42412648916077744,3.1,-0.2495416733663962,2.0,-0.232057878879905,-76.22139200000001,36.862149
5,2016-12,VA,NORFOLK,2016-12,3.49,"(-76.2916, 36.8465)",23523,19030.14,New Construction,0.5606285,-0.20480671812916193,0.6315605,-0.21185527200026238,0.7119585,-0.22948716811732908,0.7883325000000001,-0.281092225580403,0.9753284999999998,-0.3572167090161292,1.3063339999999999,-0.46805545752622785,1.6692235,-0.5067857089023935,0.42333333333333334,-0.20255236531789,0.638095238095238,-0.24750221183847537,0.8661904761904763,-0.23991826985449594,1.9590476190476194,0.5128475113949896,2.491904761904762,0.6704823291656145,2.835238095238095,0.6488272178930621,3.1133333333333324,0.6400768951755368,48913265551.9221,-0.036792542621341566,12605986919.9069,-0.9176138295797722,89.1200725980081,-0.42412648916077744,2.5,-0.2495416733663962,1.7,-0.232057878879905,-76.2916,36.8465
6,2017-08,VA,NORFOLK,2017-08,3.7,"(-76.284591, 36.852115000000005)",23510,34754.46,New Construction,1.1775518181818179,-0.20480671812916193,1.197803181818182,-0.21185527200026238,1.2317690909090908,-0.22948716811732908,1.264191818181818,-0.281092225580403,1.314176818181818,-0.3572167090161292,1.453699090909091,-0.46805545752622785,1.7253381818181814,-0.5067857089023935,0.9795652173913042,-0.20255236531789,1.1291304347826083,-0.24750221183847537,1.2291304347826086,-0.23991826985449594,1.7765217391304353,0.5128475113949896,2.209130434782609,0.6704823291656145,2.552173913043478,0.6488272178930621,2.795217391304348,0.6400768951755368,49855182727.6109,-0.036792542621341566,12103218541.1776,-0.9176138295797722,88.55316323110772,-0.42412648916077744,3.0,-0.2495416733663962,1.6,-0.232057878879905,-76.284591,36.852115000000005
