,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(2),Corr with mortgage 90(2)
0,AL,MONTGOMERY,2014-11,4.18,New Construction,0.09656999999999999,4.08343,-0.35234545769521153,0.12222499999999999,4.0577749999999995,-0.35543288059635414,0.1548075,4.025192499999999,-0.36342108887056523,0.20246,3.97754,-0.38085496496152443,0.23286250000000003,3.9471374999999997,-0.4488547749999534,0.32679500000000006,3.8532049999999995,-0.524046733524505,0.56206,3.61794,-0.5579149627992978,0.04166666666666668,4.138333333333333,-0.32247335792957815,0.06944444444444448,4.110555555555555,-0.3734286126595551,0.13444444444444448,4.045555555555556,-0.4450671326495945,1.6205555555555557,2.559444444444444,-0.6914687688941474,2.325555555555556,1.854444444444444,-0.4739920994087122,2.7644444444444445,1.4155555555555552,-0.22866982488197762,3.038333333333333,1.1416666666666666,-0.1921691021616425,44940573200.2924,-0.8383041661442165,10950177839.1879,-0.6788096005060774,82.122236078369,-0.6719062453662048,3.5,-0.47687849085644257,2.6,0.6171655781918094
1,AL,MONTGOMERY,2015-02,3.87,New Construction,0.11784999999999998,3.7521500000000003,-0.35234545769521153,0.13764249999999997,3.7323575,-0.35543288059635414,0.17207499999999998,3.697925,-0.36342108887056523,0.2121925,3.6578075,-0.38085496496152443,0.25842,3.61158,-0.4488547749999534,0.37596500000000005,3.4940350000000002,-0.524046733524505,0.6601375,3.2098625,-0.5579149627992978,0.017894736842105265,3.852105263157895,-0.32247335792957815,0.07105263157894741,3.798947368421053,-0.3734286126595551,0.22421052631578947,3.6457894736842107,-0.4450671326495945,1.472631578947368,2.397368421052632,-0.6914687688941474,1.9752631578947366,1.8947368421052635,-0.4739920994087122,2.3384210526315794,1.5315789473684207,-0.22866982488197762,2.566315789473684,1.303684210526316,-0.1921691021616425,45758876905.2845,-0.8383041661442165,11733364706.6996,-0.6788096005060774,83.34061286074021,-0.6719062453662048,3.0,-0.47687849085644257,2.0,0.6171655781918094
2,AL,MONTGOMERY,2017-01,3.3,New Construction,0.6908933333333332,2.6091066666666665,-0.35234545769521153,0.720819523809524,2.579180476190476,-0.35543288059635414,0.7713747619047617,2.528625238095238,-0.36342108887056523,0.8375133333333332,2.4624866666666665,-0.38085496496152443,1.0256928571428574,2.2743071428571424,-0.4488547749999534,1.3400880952380954,1.9599119047619045,-0.524046733524505,1.7079285714285712,1.5920714285714286,-0.5579149627992978,0.496,2.804,-0.32247335792957815,0.617,2.683,-0.3734286126595551,0.8255000000000002,2.4744999999999995,-0.4450671326495945,1.9164999999999996,1.3835000000000002,-0.6914687688941474,2.4325,0.8674999999999997,-0.4739920994087122,2.7475,0.5524999999999998,-0.22866982488197762,3.0189999999999997,0.28100000000000014,-0.1921691021616425,49588706606.1033,-0.8383041661442165,12605986919.9069,-0.6788096005060774,89.1200725980081,-0.6719062453662048,4.2,-0.47687849085644257,1.1,0.6171655781918094
3,AL,MONTGOMERY,2017-08,4.2,New Construction,1.1775518181818179,3.0224481818181825,-0.35234545769521153,1.197803181818182,3.002196818181818,-0.35543288059635414,1.2317690909090908,2.9682309090909094,-0.36342108887056523,1.264191818181818,2.9358081818181825,-0.38085496496152443,1.314176818181818,2.885823181818182,-0.4488547749999534,1.453699090909091,2.746300909090909,-0.524046733524505,1.7253381818181814,2.4746618181818185,-0.5579149627992978,0.9795652173913042,3.220434782608696,-0.32247335792957815,1.1291304347826083,3.070869565217392,-0.3734286126595551,1.2291304347826086,2.9708695652173915,-0.4450671326495945,1.7765217391304353,2.423478260869565,-0.6914687688941474,2.209130434782609,1.9908695652173911,-0.4739920994087122,2.552173913043478,1.6478260869565222,-0.22866982488197762,2.795217391304348,1.404782608695652,-0.1921691021616425,47520522623.6854,-0.8383041661442165,11814606928.6527,-0.6788096005060774,87.3618752869242,-0.6719062453662048,3.5,-0.47687849085644257,1.3,0.6171655781918094
4,AL,MONTGOMERY,2017-10,3.25,New Construction,1.1834895238095235,2.0665104761904765,-0.35234545769521153,1.2040609090909093,2.0459390909090907,-0.35543288059635414,1.2385486363636362,2.011451363636364,-0.36342108887056523,1.287584090909091,1.962415909090909,-0.38085496496152443,1.3607931818181818,1.8892068181818182,-0.4488547749999534,1.541957272727273,1.708042727272727,-0.524046733524505,1.8208568181818179,1.4291431818181821,-0.5579149627992978,0.9957142857142858,2.2542857142857144,-0.32247335792957815,1.2495238095238093,2.0004761904761907,-0.3734286126595551,1.3976190476190478,1.8523809523809522,-0.4450671326495945,1.9809523809523806,1.2690476190476194,-0.6914687688941474,2.3600000000000003,0.8899999999999997,-0.4739920994087122,2.649047619047619,0.6009523809523811,-0.22866982488197762,2.8780952380952383,0.37190476190476174,-0.1921691021616425,49855182727.6109,-0.8383041661442165,11813706431.8634,-0.6788096005060774,88.1148323663994,-0.6719062453662048,3.5,-0.47687849085644257,1.3,0.6171655781918094
