,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-2),Corr with mortgage 90(-2)
0,DES MOINES,2010-11,3.68,New Construction,0.22869727272727272,3.4513027272727275,-0.2756500408484731,0.24913818181818187,3.4308618181818185,-0.16480905691144326,0.2541922727272727,3.4258077272727276,-0.09070028443177158,0.27004181818181816,3.409958181818182,0.014374791622216351,0.2871204545454545,3.3928795454545457,0.05202427035968223,0.44597000000000014,3.23403,0.04316471164181522,0.7651345454545454,2.914865454545455,0.04168916857791971,0.13400000000000004,3.5460000000000003,-0.27807177491269275,0.182,3.498,-0.29998306684236364,0.25200000000000006,3.428,-0.47338608969991813,1.35,2.33,-0.0009956048718966558,2.7630000000000003,0.9169999999999998,0.380472220209357,3.817999999999999,-0.137999999999999,0.43744178007150486,4.186,-0.5059999999999998,0.4515242894638101,31565012894.7234,-0.5338805921952915,12342273869.2704,-0.6916765141468556,92.4549564204629,0.48454236101714665,2.5,0.5794863304609209,2.4,0.5179125402319714
1,DES MOINES,2011-04,4.08,New Construction,0.14759444444444447,3.9324055555555555,-0.2756500408484731,0.19237777777777781,3.8876222222222223,-0.16480905691144326,0.22143500000000005,3.858565,-0.09070028443177158,0.25190277777777786,3.828097222222222,0.014374791622216351,0.28138222222222226,3.798617777777778,0.05202427035968223,0.44229888888888896,3.6377011111111113,0.04316471164181522,0.7700555555555555,3.3099444444444446,0.04168916857791971,0.029500000000000005,4.0505,-0.27807177491269275,0.11950000000000002,3.9605,-0.29998306684236364,0.24650000000000002,3.8335,-0.47338608969991813,2.169,1.911,-0.0009956048718966558,3.4549999999999996,0.6250000000000004,0.380472220209357,4.276000000000001,-0.19600000000000062,0.43744178007150486,4.5015,-0.4215,0.4515242894638101,31754785132.2305,-0.5338805921952915,11726514214.1317,-0.6916765141468556,91.59671843464591,0.48454236101714665,2.6,0.5794863304609209,2.4,0.5179125402319714
2,DES MOINES,2012-01,4.07,New Construction,0.14564761904761903,3.9243523809523815,-0.2756500408484731,0.2014238095238095,3.868576190476191,-0.16480905691144326,0.28289523809523814,3.787104761904762,-0.09070028443177158,0.41424761904761903,3.6557523809523813,0.014374791622216351,0.5659000000000001,3.5041,0.05202427035968223,0.7969761904761906,3.2730238095238096,0.04316471164181522,1.1145476190476191,2.955452380952381,0.04168916857791971,0.0245,4.0455000000000005,-0.27807177491269275,0.06550000000000003,4.0045,-0.29998306684236364,0.11500000000000003,3.955,-0.47338608969991813,0.835,3.2350000000000003,-0.0009956048718966558,1.9664999999999995,2.103500000000001,0.380472220209357,2.6950000000000003,1.375,0.43744178007150486,3.026,1.0440000000000005,0.4515242894638101,36777908030.9335,-0.5338805921952915,11784187253.6333,-0.6916765141468556,90.48744874686929,0.48454236101714665,2.3,0.5794863304609209,2.1,0.5179125402319714
3,DES MOINES,2012-02,3.99,New Construction,0.1410714285714286,3.8489285714285715,-0.2756500408484731,0.19146190476190478,3.7985380952380954,-0.16480905691144326,0.2500238095238095,3.739976190476191,-0.09070028443177158,0.3686547619047619,3.6213452380952385,0.014374791622216351,0.5032404761904763,3.486759523809524,0.05202427035968223,0.7572880952380953,3.232711904761905,0.04316471164181522,1.0711880952380954,2.9188119047619048,0.04168916857791971,0.06350000000000003,3.9265000000000003,-0.27807177491269275,0.124,3.866,-0.29998306684236364,0.161,3.829,-0.47338608969991813,0.8310000000000001,3.1590000000000003,-0.0009956048718966558,1.9674999999999998,2.0225000000000004,0.380472220209357,2.7479999999999998,1.2420000000000004,0.43744178007150486,3.109,0.8810000000000002,0.4515242894638101,36186315501.0541,-0.5338805921952915,11508699084.1195,-0.6916765141468556,90.7743282432688,0.48454236101714665,2.4,0.5794863304609209,2.0,0.5179125402319714
4,DES MOINES,2014-10,4.05,New Construction,0.09059565217391304,3.9594043478260867,-0.2756500408484731,0.11953260869565213,3.9304673913043477,-0.16480905691144326,0.15351739130434783,3.896482608695652,-0.09070028443177158,0.1974043478260869,3.852595652173913,0.014374791622216351,0.2313760869565217,3.8186239130434783,0.05202427035968223,0.3236195652173913,3.7263804347826084,0.04316471164181522,0.5523869565217392,3.4976130434782604,0.04168916857791971,0.020909090909090912,4.029090909090909,-0.27807177491269275,0.05045454545454548,3.9995454545454545,-0.29998306684236364,0.10454545454545458,3.9454545454545453,-0.47338608969991813,1.5459090909090911,2.504090909090909,-0.0009956048718966558,2.304090909090909,1.7459090909090906,0.380472220209357,2.7731818181818184,1.2768181818181814,0.43744178007150486,3.039999999999999,1.0100000000000007,0.4515242894638101,45758876905.2845,-0.5338805921952915,11117378455.0815,-0.6916765141468556,82.2508390398281,0.48454236101714665,1.6,0.5794863304609209,1.5,0.5179125402319714
5,DES MOINES,2015-02,3.41,New Construction,0.11784999999999998,3.2921500000000004,-0.2756500408484731,0.13764249999999997,3.2723575,-0.16480905691144326,0.17207499999999998,3.237925,-0.09070028443177158,0.2121925,3.1978075,0.014374791622216351,0.25842,3.15158,0.05202427035968223,0.37596500000000005,3.0340350000000003,0.04316471164181522,0.6601375,2.7498625,0.04168916857791971,0.017894736842105265,3.392105263157895,-0.27807177491269275,0.07105263157894741,3.338947368421053,-0.29998306684236364,0.22421052631578947,3.1857894736842107,-0.47338608969991813,1.472631578947368,1.937368421052632,-0.0009956048718966558,1.9752631578947366,1.4347368421052635,0.380472220209357,2.3384210526315794,1.0715789473684207,0.43744178007150486,2.566315789473684,0.843684210526316,0.4515242894638101,48997735451.5931,-0.5338805921952915,14245911418.8887,-0.6916765141468556,80.33849809561521,0.48454236101714665,1.4,0.5794863304609209,1.3,0.5179125402319714
6,DES MOINES,2015-03,3.59,New Construction,0.12134999999999999,3.46865,-0.2756500408484731,0.14022954545454547,3.4497704545454546,-0.16480905691144326,0.17560000000000003,3.4143999999999997,-0.09070028443177158,0.21958181818181813,3.3704181818181818,0.014374791622216351,0.26829772727272727,3.3217022727272725,0.05202427035968223,0.39945,3.19055,0.04316471164181522,0.700025,2.8899749999999997,0.04168916857791971,0.02272727272727273,3.567272727272727,-0.27807177491269275,0.11000000000000001,3.48,-0.29998306684236364,0.25363636363636366,3.336363636363636,-0.47338608969991813,1.5190909090909088,2.0709090909090913,-0.0009956048718966558,2.042727272727273,1.547272727272727,0.380472220209357,2.4068181818181817,1.1831818181818181,0.43744178007150486,2.626363636363636,0.9636363636363638,0.4515242894638101,48668534366.8701,-0.5338805921952915,11733364706.6996,-0.6916765141468556,82.122236078369,0.48454236101714665,1.6,0.5794863304609209,1.3,0.5179125402319714
7,DES MOINES,2015-06,3.85,New Construction,0.12293636363636364,3.7270636363636362,-0.2756500408484731,0.14681590909090908,3.703184090909091,-0.16480905691144326,0.1858840909090909,3.664115909090909,-0.09070028443177158,0.23472954545454539,3.615270454545455,0.014374791622216351,0.2827113636363637,3.5672886363636365,0.05202427035968223,0.43974545454545466,3.4102545454545456,0.04316471164181522,0.7702659090909093,3.0797340909090907,0.04168916857791971,0.007727272727272728,3.8422727272727273,-0.27807177491269275,0.08681818181818185,3.763181818181818,-0.29998306684236364,0.2754545454545455,3.5745454545454547,-0.47338608969991813,1.6836363636363636,2.1663636363636365,-0.0009956048718966558,2.3636363636363638,1.4863636363636363,0.380472220209357,2.8454545454545452,1.0045454545454549,0.43744178007150486,3.1118181818181814,0.7381818181818187,0.4515242894638101,48752987466.2114,-0.5338805921952915,11835194000.8273,-0.6916765141468556,83.34061286074021,0.48454236101714665,1.8,0.5794863304609209,1.2,0.5179125402319714
8,DES MOINES,2016-08,3.65,New Construction,0.41817045454545454,3.2318295454545454,-0.2756500408484731,0.4429568181818182,3.2070431818181815,-0.16480905691144326,0.5122418181818182,3.1377581818181817,-0.09070028443177158,0.6351372727272727,3.0148627272727273,0.014374791622216351,0.810223181818182,2.839776818181818,0.05202427035968223,1.1977463636363632,2.4522536363636367,0.04316471164181522,1.5097959090909088,2.140204090909091,0.04168916857791971,0.2608695652173914,3.3891304347826083,-0.27807177491269275,0.4460869565217393,3.2039130434782606,-0.29998306684236364,0.5682608695652173,3.0817391304347828,-0.47338608969991813,1.1330434782608694,2.5169565217391305,-0.0009956048718966558,1.5565217391304347,2.0934782608695652,0.380472220209357,1.8895652173913038,1.7604347826086961,0.43744178007150486,2.261739130434783,1.388260869565217,0.4515242894638101,51124149514.2735,-0.5338805921952915,11496937509.4445,-0.6916765141468556,87.39008859346599,0.48454236101714665,1.7,0.5794863304609209,1.0,0.5179125402319714
