,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol,Corr with student_vol,credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2010-08,TN,NASHVILLE,2010-08,4.73,"(-86.805311, 36.190411)",37228,16500.16,New Construction,0.23101619047619049,0.33952604138680453,0.2659952380952381,0.34002263153602696,0.27546238095238096,0.33899325474138897,0.3123080952380952,0.34319887887898487,0.3625466666666667,0.3546867824697727,0.5790957142857143,0.36394681528331135,0.9435780952380955,0.36590239004217723,0.15409090909090908,0.32653343454975525,0.19136363636363637,0.33416718062018225,0.25909090909090904,0.35324943087903415,1.4654545454545451,0.3894066499499519,2.6986363636363637,0.14407247061035633,3.516818181818181,-0.12103054072716361,3.8031818181818178,-0.1891924009702491,27606233351.339,0.4520013703779454,11556490165.0911,0.31067290200134745,92.4549564204629,-0.45681677608903815,4.3,-0.47780499247293257,3.4,-0.4580646979724822,-86.805311,36.190411
1,2010-12,TN,NASHVILLE,2010-12,2.9,"(-86.764385, 36.213371)",37207,38374.74,New Construction,0.24122190476190472,0.33952604138680453,0.25412380952380953,0.34002263153602696,0.26178857142857137,0.33899325474138897,0.28196571428571415,0.34319887887898487,0.30272333333333334,0.3546867824697727,0.4583942857142857,0.36394681528331135,0.7839004761904763,0.36590239004217723,0.0854166666666667,0.32653343454975525,0.19333333333333338,0.33416718062018225,0.2937499999999999,0.35324943087903415,1.9429166666666664,0.3894066499499519,3.2949999999999995,0.14407247061035633,4.173333333333333,-0.12103054072716361,4.415,-0.1891924009702491,29160609360.1217,0.4520013703779454,10792773250.4017,0.31067290200134745,93.74313363440879,-0.45681677608903815,4.0,-0.47780499247293257,3.4,-0.4580646979724822,-86.764385,36.213371
2,2012-04,TN,NASHVILLE,2012-04,2.95,"(-75.7369075, 41.5708342)",37207,39147.56,New Construction,0.14868421052631575,0.33952604138680453,0.18980526315789473,0.34002263153602696,0.23982894736842097,0.33899325474138897,0.34777368421052635,0.34319887887898487,0.46680789473684203,0.3546867824697727,0.7313999999999999,0.36394681528331135,1.048621052631579,0.36590239004217723,0.0666666666666667,0.32653343454975525,0.13904761904761903,0.33416718062018225,0.18333333333333335,0.35324943087903415,0.8947619047619045,0.3894066499499519,2.0528571428571425,0.14407247061035633,2.8166666666666664,-0.12103054072716361,3.1842857142857137,-0.1891924009702491,35344521679.5642,0.4520013703779454,11641401212.0971,0.31067290200134745,89.56768058609659,-0.45681677608903815,3.7,-0.47780499247293257,2.8,-0.4580646979724822,-75.7369075,41.5708342
3,2012-10,TN,NASHVILLE,2012-10,2.99,"(-86.62419399999999, 36.104233)",37013,15925.47,New Construction,0.15320434782608702,0.33952604138680453,0.17955217391304346,0.34002263153602696,0.21346521739130433,0.33899325474138897,0.2717391304347827,0.34319887887898487,0.3304891304347827,0.3546867824697727,0.5823021739130435,0.36394681528331135,0.9185760869565219,0.36590239004217723,0.10952380952380951,0.32653343454975525,0.14904761904761904,0.33416718062018225,0.17952380952380956,0.35324943087903415,0.7085714285714285,0.3894066499499519,1.7461904761904758,0.14407247061035633,2.505714285714286,-0.12103054072716361,2.90047619047619,-0.1891924009702491,36186315501.0541,0.4520013703779454,12022315813.7363,0.31067290200134745,89.2801736441717,-0.45681677608903815,3.8,-0.47780499247293257,2.5,-0.4580646979724822,-86.62419399999999,36.104233
4,2012-11,TN,NASHVILLE,2012-11,2.85,"(-86.794948, 36.179057)",37208,26389.73,New Construction,0.1555,0.33952604138680453,0.18060909090909089,0.34002263153602696,0.20888636363636362,0.33899325474138897,0.25813636363636355,0.34319887887898487,0.31102272727272723,0.3546867824697727,0.528347727272727,0.36394681528331135,0.8631931818181818,0.36590239004217723,0.12449999999999999,0.32653343454975525,0.14450000000000002,0.33416718062018225,0.17850000000000002,0.35324943087903415,0.665,0.3894066499499519,1.654,0.14407247061035633,2.3894999999999995,-0.12103054072716361,2.8034999999999997,-0.1891924009702491,36601383816.48,0.4520013703779454,10740081615.3953,0.31067290200134745,91.578064558499,-0.45681677608903815,4.0,-0.47780499247293257,2.6,-0.4580646979724822,-86.794948,36.179057
5,2013-03,TN,NASHVILLE,2013-03,3.49,"(-86.720839, 36.045724)",37211,87393.59,New Construction,0.15505000000000002,0.33952604138680453,0.17309999999999998,0.34002263153602696,0.20345,0.33899325474138897,0.2419,0.34319887887898487,0.28190000000000004,0.3546867824697727,0.44782500000000003,0.36394681528331135,0.7351250000000001,0.36590239004217723,0.07800000000000003,0.32653343454975525,0.11450000000000005,0.33416718062018225,0.14750000000000002,0.35324943087903415,0.8185000000000002,0.3894066499499519,1.9575,0.14407247061035633,2.7840000000000003,-0.12103054072716361,3.1625000000000005,-0.1891924009702491,38410438812.4053,0.4520013703779454,9855625468.0504,0.31067290200134745,88.29263433660921,-0.45681677608903815,3.4,-0.47780499247293257,2.1,-0.4580646979724822,-86.720839,36.045724
6,2013-06,TN,NASHVILLE,2013-06,3.63,"(-86.911124, 36.123232)",37209,91686.52,New Construction,0.13074,0.33952604138680453,0.15964599999999998,0.34002263153602696,0.19319250000000002,0.33899325474138897,0.23164600000000002,0.34319887887898487,0.27374,0.3546867824697727,0.4139935,0.36394681528331135,0.6839425000000002,0.36590239004217723,0.0345,0.32653343454975525,0.08750000000000002,0.33416718062018225,0.142,0.35324943087903415,1.2035,0.3894066499499519,2.3000000000000003,0.14407247061035633,3.0740000000000003,-0.12103054072716361,3.400000000000001,-0.1891924009702491,39658399389.4891,0.4520013703779454,9260696074.4491,0.31067290200134745,88.1059676388142,-0.45681677608903815,3.4,-0.47780499247293257,1.9,-0.4580646979724822,-86.911124,36.123232
7,2013-07,TN,NASHVILLE,2013-07,3.95,"(-86.805676, 36.191676)",37228,10163.77,New Construction,0.12117913043478262,0.33952604138680453,0.15611695652173913,0.34002263153602696,0.19111913043478265,0.33899325474138897,0.232388695652174,0.34319887887898487,0.26758260869565215,0.3546867824697727,0.40307869565217386,0.36394681528331135,0.6838491304347826,0.36590239004217723,0.020909090909090912,0.32653343454975525,0.07363636363636367,0.33416718062018225,0.12181818181818184,0.35324943087903415,1.4031818181818183,0.3894066499499519,2.5822727272727275,0.14407247061035633,3.3072727272727276,-0.12103054072716361,3.605,-0.1891924009702491,39298206327.5877,0.4520013703779454,8901986132.75728,0.31067290200134745,86.47441597957871,-0.45681677608903815,2.9,-0.47780499247293257,1.9,-0.4580646979724822,-86.805676,36.191676
8,2015-10,TN,NASHVILLE,2015-10,4.25,"(-86.8025959, 36.1706857)",37208,34150.19,New Construction,0.13160454545454547,0.33952604138680453,0.15531363636363638,0.34002263153602696,0.19451136363636365,0.33899325474138897,0.2514522727272726,0.34319887887898487,0.32135909090909087,0.3546867824697727,0.5284272727272726,0.36394681528331135,0.8378659090909092,0.36590239004217723,0.014285714285714287,0.32653343454975525,0.11380952380952382,0.33416718062018225,0.26333333333333336,0.35324943087903415,1.3857142857142857,0.3894066499499519,2.0699999999999994,0.14407247061035633,2.5028571428571427,-0.12103054072716361,2.8880952380952376,-0.1891924009702491,48997735451.5931,0.4520013703779454,11758109185.709,0.31067290200134745,82.3313446344394,-0.45681677608903815,2.8,-0.47780499247293257,1.2,-0.4580646979724822,-86.8025959,36.1706857
9,2016-04,TN,NASHVILLE,2016-04,4.15,"(-86.739615, 36.103091)",37211,82180.51,New Construction,0.38031428571428566,0.33952604138680453,0.39864523809523805,0.34002263153602696,0.4373976190476192,0.33899325474138897,0.5229452380952381,0.34319887887898487,0.6327499999999999,0.3546867824697727,0.9025404761904764,0.36394681528331135,1.2222214285714286,0.36590239004217723,0.18761904761904763,0.32653343454975525,0.37238095238095237,0.33416718062018225,0.5557142857142858,0.35324943087903415,1.2580952380952382,0.3894066499499519,1.8052380952380953,0.14407247061035633,2.2104761904761907,-0.12103054072716361,2.6233333333333335,-0.1891924009702491,48291644449.3811,0.4520013703779454,10916249757.9916,0.31067290200134745,85.1896726255448,-0.45681677608903815,2.1,-0.47780499247293257,1.0,-0.4580646979724822,-86.739615,36.103091
10,2016-05,TN,NASHVILLE,2016-05,4.13,"(-86.779336, 36.205563)",37207,92700.44,New Construction,0.38527368421052627,0.33952604138680453,0.4053315789473685,0.34002263153602696,0.4424947368421052,0.33899325474138897,0.5332263157894737,0.34319887887898487,0.6455710526315791,0.3546867824697727,0.9348736842105263,0.36394681528331135,1.2675078947368421,0.36590239004217723,0.2261904761904762,0.32653343454975525,0.4185714285714286,0.33416718062018225,0.5914285714285713,0.35324943087903415,1.3004761904761903,0.3894066499499519,1.8061904761904766,0.14407247061035633,2.2166666666666663,-0.12103054072716361,2.627619047619048,-0.1891924009702491,48154770296.6926,0.4520013703779454,11703539581.608,0.31067290200134745,87.39008859346599,-0.45681677608903815,2.4,-0.47780499247293257,0.9,-0.4580646979724822,-86.779336,36.205563
11,2016-06,TN,NASHVILLE,2016-06,3.84,"(-86.7478007, 36.141272)",37210,76702.69,New Construction,0.3904409090909091,0.33952604138680453,0.41572500000000007,0.34002263153602696,0.4527090909090909,0.33899325474138897,0.5394386363636363,0.34319887887898487,0.6516204545454546,0.3546867824697727,0.9360386363636366,0.36394681528331135,1.2592227272727274,0.36590239004217723,0.22136363636363632,0.32653343454975525,0.40409090909090906,0.33416718062018225,0.5522727272727272,0.35324943087903415,1.1663636363636367,0.3894066499499519,1.6440909090909095,0.14407247061035633,2.019090909090909,-0.12103054072716361,2.452272727272727,-0.1891924009702491,48927223434.2447,0.4520013703779454,11496937509.4445,0.31067290200134745,88.1942388876454,-0.45681677608903815,2.4,-0.47780499247293257,0.9,-0.4580646979724822,-86.7478007,36.141272
12,2016-07,TN,NASHVILLE,2016-07,4.2,"(-86.691243, 36.067783)",37013,74452.83,New Construction,0.41380476190476195,0.33952604138680453,0.43819285714285716,0.34002263153602696,0.4828833333333333,0.33899325474138897,0.5734595238095239,0.34319887887898487,0.6963095238095237,0.3546867824697727,0.9990666666666668,0.36394681528331135,1.31707619047619,0.36590239004217723,0.2635000000000001,0.32653343454975525,0.4040000000000001,0.33416718062018225,0.5135000000000001,0.35324943087903415,1.0715,0.3894066499499519,1.504,0.14407247061035633,1.8224999999999998,-0.12103054072716361,2.227,-0.1891924009702491,48187387172.2131,0.4520013703779454,11531266279.4831,0.31067290200134745,88.3913281030881,-0.45681677608903815,2.3,-0.47780499247293257,1.0,-0.4580646979724822,-86.691243,36.067783
13,2017-11,TN,NASHVILLE,2017-11,3.9,"(-86.7600824, 36.165869)",37206,56723.46,New Construction,1.183300476190476,0.33952604138680453,1.2036563636363637,0.34002263153602696,1.2878790909090911,0.33899325474138897,1.3757831818181818,0.34319887887898487,1.4342040909090912,0.3546867824697727,1.6264599999999996,0.36394681528331135,1.9015695454545458,0.36590239004217723,1.09,0.32653343454975525,1.3895238095238096,0.33416718062018225,1.5600000000000003,0.35324943087903415,2.05,0.3894066499499519,2.353333333333333,0.14407247061035633,2.6023809523809525,-0.12103054072716361,2.801904761904762,-0.1891924009702491,48416221734.2909,0.4520013703779454,11707722927.962,0.31067290200134745,88.1148323663994,-0.45681677608903815,2.5,-0.47780499247293257,0.7,-0.4580646979724822,-86.7600824,36.165869
14,2017-12,TN,NASHVILLE,2017-12,3.84,"(-93.2565387, 44.7929155)",37203,101305.36,New Construction,1.3144094736842107,0.33952604138680453,1.3913115789473685,0.34002263153602696,1.4850410526315792,0.33899325474138897,1.5354463157894738,0.34319887887898487,1.6017521052631578,0.3546867824697727,1.7680373684210524,0.36394681528331135,2.0434931578947366,0.36590239004217723,1.204,0.32653343454975525,1.4950000000000003,0.33416718062018225,1.7005,0.35324943087903415,2.1819999999999995,0.3894066499499519,2.4025,0.14407247061035633,2.5970000000000004,-0.12103054072716361,2.768,-0.1891924009702491,47520522623.6854,0.4520013703779454,11223830878.8235,0.31067290200134745,87.010875232225,-0.45681677608903815,2.1,-0.47780499247293257,0.7,-0.4580646979724822,-93.2565387,44.7929155
15,2018-01,TN,NASHVILLE,2018-01,3.29,"(-86.835771, 36.211676000000004)",37207,117801.48,New Construction,1.4378880952380952,0.33952604138680453,1.467563181818182,0.34002263153602696,1.5610881818181819,0.33899325474138897,1.6355336363636364,0.34319887887898487,1.733970909090909,0.3546867824697727,1.9067609090909092,0.36394681528331135,2.196459545454545,0.36590239004217723,1.3000000000000003,0.32653343454975525,1.6199999999999994,0.33416718062018225,1.8028571428571425,0.35324943087903415,2.381904761904762,0.3894066499499519,2.5838095238095242,0.14407247061035633,2.7342857142857144,-0.12103054072716361,2.8776190476190475,-0.1891924009702491,49256214828.7987,0.4520013703779454,11226317067.5623,0.31067290200134745,88.50967086025801,-0.45681677608903815,2.1,-0.47780499247293257,0.7,-0.4580646979724822,-86.835771,36.211676000000004
16,2018-04,TN,NASHVILLE,2018-04,4.22,"(-86.750883, 36.209003)",37207,127914.36,New Construction,1.7027510000000003,0.33952604138680453,1.7432829999999995,0.34002263153602696,1.896724,0.33899325474138897,2.0408605,0.34319887887898487,2.349426,0.3546867824697727,2.493657999999999,0.36394681528331135,2.7355454999999997,0.36590239004217723,1.6604761904761904,0.32653343454975525,1.9780952380952381,0.33416718062018225,2.153809523809524,0.35324943087903415,2.701904761904762,0.3894066499499519,2.869047619047619,0.14407247061035633,2.9595238095238092,-0.12103054072716361,3.0719047619047624,-0.1891924009702491,50617906919.2487,0.4520013703779454,12344213844.2875,0.31067290200134745,87.17587933428369,-0.45681677608903815,2.0,-0.47780499247293257,0.5,-0.4580646979724822,-86.750883,36.209003
17,2018-07,TN,NASHVILLE,2018-07,4.31,"(-75.948802, 42.113586)",37210,131342.31333333332,New Construction,1.918467142857143,0.33952604138680453,1.9587813636363633,0.34002263153602696,2.0789990909090905,0.33899325474138897,2.1733236363636363,0.34319887887898487,2.3391181818181823,0.3546867824697727,2.519525454545455,0.36394681528331135,2.7944931818181815,0.36590239004217723,1.8933333333333329,0.32653343454975525,2.1680952380952383,0.33416718062018225,2.3876190476190478,0.35324943087903415,2.7776190476190483,0.3894066499499519,2.8890476190476195,0.14407247061035633,2.944761904761905,-0.12103054072716361,3.006666666666667,-0.1891924009702491,50828048870.0026,0.4520013703779454,13062636860.3963,0.31067290200134745,,-0.45681677608903815,1.9,-0.47780499247293257,0.6,-0.4580646979724822,-75.948802,42.113586
