,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol,Corr with student_vol,credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2011-01,TN,MURFREESBORO,2011-01,3.85,"(-86.351389, 35.866143)",37130,31544.73,New Construction,0.2391115000000001,-0.171515945869495,0.25406500000000004,-0.11543556788080292,0.2606254999999999,-0.10202142124606929,0.2827834999999999,-0.12391167950835529,0.30341049999999997,-0.1435682747882098,0.4554005000000002,-0.17025074019800746,0.7818229999999999,-0.17022230502615063,0.14099999999999996,-0.21194678700877556,0.1815,-0.18889580575212164,0.27349999999999997,-0.08543911728370852,1.9944999999999997,0.6209375383148472,3.3940000000000006,0.6372727800803608,4.281000000000001,0.5890354367384164,4.5230000000000015,0.5754781632228069,32217867353.4185,-0.417313788590537,11568364841.7538,0.9417644443865834,92.4549564204629,0.4659899959429075,4.3,0.38965334318414985,3.0,0.37645009782109207,-86.351389,35.866143
1,2011-04,TN,MURFREESBORO,2011-04,4.52,"(-86.4666573, 35.8547607)",37129,97873.77,New Construction,0.14759444444444447,-0.171515945869495,0.19237777777777781,-0.11543556788080292,0.22143500000000005,-0.10202142124606929,0.25190277777777786,-0.12391167950835529,0.28138222222222226,-0.1435682747882098,0.44229888888888896,-0.17025074019800746,0.7700555555555555,-0.17022230502615063,0.029500000000000005,-0.21194678700877556,0.11950000000000002,-0.18889580575212164,0.24650000000000002,-0.08543911728370852,2.169,0.6209375383148472,3.4549999999999996,0.6372727800803608,4.276000000000001,0.5890354367384164,4.5015,0.5754781632228069,31041077337.2648,-0.417313788590537,15995126134.7035,0.9417644443865834,94.0022251537174,0.4659899959429075,4.4,0.38965334318414985,3.0,0.37645009782109207,-86.4666573,35.8547607
2,2012-12,TN,MURFREESBORO,2012-12,3.75,"(-80.11677309999999, 40.3815997)",37128,68107.0,New Construction,0.1631578947368421,-0.171515945869495,0.1875157894736842,-0.11543556788080292,0.21092631578947374,-0.10202142124606929,0.2552894736842105,-0.12391167950835529,0.30947368421052623,-0.1435682747882098,0.5145657894736843,-0.17025074019800746,0.8483157894736841,-0.17022230502615063,0.039500000000000014,-0.21194678700877556,0.11950000000000005,-0.18889580575212164,0.1585,-0.08543911728370852,0.6960000000000001,0.6209375383148472,1.7189999999999999,0.6372727800803608,2.4675000000000002,0.5890354367384164,2.8835,0.5754781632228069,39268596272.9965,-0.417313788590537,11337096053.4966,0.9417644443865834,89.513287195688,0.4659899959429075,3.6,0.38965334318414985,2.1,0.37645009782109207,-80.11677309999999,40.3815997
3,2015-11,TN,MURFREESBORO,2015-11,3.93,"(-86.4459149, 35.8528571)",37218,119083.65,New Construction,0.13066666666666668,-0.171515945869495,0.1559214285714286,-0.11543556788080292,0.20844761904761913,-0.10202142124606929,0.286702380952381,-0.12391167950835529,0.3709714285714286,-0.1435682747882098,0.6063738095238096,-0.17025074019800746,0.9343738095238093,-0.17022230502615063,0.07105263157894738,-0.21194678700877556,0.32789473684210524,-0.18889580575212164,0.47684210526315784,-0.08543911728370852,1.6710526315789473,0.6209375383148472,2.2631578947368416,0.6372727800803608,2.6863157894736847,0.5890354367384164,3.03,0.5754781632228069,48291644449.3811,-0.417313788590537,10798655053.3939,0.9417644443865834,82.89218119322959,0.4659899959429075,2.8,0.38965334318414985,1.1,0.37645009782109207,-86.4459149,35.8528571
4,2016-12,TN,MURFREESBORO,2016-12,3.95,"(-86.38599599999999, 35.907065)",37129,98648.4,New Construction,0.5606285,-0.171515945869495,0.6315605,-0.11543556788080292,0.7119585,-0.10202142124606929,0.7883325000000001,-0.12391167950835529,0.9753284999999998,-0.1435682747882098,1.3063339999999999,-0.17025074019800746,1.6692235,-0.17022230502615063,0.42333333333333334,-0.21194678700877556,0.638095238095238,-0.18889580575212164,0.8661904761904763,-0.08543911728370852,1.9590476190476194,0.6209375383148472,2.491904761904762,0.6372727800803608,2.835238095238095,0.5890354367384164,3.1133333333333324,0.5754781632228069,49588706606.1033,-0.417313788590537,12605986919.9069,0.9417644443865834,88.3913281030881,0.4659899959429075,2.3,0.38965334318414985,0.8,0.37645009782109207,-86.38599599999999,35.907065
