,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(2),Corr with student_vol(2),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(1),Corr with mortgage 90(1)
0,TOLEDO,2012-03,4.0,New Construction,0.14720000000000003,3.8528,0.4565386760465684,0.1893409090909091,3.8106590909090907,0.45718633948732973,0.24185227272727275,3.758147727272727,0.4478523998479962,0.35079999999999995,3.6492,0.43217747473174356,0.4732886363636363,3.526711363636364,0.41658889914330854,0.741275,3.258725,0.3396692074787751,1.0534477272727274,2.9465522727272724,0.3103672115126753,0.06363636363636366,3.9363636363636365,0.48415649344208683,0.14227272727272727,3.857727272727273,0.44492507662108893,0.19000000000000003,3.81,0.44285058621512197,1.0172727272727273,2.9827272727272724,0.7112489439268347,2.1727272727272724,1.8272727272727276,0.7807347562025561,2.9404545454545454,1.0595454545454546,0.6421064491840222,3.281363636363636,0.7186363636363642,0.5383970669721094,36777908030.9335,0.49419700536686084,12770391029.1034,0.7173143337326625,89.6038877472871,-0.806528226102322,2.9,-0.683657483913748,3.0,-0.44817680936182697
1,TOLEDO,2012-08,2.75,New Construction,0.15374090909090915,2.596259090909091,0.4565386760465684,0.18745454545454548,2.5625454545454547,0.45718633948732973,0.23783863636363634,2.5121613636363636,0.4478523998479962,0.3331136363636364,2.4168863636363636,0.43217747473174356,0.43259999999999993,2.3174,0.41658889914330854,0.7177749999999997,2.0322250000000004,0.3396692074787751,1.0426272727272727,1.7073727272727273,0.3103672115126753,0.09217391304347829,2.6578260869565216,0.48415649344208683,0.14043478260869566,2.6095652173913044,0.44492507662108893,0.18347826086956526,2.566521739130435,0.44285058621512197,0.7139130434782609,2.036086956521739,0.7112489439268347,1.6782608695652175,1.0717391304347825,0.7807347562025561,2.3978260869565218,0.3521739130434782,0.6421064491840222,2.7708695652173914,-0.02086956521739136,0.5383970669721094,37685204803.0042,0.49419700536686084,12022315813.7363,0.7173143337326625,90.37816904639429,-0.806528226102322,3.4,-0.683657483913748,3.1,-0.44817680936182697
2,TOLEDO,2014-10,4.45,New Construction,0.09059565217391304,4.3594043478260875,0.4565386760465684,0.11953260869565213,4.330467391304348,0.45718633948732973,0.15351739130434783,4.296482608695652,0.4478523998479962,0.1974043478260869,4.252595652173913,0.43217747473174356,0.2313760869565217,4.218623913043478,0.41658889914330854,0.3236195652173913,4.126380434782609,0.3396692074787751,0.5523869565217392,3.8976130434782608,0.3103672115126753,0.020909090909090912,4.42909090909091,0.48415649344208683,0.05045454545454548,4.399545454545454,0.44492507662108893,0.10454545454545458,4.345454545454546,0.44285058621512197,1.5459090909090911,2.9040909090909093,0.7112489439268347,2.304090909090909,2.145909090909091,0.7807347562025561,2.7731818181818184,1.6768181818181818,0.6421064491840222,3.039999999999999,1.410000000000001,0.5383970669721094,45241950015.4561,0.49419700536686084,14245911418.8887,0.7173143337326625,82.4770523961592,-0.806528226102322,2.9,-0.683657483913748,1.8,-0.44817680936182697
3,TOLEDO,2015-01,4.25,New Construction,0.11871428571428574,4.131285714285714,0.4565386760465684,0.1349785714285714,4.115021428571429,0.45718633948732973,0.16807857142857144,4.0819214285714285,0.4478523998479962,0.2135952380952381,4.036404761904762,0.43217747473174356,0.2543190476190476,3.9956809523809524,0.41658889914330854,0.35825714285714294,3.891742857142857,0.3396692074787751,0.6221666666666666,3.6278333333333332,0.3103672115126753,0.018000000000000006,4.232,0.48415649344208683,0.08300000000000003,4.167,0.44492507662108893,0.19549999999999998,4.0545,0.44285058621512197,1.3744999999999998,2.8755,0.7112489439268347,1.8814999999999997,2.3685,0.7807347562025561,2.199,2.051,0.6421064491840222,2.455,1.795,0.5383970669721094,47944164595.1044,0.49419700536686084,12019442988.8631,0.7173143337326625,82.23381292700279,-0.806528226102322,2.3,-0.683657483913748,1.7,-0.44817680936182697
4,TOLEDO,2016-09,3.38,New Construction,0.42159363636363634,2.958406363636364,0.4565386760465684,0.4495609090909092,2.9304390909090907,0.45718633948732973,0.5270018181818182,2.8529981818181818,0.4478523998479962,0.6625254545454545,2.7174745454545453,0.43217747473174356,0.8496804545454547,2.530319545454545,0.41658889914330854,1.2471445454545458,2.132855454545454,0.3396692074787751,1.5560313636363639,1.823968636363636,0.3103672115126753,0.1914285714285715,3.1885714285714286,0.48415649344208683,0.4671428571428572,2.912857142857143,0.44492507662108893,0.5933333333333333,2.7866666666666666,0.44285058621512197,1.178095238095238,2.201904761904762,0.7112489439268347,1.6304761904761906,1.7495238095238093,0.7807347562025561,2.0152380952380957,1.3647619047619042,0.6421064491840222,2.350476190476191,1.029523809523809,0.5383970669721094,49971382532.5922,0.49419700536686084,12137144620.0221,0.7173143337326625,89.2057504560787,-0.806528226102322,2.9,-0.683657483913748,1.9,-0.44817680936182697
5,TOLEDO,2017-11,3.55,New Construction,1.183300476190476,2.366699523809524,0.4565386760465684,1.2036563636363637,2.346343636363636,0.45718633948732973,1.2878790909090911,2.2621209090909087,0.4478523998479962,1.3757831818181818,2.174216818181818,0.43217747473174356,1.4342040909090912,2.1157959090909086,0.41658889914330854,1.6264599999999996,1.9235400000000002,0.3396692074787751,1.9015695454545458,1.648430454545454,0.3103672115126753,1.09,2.46,0.48415649344208683,1.3895238095238096,2.1604761904761904,0.44492507662108893,1.5600000000000003,1.9899999999999995,0.44285058621512197,2.05,1.5,0.7112489439268347,2.353333333333333,1.1966666666666668,0.7807347562025561,2.6023809523809525,0.9476190476190474,0.6421064491840222,2.801904761904762,0.7480952380952379,0.5383970669721094,49589347299.2381,0.49419700536686084,11226317067.5623,0.7173143337326625,88.1148323663994,-0.806528226102322,2.7,-0.683657483913748,1.5,-0.44817680936182697
