,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(-2),Corr with student_vol(-2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2011-06,VA,VIRGINIA BEACH,2011-06,3.35,"(-77.34, 38.97)",23462,187016.86,New Construction,0.12706818181818183,-0.24227798634524036,0.1615431818181819,-0.2397607559789032,0.18716409090909092,-0.22976325814196524,0.21923909090909086,-0.2194570794117207,0.24782409090909094,-0.2040030545204766,0.39758,-0.229015183143521,0.7268749999999999,-0.2489587291374741,0.0190909090909091,-0.24613893917218949,0.1013636363636364,-0.2690252657944054,0.18090909090909094,-0.2344676186301494,1.5799999999999998,-0.060572236938,3.002272727272727,-0.03517503518292794,3.9145454545454546,-0.06498700121596536,4.2327272727272724,-0.06665686397905343,31041077337.2648,0.2235780244362248,15995126134.7035,-0.8724277989375819,91.3646878868074,-0.5371660249988309,4.0,-0.3043504822669588,3.3,-0.2560948026860058,-77.34,38.97
1,2011-12,VA,VIRGINIA BEACH,2011-12,4.2,"(-76.21694699999999, 36.807176)",23464,29271.46,New Construction,0.1499335,-0.24227798634524036,0.2029985,-0.2397607559789032,0.2836085,-0.22976325814196524,0.40829250000000006,-0.2194570794117207,0.5557375,-0.2040030545204766,0.7798775000000001,-0.229015183143521,1.1003555000000003,-0.2489587291374741,0.0033333333333333335,-0.24613893917218949,0.048571428571428585,-0.2690252657944054,0.11523809523809528,-0.2344676186301494,0.8914285714285713,-0.060572236938,1.9780952380952384,-0.03517503518292794,2.6676190476190476,-0.06498700121596536,2.9823809523809524,-0.06665686397905343,34825519831.2788,0.2235780244362248,10258833668.6773,-0.8724277989375819,89.00857713430821,-0.5371660249988309,3.6,-0.3043504822669588,3.0,-0.2560948026860058,-76.21694699999999,36.807176
2,2012-08,VA,VIRGINIA BEACH,2012-08,3.1,"(-75.9774, 36.853)",23452,96971.3,New Construction,0.15374090909090915,-0.24227798634524036,0.18745454545454548,-0.2397607559789032,0.23783863636363634,-0.22976325814196524,0.3331136363636364,-0.2194570794117207,0.43259999999999993,-0.2040030545204766,0.7177749999999997,-0.229015183143521,1.0426272727272727,-0.2489587291374741,0.09217391304347829,-0.24613893917218949,0.14043478260869566,-0.2690252657944054,0.18347826086956526,-0.2344676186301494,0.7139130434782609,-0.060572236938,1.6782608695652175,-0.03517503518292794,2.3978260869565218,-0.06498700121596536,2.7708695652173914,-0.06665686397905343,36601383816.48,0.2235780244362248,14585937143.4485,-0.8724277989375819,89.2801736441717,-0.5371660249988309,4.0,-0.3043504822669588,3.4,-0.2560948026860058,-75.9774,36.853
3,2013-10,VA,VIRGINIA BEACH,2013-10,4.25,"(-76.47475572, 37.08838089)",23464,141748.57,New Construction,0.10426086956521738,-0.24227798634524036,0.13668260869565219,-0.2397607559789032,0.17241521739130433,-0.22976325814196524,0.21265,-0.2194570794117207,0.2417652173913043,-0.2040030545204766,0.36121521739130424,-0.229015183143521,0.6177847826086957,-0.2489587291374741,0.1059090909090909,-0.24613893917218949,0.07590909090909094,-0.2690252657944054,0.12136363636363635,-0.2344676186301494,1.366818181818182,-0.060572236938,2.615909090909091,-0.03517503518292794,3.3795454545454544,-0.06498700121596536,3.6759090909090903,-0.06665686397905343,41062625933.5941,0.2235780244362248,10210246554.7955,-0.8724277989375819,83.69462947740479,-0.5371660249988309,3.1,-0.3043504822669588,2.6,-0.2560948026860058,-76.47475572,37.08838089
4,2015-01,VA,VIRGINIA BEACH,2015-01,3.77,"(-76.18757099999999, 36.771874)",23464,121736.35,New Construction,0.11871428571428574,-0.24227798634524036,0.1349785714285714,-0.2397607559789032,0.16807857142857144,-0.22976325814196524,0.2135952380952381,-0.2194570794117207,0.2543190476190476,-0.2040030545204766,0.35825714285714294,-0.229015183143521,0.6221666666666666,-0.2489587291374741,0.018000000000000006,-0.24613893917218949,0.08300000000000003,-0.2690252657944054,0.19549999999999998,-0.2344676186301494,1.3744999999999998,-0.060572236938,1.8814999999999997,-0.03517503518292794,2.199,-0.06498700121596536,2.455,-0.06665686397905343,45241950015.4561,0.2235780244362248,11357071284.6333,-0.8724277989375819,83.34061286074021,-0.5371660249988309,2.8,-0.3043504822669588,2.0,-0.2560948026860058,-76.18757099999999,36.771874
5,2015-06,VA,VIRGINIA BEACH,2015-06,3.97,"(-76.067409, 36.756044)",23456,151836.85,New Construction,0.12293636363636364,-0.24227798634524036,0.14681590909090908,-0.2397607559789032,0.1858840909090909,-0.22976325814196524,0.23472954545454539,-0.2194570794117207,0.2827113636363637,-0.2040030545204766,0.43974545454545466,-0.229015183143521,0.7702659090909093,-0.2489587291374741,0.007727272727272728,-0.24613893917218949,0.08681818181818185,-0.2690252657944054,0.2754545454545455,-0.2344676186301494,1.6836363636363636,-0.060572236938,2.3636363636363638,-0.03517503518292794,2.8454545454545452,-0.06498700121596536,3.1118181818181814,-0.06665686397905343,47692027772.9219,0.2235780244362248,11835194000.8273,-0.8724277989375819,82.4529898168143,-0.5371660249988309,3.2,-0.3043504822669588,1.9,-0.2560948026860058,-76.067409,36.756044
6,2016-04,VA,VIRGINIA BEACH,2016-04,3.97,"(-75.9774, 36.853)",23462,159156.02,New Construction,0.38031428571428566,-0.24227798634524036,0.39864523809523805,-0.2397607559789032,0.4373976190476192,-0.22976325814196524,0.5229452380952381,-0.2194570794117207,0.6327499999999999,-0.2040030545204766,0.9025404761904764,-0.229015183143521,1.2222214285714286,-0.2489587291374741,0.18761904761904763,-0.24613893917218949,0.37238095238095237,-0.2690252657944054,0.5557142857142858,-0.2344676186301494,1.2580952380952382,-0.060572236938,1.8052380952380953,-0.03517503518292794,2.2104761904761907,-0.06498700121596536,2.6233333333333335,-0.06665686397905343,48187387172.2131,0.2235780244362248,11240513229.2606,-0.8724277989375819,88.1942388876454,-0.5371660249988309,2.9,-0.3043504822669588,1.9,-0.2560948026860058,-75.9774,36.853
7,2016-07,VA,VIRGINIA BEACH,2016-07,3.86,"(-78.503956, 42.268627)",23452,136083.53,New Construction,0.41380476190476195,-0.24227798634524036,0.43819285714285716,-0.2397607559789032,0.4828833333333333,-0.22976325814196524,0.5734595238095239,-0.2194570794117207,0.6963095238095237,-0.2040030545204766,0.9990666666666668,-0.229015183143521,1.31707619047619,-0.2489587291374741,0.2635000000000001,-0.24613893917218949,0.4040000000000001,-0.2690252657944054,0.5135000000000001,-0.2344676186301494,1.0715,-0.060572236938,1.504,-0.03517503518292794,1.8224999999999998,-0.06498700121596536,2.227,-0.06665686397905343,49206523977.8161,0.2235780244362248,11703539581.608,-0.8724277989375819,89.2057504560787,-0.5371660249988309,2.3,-0.3043504822669588,1.7,-0.2560948026860058,-78.503956,42.268627
8,2017-05,VA,VIRGINIA BEACH,2017-05,3.45,"(-75.980223, 36.859421000000005)",23451,173799.76,New Construction,0.9286509523809523,-0.24227798634524036,0.9479980952380954,-0.2397607559789032,1.0114261904761905,-0.22976325814196524,1.0843647619047618,-0.2194570794117207,1.185849523809524,-0.2040030545204766,1.424545714285714,-0.229015183143521,1.7495038095238098,-0.2489587291374741,0.7281818181818184,-0.24613893917218949,1.035,-0.2690252657944054,1.1227272727272726,-0.2344676186301494,1.836818181818182,-0.060572236938,2.3036363636363633,-0.03517503518292794,2.695909090909091,-0.06498700121596536,2.9590909090909094,-0.06665686397905343,47316214443.3566,0.2235780244362248,12509011080.2031,-0.8724277989375819,89.9213768261837,-0.5371660249988309,2.6,-0.3043504822669588,1.8,-0.2560948026860058,-75.980223,36.859421000000005
9,2017-11,VA,VIRGINIA BEACH,2017-11,3.63,"(-76.16617600000001, 36.852032)",23464,171768.41,New Construction,1.183300476190476,-0.24227798634524036,1.2036563636363637,-0.2397607559789032,1.2878790909090911,-0.22976325814196524,1.3757831818181818,-0.2194570794117207,1.4342040909090912,-0.2040030545204766,1.6264599999999996,-0.229015183143521,1.9015695454545458,-0.2489587291374741,1.09,-0.24613893917218949,1.3895238095238096,-0.2690252657944054,1.5600000000000003,-0.2344676186301494,2.05,-0.060572236938,2.353333333333333,-0.03517503518292794,2.6023809523809525,-0.06498700121596536,2.801904761904762,-0.06665686397905343,49855182727.6109,0.2235780244362248,11813706431.8634,-0.8724277989375819,88.50967086025801,-0.5371660249988309,2.5,-0.3043504822669588,1.3,-0.2560948026860058,-76.16617600000001,36.852032
