,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(4),Corr with student_vol(4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-4),Corr with mortgage 90(-4)
0,2010-09,NC,WILMINGTON,2010-09,3.63,"(-77.89461700000001, 34.153042)",40474.78,New Construction,0.22657136363636363,0.5909257965519366,0.251059090909091,0.5951798886003017,0.25699454545454536,0.5994103843054992,0.2738163636363636,0.6101535312122505,0.2913659090909092,0.6195014801181867,0.4777727272727273,0.6134049618896517,0.8043745454545456,0.6084862442448943,0.1166666666666667,0.5712564037838895,0.19333333333333336,0.5864482727280466,0.2566666666666666,0.6062135818141158,1.4104761904761904,0.7154776822822765,2.6476190476190475,0.4141436618119685,3.4690476190476183,0.06004141405476588,3.773333333333333,-0.03759931697252465,29160609360.1217,0.40982052687871495,11568364841.7538,0.7507488413374006,92.8594669911348,-0.34840173259559387,4.1,-0.38012857309209996,3.9,-0.3319238678488194
1,2010-11,NC,WILMINGTON,2010-11,3.69,"(-77.89461700000001, 34.153042)",27912.35,New Construction,0.22869727272727272,0.5909257965519366,0.24913818181818187,0.5951798886003017,0.2541922727272727,0.5994103843054992,0.27004181818181816,0.6101535312122505,0.2871204545454545,0.6195014801181867,0.44597000000000014,0.6134049618896517,0.7651345454545454,0.6084862442448943,0.13400000000000004,0.5712564037838895,0.182,0.5864482727280466,0.25200000000000006,0.6062135818141158,1.35,0.7154776822822765,2.7630000000000003,0.4141436618119685,3.817999999999999,0.06004141405476588,4.186,-0.03759931697252465,30512069858.4251,0.40982052687871495,11311909309.5948,0.7507488413374006,94.0022251537174,-0.34840173259559387,4.0,-0.38012857309209996,4.3,-0.3319238678488194
2,2011-11,NC,WILMINGTON,2011-11,4.15,"(-77.793609, 34.299812)",81264.77,New Construction,0.14255090909090912,0.5909257965519366,0.19244863636363635,0.5951798886003017,0.2536463636363637,0.5994103843054992,0.3593790909090909,0.6101535312122505,0.47529181818181826,0.6195014801181867,0.6805422727272729,0.6134049618896517,1.000305,0.6084862442448943,0.013999999999999999,0.5712564037838895,0.04650000000000002,0.5864482727280466,0.11200000000000002,0.6062135818141158,0.908,0.7154776822822765,2.0134999999999996,0.4141436618119685,2.7180000000000004,0.06004141405476588,3.0155000000000003,-0.03759931697252465,34623712775.9563,0.40982052687871495,11251067892.2966,0.7507488413374006,90.7743282432688,-0.34840173259559387,3.8,-0.38012857309209996,4.0,-0.3319238678488194
3,2012-11,NC,WILMINGTON,2012-11,2.64,"(-77.801618, 34.288734999999996)",92820.49,New Construction,0.1555,0.5909257965519366,0.18060909090909089,0.5951798886003017,0.20888636363636362,0.5994103843054992,0.25813636363636355,0.6101535312122505,0.31102272727272723,0.6195014801181867,0.528347727272727,0.6134049618896517,0.8631931818181818,0.6084862442448943,0.12449999999999999,0.5712564037838895,0.14450000000000002,0.5864482727280466,0.17850000000000002,0.6062135818141158,0.665,0.7154776822822765,1.654,0.4141436618119685,2.3894999999999995,0.06004141405476588,2.8034999999999997,-0.03759931697252465,37685204803.0042,0.40982052687871495,9855625468.0504,0.7507488413374006,91.578064558499,-0.34840173259559387,4.0,-0.38012857309209996,3.7,-0.3319238678488194
4,2013-05,NC,WILMINGTON,2013-05,3.02,"(-77.94681, 34.244912)",50549.75,New Construction,0.1435047619047619,0.5909257965519366,0.1638380952380952,0.5951798886003017,0.19670952380952378,0.5994103843054992,0.23396000000000003,0.6101535312122505,0.27416904761904765,0.6195014801181867,0.42137333333333327,0.6134049618896517,0.6936104761904763,0.6084862442448943,0.020454545454545458,0.5712564037838895,0.08090909090909093,0.5864482727280466,0.11863636363636366,0.6062135818141158,0.840909090909091,0.7154776822822765,1.9281818181818182,0.4141436618119685,2.7286363636363635,0.06004141405476588,3.112727272727273,-0.03759931697252465,40395555554.9932,0.40982052687871495,10216278752.7557,0.7507488413374006,90.32258801944451,-0.34840173259559387,3.3,-0.38012857309209996,3.2,-0.3319238678488194
5,2014-12,NC,WILMINGTON,2014-12,3.98,"(-77.59933249999999, 35.2719045)",97066.42,New Construction,0.1101,0.5909257965519366,0.1330809523809524,0.5951798886003017,0.16305,0.5994103843054992,0.20744285714285715,0.6101535312122505,0.2446071428571429,0.6195014801181867,0.34302142857142864,0.6134049618896517,0.6021190476190476,0.6084862442448943,0.02500000000000001,0.5712564037838895,0.1063636363636364,0.5864482727280466,0.21454545454545454,0.6062135818141158,1.64,0.7154776822822765,2.2072727272727275,0.4141436618119685,2.5504545454545453,0.06004141405476588,2.8331818181818185,-0.03759931697252465,44940573200.2924,0.40982052687871495,11835194000.8273,0.7507488413374006,82.122236078369,-0.34840173259559387,2.5,-0.38012857309209996,2.3,-0.3319238678488194
6,2016-06,NC,WILMINGTON,2016-06,4.28,"(-77.90185100000001, 34.235213)",7500.96,New Construction,0.3904409090909091,0.5909257965519366,0.41572500000000007,0.5951798886003017,0.4527090909090909,0.5994103843054992,0.5394386363636363,0.6101535312122505,0.6516204545454546,0.6195014801181867,0.9360386363636366,0.6134049618896517,1.2592227272727274,0.6084862442448943,0.22136363636363632,0.5712564037838895,0.40409090909090906,0.5864482727280466,0.5522727272727272,0.6062135818141158,1.1663636363636367,0.7154776822822765,1.6440909090909095,0.4141436618119685,2.019090909090909,0.06004141405476588,2.452272727272727,-0.03759931697252465,49276189942.4712,0.40982052687871495,11692339154.1207,0.7507488413374006,88.1942388876454,-0.34840173259559387,2.5,-0.38012857309209996,1.1,-0.3319238678488194
7,2016-07,NC,WILMINGTON,2016-07,3.47,"(-77.92745, 34.195529)",11979.853333333333,New Construction,0.41380476190476195,0.5909257965519366,0.43819285714285716,0.5951798886003017,0.4828833333333333,0.5994103843054992,0.5734595238095239,0.6101535312122505,0.6963095238095237,0.6195014801181867,0.9990666666666668,0.6134049618896517,1.31707619047619,0.6084862442448943,0.2635000000000001,0.5712564037838895,0.4040000000000001,0.5864482727280466,0.5135000000000001,0.6062135818141158,1.0715,0.7154776822822765,1.504,0.4141436618119685,1.8224999999999998,0.06004141405476588,2.227,-0.03759931697252465,49206523977.8161,0.40982052687871495,12137144620.0221,0.7507488413374006,88.3913281030881,-0.34840173259559387,2.3,-0.38012857309209996,1.2,-0.3319238678488194
8,2017-10,NC,WILMINGTON,2017-10,3.9,"(-79.014082, 35.923505)",67252.08,New Construction,1.1834895238095235,0.5909257965519366,1.2040609090909093,0.5951798886003017,1.2385486363636362,0.5994103843054992,1.287584090909091,0.6101535312122505,1.3607931818181818,0.6195014801181867,1.541957272727273,0.6134049618896517,1.8208568181818179,0.6084862442448943,0.9957142857142858,0.5712564037838895,1.2495238095238093,0.5864482727280466,1.3976190476190478,0.6062135818141158,1.9809523809523806,0.7154776822822765,2.3600000000000003,0.4141436618119685,2.649047619047619,0.06004141405476588,2.8780952380952383,-0.03759931697252465,49256214828.7987,0.40982052687871495,11318405616.2761,0.7507488413374006,88.55316323110772,-0.34840173259559387,2.4,-0.38012857309209996,1.1,-0.3319238678488194
