,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-03,NC,CHARLOTTE,2010-03,4.29,"(-80.8181276, 35.2222027)",28204,129411.6,New Construction,0.20298217391304352,0.14176342286804672,0.22118086956521738,0.1397891070977931,0.23731173913043485,0.148789476800745,0.25031173913043475,0.14815409969690613,0.2684247826086957,0.13739484280446854,0.41060652173913054,0.08563342407299776,0.8732952173913044,0.056759267783202914,0.11652173913043477,0.1580982214195914,0.22565217391304354,0.13959206749759692,0.3956521739130435,0.1310985586351276,2.433043478260869,0.27412361543662517,3.7273913043478255,0.35330138055721494,4.489130434782608,0.2901807935805919,4.644782608695651,0.2439972490510719,28389074974.2894,-0.11873473504881907,14018940117.4091,-0.5337191481793235,95.78917846656341,-0.37680081347864586,5.1,-0.23337266771743856,4.3,-0.19013982538648314,-80.8181276,35.2222027
1,2010-08,NC,CHARLOTTE,2010-08,4.08,"(-72.628763, 44.492787)",28211,90015.09,New Construction,0.23101619047619049,0.14176342286804672,0.2659952380952381,0.1397891070977931,0.27546238095238096,0.148789476800745,0.3123080952380952,0.14815409969690613,0.3625466666666667,0.13739484280446854,0.5790957142857143,0.08563342407299776,0.9435780952380955,0.056759267783202914,0.15409090909090908,0.1580982214195914,0.19136363636363637,0.13959206749759692,0.25909090909090904,0.1310985586351276,1.4654545454545451,0.27412361543662517,2.6986363636363637,0.35330138055721494,3.516818181818181,0.2901807935805919,3.8031818181818178,0.2439972490510719,30207558860.6451,-0.11873473504881907,11978266411.3233,-0.5337191481793235,92.8594669911348,-0.37680081347864586,4.5,-0.23337266771743856,4.0,-0.19013982538648314,-72.628763,44.492787
2,2012-04,NC,CHARLOTTE,2012-04,3.19,"(-90.125713, 29.939176)",28262,46640.51,New Construction,0.14868421052631575,0.14176342286804672,0.18980526315789473,0.1397891070977931,0.23982894736842097,0.148789476800745,0.34777368421052635,0.14815409969690613,0.46680789473684203,0.13739484280446854,0.7313999999999999,0.08563342407299776,1.048621052631579,0.056759267783202914,0.0666666666666667,0.1580982214195914,0.13904761904761903,0.13959206749759692,0.18333333333333335,0.1310985586351276,0.8947619047619045,0.27412361543662517,2.0528571428571425,0.35330138055721494,2.8166666666666664,0.2901807935805919,3.1842857142857137,0.2439972490510719,36601383816.48,-0.11873473504881907,11510278467.2037,-0.5337191481793235,89.02745876405929,-0.37680081347864586,4.9,-0.23337266771743856,3.8,-0.19013982538648314,-90.125713,29.939176
3,2012-10,NC,CHARLOTTE,2012-10,2.66,"(-91.0271931, 30.697966100000002)",28216,60244.69,New Construction,0.15320434782608702,0.14176342286804672,0.17955217391304346,0.1397891070977931,0.21346521739130433,0.148789476800745,0.2717391304347827,0.14815409969690613,0.3304891304347827,0.13739484280446854,0.5823021739130435,0.08563342407299776,0.9185760869565219,0.056759267783202914,0.10952380952380951,0.1580982214195914,0.14904761904761904,0.13959206749759692,0.17952380952380956,0.1310985586351276,0.7085714285714285,0.27412361543662517,1.7461904761904758,0.35330138055721494,2.505714285714286,0.2901807935805919,2.90047619047619,0.2439972490510719,39268596272.9965,-0.11873473504881907,16111780903.4699,-0.5337191481793235,91.578064558499,-0.37680081347864586,4.3,-0.23337266771743856,3.5,-0.19013982538648314,-91.0271931,30.697966100000002
4,2013-03,NC,CHARLOTTE,2013-03,3.75,"(-80.90245300000001, 35.228485)",28208,6043.66,New Construction,0.15505000000000002,0.14176342286804672,0.17309999999999998,0.1397891070977931,0.20345,0.148789476800745,0.2419,0.14815409969690613,0.28190000000000004,0.13739484280446854,0.44782500000000003,0.08563342407299776,0.7351250000000001,0.056759267783202914,0.07800000000000003,0.1580982214195914,0.11450000000000005,0.13959206749759692,0.14750000000000002,0.1310985586351276,0.8185000000000002,0.27412361543662517,1.9575,0.35330138055721494,2.7840000000000003,0.2901807935805919,3.1625000000000005,0.2439972490510719,41507587847.7023,-0.11873473504881907,11337096053.4966,-0.5337191481793235,89.95115518901541,-0.37680081347864586,4.2,-0.23337266771743856,2.7,-0.19013982538648314,-80.90245300000001,35.228485
5,2013-12,NC,CHARLOTTE,2013-12,4.95,"(-80.840524, 35.21606)",28204,148090.92,New Construction,0.10022500000000001,0.14176342286804672,0.1273025,0.1397891070977931,0.16723,0.148789476800745,0.2127325,0.14815409969690613,0.24389749999999996,0.13739484280446854,0.34639499999999995,0.08563342407299776,0.579045,0.056759267783202914,0.019047619047619053,0.1580982214195914,0.09523809523809526,0.13959206749759692,0.13285714285714287,0.1310985586351276,1.5761904761904764,0.27412361543662517,2.901904761904762,0.35330138055721494,3.6266666666666674,0.2901807935805919,3.889047619047619,0.2439972490510719,44555116847.5878,-0.11873473504881907,10216278752.7557,-0.5337191481793235,80.910251046009,-0.37680081347864586,3.4,-0.23337266771743856,2.2,-0.19013982538648314,-80.840524,35.21606
6,2014-07,NC,CHARLOTTE,2014-07,3.8,"(-80.8431, 35.2271)",27216,41145.66,New Construction,0.09286956521739129,0.14176342286804672,0.12270652173913045,0.1397891070977931,0.15438695652173914,0.148789476800745,0.1955586956521739,0.14815409969690613,0.23417391304347826,0.13739484280446854,0.32826086956521744,0.08563342407299776,0.5557695652173912,0.056759267783202914,0.024090909090909093,0.1580982214195914,0.059545454545454575,0.13959206749759692,0.11136363636363639,0.1310985586351276,1.699545454545455,0.27412361543662517,2.542272727272727,0.35330138055721494,3.071363636363636,0.2901807935805919,3.3318181818181816,0.2439972490510719,44591810060.8257,-0.11873473504881907,11032404366.8063,-0.5337191481793235,82.08517590205541,-0.37680081347864586,2.9,-0.23337266771743856,2.1,-0.19013982538648314,-80.8431,35.2271
7,2015-01,NC,CHARLOTTE,2015-01,4.17,"(-80.920982, 35.210153000000005)",28208,25714.4,New Construction,0.11871428571428574,0.14176342286804672,0.1349785714285714,0.1397891070977931,0.16807857142857144,0.148789476800745,0.2135952380952381,0.14815409969690613,0.2543190476190476,0.13739484280446854,0.35825714285714294,0.08563342407299776,0.6221666666666666,0.056759267783202914,0.018000000000000006,0.1580982214195914,0.08300000000000003,0.13959206749759692,0.19549999999999998,0.1310985586351276,1.3744999999999998,0.27412361543662517,1.8814999999999997,0.35330138055721494,2.199,0.2901807935805919,2.455,0.2439972490510719,47036055605.935,-0.11873473504881907,10950177839.1879,-0.5337191481793235,79.25862065623551,-0.37680081347864586,3.3,-0.23337266771743856,1.8,-0.19013982538648314,-80.920982,35.210153000000005
8,2016-09,NC,CHARLOTTE,2016-09,3.6,"(-80.910811, 35.163713)",28217,148196.81,New Construction,0.42159363636363634,0.14176342286804672,0.4495609090909092,0.1397891070977931,0.5270018181818182,0.148789476800745,0.6625254545454545,0.14815409969690613,0.8496804545454547,0.13739484280446854,1.2471445454545458,0.08563342407299776,1.5560313636363639,0.056759267783202914,0.1914285714285715,0.1580982214195914,0.4671428571428572,0.13959206749759692,0.5933333333333333,0.1310985586351276,1.178095238095238,0.27412361543662517,1.6304761904761906,0.35330138055721494,2.0152380952380957,0.2901807935805919,2.350476190476191,0.2439972490510719,51124149514.2735,-0.11873473504881907,11496937509.4445,-0.5337191481793235,88.1697673489486,-0.37680081347864586,2.5,-0.23337266771743856,1.4,-0.19013982538648314,-80.910811,35.163713
9,2017-03,NC,CHARLOTTE,2017-03,3.35,"(-80.854162, 35.337833)",28216,63585.31,New Construction,0.8095565217391305,0.14176342286804672,0.8706386956521739,0.1397891070977931,0.9286352173913045,0.148789476800745,0.982656956521739,0.14815409969690613,1.134713043478261,0.13739484280446854,1.4258673913043478,0.08563342407299776,1.8069104347826086,0.056759267783202914,0.662608695652174,0.1580982214195914,0.8856521739130436,0.13959206749759692,1.0104347826086957,0.1310985586351276,2.013478260869565,0.27412361543662517,2.4817391304347827,0.35330138055721494,2.8317391304347823,0.2901807935805919,3.0813043478260873,0.2439972490510719,49068548953.9206,-0.11873473504881907,12605986919.9069,-0.5337191481793235,88.94830277813108,-0.37680081347864586,3.0,-0.23337266771743856,1.3,-0.19013982538648314,-80.854162,35.337833
