,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(2),Corr with student_vol(2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-2),Corr with mortgage 90(-2)
0,NEW ORLEANS,2010-03,3.78,New Construction,0.20298217391304352,3.5770178260869563,0.10212811135636135,0.22118086956521738,3.5588191304347823,0.10449038674866452,0.23731173913043485,3.542688260869565,0.10551322039874633,0.25031173913043475,3.529688260869565,0.09520106117053369,0.2684247826086957,3.511575217391304,0.07956807884103104,0.41060652173913054,3.369393478260869,0.04472459436684797,0.8732952173913044,2.9067047826086956,0.021015866173962845,0.11652173913043477,3.663478260869565,0.11929544917903254,0.22565217391304354,3.554347826086956,0.09235417311260322,0.3956521739130435,3.384347826086956,0.09401591961396087,2.433043478260869,1.3469565217391306,0.22758000737402242,3.7273913043478255,0.0526086956521743,0.2769179413630065,4.489130434782608,-0.7091304347826086,0.23183649999823197,4.644782608695651,-0.8647826086956516,0.1935470561922542,27606233351.339,0.27327001081506885,11978266411.3233,-0.7868891308558187,95.21340255359091,-0.49927986555183973,4.9,-0.5238652113068013,4.4,-0.1824669149983749
1,NEW ORLEANS,2011-11,4.25,New Construction,0.14255090909090912,4.107449090909091,0.10212811135636135,0.19244863636363635,4.057551363636364,0.10449038674866452,0.2536463636363637,3.9963536363636365,0.10551322039874633,0.3593790909090909,3.890620909090909,0.09520106117053369,0.47529181818181826,3.774708181818182,0.07956807884103104,0.6805422727272729,3.5694577272727273,0.04472459436684797,1.000305,3.249695,0.021015866173962845,0.013999999999999999,4.236,0.11929544917903254,0.04650000000000002,4.2035,0.09235417311260322,0.11200000000000002,4.138,0.09401591961396087,0.908,3.342,0.22758000737402242,2.0134999999999996,2.2365000000000004,0.2769179413630065,2.7180000000000004,1.5319999999999996,0.23183649999823197,3.0155000000000003,1.2344999999999997,0.1935470561922542,35344521679.5642,0.27327001081506885,11510278467.2037,-0.7868891308558187,90.0868950067716,-0.49927986555183973,4.6,-0.5238652113068013,3.8,-0.1824669149983749
2,NEW ORLEANS,2012-01,4.4,New Construction,0.14564761904761903,4.2543523809523816,0.10212811135636135,0.2014238095238095,4.1985761904761905,0.10449038674866452,0.28289523809523814,4.117104761904762,0.10551322039874633,0.41424761904761903,3.9857523809523814,0.09520106117053369,0.5659000000000001,3.8341000000000003,0.07956807884103104,0.7969761904761906,3.6030238095238096,0.04472459436684797,1.1145476190476191,3.285452380952381,0.021015866173962845,0.0245,4.375500000000001,0.11929544917903254,0.06550000000000003,4.3345,0.09235417311260322,0.11500000000000003,4.285,0.09401591961396087,0.835,3.5650000000000004,0.22758000737402242,1.9664999999999995,2.433500000000001,0.2769179413630065,2.6950000000000003,1.705,0.23183649999823197,3.026,1.3740000000000006,0.1935470561922542,35532707747.113,0.27327001081506885,11251067892.2966,-0.7868891308558187,89.6038877472871,-0.49927986555183973,4.6,-0.5238652113068013,3.9,-0.1824669149983749
3,NEW ORLEANS,2012-05,2.57,New Construction,0.15161363636363637,2.4183863636363636,0.10212811135636135,0.19053181818181822,2.3794681818181815,0.10449038674866452,0.23893181818181805,2.331068181818182,0.10551322039874633,0.3457045454545453,2.2242954545454543,0.09520106117053369,0.4665318181818183,2.1034681818181813,0.07956807884103104,0.732990909090909,1.8370090909090908,0.04472459436684797,1.0615068181818177,1.5084931818181821,0.021015866173962845,0.06590909090909093,2.504090909090909,0.11929544917903254,0.14545454545454548,2.4245454545454543,0.09235417311260322,0.19181818181818186,2.378181818181818,0.09401591961396087,0.7618181818181818,1.8081818181818181,0.22758000737402242,1.8031818181818189,0.766818181818181,0.2769179413630065,2.525909090909091,0.04409090909090896,0.23183649999823197,2.930909090909091,-0.3609090909090913,0.1935470561922542,36186315501.0541,0.27327001081506885,16111780903.4699,-0.7868891308558187,89.513287195688,-0.49927986555183973,5.9,-0.5238652113068013,4.2,-0.1824669149983749
4,NEW ORLEANS,2013-06,4.113333333333333,New Construction,0.13074,3.9825933333333334,0.10212811135636135,0.15964599999999998,3.9536873333333333,0.10449038674866452,0.19319250000000002,3.9201408333333334,0.10551322039874633,0.23164600000000002,3.8816873333333333,0.09520106117053369,0.27374,3.839593333333333,0.07956807884103104,0.4139935,3.699339833333333,0.04472459436684797,0.6839425000000002,3.429390833333333,0.021015866173962845,0.0345,4.078833333333333,0.11929544917903254,0.08750000000000002,4.025833333333333,0.09235417311260322,0.142,3.9713333333333334,0.09401591961396087,1.2035,2.9098333333333333,0.22758000737402242,2.3000000000000003,1.813333333333333,0.2769179413630065,3.0740000000000003,1.039333333333333,0.23183649999823197,3.400000000000001,0.7133333333333325,0.1935470561922542,41471481477.9035,0.27327001081506885,10210246554.7955,-0.7868891308558187,85.7873584996498,-0.49927986555183973,4.9,-0.5238652113068013,3.5,-0.1824669149983749
5,NEW ORLEANS,2013-08,5.45,New Construction,0.11782999999999999,5.3321700000000005,0.10212811135636135,0.1493142857142857,5.300685714285715,0.10449038674866452,0.1840704761904762,5.265929523809524,0.10551322039874633,0.22633523809523812,5.223664761904762,0.09520106117053369,0.2633952380952381,5.186604761904762,0.07956807884103104,0.3949285714285714,5.055071428571429,0.04472459436684797,0.6679499999999999,4.78205,0.021015866173962845,0.03681818181818183,5.413181818181818,0.11929544917903254,0.07181818181818184,5.378181818181818,0.09235417311260322,0.12681818181818183,5.323181818181818,0.09401591961396087,1.5204545454545455,3.9295454545454547,0.22758000737402242,2.7372727272727273,2.712727272727273,0.2769179413630065,3.488181818181818,1.9618181818181823,0.23183649999823197,3.757727272727273,1.6922727272727274,0.1935470561922542,41062625933.5941,0.27327001081506885,9473893018.88319,-0.7868891308558187,85.3165844012547,-0.49927986555183973,4.2,-0.5238652113068013,3.4,-0.1824669149983749
6,NEW ORLEANS,2015-07,4.96,New Construction,0.1263,4.8337,0.10212811135636135,0.1488782608695652,4.811121739130435,0.10449038674866452,0.1881586956521739,4.771841304347826,0.10551322039874633,0.23940652173913043,4.720593478260869,0.09520106117053369,0.29066956521739135,4.669330434782609,0.07956807884103104,0.46192391304347824,4.498076086956521,0.04472459436684797,0.7858413043478262,4.1741586956521735,0.021015866173962845,0.030000000000000002,4.93,0.11929544917903254,0.11636363636363636,4.843636363636364,0.09235417311260322,0.2968181818181819,4.663181818181818,0.09401591961396087,1.632272727272727,3.327727272727273,0.22758000737402242,2.3245454545454547,2.6354545454545453,0.2769179413630065,2.7663636363636357,2.1936363636363643,0.23183649999823197,3.066363636363636,1.893636363636364,0.1935470561922542,48836554747.323,0.27327001081506885,11492007418.0579,-0.7868891308558187,81.9752078939728,-0.49927986555183973,3.5,-0.5238652113068013,2.3,-0.1824669149983749
7,NEW ORLEANS,2016-07,3.7,New Construction,0.41380476190476195,3.2861952380952384,0.10212811135636135,0.43819285714285716,3.261807142857143,0.10449038674866452,0.4828833333333333,3.217116666666667,0.10551322039874633,0.5734595238095239,3.1265404761904763,0.09520106117053369,0.6963095238095237,3.0036904761904766,0.07956807884103104,0.9990666666666668,2.7009333333333334,0.04472459436684797,1.31707619047619,2.38292380952381,0.021015866173962845,0.2635000000000001,3.4365,0.11929544917903254,0.4040000000000001,3.2960000000000003,0.09235417311260322,0.5135000000000001,3.1865,0.09401591961396087,1.0715,2.6285000000000003,0.22758000737402242,1.504,2.196,0.2769179413630065,1.8224999999999998,1.8775000000000004,0.23183649999823197,2.227,1.4730000000000003,0.1935470561922542,50596067254.1766,0.27327001081506885,11482367114.4991,-0.7868891308558187,89.2057504560787,-0.49927986555183973,3.8,-0.5238652113068013,2.0,-0.1824669149983749
8,NEW ORLEANS,2018-01,3.84,New Construction,1.4378880952380952,2.4021119047619046,0.10212811135636135,1.467563181818182,2.372436818181818,0.10449038674866452,1.5610881818181819,2.278911818181818,0.10551322039874633,1.6355336363636364,2.2044663636363637,0.09520106117053369,1.733970909090909,2.106029090909091,0.07956807884103104,1.9067609090909092,1.9332390909090906,0.04472459436684797,2.196459545454545,1.6435404545454548,0.021015866173962845,1.3000000000000003,2.5399999999999996,0.11929544917903254,1.6199999999999994,2.2200000000000006,0.09235417311260322,1.8028571428571425,2.0371428571428574,0.09401591961396087,2.381904761904762,1.4580952380952379,0.22758000737402242,2.5838095238095242,1.2561904761904756,0.2769179413630065,2.7342857142857144,1.1057142857142854,0.23183649999823197,2.8776190476190475,0.9623809523809523,0.1935470561922542,49574400061.0285,0.27327001081506885,11725018303.5706,-0.7868891308558187,86.55198240492871,-0.49927986555183973,3.4,-0.5238652113068013,1.6,-0.1824669149983749
9,NEW ORLEANS,2018-04,3.99,New Construction,1.7027510000000003,2.287249,0.10212811135636135,1.7432829999999995,2.2467170000000007,0.10449038674866452,1.896724,2.0932760000000004,0.10551322039874633,2.0408605,1.9491395000000002,0.09520106117053369,2.349426,1.6405740000000004,0.07956807884103104,2.493657999999999,1.4963420000000012,0.04472459436684797,2.7355454999999997,1.2544545000000005,0.021015866173962845,1.6604761904761904,2.3295238095238098,0.11929544917903254,1.9780952380952381,2.011904761904762,0.09235417311260322,2.153809523809524,1.8361904761904762,0.09401591961396087,2.701904761904762,1.2880952380952384,0.22758000737402242,2.869047619047619,1.1209523809523811,0.2769179413630065,2.9595238095238092,1.030476190476191,0.23183649999823197,3.0719047619047624,0.9180952380952379,0.1935470561922542,50407042046.8076,0.27327001081506885,12484889768.5791,-0.7868891308558187,85.8866598662335,-0.49927986555183973,3.6,-0.5238652113068013,1.7,-0.1824669149983749
