,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-3),Corr with student_vol(-3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
0,2009-12,IL,CHICAGO,2009-12,3.74,"(6.6, 0.23333)",11572.06,New Construction,0.17885714285714288,0.19132272039277806,0.2141833333333333,0.19250049430318902,0.23288904761904766,0.18556016691935096,0.24197238095238102,0.17588068828787706,0.2530461904761905,0.16335952960057235,0.4528776190476191,0.13130629057368817,0.9993009523809523,0.11621435311785235,0.03181818181818183,0.20519185218270258,0.16772727272727275,0.18070027691386084,0.37136363636363634,0.1771979064147998,2.3404545454545453,0.42237535947816135,3.589999999999999,0.5133591109342925,4.399545454545455,0.4197429309194511,4.494090909090908,0.37927025168687933,27606233351.339,-0.160196513747253,12891808542.898,-0.3047616453133817,104.452941325903,0.11765685367168037,3.2,0.17733802133357246,5.8,0.08755761315865376
1,2010-08,IL,CHICAGO,2010-08,5.35,"(-87.65844799999999, 41.962231)",45023.52,New Construction,0.23101619047619049,0.19132272039277806,0.2659952380952381,0.19250049430318902,0.27546238095238096,0.18556016691935096,0.3123080952380952,0.17588068828787706,0.3625466666666667,0.16335952960057235,0.5790957142857143,0.13130629057368817,0.9435780952380955,0.11621435311785235,0.15409090909090908,0.20519185218270258,0.19136363636363637,0.18070027691386084,0.25909090909090904,0.1771979064147998,1.4654545454545451,0.42237535947816135,2.6986363636363637,0.5133591109342925,3.516818181818181,0.4197429309194511,3.8031818181818178,0.37927025168687933,31044830349.9256,-0.160196513747253,11978266411.3233,-0.3047616453133817,99.0214107435932,0.11765685367168037,3.5,0.17733802133357246,5.1,0.08755761315865376
2,2010-09,IL,CHICAGO,2010-09,3.79,"(-122.23299999999999, 47.5034)",40484.52,New Construction,0.22657136363636363,0.19132272039277806,0.251059090909091,0.19250049430318902,0.25699454545454536,0.18556016691935096,0.2738163636363636,0.17588068828787706,0.2913659090909092,0.16335952960057235,0.4777727272727273,0.13130629057368817,0.8043745454545456,0.11621435311785235,0.1166666666666667,0.20519185218270258,0.19333333333333336,0.18070027691386084,0.2566666666666666,0.1771979064147998,1.4104761904761904,0.42237535947816135,2.6476190476190475,0.5133591109342925,3.4690476190476183,0.4197429309194511,3.773333333333333,0.37927025168687933,31618591270.7387,-0.160196513747253,11833891080.8667,-0.3047616453133817,98.6449594200431,0.11765685367168037,3.6,0.17733802133357246,5.1,0.08755761315865376
3,2010-10,IL,CHICAGO,2010-10,3.9000000000000004,"(-87.8009, 41.9253)",24890.31,New Construction,0.22598619047619048,0.19132272039277806,0.25051619047619045,0.19250049430318902,0.25605714285714287,0.18556016691935096,0.2720304761904762,0.17588068828787706,0.28884,0.16335952960057235,0.45499142857142844,0.13130629057368817,0.7680966666666665,0.11621435311785235,0.14050000000000004,0.20519185218270258,0.17650000000000005,0.18070027691386084,0.22800000000000006,0.1771979064147998,1.1824999999999999,0.42237535947816135,2.54,0.5133591109342925,3.524,0.4197429309194511,3.8724999999999996,0.37927025168687933,32217867353.4185,-0.160196513747253,10534224377.9144,-0.3047616453133817,95.78917846656341,0.11765685367168037,3.3,0.17733802133357246,5.0,0.08755761315865376
4,2010-12,IL,CHICAGO,2010-12,4.0,"(-87.8009, 41.9253)",43935.78,New Construction,0.24122190476190472,0.19132272039277806,0.25412380952380953,0.19250049430318902,0.26178857142857137,0.18556016691935096,0.28196571428571415,0.17588068828787706,0.30272333333333334,0.16335952960057235,0.4583942857142857,0.13130629057368817,0.7839004761904763,0.11621435311785235,0.0854166666666667,0.20519185218270258,0.19333333333333338,0.18070027691386084,0.2937499999999999,0.1771979064147998,1.9429166666666664,0.42237535947816135,3.2949999999999995,0.5133591109342925,4.173333333333333,0.4197429309194511,4.415,0.37927025168687933,31252070876.7547,-0.160196513747253,12342273869.2704,-0.3047616453133817,95.6415096715633,0.11765685367168037,2.9,0.17733802133357246,4.8,0.08755761315865376
5,2011-02,IL,CHICAGO,2011-02,4.72,"(-87.6244, 41.8756)",17232.25,New Construction,0.23214,0.19132272039277806,0.25165,0.19250049430318902,0.26292499999999996,0.18556016691935096,0.28731249999999997,0.17588068828787706,0.31189999999999996,0.16335952960057235,0.46404500000000004,0.13130629057368817,0.7933949999999999,0.11621435311785235,0.11473684210526319,0.20519185218270258,0.16842105263157894,0.18070027691386084,0.2863157894736842,0.1771979064147998,2.257894736842106,0.42237535947816135,3.5763157894736834,0.5133591109342925,4.423684210526316,0.4197429309194511,4.652105263157895,0.37927025168687933,31300541846.2612,-0.160196513747253,11082139451.8714,-0.3047616453133817,92.4549564204629,0.11765685367168037,3.1,0.17733802133357246,4.8,0.08755761315865376
6,2011-04,IL,CHICAGO,2011-04,3.79,"(-87.635397, 41.850955)",14300.64,New Construction,0.14759444444444447,0.19132272039277806,0.19237777777777781,0.19250049430318902,0.22143500000000005,0.18556016691935096,0.25190277777777786,0.17588068828787706,0.28138222222222226,0.16335952960057235,0.44229888888888896,0.13130629057368817,0.7700555555555555,0.11621435311785235,0.029500000000000005,0.20519185218270258,0.11950000000000002,0.18070027691386084,0.24650000000000002,0.1771979064147998,2.169,0.42237535947816135,3.4549999999999996,0.5133591109342925,4.276000000000001,0.4197429309194511,4.5015,0.37927025168687933,31754785132.2305,-0.160196513747253,11568364841.7538,-0.3047616453133817,94.7176548951663,0.11765685367168037,3.3,0.17733802133357246,4.9,0.08755761315865376
7,2011-06,IL,CHICAGO,2011-06,5.25,"(-117.783235, 33.542502)",26874.15,New Construction,0.12706818181818183,0.19132272039277806,0.1615431818181819,0.19250049430318902,0.18716409090909092,0.18556016691935096,0.21923909090909086,0.17588068828787706,0.24782409090909094,0.16335952960057235,0.39758,0.13130629057368817,0.7268749999999999,0.11621435311785235,0.0190909090909091,0.20519185218270258,0.1013636363636364,0.18070027691386084,0.18090909090909094,0.1771979064147998,1.5799999999999998,0.42237535947816135,3.002272727272727,0.5133591109342925,3.9145454545454546,0.4197429309194511,4.2327272727272724,0.37927025168687933,34623712775.9563,-0.160196513747253,11311909309.5948,-0.3047616453133817,93.74313363440879,0.11765685367168037,3.3,0.17733802133357246,5.0,0.08755761315865376
8,2011-08,IL,CHICAGO,2011-08,3.96,"(-87.587141, 41.783654)",51645.81,New Construction,0.14468363636363638,0.19132272039277806,0.18038681818181818,0.19250049430318902,0.21116590909090904,0.18556016691935096,0.24895727272727275,0.17588068828787706,0.29323772727272723,0.16335952960057235,0.45919454545454547,0.13130629057368817,0.7783581818181818,0.11621435311785235,0.017391304347826094,0.20519185218270258,0.06217391304347828,0.18070027691386084,0.11478260869565218,0.1771979064147998,1.021304347826087,0.42237535947816135,2.303043478260869,0.5133591109342925,3.244782608695652,0.4197429309194511,3.6513043478260867,0.37927025168687933,35344521679.5642,-0.160196513747253,13753511368.0623,-0.3047616453133817,92.5881563190625,0.11765685367168037,3.3,0.17733802133357246,5.1,0.08755761315865376
9,2011-12,IL,CHICAGO,2011-12,3.15,"(-87.601454, 41.705421)",36019.91,New Construction,0.1499335,0.19132272039277806,0.2029985,0.19250049430318902,0.2836085,0.18556016691935096,0.40829250000000006,0.17588068828787706,0.5557375,0.16335952960057235,0.7798775000000001,0.13130629057368817,1.1003555000000003,0.11621435311785235,0.0033333333333333335,0.20519185218270258,0.048571428571428585,0.18070027691386084,0.11523809523809528,0.1771979064147998,0.8914285714285713,0.42237535947816135,1.9780952380952384,0.5133591109342925,2.6676190476190476,0.4197429309194511,2.9823809523809524,0.37927025168687933,36623269866.4569,-0.160196513747253,11655650147.2578,-0.3047616453133817,88.33905735772379,0.11765685367168037,2.8,0.17733802133357246,4.9,0.08755761315865376
