,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90,Corr with mortgage 90
0,FORT WORTH,2011-02,4.5,New Construction,0.23214,4.26786,0.5137638373938789,0.25165,4.24835,0.517691496209609,0.26292499999999996,4.237075,0.5185288290065788,0.28731249999999997,4.2126875,0.524080704993107,0.31189999999999996,4.1881,0.5193111630379987,0.46404500000000004,4.0359549999999995,0.5064825449955364,0.7933949999999999,3.706605,0.5040405811759514,0.11473684210526319,4.3852631578947365,0.5268633378742248,0.16842105263157894,4.331578947368421,0.5072356741044433,0.2863157894736842,4.213684210526316,0.5076178908462728,2.257894736842106,2.242105263157894,0.568972236605823,3.5763157894736834,0.9236842105263166,0.6860332601560846,4.423684210526316,0.07631578947368389,0.6497505798190788,4.652105263157895,-0.1521052631578952,0.5840691299626611,31300541846.2612,-0.3225886350840208,12472473242.0863,0.5217388380347049,94.7176548951663,0.46267887605185837,4.5,0.3445658430052125,3.4,0.2594564737754403
1,FORT WORTH,2011-12,4.49,New Construction,0.1499335,4.3400665,0.5137638373938789,0.2029985,4.287001500000001,0.517691496209609,0.2836085,4.2063915000000005,0.5185288290065788,0.40829250000000006,4.0817075,0.524080704993107,0.5557375,3.9342625,0.5193111630379987,0.7798775000000001,3.7101225,0.5064825449955364,1.1003555000000003,3.3896445,0.5040405811759514,0.0033333333333333335,4.486666666666667,0.5268633378742248,0.048571428571428585,4.441428571428571,0.5072356741044433,0.11523809523809528,4.374761904761905,0.5076178908462728,0.8914285714285713,3.5985714285714288,0.568972236605823,1.9780952380952384,2.511904761904762,0.6860332601560846,2.6676190476190476,1.8223809523809527,0.6497505798190788,2.9823809523809524,1.5076190476190479,0.5840691299626611,36623269866.4569,-0.3225886350840208,11641401212.0971,0.5217388380347049,91.3646878868074,0.46267887605185837,4.2,0.3445658430052125,3.3,0.2594564737754403
2,FORT WORTH,2012-01,3.99,New Construction,0.14564761904761903,3.8443523809523814,0.5137638373938789,0.2014238095238095,3.7885761904761908,0.517691496209609,0.28289523809523814,3.707104761904762,0.5185288290065788,0.41424761904761903,3.5757523809523812,0.524080704993107,0.5659000000000001,3.4241,0.5193111630379987,0.7969761904761906,3.1930238095238095,0.5064825449955364,1.1145476190476191,2.875452380952381,0.5040405811759514,0.0245,3.9655,0.5268633378742248,0.06550000000000003,3.9245,0.5072356741044433,0.11500000000000003,3.875,0.5076178908462728,0.835,3.1550000000000002,0.568972236605823,1.9664999999999995,2.0235000000000007,0.6860332601560846,2.6950000000000003,1.295,0.6497505798190788,3.026,0.9640000000000004,0.5840691299626611,36777908030.9335,-0.3225886350840208,12770391029.1034,0.5217388380347049,90.35087768078328,0.46267887605185837,4.1,0.3445658430052125,3.3,0.2594564737754403
3,FORT WORTH,2012-05,3.7,New Construction,0.15161363636363637,3.548386363636364,0.5137638373938789,0.19053181818181822,3.509468181818182,0.517691496209609,0.23893181818181805,3.4610681818181823,0.5185288290065788,0.3457045454545453,3.354295454545455,0.524080704993107,0.4665318181818183,3.233468181818182,0.5193111630379987,0.732990909090909,2.967009090909091,0.5064825449955364,1.0615068181818177,2.6384931818181823,0.5040405811759514,0.06590909090909093,3.6340909090909093,0.5268633378742248,0.14545454545454548,3.5545454545454547,0.5072356741044433,0.19181818181818186,3.5081818181818183,0.5076178908462728,0.7618181818181818,2.9381818181818184,0.568972236605823,1.8031818181818189,1.8968181818181813,0.6860332601560846,2.525909090909091,1.1740909090909093,0.6497505798190788,2.930909090909091,0.769090909090909,0.5840691299626611,37571290060.6541,-0.3225886350840208,11631947675.6117,0.5217388380347049,90.0868950067716,0.46267887605185837,4.4,0.3445658430052125,3.0,0.2594564737754403
4,FORT WORTH,2012-08,3.08,New Construction,0.15374090909090915,2.926259090909091,0.5137638373938789,0.18745454545454548,2.8925454545454548,0.517691496209609,0.23783863636363634,2.8421613636363636,0.5185288290065788,0.3331136363636364,2.7468863636363636,0.524080704993107,0.43259999999999993,2.6474,0.5193111630379987,0.7177749999999997,2.3622250000000005,0.5064825449955364,1.0426272727272727,2.0373727272727273,0.5040405811759514,0.09217391304347829,2.9878260869565216,0.5268633378742248,0.14043478260869566,2.9395652173913045,0.5072356741044433,0.18347826086956526,2.896521739130435,0.5076178908462728,0.7139130434782609,2.3660869565217393,0.568972236605823,1.6782608695652175,1.4017391304347826,0.6860332601560846,2.3978260869565218,0.6821739130434783,0.6497505798190788,2.7708695652173914,0.3091304347826087,0.5840691299626611,38808856509.5085,-0.3225886350840208,11337096053.4966,0.5217388380347049,89.56768058609659,0.46267887605185837,3.5,0.3445658430052125,2.8,0.2594564737754403
5,FORT WORTH,2013-04,3.55,New Construction,0.1539047619047619,3.396095238095238,0.5137638373938789,0.17210476190476193,3.377895238095238,0.517691496209609,0.19953333333333334,3.3504666666666667,0.5185288290065788,0.24005714285714277,3.309942857142857,0.524080704993107,0.27714285714285714,3.2728571428571427,0.5193111630379987,0.4360190476190476,3.113980952380952,0.5064825449955364,0.7168333333333334,2.833166666666666,0.5040405811759514,0.049090909090909116,3.5009090909090905,0.5268633378742248,0.09409090909090913,3.4559090909090906,0.5072356741044433,0.12454545454545456,3.4254545454545453,0.5076178908462728,0.7104545454545454,2.8395454545454544,0.568972236605823,1.7590909090909093,1.7909090909090906,0.6860332601560846,2.5500000000000003,0.9999999999999996,0.6497505798190788,2.9327272727272726,0.6172727272727272,0.5840691299626611,41334062733.8549,-0.3225886350840208,10210246554.7955,0.5217388380347049,88.794109524791,0.46267887605185837,4.2,0.3445658430052125,2.4,0.2594564737754403
6,FORT WORTH,2014-10,3.74,New Construction,0.09059565217391304,3.649404347826087,0.5137638373938789,0.11953260869565213,3.620467391304348,0.517691496209609,0.15351739130434783,3.5864826086956523,0.5185288290065788,0.1974043478260869,3.5425956521739135,0.524080704993107,0.2313760869565217,3.5086239130434786,0.5193111630379987,0.3236195652173913,3.4163804347826088,0.5064825449955364,0.5523869565217392,3.187613043478261,0.5040405811759514,0.020909090909090912,3.7190909090909092,0.5268633378742248,0.05045454545454548,3.689545454545455,0.5072356741044433,0.10454545454545458,3.6354545454545457,0.5076178908462728,1.5459090909090911,2.1940909090909093,0.568972236605823,2.304090909090909,1.435909090909091,0.6860332601560846,2.7731818181818184,0.9668181818181818,0.6497505798190788,3.039999999999999,0.7000000000000011,0.5840691299626611,45758876905.2845,-0.3225886350840208,11837215038.8922,0.5217388380347049,81.06604477988621,0.46267887605185837,2.6,0.3445658430052125,1.9,0.2594564737754403
7,FORT WORTH,2015-02,3.42,New Construction,0.11784999999999998,3.30215,0.5137638373938789,0.13764249999999997,3.2823575,0.517691496209609,0.17207499999999998,3.247925,0.5185288290065788,0.2121925,3.2078075,0.524080704993107,0.25842,3.16158,0.5193111630379987,0.37596500000000005,3.044035,0.5064825449955364,0.6601375,2.7598624999999997,0.5040405811759514,0.017894736842105265,3.4021052631578947,0.5268633378742248,0.07105263157894741,3.3489473684210527,0.5072356741044433,0.22421052631578947,3.1957894736842105,0.5076178908462728,1.472631578947368,1.9473684210526319,0.568972236605823,1.9752631578947366,1.4447368421052633,0.6860332601560846,2.3384210526315794,1.0815789473684205,0.6497505798190788,2.566315789473684,0.8536842105263158,0.5840691299626611,48997735451.5931,-0.3225886350840208,11517159733.1957,0.5217388380347049,82.4770523961592,0.46267887605185837,3.1,0.3445658430052125,1.9,0.2594564737754403
8,FORT WORTH,2015-10,3.2,New Construction,0.13160454545454547,3.068395454545455,0.5137638373938789,0.15531363636363638,3.0446863636363637,0.517691496209609,0.19451136363636365,3.0054886363636366,0.5185288290065788,0.2514522727272726,2.9485477272727274,0.524080704993107,0.32135909090909087,2.878640909090909,0.5193111630379987,0.5284272727272726,2.6715727272727277,0.5064825449955364,0.8378659090909092,2.362134090909091,0.5040405811759514,0.014285714285714287,3.185714285714286,0.5268633378742248,0.11380952380952382,3.086190476190476,0.5072356741044433,0.26333333333333336,2.936666666666667,0.5076178908462728,1.3857142857142857,1.8142857142857145,0.568972236605823,2.0699999999999994,1.1300000000000008,0.6860332601560846,2.5028571428571427,0.6971428571428575,0.6497505798190788,2.8880952380952376,0.3119047619047626,0.5840691299626611,48927223434.2447,-0.3225886350840208,11240513229.2606,0.5217388380347049,82.89218119322959,0.46267887605185837,2.4,0.3445658430052125,1.5,0.2594564737754403
9,FORT WORTH,2016-02,4.03,New Construction,0.3714619047619048,3.6585380952380953,0.5137638373938789,0.39233095238095245,3.6376690476190476,0.517691496209609,0.43129761904761904,3.598702380952381,0.5185288290065788,0.5186452380952381,3.5113547619047623,0.524080704993107,0.6227190476190477,3.4072809523809524,0.5193111630379987,0.8697642857142857,3.1602357142857147,0.5064825449955364,1.1407690476190477,2.8892309523809523,0.5040405811759514,0.25600000000000006,3.774,0.5268633378742248,0.445,3.5850000000000004,0.5072356741044433,0.534,3.4960000000000004,0.5076178908462728,1.222,2.8080000000000003,0.568972236605823,1.7794999999999999,2.2505000000000006,0.6860332601560846,2.1990000000000003,1.831,0.6497505798190788,2.623,1.407,0.5840691299626611,49206523977.8161,-0.3225886350840208,11496937509.4445,0.5217388380347049,82.3313446344394,0.46267887605185837,3.0,0.3445658430052125,1.4,0.2594564737754403
10,FORT WORTH,2016-09,3.6,New Construction,0.42159363636363634,3.1784063636363635,0.5137638373938789,0.4495609090909092,3.150439090909091,0.517691496209609,0.5270018181818182,3.072998181818182,0.5185288290065788,0.6625254545454545,2.9374745454545454,0.524080704993107,0.8496804545454547,2.7503195454545453,0.5193111630379987,1.2471445454545458,2.3528554545454545,0.5064825449955364,1.5560313636363639,2.043968636363636,0.5040405811759514,0.1914285714285715,3.4085714285714284,0.5268633378742248,0.4671428571428572,3.132857142857143,0.5072356741044433,0.5933333333333333,3.006666666666667,0.5076178908462728,1.178095238095238,2.421904761904762,0.568972236605823,1.6304761904761906,1.9695238095238095,0.6860332601560846,2.0152380952380957,1.5847619047619044,0.6497505798190788,2.350476190476191,1.2495238095238093,0.5840691299626611,49588706606.1033,-0.3225886350840208,12351593318.9066,0.5217388380347049,87.39008859346599,0.46267887605185837,2.4,0.3445658430052125,1.1,0.2594564737754403
11,FORT WORTH,2017-04,3.47,New Construction,0.9290682352941175,2.5409317647058827,0.5137638373938789,0.9469605882352942,2.523039411764706,0.517691496209609,0.9906858823529412,2.479314117647059,0.5185288290065788,1.0343464705882355,2.4356535294117645,0.524080704993107,1.1592282352941174,2.3107717647058825,0.5193111630379987,1.4162570588235293,2.0537429411764707,0.5064825449955364,1.7758141176470588,1.6941858823529414,0.5040405811759514,0.7457894736842106,2.7242105263157894,0.5268633378742248,0.9489473684210525,2.5210526315789474,0.5072356741044433,1.0421052631578949,2.4278947368421053,0.5076178908462728,1.8242105263157897,1.6457894736842105,0.568972236605823,2.297368421052632,1.1726315789473682,0.6860332601560846,2.6673684210526316,0.8026315789473686,0.6497505798190788,2.9415789473684213,0.5284210526315789,0.5840691299626611,47520522623.6854,-0.3225886350840208,12103218541.1776,0.5217388380347049,84.4501908643932,0.46267887605185837,2.7,0.3445658430052125,0.9,0.2594564737754403
12,FORT WORTH,2017-06,3.55,New Construction,1.0640909090909094,2.4859090909090904,0.5137638373938789,1.1183336363636365,2.4316663636363636,0.517691496209609,1.1714068181818182,2.3785931818181814,0.5185288290065788,1.2101513636363637,2.3398486363636364,0.524080704993107,1.2624095454545452,2.2875904545454544,0.5193111630379987,1.4322822727272726,2.1177177272727272,0.5064825449955364,1.7322577272727273,1.8177422727272725,0.5040405811759514,0.8413636363636363,2.7086363636363635,0.5268633378742248,1.1095454545454546,2.4404545454545454,0.5072356741044433,1.200909090909091,2.3490909090909087,0.5076178908462728,1.7740909090909094,1.7759090909090904,0.568972236605823,2.186818181818182,1.3631818181818178,0.6860332601560846,2.5399999999999996,1.0100000000000002,0.6497505798190788,2.796363636363637,0.753636363636363,0.5840691299626611,49855182727.6109,-0.3225886350840208,11537595366.1601,0.5217388380347049,89.1200725980081,0.46267887605185837,2.5,0.3445658430052125,0.9,0.2594564737754403
13,FORT WORTH,2018-04,3.88,New Construction,1.7027510000000003,2.1772489999999998,0.5137638373938789,1.7432829999999995,2.1367170000000004,0.517691496209609,1.896724,1.9832759999999998,0.5185288290065788,2.0408605,1.8391395,0.524080704993107,2.349426,1.530574,0.5193111630379987,2.493657999999999,1.3863420000000009,0.5064825449955364,2.7355454999999997,1.1444545000000002,0.5040405811759514,1.6604761904761904,2.2195238095238095,0.5268633378742248,1.9780952380952381,1.9019047619047618,0.5072356741044433,2.153809523809524,1.7261904761904758,0.5076178908462728,2.701904761904762,1.178095238095238,0.568972236605823,2.869047619047619,1.0109523809523808,0.6860332601560846,2.9595238095238092,0.9204761904761907,0.6497505798190788,3.0719047619047624,0.8080952380952375,0.5840691299626611,50563742345.0186,-0.3225886350840208,12917630009.557,0.5217388380347049,87.010875232225,0.46267887605185837,2.7,0.3445658430052125,0.8,0.2594564737754403
14,FORT WORTH,2018-06,4.365,New Construction,1.8376333333333337,2.5273666666666665,0.5137638373938789,1.9170571428571423,2.447942857142858,0.517691496209609,2.068429047619047,2.296570952380953,0.5185288290065788,2.1502619047619045,2.2147380952380957,0.524080704993107,2.330264285714286,2.034735714285714,0.5193111630379987,2.4958952380952377,1.8691047619047625,0.5064825449955364,2.759644285714286,1.605355714285714,0.5040405811759514,1.8052380952380953,2.559761904761905,0.5268633378742248,2.113809523809524,2.251190476190476,0.5072356741044433,2.328095238095238,2.036904761904762,0.5076178908462728,2.775714285714286,1.5892857142857144,0.568972236605823,2.9123809523809525,1.4526190476190477,0.6860332601560846,2.9776190476190476,1.3873809523809526,0.6497505798190788,3.0500000000000007,1.3149999999999995,0.5840691299626611,51507450037.54,-0.3225886350840208,13275367584.5731,0.5217388380347049,88.437943439718,0.46267887605185837,2.4,0.3445658430052125,0.8,0.2594564737754403
