,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-3),Corr with auto_vol(-3),student_vol(-1),Corr with student_vol(-1),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2011-10,GA,COLUMBUS,2011-10,4.65,"(-84.681, 32.8904)",31909,74031.47,New Construction,0.1416352380952381,-0.486313664235482,0.19074095238095234,-0.4740806943496642,0.24373904761904758,-0.4763920182194552,0.3185252380952381,-0.5193954389756821,0.4064785714285714,-0.539724483008992,0.59521,-0.6437729824454205,0.9086428571428572,-0.6532097608854406,0.013500000000000003,-0.5465230336254853,0.05450000000000003,-0.547727492452097,0.1145,-0.47444175546019907,1.0614999999999999,0.2651576424704062,2.1519999999999997,0.515066506354649,2.8695,0.5806038411012738,3.128,0.5369822173641658,31992172727.7437,-0.2251514869354062,11655650147.2578,-0.8054440871803393,88.33905735772379,-0.5239608103370591,4.5,-0.41664340509514725,2.9,0.3009417865615586,-84.681,32.8904
1,2011-12,GA,COLUMBUS,2011-12,4.17,"(-84.8693136, 32.537864)",31820,102919.82,New Construction,0.1499335,-0.486313664235482,0.2029985,-0.4740806943496642,0.2836085,-0.4763920182194552,0.40829250000000006,-0.5193954389756821,0.5557375,-0.539724483008992,0.7798775000000001,-0.6437729824454205,1.1003555000000003,-0.6532097608854406,0.0033333333333333335,-0.5465230336254853,0.048571428571428585,-0.547727492452097,0.11523809523809528,-0.47444175546019907,0.8914285714285713,0.2651576424704062,1.9780952380952384,0.515066506354649,2.6676190476190476,0.5806038411012738,2.9823809523809524,0.5369822173641658,33690910289.8878,-0.2251514869354062,11784187253.6333,-0.8054440871803393,91.3646878868074,-0.5239608103370591,4.0,-0.41664340509514725,2.6,0.3009417865615586,-84.8693136,32.537864
2,2012-07,GA,COLUMBUS,2012-07,3.38,"(-84.979019, 32.487697999999995)",31904,12680.57,New Construction,0.16720454545454547,-0.486313664235482,0.19873636363636368,-0.4740806943496642,0.24646136363636365,-0.4763920182194552,0.34024999999999994,-0.5193954389756821,0.4535545454545455,-0.539724483008992,0.7302181818181818,-0.6437729824454205,1.0653181818181816,-0.6532097608854406,0.06952380952380956,-0.5465230336254853,0.14571428571428574,-0.547727492452097,0.18571428571428572,-0.47444175546019907,0.6195238095238095,0.2651576424704062,1.5266666666666664,0.515066506354649,2.217142857142857,0.5806038411012738,2.5900000000000003,0.5369822173641658,36623269866.4569,-0.2251514869354062,14585937143.4485,-0.8054440871803393,89.6038877472871,-0.5239608103370591,5.8,-0.41664340509514725,2.8,0.3009417865615586,-84.979019,32.487697999999995
3,2012-08,GA,COLUMBUS,2012-08,3.3,"(122.55, 11.12)",31904,15019.52,New Construction,0.15374090909090915,-0.486313664235482,0.18745454545454548,-0.4740806943496642,0.23783863636363634,-0.4763920182194552,0.3331136363636364,-0.5193954389756821,0.43259999999999993,-0.539724483008992,0.7177749999999997,-0.6437729824454205,1.0426272727272727,-0.6532097608854406,0.09217391304347829,-0.5465230336254853,0.14043478260869566,-0.547727492452097,0.18347826086956526,-0.47444175546019907,0.7139130434782609,0.2651576424704062,1.6782608695652175,0.515066506354649,2.3978260869565218,0.5806038411012738,2.7708695652173914,0.5369822173641658,36777908030.9335,-0.2251514869354062,16111780903.4699,-0.8054440871803393,89.56768058609659,-0.5239608103370591,5.0,-0.41664340509514725,2.7,0.3009417865615586,122.55,11.12
4,2014-02,GA,COLUMBUS,2014-02,4.35,"(-84.916933, 32.518751)",31909,32622.22,New Construction,0.08627,-0.486313664235482,0.11939250000000004,-0.4740806943496642,0.155105,-0.4763920182194552,0.19663749999999997,-0.5193954389756821,0.23520249999999998,-0.539724483008992,0.3308,-0.6437729824454205,0.554605,-0.6532097608854406,0.046842105263157914,-0.5465230336254853,0.08105263157894738,-0.547727492452097,0.11684210526315793,-0.47444175546019907,1.5157894736842106,0.2651576424704062,2.7094736842105265,0.515066506354649,3.3847368421052626,0.5806038411012738,3.6626315789473685,0.5369822173641658,41658198449.9001,-0.2251514869354062,9438159522.248821,-0.8054440871803393,85.3165844012547,-0.5239608103370591,2.4,-0.41664340509514725,2.8,0.3009417865615586,-84.916933,32.518751
5,2014-12,GA,COLUMBUS,2014-12,4.47,"(-84.9877, 32.461)",31901,14224.54,New Construction,0.1101,-0.486313664235482,0.1330809523809524,-0.4740806943496642,0.16305,-0.4763920182194552,0.20744285714285715,-0.5193954389756821,0.2446071428571429,-0.539724483008992,0.34302142857142864,-0.6437729824454205,0.6021190476190476,-0.6532097608854406,0.02500000000000001,-0.5465230336254853,0.1063636363636364,-0.547727492452097,0.21454545454545454,-0.47444175546019907,1.64,0.2651576424704062,2.2072727272727275,0.515066506354649,2.5504545454545453,0.5806038411012738,2.8331818181818185,0.5369822173641658,44885858708.7515,-0.2251514869354062,11357071284.6333,-0.8054440871803393,82.08517590205541,-0.5239608103370591,3.1,-0.41664340509514725,2.3,0.3009417865615586,-84.9877,32.461
6,2017-01,GA,COLUMBUS,2017-01,3.42,"(-84.953796, 32.437914)",31903,27672.59,New Construction,0.6908933333333332,-0.486313664235482,0.720819523809524,-0.4740806943496642,0.7713747619047617,-0.4763920182194552,0.8375133333333332,-0.5193954389756821,1.0256928571428574,-0.539724483008992,1.3400880952380954,-0.6437729824454205,1.7079285714285712,-0.6532097608854406,0.496,-0.5465230336254853,0.617,-0.547727492452097,0.8255000000000002,-0.47444175546019907,1.9164999999999996,0.2651576424704062,2.4325,0.515066506354649,2.7475,0.5806038411012738,3.0189999999999997,0.5369822173641658,50034086230.3872,-0.2251514869354062,12605986919.9069,-0.8054440871803393,89.2057504560787,-0.5239608103370591,2.8,-0.41664340509514725,1.7,0.3009417865615586,-84.953796,32.437914
