,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-1),Corr with student_vol(-1),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-1),Corr with mortgage 90(-1)
0,2010-04,TX,SAN ANTONIO,2010-04,5.8,"(-98.427464, 29.496142)",33789.19,New Construction,0.24183250000000003,0.14697690968971228,0.2495495,0.14760684972531904,0.2597455000000001,0.15321529729084313,0.2840375,0.1543342305032088,0.3116065,0.1603579792956958,0.4758610000000001,0.14288065520633883,0.9598030000000002,0.15156482842067756,0.15045454545454548,0.15759371466267333,0.2440909090909091,0.15031611687812474,0.44499999999999995,0.16859823974084953,2.581363636363637,0.5301820796065067,3.8468181818181817,0.6757629540011217,4.531363636363637,0.6082977800144791,4.693181818181819,0.5528601727055117,29160609360.1217,-0.3035920957058114,14217328271.8582,0.28708104977574894,97.9962893430168,0.2556125320138624,5.6,0.23156481416650176,3.2,0.17597582030477235
1,2011-02,TX,SAN ANTONIO,2011-02,4.8,"(-98.56, 29.53)",75306.88,New Construction,0.23214,0.14697690968971228,0.25165,0.14760684972531904,0.26292499999999996,0.15321529729084313,0.28731249999999997,0.1543342305032088,0.31189999999999996,0.1603579792956958,0.46404500000000004,0.14288065520633883,0.7933949999999999,0.15156482842067756,0.11473684210526319,0.15759371466267333,0.16842105263157894,0.15031611687812474,0.2863157894736842,0.16859823974084953,2.257894736842106,0.5301820796065067,3.5763157894736834,0.6757629540011217,4.423684210526316,0.6082977800144791,4.652105263157895,0.5528601727055117,31300541846.2612,-0.3035920957058114,11568364841.7538,0.28708104977574894,92.8594669911348,0.2556125320138624,5.3,0.23156481416650176,3.0,0.17597582030477235
2,2011-10,TX,SAN ANTONIO,2011-10,4.2,"(-98.56729399999999, 29.461368)",57785.74,New Construction,0.1416352380952381,0.14697690968971228,0.19074095238095234,0.14760684972531904,0.24373904761904758,0.15321529729084313,0.3185252380952381,0.1543342305032088,0.4064785714285714,0.1603579792956958,0.59521,0.14288065520633883,0.9086428571428572,0.15156482842067756,0.013500000000000003,0.15759371466267333,0.05450000000000003,0.15031611687812474,0.1145,0.16859823974084953,1.0614999999999999,0.5301820796065067,2.1519999999999997,0.6757629540011217,2.8695,0.6082977800144791,3.128,0.5528601727055117,35532707747.113,-0.3035920957058114,11655650147.2578,0.28708104977574894,90.5649414475864,0.2556125320138624,4.1,0.23156481416650176,2.5,0.17597582030477235
3,2011-12,TX,SAN ANTONIO,2011-12,4.45,"(-98.482619, 29.365085999999998)",21078.61,New Construction,0.1499335,0.14697690968971228,0.2029985,0.14760684972531904,0.2836085,0.15321529729084313,0.40829250000000006,0.1543342305032088,0.5557375,0.1603579792956958,0.7798775000000001,0.14288065520633883,1.1003555000000003,0.15156482842067756,0.0033333333333333335,0.15759371466267333,0.048571428571428585,0.15031611687812474,0.11523809523809528,0.16859823974084953,0.8914285714285713,0.5301820796065067,1.9780952380952384,0.6757629540011217,2.6676190476190476,0.6082977800144791,2.9823809523809524,0.5528601727055117,36623269866.4569,-0.3035920957058114,11784187253.6333,0.28708104977574894,90.4806728327692,0.2556125320138624,4.9,0.23156481416650176,2.7,0.17597582030477235
4,2012-06,TX,SAN ANTONIO,2012-06,3.4050000000000002,"(-98.567616, 29.4967015)",48075.43,New Construction,0.163,0.14697690968971228,0.19464736842105262,0.14760684972531904,0.24319736842105263,0.15321529729084313,0.3459342105263157,0.1543342305032088,0.46558684210526313,0.1603579792956958,0.7364000000000004,0.14288065520633883,1.0691894736842107,0.15156482842067756,0.05190476190476193,0.15759371466267333,0.14809523809523809,0.15031611687812474,0.18904761904761905,0.16859823974084953,0.7114285714285714,0.5301820796065067,1.6223809523809525,0.6757629540011217,2.3061904761904763,0.6082977800144791,2.698095238095238,0.5528601727055117,37685204803.0042,-0.3035920957058114,12770391029.1034,0.28708104977574894,90.0868950067716,0.2556125320138624,4.7,0.23156481416650176,2.6,0.17597582030477235
5,2012-10,TX,SAN ANTONIO,2012-10,2.29,"(-98.49703000000001, 29.631219)",43595.94,New Construction,0.15320434782608702,0.14697690968971228,0.17955217391304346,0.14760684972531904,0.21346521739130433,0.15321529729084313,0.2717391304347827,0.1543342305032088,0.3304891304347827,0.1603579792956958,0.5823021739130435,0.14288065520633883,0.9185760869565219,0.15156482842067756,0.10952380952380951,0.15759371466267333,0.14904761904761904,0.15031611687812474,0.17952380952380956,0.16859823974084953,0.7085714285714285,0.5301820796065067,1.7461904761904758,0.6757629540011217,2.505714285714286,0.6082977800144791,2.90047619047619,0.5528601727055117,39658399389.4891,-0.3035920957058114,11631947675.6117,0.28708104977574894,89.02745876405929,0.2556125320138624,4.4,0.23156481416650176,2.6,0.17597582030477235
6,2012-11,TX,SAN ANTONIO,2012-11,2.75,"(-98.3305793, 29.4777929)",27472.1,New Construction,0.1555,0.14697690968971228,0.18060909090909089,0.14760684972531904,0.20888636363636362,0.15321529729084313,0.25813636363636355,0.1543342305032088,0.31102272727272723,0.1603579792956958,0.528347727272727,0.14288065520633883,0.8631931818181818,0.15156482842067756,0.12449999999999999,0.15759371466267333,0.14450000000000002,0.15031611687812474,0.17850000000000002,0.16859823974084953,0.665,0.5301820796065067,1.654,0.6757629540011217,2.3894999999999995,0.6082977800144791,2.8034999999999997,0.5528601727055117,39298206327.5877,-0.3035920957058114,12022315813.7363,0.28708104977574894,89.6061116730853,0.2556125320138624,4.5,0.23156481416650176,2.6,0.17597582030477235
7,2012-12,TX,SAN ANTONIO,2012-12,2.57,"(-98.632086, 29.516857)",42220.6,New Construction,0.1631578947368421,0.14697690968971228,0.1875157894736842,0.14760684972531904,0.21092631578947374,0.15321529729084313,0.2552894736842105,0.1543342305032088,0.30947368421052623,0.1603579792956958,0.5145657894736843,0.14288065520633883,0.8483157894736841,0.15156482842067756,0.039500000000000014,0.15759371466267333,0.11950000000000005,0.15031611687812474,0.1585,0.16859823974084953,0.6960000000000001,0.5301820796065067,1.7189999999999999,0.6757629540011217,2.4675000000000002,0.6082977800144791,2.8835,0.5528601727055117,40395555554.9932,-0.3035920957058114,10740081615.3953,0.28708104977574894,89.513287195688,0.2556125320138624,4.7,0.23156481416650176,2.6,0.17597582030477235
8,2013-01,TX,SAN ANTONIO,2013-01,3.08875,"(-72.481235, 41.80708)",47567.255,New Construction,0.16043181818181818,0.14697690968971228,0.17947272727272726,0.14760684972531904,0.20497272727272725,0.15321529729084313,0.2497954545454545,0.1543342305032088,0.30261363636363625,0.1603579792956958,0.48810454545454546,0.14288065520633883,0.8142727272727271,0.15156482842067756,0.05190476190476192,0.15759371466267333,0.10761904761904766,0.15031611687812474,0.14523809523809525,0.16859823974084953,0.8052380952380951,0.5301820796065067,1.9147619047619049,0.6757629540011217,2.681428571428571,0.6082977800144791,3.0804761904761913,0.5528601727055117,40995097959.5386,-0.3035920957058114,11337096053.4966,0.28708104977574894,90.37816904639429,0.2556125320138624,4.6,0.23156481416650176,2.6,0.17597582030477235
9,2013-02,TX,SAN ANTONIO,2013-02,3.0,"(-98.556772, 29.396822999999998)",14300.27,New Construction,0.15464999999999998,0.14697690968971228,0.17315,0.14760684972531904,0.20129999999999998,0.15321529729084313,0.2455,0.1543342305032088,0.29049499999999995,0.1603579792956958,0.463425,0.14288065520633883,0.761875,0.15156482842067756,0.0768421052631579,0.15759371466267333,0.12421052631578947,0.15031611687812474,0.15736842105263157,0.16859823974084953,0.8463157894736841,0.5301820796065067,1.9842105263157896,0.6757629540011217,2.782631578947368,0.6082977800144791,3.165263157894737,0.5528601727055117,41507587847.7023,-0.3035920957058114,11154944519.578999,0.28708104977574894,90.2956809830492,0.2556125320138624,4.8,0.23156481416650176,2.6,0.17597582030477235
