,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(-1),Corr with mortgage 90(-1)
0,BALTIMORE,2010-03,6.15,New Construction,0.20298217391304352,5.947017826086957,-0.14231610781844026,0.22118086956521738,5.928819130434783,-0.14431377796815564,0.23731173913043485,5.912688260869565,-0.15022846283975314,0.25031173913043475,5.899688260869565,-0.1645582521372361,0.2684247826086957,5.881575217391305,-0.18918094105741196,0.41060652173913054,5.73939347826087,-0.23029870221636775,0.8732952173913044,5.276704782608696,-0.20542285725323337,0.11652173913043477,6.033478260869566,-0.1119657838848366,0.22565217391304354,5.924347826086957,-0.11210053529046958,0.3956521739130435,5.754347826086957,-0.09569173580137502,2.433043478260869,3.716956521739131,0.48415578923598634,3.7273913043478255,2.422608695652175,0.7743243837799941,4.489130434782608,1.660869565217392,0.7747628798933052,4.644782608695651,1.505217391304349,0.7579805354077501,28389074974.2894,-0.5253148819783993,14217328271.8582,0.27013323661118344,96.8995739482615,0.3804311079845029,4.2,0.4987947373491094,5.0,0.41737019094475125
1,BALTIMORE,2010-12,5.0,New Construction,0.24122190476190472,4.758778095238095,-0.14231610781844026,0.25412380952380953,4.74587619047619,-0.14431377796815564,0.26178857142857137,4.738211428571429,-0.15022846283975314,0.28196571428571415,4.718034285714285,-0.1645582521372361,0.30272333333333334,4.697276666666666,-0.18918094105741196,0.4583942857142857,4.541605714285715,-0.23029870221636775,0.7839004761904763,4.216099523809524,-0.20542285725323337,0.0854166666666667,4.914583333333333,-0.1119657838848366,0.19333333333333338,4.806666666666667,-0.11210053529046958,0.2937499999999999,4.70625,-0.09569173580137502,1.9429166666666664,3.057083333333334,0.48415578923598634,3.2949999999999995,1.7050000000000005,0.7743243837799941,4.173333333333333,0.8266666666666671,0.7747628798933052,4.415,0.585,0.7579805354077501,31565012894.7234,-0.5253148819783993,10792773250.4017,0.27013323661118344,95.6415096715633,0.3804311079845029,3.9,0.4987947373491094,4.5,0.41737019094475125
2,BALTIMORE,2011-06,4.01,New Construction,0.12706818181818183,3.882931818181818,-0.14231610781844026,0.1615431818181819,3.848456818181818,-0.14431377796815564,0.18716409090909092,3.8228359090909088,-0.15022846283975314,0.21923909090909086,3.790760909090909,-0.1645582521372361,0.24782409090909094,3.762175909090909,-0.18918094105741196,0.39758,3.6124199999999997,-0.23029870221636775,0.7268749999999999,3.283125,-0.20542285725323337,0.0190909090909091,3.9909090909090907,-0.1119657838848366,0.1013636363636364,3.9086363636363632,-0.11210053529046958,0.18090909090909094,3.8290909090909087,-0.09569173580137502,1.5799999999999998,2.4299999999999997,0.48415578923598634,3.002272727272727,1.0077272727272728,0.7743243837799941,3.9145454545454546,0.09545454545454524,0.7747628798933052,4.2327272727272724,-0.22272727272727266,0.7579805354077501,33690910289.8878,-0.5253148819783993,12472473242.0863,0.27013323661118344,93.74313363440879,0.3804311079845029,3.5,0.4987947373491094,4.6,0.41737019094475125
3,BALTIMORE,2011-11,4.0,New Construction,0.14255090909090912,3.857449090909091,-0.14231610781844026,0.19244863636363635,3.807551363636364,-0.14431377796815564,0.2536463636363637,3.7463536363636365,-0.15022846283975314,0.3593790909090909,3.640620909090909,-0.1645582521372361,0.47529181818181826,3.524708181818182,-0.18918094105741196,0.6805422727272729,3.3194577272727273,-0.23029870221636775,1.000305,2.999695,-0.20542285725323337,0.013999999999999999,3.986,-0.1119657838848366,0.04650000000000002,3.9535,-0.11210053529046958,0.11200000000000002,3.888,-0.09569173580137502,0.908,3.092,0.48415578923598634,2.0134999999999996,1.9865000000000004,0.7743243837799941,2.7180000000000004,1.2819999999999996,0.7747628798933052,3.0155000000000003,0.9844999999999997,0.7579805354077501,35532707747.113,-0.5253148819783993,11784187253.6333,0.27013323661118344,90.5649414475864,0.3804311079845029,3.8,0.4987947373491094,4.6,0.41737019094475125
4,BALTIMORE,2012-11,2.53,New Construction,0.1555,2.3745,-0.14231610781844026,0.18060909090909089,2.349390909090909,-0.14431377796815564,0.20888636363636362,2.321113636363636,-0.15022846283975314,0.25813636363636355,2.271863636363636,-0.1645582521372361,0.31102272727272723,2.2189772727272725,-0.18918094105741196,0.528347727272727,2.0016522727272728,-0.23029870221636775,0.8631931818181818,1.666806818181818,-0.20542285725323337,0.12449999999999999,2.4055,-0.1119657838848366,0.14450000000000002,2.3855,-0.11210053529046958,0.17850000000000002,2.3514999999999997,-0.09569173580137502,0.665,1.8649999999999998,0.48415578923598634,1.654,0.8759999999999999,0.7743243837799941,2.3894999999999995,0.1405000000000003,0.7747628798933052,2.8034999999999997,-0.27349999999999985,0.7579805354077501,39658399389.4891,-0.5253148819783993,10740081615.3953,0.27013323661118344,89.02745876405929,0.3804311079845029,3.7,0.4987947373491094,4.7,0.41737019094475125
5,BALTIMORE,2014-02,5.0,New Construction,0.08627,4.91373,-0.14231610781844026,0.11939250000000004,4.8806075,-0.14431377796815564,0.155105,4.844895,-0.15022846283975314,0.19663749999999997,4.8033625,-0.1645582521372361,0.23520249999999998,4.7647975,-0.18918094105741196,0.3308,4.6692,-0.23029870221636775,0.554605,4.4453949999999995,-0.20542285725323337,0.046842105263157914,4.953157894736842,-0.1119657838848366,0.08105263157894738,4.918947368421053,-0.11210053529046958,0.11684210526315793,4.883157894736842,-0.09569173580137502,1.5157894736842106,3.484210526315789,0.48415578923598634,2.7094736842105265,2.2905263157894735,0.7743243837799941,3.3847368421052626,1.6152631578947374,0.7747628798933052,3.6626315789473685,1.3373684210526315,0.7579805354077501,44462292713.4678,-0.5253148819783993,10011024566.6146,0.27013323661118344,85.7873584996498,0.3804311079845029,3.3,0.4987947373491094,3.7,0.41737019094475125
6,BALTIMORE,2014-04,4.55,New Construction,0.08864000000000001,4.46136,-0.14231610781844026,0.120115,4.429885,-0.14431377796815564,0.1517,4.3983,-0.15022846283975314,0.1918625,4.3581375,-0.1645582521372361,0.227495,4.322505,-0.18918094105741196,0.32422500000000004,4.225775,-0.23029870221636775,0.550005,3.9999949999999997,-0.20542285725323337,0.023333333333333345,4.526666666666666,-0.1119657838848366,0.05333333333333336,4.496666666666666,-0.11210053529046958,0.10761904761904763,4.442380952380952,-0.09569173580137502,1.7009523809523805,2.849047619047619,0.48415578923598634,2.705238095238095,1.8447619047619046,0.7743243837799941,3.265238095238095,1.284761904761905,0.7747628798933052,3.5176190476190476,1.0323809523809522,0.7579805354077501,44931729222.7983,-0.5253148819783993,11032404366.8063,0.27013323661118344,85.3165844012547,0.3804311079845029,2.9,0.4987947373491094,3.2,0.41737019094475125
7,BALTIMORE,2015-07,3.99,New Construction,0.1263,3.8637,-0.14231610781844026,0.1488782608695652,3.841121739130435,-0.14431377796815564,0.1881586956521739,3.8018413043478265,-0.15022846283975314,0.23940652173913043,3.75059347826087,-0.1645582521372361,0.29066956521739135,3.699330434782609,-0.18918094105741196,0.46192391304347824,3.528076086956522,-0.23029870221636775,0.7858413043478262,3.204158695652174,-0.20542285725323337,0.030000000000000002,3.9600000000000004,-0.1119657838848366,0.11636363636363636,3.873636363636364,-0.11210053529046958,0.2968181818181819,3.6931818181818183,-0.09569173580137502,1.632272727272727,2.3577272727272733,0.48415578923598634,2.3245454545454547,1.6654545454545455,0.7743243837799941,2.7663636363636357,1.2236363636363645,0.7747628798933052,3.066363636363636,0.9236363636363643,0.7579805354077501,48752987466.2114,-0.5253148819783993,11834405659.8436,0.27013323661118344,82.23381292700279,0.3804311079845029,2.2,0.4987947373491094,2.5,0.41737019094475125
8,BALTIMORE,2015-11,4.056,New Construction,0.13066666666666668,3.9253333333333336,-0.14231610781844026,0.1559214285714286,3.9000785714285713,-0.14431377796815564,0.20844761904761913,3.847552380952381,-0.15022846283975314,0.286702380952381,3.7692976190476193,-0.1645582521372361,0.3709714285714286,3.6850285714285715,-0.18918094105741196,0.6063738095238096,3.4496261904761907,-0.23029870221636775,0.9343738095238093,3.121626190476191,-0.20542285725323337,0.07105263157894738,3.984947368421053,-0.1119657838848366,0.32789473684210524,3.728105263157895,-0.11210053529046958,0.47684210526315784,3.5791578947368423,-0.09569173580137502,1.6710526315789473,2.3849473684210527,0.48415578923598634,2.2631578947368416,1.7928421052631585,0.7743243837799941,2.6863157894736847,1.3696842105263154,0.7747628798933052,3.03,1.0260000000000002,0.7579805354077501,48927223434.2447,-0.5253148819783993,10798655053.3939,0.27013323661118344,81.7923503982947,0.3804311079845029,2.9,0.4987947373491094,2.4,0.41737019094475125
9,BALTIMORE,2015-12,4.055,New Construction,0.2286238095238095,3.82637619047619,-0.14231610781844026,0.289352380952381,3.765647619047619,-0.14431377796815564,0.3523071428571429,3.702692857142857,-0.15022846283975314,0.44092857142857156,3.614071428571428,-0.1645582521372361,0.5332357142857143,3.5217642857142852,-0.18918094105741196,0.7638285714285715,3.2911714285714284,-0.23029870221636775,1.0841380952380955,2.9708619047619043,-0.20542285725323337,0.17181818181818184,3.883181818181818,-0.1119657838848366,0.4990909090909091,3.5559090909090907,-0.11210053529046958,0.6536363636363638,3.401363636363636,-0.09569173580137502,1.6986363636363635,2.3563636363636364,0.48415578923598634,2.2427272727272736,1.8122727272727261,0.7743243837799941,2.6072727272727274,1.4477272727272723,0.7747628798933052,2.97,1.0849999999999995,0.7579805354077501,48187387172.2131,-0.5253148819783993,13039171751.3192,0.27013323661118344,82.89218119322959,0.3804311079845029,2.7,0.4987947373491094,2.2,0.41737019094475125
