,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness,Corr with credit_tightness,mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(2),Corr with mortgage 90(2)
0,2011-02,TX,FORT WORTH,2011-02,4.5,"(-97.305504, 32.852528)",48512.33,New Construction,0.23214,0.5793151430125791,0.25165,0.5828704833084868,0.26292499999999996,0.5792458755648004,0.28731249999999997,0.5778209569021375,0.31189999999999996,0.5669445357678622,0.46404500000000004,0.5544908025120608,0.7933949999999999,0.557631754186729,0.11473684210526319,0.5739167992344518,0.16842105263157894,0.5616541751122027,0.2863157894736842,0.5578185120187418,2.257894736842106,0.613817769782471,3.5763157894736834,0.7055454587862844,4.423684210526316,0.6521653420160213,4.652105263157895,0.5810269911341388,31300541846.2612,-0.2781114708114813,11822726022.5574,0.5734371414793524,93.74313363440879,0.504485884044997,4.5,0.29250365090455216,3.1,0.17830512396203702
1,2011-12,TX,FORT WORTH,2011-12,4.49,"(-97.363969, 32.751762)",149265.98,New Construction,0.1499335,0.5793151430125791,0.2029985,0.5828704833084868,0.2836085,0.5792458755648004,0.40829250000000006,0.5778209569021375,0.5557375,0.5669445357678622,0.7798775000000001,0.5544908025120608,1.1003555000000003,0.557631754186729,0.0033333333333333335,0.5739167992344518,0.048571428571428585,0.5616541751122027,0.11523809523809528,0.5578185120187418,0.8914285714285713,0.613817769782471,1.9780952380952384,0.7055454587862844,2.6676190476190476,0.6521653420160213,2.9823809523809524,0.5810269911341388,36623269866.4569,-0.2781114708114813,12477113046.1263,0.5734371414793524,90.48744874686929,0.504485884044997,4.2,0.29250365090455216,3.3,0.17830512396203702
2,2012-01,TX,FORT WORTH,2012-01,3.99,"(-97.16544499999999, 32.80215)",96279.56,New Construction,0.14564761904761903,0.5793151430125791,0.2014238095238095,0.5828704833084868,0.28289523809523814,0.5792458755648004,0.41424761904761903,0.5778209569021375,0.5659000000000001,0.5669445357678622,0.7969761904761906,0.5544908025120608,1.1145476190476191,0.557631754186729,0.0245,0.5739167992344518,0.06550000000000003,0.5616541751122027,0.11500000000000003,0.5578185120187418,0.835,0.613817769782471,1.9664999999999995,0.7055454587862844,2.6950000000000003,0.6521653420160213,3.026,0.5810269911341388,36777908030.9335,-0.2781114708114813,11655650147.2578,0.5734371414793524,90.7743282432688,0.504485884044997,4.1,0.29250365090455216,3.2,0.17830512396203702
3,2012-05,TX,FORT WORTH,2012-05,3.7,"(-97.4099003, 32.6592507)",59010.68,New Construction,0.15161363636363637,0.5793151430125791,0.19053181818181822,0.5828704833084868,0.23893181818181805,0.5792458755648004,0.3457045454545453,0.5778209569021375,0.4665318181818183,0.5669445357678622,0.732990909090909,0.5544908025120608,1.0615068181818177,0.557631754186729,0.06590909090909093,0.5739167992344518,0.14545454545454548,0.5616541751122027,0.19181818181818186,0.5578185120187418,0.7618181818181818,0.613817769782471,1.8031818181818189,0.7055454587862844,2.525909090909091,0.6521653420160213,2.930909090909091,0.5810269911341388,37571290060.6541,-0.2781114708114813,11510278467.2037,0.5734371414793524,89.6038877472871,0.504485884044997,4.4,0.29250365090455216,2.9,0.17830512396203702
4,2012-08,TX,FORT WORTH,2012-08,3.08,"(-97.3327, 32.7532)",63182.3,New Construction,0.15374090909090915,0.5793151430125791,0.18745454545454548,0.5828704833084868,0.23783863636363634,0.5792458755648004,0.3331136363636364,0.5778209569021375,0.43259999999999993,0.5669445357678622,0.7177749999999997,0.5544908025120608,1.0426272727272727,0.557631754186729,0.09217391304347829,0.5739167992344518,0.14043478260869566,0.5616541751122027,0.18347826086956526,0.5578185120187418,0.7139130434782609,0.613817769782471,1.6782608695652175,0.7055454587862844,2.3978260869565218,0.6521653420160213,2.7708695652173914,0.5810269911341388,38808856509.5085,-0.2781114708114813,11641401212.0971,0.5734371414793524,89.6061116730853,0.504485884044997,3.5,0.29250365090455216,2.7,0.17830512396203702
5,2013-04,TX,FORT WORTH,2013-04,3.55,"(-97.25064, 32.707715)",10143.45,New Construction,0.1539047619047619,0.5793151430125791,0.17210476190476193,0.5828704833084868,0.19953333333333334,0.5792458755648004,0.24005714285714277,0.5778209569021375,0.27714285714285714,0.5669445357678622,0.4360190476190476,0.5544908025120608,0.7168333333333334,0.557631754186729,0.049090909090909116,0.5739167992344518,0.09409090909090913,0.5616541751122027,0.12454545454545456,0.5578185120187418,0.7104545454545454,0.613817769782471,1.7590909090909093,0.7055454587862844,2.5500000000000003,0.6521653420160213,2.9327272727272726,0.5810269911341388,41334062733.8549,-0.2781114708114813,11337096053.4966,0.5734371414793524,86.5850023909696,0.504485884044997,4.2,0.29250365090455216,2.3,0.17830512396203702
6,2014-10,TX,FORT WORTH,2014-10,3.74,"(-97.484507, 32.729849)",43193.03,New Construction,0.09059565217391304,0.5793151430125791,0.11953260869565213,0.5828704833084868,0.15351739130434783,0.5792458755648004,0.1974043478260869,0.5778209569021375,0.2313760869565217,0.5669445357678622,0.3236195652173913,0.5544908025120608,0.5523869565217392,0.557631754186729,0.020909090909090912,0.5739167992344518,0.05045454545454548,0.5616541751122027,0.10454545454545458,0.5578185120187418,1.5459090909090911,0.613817769782471,2.304090909090909,0.7055454587862844,2.7731818181818184,0.6521653420160213,3.039999999999999,0.5810269911341388,45758876905.2845,-0.2781114708114813,10121843859.6075,0.5734371414793524,82.08517590205541,0.504485884044997,2.6,0.29250365090455216,2.0,0.17830512396203702
7,2015-02,TX,FORT WORTH,2015-02,3.42,"(-97.412581, 32.629809)",48453.81,New Construction,0.11784999999999998,0.5793151430125791,0.13764249999999997,0.5828704833084868,0.17207499999999998,0.5792458755648004,0.2121925,0.5778209569021375,0.25842,0.5669445357678622,0.37596500000000005,0.5544908025120608,0.6601375,0.557631754186729,0.017894736842105265,0.5739167992344518,0.07105263157894741,0.5616541751122027,0.22421052631578947,0.5578185120187418,1.472631578947368,0.613817769782471,1.9752631578947366,0.7055454587862844,2.3384210526315794,0.6521653420160213,2.566315789473684,0.5810269911341388,48997735451.5931,-0.2781114708114813,10950177839.1879,0.5734371414793524,82.122236078369,0.504485884044997,3.1,0.29250365090455216,1.7,0.17830512396203702
8,2015-10,TX,FORT WORTH,2015-10,3.2,"(-97.18309, 32.755126000000004)",39713.08,New Construction,0.13160454545454547,0.5793151430125791,0.15531363636363638,0.5828704833084868,0.19451136363636365,0.5792458755648004,0.2514522727272726,0.5778209569021375,0.32135909090909087,0.5669445357678622,0.5284272727272726,0.5544908025120608,0.8378659090909092,0.557631754186729,0.014285714285714287,0.5739167992344518,0.11380952380952382,0.5616541751122027,0.26333333333333336,0.5578185120187418,1.3857142857142857,0.613817769782471,2.0699999999999994,0.7055454587862844,2.5028571428571427,0.6521653420160213,2.8880952380952376,0.5810269911341388,48927223434.2447,-0.2781114708114813,11517159733.1957,0.5734371414793524,82.4529898168143,0.504485884044997,2.4,0.29250365090455216,1.4,0.17830512396203702
9,2016-02,TX,FORT WORTH,2016-02,4.03,"(-97.429277, 32.806494)",104993.54,New Construction,0.3714619047619048,0.5793151430125791,0.39233095238095245,0.5828704833084868,0.43129761904761904,0.5792458755648004,0.5186452380952381,0.5778209569021375,0.6227190476190477,0.5669445357678622,0.8697642857142857,0.5544908025120608,1.1407690476190477,0.557631754186729,0.25600000000000006,0.5739167992344518,0.445,0.5616541751122027,0.534,0.5578185120187418,1.222,0.613817769782471,1.7794999999999999,0.7055454587862844,2.1990000000000003,0.6521653420160213,2.623,0.5810269911341388,49206523977.8161,-0.2781114708114813,11758109185.709,0.5734371414793524,85.06205357591242,0.504485884044997,3.0,0.29250365090455216,1.2,0.17830512396203702
10,2016-09,TX,FORT WORTH,2016-09,3.6,"(-97.314432, 32.936187)",149086.71,New Construction,0.42159363636363634,0.5793151430125791,0.4495609090909092,0.5828704833084868,0.5270018181818182,0.5792458755648004,0.6625254545454545,0.5778209569021375,0.8496804545454547,0.5669445357678622,1.2471445454545458,0.5544908025120608,1.5560313636363639,0.557631754186729,0.1914285714285715,0.5739167992344518,0.4671428571428572,0.5616541751122027,0.5933333333333333,0.5578185120187418,1.178095238095238,0.613817769782471,1.6304761904761906,0.7055454587862844,2.0152380952380957,0.6521653420160213,2.350476190476191,0.5810269911341388,49588706606.1033,-0.2781114708114813,11703539581.608,0.5734371414793524,88.3913281030881,0.504485884044997,2.4,0.29250365090455216,1.1,0.17830512396203702
11,2018-04,TX,FORT WORTH,2018-04,3.88,"(-97.3327, 32.7532)",192807.46,New Construction,1.7027510000000003,0.5793151430125791,1.7432829999999995,0.5828704833084868,1.896724,0.5792458755648004,2.0408605,0.5778209569021375,2.349426,0.5669445357678622,2.493657999999999,0.5544908025120608,2.7355454999999997,0.557631754186729,1.6604761904761904,0.5739167992344518,1.9780952380952381,0.5616541751122027,2.153809523809524,0.5578185120187418,2.701904761904762,0.613817769782471,2.869047619047619,0.7055454587862844,2.9595238095238092,0.6521653420160213,3.0719047619047624,0.5810269911341388,50563742345.0186,-0.2781114708114813,11223830878.8235,0.5734371414793524,88.437943439718,0.504485884044997,2.7,0.29250365090455216,0.8,0.17830512396203702
12,2018-06,TX,FORT WORTH,2018-06,4.365,"(-97.3388593, 32.632577600000005)",140139.1,New Construction,1.8376333333333337,0.5793151430125791,1.9170571428571423,0.5828704833084868,2.068429047619047,0.5792458755648004,2.1502619047619045,0.5778209569021375,2.330264285714286,0.5669445357678622,2.4958952380952377,0.5544908025120608,2.759644285714286,0.557631754186729,1.8052380952380953,0.5739167992344518,2.113809523809524,0.5616541751122027,2.328095238095238,0.5578185120187418,2.775714285714286,0.613817769782471,2.9123809523809525,0.7055454587862844,2.9776190476190476,0.6521653420160213,3.0500000000000007,0.5810269911341388,51507450037.54,-0.2781114708114813,11318405616.2761,0.5734371414793524,87.17587933428369,0.504485884044997,2.4,0.29250365090455216,0.8,0.17830512396203702
