,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(4),Corr with mortgage 90(4)
0,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,4.7,-0.899366709589444,3.9,-0.8482008940454779
1,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,4.7,-0.899366709589444,4.4,-0.8482008940454779
2,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,4.7,-0.899366709589444,4.9,-0.8482008940454779
3,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,4.7,-0.899366709589444,5.0,-0.8482008940454779
4,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,3.8,-0.899366709589444,3.9,-0.8482008940454779
5,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,3.8,-0.899366709589444,4.4,-0.8482008940454779
6,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,3.8,-0.899366709589444,4.9,-0.8482008940454779
7,GAINESVILLE,2011-12,3.05,New Construction,0.1499335,2.9000665,0.8618230875682759,0.2029985,2.8470014999999997,0.8555745237895681,0.2836085,2.7663914999999997,0.8474466041526196,0.40829250000000006,2.6417075,0.8421095827778177,0.5557375,2.4942624999999996,0.8350330958157502,0.7798775000000001,2.2701225,0.8485968085921642,1.1003555000000003,1.9496444999999996,0.852963907365644,0.0033333333333333335,3.0466666666666664,0.8508472146685383,0.048571428571428585,3.0014285714285713,0.8836401252634637,0.11523809523809528,2.9347619047619045,0.9025897719082092,0.8914285714285713,2.1585714285714284,0.9252253048369318,1.9780952380952384,1.0719047619047615,0.6199604739376852,2.6676190476190476,0.38238095238095227,0.21790669930893403,2.9823809523809524,0.06761904761904747,0.10836089427542567,36623269866.4569,0.9344917147210696,11784187253.6333,-0.9285493300017199,88.33905735772379,-0.9780419222324439,3.8,-0.899366709589444,5.0,-0.8482008940454779
8,GAINESVILLE,2016-05,4.05,New Construction,0.38527368421052627,3.6647263157894736,0.8618230875682759,0.4053315789473685,3.6446684210526312,0.8555745237895681,0.4424947368421052,3.6075052631578948,0.8474466041526196,0.5332263157894737,3.516773684210526,0.8421095827778177,0.6455710526315791,3.404428947368421,0.8350330958157502,0.9348736842105263,3.1151263157894737,0.8485968085921642,1.2675078947368421,2.7824921052631577,0.852963907365644,0.2261904761904762,3.8238095238095235,0.8508472146685383,0.4185714285714286,3.6314285714285712,0.8836401252634637,0.5914285714285713,3.4585714285714286,0.9025897719082092,1.3004761904761903,2.7495238095238097,0.9252253048369318,1.8061904761904766,2.2438095238095235,0.6199604739376852,2.2166666666666663,1.8333333333333335,0.21790669930893403,2.627619047619048,1.4223809523809519,0.10836089427542567,50249654907.7038,0.9344917147210696,10916249757.9916,-0.9285493300017199,83.80897781081251,-0.9780419222324439,1.9,-0.899366709589444,0.5,-0.8482008940454779
9,GAINESVILLE,2016-05,4.05,New Construction,0.38527368421052627,3.6647263157894736,0.8618230875682759,0.4053315789473685,3.6446684210526312,0.8555745237895681,0.4424947368421052,3.6075052631578948,0.8474466041526196,0.5332263157894737,3.516773684210526,0.8421095827778177,0.6455710526315791,3.404428947368421,0.8350330958157502,0.9348736842105263,3.1151263157894737,0.8485968085921642,1.2675078947368421,2.7824921052631577,0.852963907365644,0.2261904761904762,3.8238095238095235,0.8508472146685383,0.4185714285714286,3.6314285714285712,0.8836401252634637,0.5914285714285713,3.4585714285714286,0.9025897719082092,1.3004761904761903,2.7495238095238097,0.9252253048369318,1.8061904761904766,2.2438095238095235,0.6199604739376852,2.2166666666666663,1.8333333333333335,0.21790669930893403,2.627619047619048,1.4223809523809519,0.10836089427542567,50249654907.7038,0.9344917147210696,10916249757.9916,-0.9285493300017199,83.80897781081251,-0.9780419222324439,1.9,-0.899366709589444,0.7,-0.8482008940454779
