,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(4),Corr with student_vol(4),credit_tightness,Corr with credit_tightness,mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
0,SC,COLUMBIA,2010-01,4.25,New Construction,0.172129,4.077871,0.42591884134675545,0.207845,4.042155,0.4271833003157947,0.23159750000000004,4.0184025,0.42505723709131876,0.24093950000000003,4.0090605,0.41531199609963504,0.25011950000000005,3.9998804999999997,0.3953476247924718,0.39936099999999997,3.850639,0.3424450517500641,0.8985025,3.3514975,0.33821243682838364,0.022631578947368423,4.227368421052631,0.4355859090647348,0.14842105263157898,4.101578947368421,0.4288410405077553,0.3457894736842104,3.9042105263157896,0.44881378697790797,2.4842105263157896,1.7657894736842104,0.8110363469003632,3.7331578947368427,0.5168421052631573,0.6759813592680238,4.501578947368422,-0.25157894736842223,0.49691103968545136,4.604736842105263,-0.3547368421052628,0.4152078735839827,27482962505.147003,0.13217676977286488,11978266411.3233,0.8101070119811405,97.9962893430168,-0.21046640650490842,4.3,-0.44455649561750604,3.5,-0.31614867258801116
1,SC,COLUMBIA,2011-03,3.9,New Construction,0.2076739130434783,3.6923260869565215,0.42591884134675545,0.23889782608695653,3.6611021739130436,0.4271833003157947,0.2532847826086956,3.6467152173913044,0.42505723709131876,0.2829456521739131,3.6170543478260866,0.41531199609963504,0.30843478260869567,3.591565217391304,0.3953476247924718,0.4607826086956522,3.439217391304348,0.3424450517500641,0.7797065217391305,3.1202934782608693,0.33821243682838364,0.06478260869565221,3.8352173913043477,0.4355859090647348,0.15652173913043482,3.743478260869565,0.4288410405077553,0.25913043478260867,3.6408695652173915,0.44881378697790797,2.1134782608695653,1.7865217391304347,0.8110363469003632,3.414347826086956,0.48565217391304394,0.6759813592680238,4.26608695652174,-0.3660869565217397,0.49691103968545136,4.5139130434782615,-0.6139130434782616,0.4152078735839827,31041077337.2648,0.13217676977286488,13238482167.5647,0.8101070119811405,91.59671843464591,-0.21046640650490842,4.5,-0.44455649561750604,3.7,-0.31614867258801116
2,SC,COLUMBIA,2012-05,3.16,New Construction,0.15161363636363637,3.008386363636364,0.42591884134675545,0.19053181818181822,2.969468181818182,0.4271833003157947,0.23893181818181805,2.9210681818181823,0.42505723709131876,0.3457045454545453,2.814295454545455,0.41531199609963504,0.4665318181818183,2.693468181818182,0.3953476247924718,0.732990909090909,2.427009090909091,0.3424450517500641,1.0615068181818177,2.0984931818181822,0.33821243682838364,0.06590909090909093,3.0940909090909092,0.4355859090647348,0.14545454545454548,3.0145454545454546,0.4288410405077553,0.19181818181818186,2.9681818181818183,0.44881378697790797,0.7618181818181818,2.3981818181818184,0.8110363469003632,1.8031818181818189,1.3568181818181813,0.6759813592680238,2.525909090909091,0.6340909090909093,0.49691103968545136,2.930909090909091,0.229090909090909,0.4152078735839827,36601383816.48,0.13217676977286488,11631947675.6117,0.8101070119811405,89.6038877472871,-0.21046640650490842,5.3,-0.44455649561750604,3.9,-0.31614867258801116
3,SC,COLUMBIA,2012-11,2.6799999999999997,New Construction,0.1555,2.5244999999999997,0.42591884134675545,0.18060909090909089,2.4993909090909088,0.4271833003157947,0.20888636363636362,2.471113636363636,0.42505723709131876,0.25813636363636355,2.421863636363636,0.41531199609963504,0.31102272727272723,2.3689772727272724,0.3953476247924718,0.528347727272727,2.1516522727272727,0.3424450517500641,0.8631931818181818,1.816806818181818,0.33821243682838364,0.12449999999999999,2.5555,0.4355859090647348,0.14450000000000002,2.5355,0.4288410405077553,0.17850000000000002,2.5014999999999996,0.44881378697790797,0.665,2.0149999999999997,0.8110363469003632,1.654,1.0259999999999998,0.6759813592680238,2.3894999999999995,0.2905000000000002,0.49691103968545136,2.8034999999999997,-0.12349999999999994,0.4152078735839827,39268596272.9965,0.13217676977286488,9855625468.0504,0.8101070119811405,90.2956809830492,-0.21046640650490842,4.7,-0.44455649561750604,3.6,-0.31614867258801116
4,SC,COLUMBIA,2012-12,2.81,New Construction,0.1631578947368421,2.646842105263158,0.42591884134675545,0.1875157894736842,2.622484210526316,0.4271833003157947,0.21092631578947374,2.599073684210526,0.42505723709131876,0.2552894736842105,2.5547105263157897,0.41531199609963504,0.30947368421052623,2.500526315789474,0.3953476247924718,0.5145657894736843,2.2954342105263157,0.3424450517500641,0.8483157894736841,1.961684210526316,0.33821243682838364,0.039500000000000014,2.7705,0.4355859090647348,0.11950000000000005,2.6905,0.4288410405077553,0.1585,2.6515,0.44881378697790797,0.6960000000000001,2.114,0.8110363469003632,1.7189999999999999,1.0910000000000002,0.6759813592680238,2.4675000000000002,0.3424999999999998,0.49691103968545136,2.8835,-0.07350000000000012,0.4152078735839827,39658399389.4891,0.13217676977286488,9123117418.53368,0.8101070119811405,89.2801736441717,-0.21046640650490842,4.5,-0.44455649561750604,3.4,-0.31614867258801116
5,SC,COLUMBIA,2013-05,2.98,New Construction,0.1435047619047619,2.836495238095238,0.42591884134675545,0.1638380952380952,2.8161619047619046,0.4271833003157947,0.19670952380952378,2.7832904761904764,0.42505723709131876,0.23396000000000003,2.74604,0.41531199609963504,0.27416904761904765,2.7058309523809525,0.3953476247924718,0.42137333333333327,2.5586266666666666,0.3424450517500641,0.6936104761904763,2.2863895238095235,0.33821243682838364,0.020454545454545458,2.9595454545454545,0.4355859090647348,0.08090909090909093,2.899090909090909,0.4288410405077553,0.11863636363636366,2.8613636363636363,0.44881378697790797,0.840909090909091,2.1390909090909087,0.8110363469003632,1.9281818181818182,1.0518181818181818,0.6759813592680238,2.7286363636363635,0.25136363636363646,0.49691103968545136,3.112727272727273,-0.1327272727272728,0.4152078735839827,41471481477.9035,0.13217676977286488,10216278752.7557,0.8101070119811405,88.29263433660921,-0.21046640650490842,5.2,-0.44455649561750604,3.5,-0.31614867258801116
6,SC,COLUMBIA,2013-07,2.82,New Construction,0.12117913043478262,2.698820869565217,0.42591884134675545,0.15611695652173913,2.6638830434782608,0.4271833003157947,0.19111913043478265,2.6288808695652173,0.42505723709131876,0.232388695652174,2.587611304347826,0.41531199609963504,0.26758260869565215,2.5524173913043477,0.3953476247924718,0.40307869565217386,2.416921304347826,0.3424450517500641,0.6838491304347826,2.1361508695652174,0.33821243682838364,0.020909090909090912,2.799090909090909,0.4355859090647348,0.07363636363636367,2.746363636363636,0.4288410405077553,0.12181818181818184,2.698181818181818,0.44881378697790797,1.4031818181818183,1.4168181818181815,0.8110363469003632,2.5822727272727275,0.23772727272727234,0.6759813592680238,3.3072727272727276,-0.48727272727272775,0.49691103968545136,3.605,-0.7850000000000001,0.4152078735839827,41062625933.5941,0.13217676977286488,10396023519.0372,0.8101070119811405,90.32258801944451,-0.21046640650490842,4.1,-0.44455649561750604,3.3,-0.31614867258801116
7,SC,COLUMBIA,2014-08,4.45,New Construction,0.090785,4.359215,0.42591884134675545,0.121725,4.3282750000000005,0.4271833003157947,0.15602,4.29398,0.42505723709131876,0.19527250000000002,4.2547275,0.41531199609963504,0.23465000000000003,4.21535,0.3953476247924718,0.32965500000000003,4.120345,0.3424450517500641,0.55889,3.8911100000000003,0.33821243682838364,0.030000000000000006,4.42,0.4355859090647348,0.0523809523809524,4.397619047619048,0.4288410405077553,0.10714285714285714,4.342857142857143,0.44881378697790797,1.6314285714285717,2.8185714285714285,0.8110363469003632,2.42,2.0300000000000002,0.6759813592680238,2.9366666666666665,1.5133333333333336,0.49691103968545136,3.2009523809523808,1.2490476190476194,0.4152078735839827,44591810060.8257,0.13217676977286488,14245911418.8887,0.8101070119811405,81.06604477988621,-0.21046640650490842,3.4,-0.44455649561750604,2.4,-0.31614867258801116
8,SC,COLUMBIA,2014-09,4.13,New Construction,0.09027272727272727,4.039727272727273,0.42591884134675545,0.12087045454545454,4.009129545454545,0.4271833003157947,0.15410454545454544,3.9758954545454546,0.42505723709131876,0.19699999999999998,3.933,0.41531199609963504,0.23403181818181817,3.8959681818181817,0.3953476247924718,0.32999090909090917,3.8000090909090907,0.3424450517500641,0.5770545454545455,3.5529454545454544,0.33821243682838364,0.01142857142857143,4.118571428571428,0.4355859090647348,0.04380952380952382,4.086190476190476,0.4288410405077553,0.10952380952380954,4.020476190476191,0.44881378697790797,1.7738095238095242,2.3561904761904757,0.8110363469003632,2.5342857142857147,1.5957142857142852,0.6759813592680238,3.0133333333333328,1.1166666666666671,0.49691103968545136,3.26,0.8700000000000001,0.4152078735839827,44940573200.2924,0.13217676977286488,11733364706.6996,0.8101070119811405,82.2508390398281,-0.21046640650490842,4.0,-0.44455649561750604,2.7,-0.31614867258801116
9,SC,COLUMBIA,2016-08,3.48,New Construction,0.41817045454545454,3.0618295454545454,0.42591884134675545,0.4429568181818182,3.0370431818181816,0.4271833003157947,0.5122418181818182,2.9677581818181817,0.42505723709131876,0.6351372727272727,2.8448627272727274,0.41531199609963504,0.810223181818182,2.669776818181818,0.3953476247924718,1.1977463636363632,2.2822536363636368,0.3424450517500641,1.5097959090909088,1.9702040909090912,0.33821243682838364,0.2608695652173914,3.2191304347826084,0.4355859090647348,0.4460869565217393,3.0339130434782606,0.4288410405077553,0.5682608695652173,2.911739130434783,0.44881378697790797,1.1330434782608694,2.3469565217391306,0.8110363469003632,1.5565217391304347,1.9234782608695653,0.6759813592680238,1.8895652173913038,1.5904347826086962,0.49691103968545136,2.261739130434783,1.218260869565217,0.4152078735839827,50034086230.3872,0.13217676977286488,12605986919.9069,0.8101070119811405,88.1942388876454,-0.21046640650490842,3.3,-0.44455649561750604,2.2,-0.31614867258801116
10,SC,COLUMBIA,2016-12,3.3,New Construction,0.5606285,2.7393715,0.42591884134675545,0.6315605,2.6684395,0.4271833003157947,0.7119585,2.5880414999999997,0.42505723709131876,0.7883325000000001,2.5116674999999997,0.41531199609963504,0.9753284999999998,2.3246715,0.3953476247924718,1.3063339999999999,1.993666,0.3424450517500641,1.6692235,1.6307764999999999,0.33821243682838364,0.42333333333333334,2.8766666666666665,0.4355859090647348,0.638095238095238,2.6619047619047618,0.4288410405077553,0.8661904761904763,2.4338095238095234,0.44881378697790797,1.9590476190476194,1.3409523809523805,0.8110363469003632,2.491904761904762,0.808095238095238,0.6759813592680238,2.835238095238095,0.4647619047619047,0.49691103968545136,3.1133333333333324,0.18666666666666742,0.4152078735839827,48913265551.9221,0.13217676977286488,12388258203.7622,0.8101070119811405,88.1697673489486,-0.21046640650490842,3.8,-0.44455649561750604,2.1,-0.31614867258801116
11,SC,COLUMBIA,2017-10,3.55,New Construction,1.1834895238095235,2.3665104761904763,0.42591884134675545,1.2040609090909093,2.3459390909090905,0.4271833003157947,1.2385486363636362,2.3114513636363636,0.42505723709131876,1.287584090909091,2.262415909090909,0.41531199609963504,1.3607931818181818,2.189206818181818,0.3953476247924718,1.541957272727273,2.008042727272727,0.3424450517500641,1.8208568181818179,1.729143181818182,0.33821243682838364,0.9957142857142858,2.5542857142857143,0.4355859090647348,1.2495238095238093,2.3004761904761906,0.4288410405077553,1.3976190476190478,2.152380952380952,0.44881378697790797,1.9809523809523806,1.5690476190476192,0.8110363469003632,2.3600000000000003,1.1899999999999995,0.6759813592680238,2.649047619047619,0.900952380952381,0.49691103968545136,2.8780952380952383,0.6719047619047616,0.4152078735839827,50617906919.2487,0.13217676977286488,11318405616.2761,0.8101070119811405,87.46440959377459,-0.21046640650490842,3.1,-0.44455649561750604,1.9,-0.31614867258801116
