,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2010-03,MD,BALTIMORE,2010-03,6.15,"(-76.6108, 39.2909)",15538.84,New Construction,0.20298217391304352,-0.1422258335176616,0.22118086956521738,-0.14422902890232916,0.23731173913043485,-0.1501291170441247,0.25031173913043475,-0.16447580038539514,0.2684247826086957,-0.18886789457136355,0.41060652173913054,-0.22998494521244503,0.8732952173913044,-0.20513621996108738,0.11652173913043477,-0.11225869439342671,0.22565217391304354,-0.1123647198552955,0.3956521739130435,-0.09576780028638354,2.433043478260869,0.4861741358679878,3.7273913043478255,0.774731967991702,4.489130434782608,0.774722342554165,4.644782608695651,0.7579371893985336,28389074974.2894,-0.5263322238837588,14217328271.8582,0.2769464269381307,96.8995739482615,0.3818048706419796,4.2,0.4991763396358008,5.0,0.4193817653805398,-76.6108,39.2909
1,2010-12,MD,BALTIMORE,2010-12,5.0,"(-76.64357, 39.291585)",10039.64,New Construction,0.24122190476190472,-0.1422258335176616,0.25412380952380953,-0.14422902890232916,0.26178857142857137,-0.1501291170441247,0.28196571428571415,-0.16447580038539514,0.30272333333333334,-0.18886789457136355,0.4583942857142857,-0.22998494521244503,0.7839004761904763,-0.20513621996108738,0.0854166666666667,-0.11225869439342671,0.19333333333333338,-0.1123647198552955,0.2937499999999999,-0.09576780028638354,1.9429166666666664,0.4861741358679878,3.2949999999999995,0.774731967991702,4.173333333333333,0.774722342554165,4.415,0.7579371893985336,31565012894.7234,-0.5263322238837588,10792773250.4017,0.2769464269381307,95.6415096715633,0.3818048706419796,3.9,0.4991763396358008,4.5,0.4193817653805398,-76.64357,39.291585
2,2011-06,MD,BALTIMORE,2011-06,4.01,"(-76.61229300000001, 39.276671)",142735.3,New Construction,0.12706818181818183,-0.1422258335176616,0.1615431818181819,-0.14422902890232916,0.18716409090909092,-0.1501291170441247,0.21923909090909086,-0.16447580038539514,0.24782409090909094,-0.18886789457136355,0.39758,-0.22998494521244503,0.7268749999999999,-0.20513621996108738,0.0190909090909091,-0.11225869439342671,0.1013636363636364,-0.1123647198552955,0.18090909090909094,-0.09576780028638354,1.5799999999999998,0.4861741358679878,3.002272727272727,0.774731967991702,3.9145454545454546,0.774722342554165,4.2327272727272724,0.7579371893985336,33690910289.8878,-0.5263322238837588,12472473242.0863,0.2769464269381307,93.74313363440879,0.3818048706419796,3.5,0.4991763396358008,4.6,0.4193817653805398,-76.61229300000001,39.276671
3,2011-11,MD,BALTIMORE,2011-11,4.0,"(-76.611609, 39.292642)",38828.57,New Construction,0.14255090909090912,-0.1422258335176616,0.19244863636363635,-0.14422902890232916,0.2536463636363637,-0.1501291170441247,0.3593790909090909,-0.16447580038539514,0.47529181818181826,-0.18886789457136355,0.6805422727272729,-0.22998494521244503,1.000305,-0.20513621996108738,0.013999999999999999,-0.11225869439342671,0.04650000000000002,-0.1123647198552955,0.11200000000000002,-0.09576780028638354,0.908,0.4861741358679878,2.0134999999999996,0.774731967991702,2.7180000000000004,0.774722342554165,3.0155000000000003,0.7579371893985336,35532707747.113,-0.5263322238837588,11784187253.6333,0.2769464269381307,90.5649414475864,0.3818048706419796,3.8,0.4991763396358008,4.6,0.4193817653805398,-76.611609,39.292642
4,2012-11,MD,BALTIMORE,2012-11,2.53,"(-76.950672, 39.425472)",14545.39,New Construction,0.1555,-0.1422258335176616,0.18060909090909089,-0.14422902890232916,0.20888636363636362,-0.1501291170441247,0.25813636363636355,-0.16447580038539514,0.31102272727272723,-0.18886789457136355,0.528347727272727,-0.22998494521244503,0.8631931818181818,-0.20513621996108738,0.12449999999999999,-0.11225869439342671,0.14450000000000002,-0.1123647198552955,0.17850000000000002,-0.09576780028638354,0.665,0.4861741358679878,1.654,0.774731967991702,2.3894999999999995,0.774722342554165,2.8034999999999997,0.7579371893985336,39658399389.4891,-0.5263322238837588,10740081615.3953,0.2769464269381307,89.02745876405929,0.3818048706419796,3.7,0.4991763396358008,4.7,0.4193817653805398,-76.950672,39.425472
5,2014-02,MD,BALTIMORE,2014-02,5.0,"(-76.657197, 39.280724)",23121.33,New Construction,0.08627,-0.1422258335176616,0.11939250000000004,-0.14422902890232916,0.155105,-0.1501291170441247,0.19663749999999997,-0.16447580038539514,0.23520249999999998,-0.18886789457136355,0.3308,-0.22998494521244503,0.554605,-0.20513621996108738,0.046842105263157914,-0.11225869439342671,0.08105263157894738,-0.1123647198552955,0.11684210526315793,-0.09576780028638354,1.5157894736842106,0.4861741358679878,2.7094736842105265,0.774731967991702,3.3847368421052626,0.774722342554165,3.6626315789473685,0.7579371893985336,44462292713.4678,-0.5263322238837588,10011024566.6146,0.2769464269381307,85.7873584996498,0.3818048706419796,3.3,0.4991763396358008,3.7,0.4193817653805398,-76.657197,39.280724
6,2014-04,MD,BALTIMORE,2014-04,4.55,"(-76.627431, 39.306548)",64113.92,New Construction,0.08864000000000001,-0.1422258335176616,0.120115,-0.14422902890232916,0.1517,-0.1501291170441247,0.1918625,-0.16447580038539514,0.227495,-0.18886789457136355,0.32422500000000004,-0.22998494521244503,0.550005,-0.20513621996108738,0.023333333333333345,-0.11225869439342671,0.05333333333333336,-0.1123647198552955,0.10761904761904763,-0.09576780028638354,1.7009523809523805,0.4861741358679878,2.705238095238095,0.774731967991702,3.265238095238095,0.774722342554165,3.5176190476190476,0.7579371893985336,44931729222.7983,-0.5263322238837588,11032404366.8063,0.2769464269381307,85.3165844012547,0.3818048706419796,2.9,0.4991763396358008,3.2,0.4193817653805398,-76.627431,39.306548
7,2015-07,MD,BALTIMORE,2015-07,3.99,"(-91.39448958, 39.68408439)",12194.0,New Construction,0.1263,-0.1422258335176616,0.1488782608695652,-0.14422902890232916,0.1881586956521739,-0.1501291170441247,0.23940652173913043,-0.16447580038539514,0.29066956521739135,-0.18886789457136355,0.46192391304347824,-0.22998494521244503,0.7858413043478262,-0.20513621996108738,0.030000000000000002,-0.11225869439342671,0.11636363636363636,-0.1123647198552955,0.2968181818181819,-0.09576780028638354,1.632272727272727,0.4861741358679878,2.3245454545454547,0.774731967991702,2.7663636363636357,0.774722342554165,3.066363636363636,0.7579371893985336,48752987466.2114,-0.5263322238837588,11834405659.8436,0.2769464269381307,82.23381292700279,0.3818048706419796,2.2,0.4991763396358008,2.5,0.4193817653805398,-91.39448958,39.68408439
8,2015-11,MD,BALTIMORE,2015-11,4.056,"(-76.634584, 39.289026)",56710.212,New Construction,0.13066666666666668,-0.1422258335176616,0.1559214285714286,-0.14422902890232916,0.20844761904761913,-0.1501291170441247,0.286702380952381,-0.16447580038539514,0.3709714285714286,-0.18886789457136355,0.6063738095238096,-0.22998494521244503,0.9343738095238093,-0.20513621996108738,0.07105263157894738,-0.11225869439342671,0.32789473684210524,-0.1123647198552955,0.47684210526315784,-0.09576780028638354,1.6710526315789473,0.4861741358679878,2.2631578947368416,0.774731967991702,2.6863157894736847,0.774722342554165,3.03,0.7579371893985336,48927223434.2447,-0.5263322238837588,10798655053.3939,0.2769464269381307,81.7923503982947,0.3818048706419796,2.9,0.4991763396358008,2.4,0.4193817653805398,-76.634584,39.289026
9,2015-12,MD,BALTIMORE,2015-12,4.055,"(-76.611064, 39.318991)",38052.675,New Construction,0.2286238095238095,-0.1422258335176616,0.289352380952381,-0.14422902890232916,0.3523071428571429,-0.1501291170441247,0.44092857142857156,-0.16447580038539514,0.5332357142857143,-0.18886789457136355,0.7638285714285715,-0.22998494521244503,1.0841380952380955,-0.20513621996108738,0.17181818181818184,-0.11225869439342671,0.4990909090909091,-0.1123647198552955,0.6536363636363638,-0.09576780028638354,1.6986363636363635,0.4861741358679878,2.2427272727272736,0.774731967991702,2.6072727272727274,0.774722342554165,2.97,0.7579371893985336,48187387172.2131,-0.5263322238837588,13039171751.3192,0.2769464269381307,82.89218119322959,0.3818048706419796,2.7,0.4991763396358008,2.2,0.4193817653805398,-76.611064,39.318991
