,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2011-08,OK,OKLAHOMA CITY,2011-08,4.4,"(-97.57387093, 35.33955791)",73013,89276.24,New Construction,0.14468363636363638,-0.2859517591392104,0.18038681818181818,-0.25770078077185016,0.21116590909090904,-0.25653030115787934,0.24895727272727275,-0.2755017298033305,0.29323772727272723,-0.27878392164740146,0.45919454545454547,-0.32446146219964295,0.7783581818181818,-0.3319871675319045,0.017391304347826094,-0.31625218679898104,0.06217391304347828,-0.35495299583474293,0.11478260869565218,-0.3159281503720184,1.021304347826087,0.1854072704855911,2.303043478260869,0.55178045894683,3.244782608695652,0.6467733446780337,3.6513043478260867,0.6574971561589448,34825519831.2788,-0.4255612330963905,13753511368.0623,-0.48144550023060434,91.13289228397959,0.5153133228494384,3.8,0.49475974986441523,2.6,0.3433494466931596,-97.57387093,35.33955791
1,2012-05,OK,OKLAHOMA CITY,2012-05,4.34,"(-97.638525, 35.614953)",73142,110402.74,New Construction,0.15161363636363637,-0.2859517591392104,0.19053181818181822,-0.25770078077185016,0.23893181818181805,-0.25653030115787934,0.3457045454545453,-0.2755017298033305,0.4665318181818183,-0.27878392164740146,0.732990909090909,-0.32446146219964295,1.0615068181818177,-0.3319871675319045,0.06590909090909093,-0.31625218679898104,0.14545454545454548,-0.35495299583474293,0.19181818181818186,-0.3159281503720184,0.7618181818181818,0.1854072704855911,1.8031818181818189,0.55178045894683,2.525909090909091,0.6467733446780337,2.930909090909091,0.6574971561589448,37160101000.5239,-0.4255612330963905,10728874885.7875,-0.48144550023060434,90.6452366150782,0.5153133228494384,3.4,0.49475974986441523,2.6,0.3433494466931596,-97.638525,35.614953
2,2012-07,OK,OKLAHOMA CITY,2012-07,3.55,"(-97.5171, 35.473)",73104,66748.24,New Construction,0.16720454545454547,-0.2859517591392104,0.19873636363636368,-0.25770078077185016,0.24646136363636365,-0.25653030115787934,0.34024999999999994,-0.2755017298033305,0.4535545454545455,-0.27878392164740146,0.7302181818181818,-0.32446146219964295,1.0653181818181816,-0.3319871675319045,0.06952380952380956,-0.31625218679898104,0.14571428571428574,-0.35495299583474293,0.18571428571428572,-0.3159281503720184,0.6195238095238095,0.1854072704855911,1.5266666666666664,0.55178045894683,2.217142857142857,0.6467733446780337,2.5900000000000003,0.6574971561589448,37685204803.0042,-0.4255612330963905,11641401212.0971,-0.48144550023060434,89.00857713430821,0.5153133228494384,3.2,0.49475974986441523,2.5,0.3433494466931596,-97.5171,35.473
3,2012-10,OK,OKLAHOMA CITY,2012-10,2.79,"(-97.521311, 35.481783)",73103,118128.05,New Construction,0.15320434782608702,-0.2859517591392104,0.17955217391304346,-0.25770078077185016,0.21346521739130433,-0.25653030115787934,0.2717391304347827,-0.2755017298033305,0.3304891304347827,-0.27878392164740146,0.5823021739130435,-0.32446146219964295,0.9185760869565219,-0.3319871675319045,0.10952380952380951,-0.31625218679898104,0.14904761904761904,-0.35495299583474293,0.17952380952380956,-0.3159281503720184,0.7085714285714285,0.1854072704855911,1.7461904761904758,0.55178045894683,2.505714285714286,0.6467733446780337,2.90047619047619,0.6574971561589448,39268596272.9965,-0.4255612330963905,16111780903.4699,-0.48144550023060434,89.02745876405929,0.5153133228494384,2.9,0.49475974986441523,2.5,0.3433494466931596,-97.521311,35.481783
4,2013-07,OK,OKLAHOMA CITY,2013-07,3.55,"(-97.519354, 35.481478)",73103,18951.09,New Construction,0.12117913043478262,-0.2859517591392104,0.15611695652173913,-0.25770078077185016,0.19111913043478265,-0.25653030115787934,0.232388695652174,-0.2755017298033305,0.26758260869565215,-0.27878392164740146,0.40307869565217386,-0.32446146219964295,0.6838491304347826,-0.3319871675319045,0.020909090909090912,-0.31625218679898104,0.07363636363636367,-0.35495299583474293,0.12181818181818184,-0.3159281503720184,1.4031818181818183,0.1854072704855911,2.5822727272727275,0.55178045894683,3.3072727272727276,0.6467733446780337,3.605,0.6574971561589448,41244159430.5284,-0.4255612330963905,9123117418.53368,-0.48144550023060434,86.5850023909696,0.5153133228494384,2.8,0.49475974986441523,2.1,0.3433494466931596,-97.519354,35.481478
5,2013-09,OK,OKLAHOMA CITY,2013-09,4.8,"(-97.621879, 35.453733)",73128,100692.93,New Construction,0.11272380952380952,-0.2859517591392104,0.14323238095238094,-0.25770078077185016,0.18057476190476196,-0.25653030115787934,0.22133904761904755,-0.2755017298033305,0.2531785714285715,-0.27878392164740146,0.38033809523809525,-0.32446146219964295,0.6526857142857143,-0.3319871675319045,0.017500000000000005,-0.31625218679898104,0.04150000000000001,-0.35495299583474293,0.11850000000000002,-0.3159281503720184,1.5959999999999999,0.1854072704855911,2.8095,0.55178045894683,3.526,0.6467733446780337,3.7870000000000004,0.6574971561589448,41561863313.5151,-0.4255612330963905,9260696074.4491,-0.48144550023060434,89.95115518901541,0.5153133228494384,3.0,0.49475974986441523,2.2,0.3433494466931596,-97.621879,35.453733
6,2015-04,OK,OKLAHOMA CITY,2015-04,3.39,"(-97.50393100000001, 35.467262)",73104,150393.25,New Construction,0.12200000000000003,-0.2859517591392104,0.14605250000000003,-0.25770078077185016,0.18076750000000003,-0.25653030115787934,0.22830999999999996,-0.2755017298033305,0.27596,-0.27878392164740146,0.404505,-0.32446146219964295,0.6969449999999999,-0.3319871675319045,0.018181818181818188,-0.31625218679898104,0.09363636363636368,-0.35495299583474293,0.23363636363636367,-0.3159281503720184,1.3545454545454545,0.1854072704855911,1.9349999999999996,0.55178045894683,2.334090909090909,0.6467733446780337,2.5859090909090905,0.6574971561589448,48668534366.8701,-0.4255612330963905,11733364706.6996,-0.48144550023060434,80.33849809561521,0.5153133228494384,2.3,0.49475974986441523,1.2,0.3433494466931596,-97.50393100000001,35.467262
7,2016-09,OK,OKLAHOMA CITY,2016-09,3.19,"(-97.56259, 35.62025)",73134,62185.14,New Construction,0.42159363636363634,-0.2859517591392104,0.4495609090909092,-0.25770078077185016,0.5270018181818182,-0.25653030115787934,0.6625254545454545,-0.2755017298033305,0.8496804545454547,-0.27878392164740146,1.2471445454545458,-0.32446146219964295,1.5560313636363639,-0.3319871675319045,0.1914285714285715,-0.31625218679898104,0.4671428571428572,-0.35495299583474293,0.5933333333333333,-0.3159281503720184,1.178095238095238,0.1854072704855911,1.6304761904761906,0.55178045894683,2.0152380952380957,0.6467733446780337,2.350476190476191,0.6574971561589448,51124149514.2735,-0.4255612330963905,11496937509.4445,-0.48144550023060434,85.1896726255448,0.5153133228494384,3.0,0.49475974986441523,1.6,0.3433494466931596,-97.56259,35.62025
8,2016-12,OK,OKLAHOMA CITY,2016-12,3.6,"(-97.52690600000001, 35.466732)",73106,259890.57,New Construction,0.5606285,-0.2859517591392104,0.6315605,-0.25770078077185016,0.7119585,-0.25653030115787934,0.7883325000000001,-0.2755017298033305,0.9753284999999998,-0.27878392164740146,1.3063339999999999,-0.32446146219964295,1.6692235,-0.3319871675319045,0.42333333333333334,-0.31625218679898104,0.638095238095238,-0.35495299583474293,0.8661904761904763,-0.3159281503720184,1.9590476190476194,0.1854072704855911,2.491904761904762,0.55178045894683,2.835238095238095,0.6467733446780337,3.1133333333333324,0.6574971561589448,48441183549.9275,-0.4255612330963905,11482367114.4991,-0.48144550023060434,88.3913281030881,0.5153133228494384,2.4,0.49475974986441523,1.4,0.3433494466931596,-97.52690600000001,35.466732
