,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-2),Corr with auto_vol(-2),student_vol(-3),Corr with student_vol(-3),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-2),Corr with mortgage 90(-2)
0,CANTON,2012-07,3.45,New Construction,0.16720454545454547,3.2827954545454547,0.41506257879394465,0.19873636363636368,3.2512636363636367,0.4184312901779859,0.24646136363636365,3.2035386363636364,0.42067467531639813,0.34024999999999994,3.10975,0.41378362043677575,0.4535545454545455,2.9964454545454546,0.40171904163905586,0.7302181818181818,2.7197818181818185,0.3174215223361628,1.0653181818181816,2.384681818181819,0.24930865035481883,0.06952380952380956,3.3804761904761906,0.413311786697301,0.14571428571428574,3.3042857142857143,0.4077700706806281,0.18571428571428572,3.2642857142857142,0.41864731624653173,0.6195238095238095,2.830476190476191,0.7594323945220468,1.5266666666666664,1.9233333333333338,0.7118869339399464,2.217142857142857,1.232857142857143,0.4793323296104929,2.5900000000000003,0.8599999999999999,0.33459933077105264,36777908030.9335,0.7741321905007664,11641401212.0971,-0.75415146858994,89.6061116730853,-0.8192790610204435,2.9,-0.8851678021078284,3.1,-0.7838854170049574
1,CANTON,2012-10,2.1,New Construction,0.15320434782608702,1.9467956521739131,0.41506257879394465,0.17955217391304346,1.9204478260869566,0.4184312901779859,0.21346521739130433,1.8865347826086958,0.42067467531639813,0.2717391304347827,1.8282608695652174,0.41378362043677575,0.3304891304347827,1.7695108695652175,0.40171904163905586,0.5823021739130435,1.5176978260869567,0.3174215223361628,0.9185760869565219,1.1814239130434783,0.24930865035481883,0.10952380952380951,1.9904761904761905,0.413311786697301,0.14904761904761904,1.950952380952381,0.4077700706806281,0.17952380952380956,1.9204761904761904,0.41864731624653173,0.7085714285714285,1.3914285714285715,0.7594323945220468,1.7461904761904758,0.35380952380952424,0.7118869339399464,2.505714285714286,-0.4057142857142857,0.4793323296104929,2.90047619047619,-0.8004761904761901,0.33459933077105264,37160101000.5239,0.7741321905007664,16111780903.4699,-0.75415146858994,90.2956809830492,-0.8192790610204435,3.2,-0.8851678021078284,3.1,-0.7838854170049574
2,CANTON,2012-12,2.8,New Construction,0.1631578947368421,2.636842105263158,0.41506257879394465,0.1875157894736842,2.6124842105263157,0.4184312901779859,0.21092631578947374,2.589073684210526,0.42067467531639813,0.2552894736842105,2.5447105263157894,0.41378362043677575,0.30947368421052623,2.4905263157894737,0.40171904163905586,0.5145657894736843,2.2854342105263155,0.3174215223361628,0.8483157894736841,1.9516842105263157,0.24930865035481883,0.039500000000000014,2.7605,0.413311786697301,0.11950000000000005,2.6805,0.4077700706806281,0.1585,2.6414999999999997,0.41864731624653173,0.6960000000000001,2.1039999999999996,0.7594323945220468,1.7189999999999999,1.081,0.7118869339399464,2.4675000000000002,0.3324999999999996,0.4793323296104929,2.8835,-0.08350000000000035,0.33459933077105264,37685204803.0042,0.7741321905007664,11631947675.6117,-0.75415146858994,91.578064558499,-0.8192790610204435,3.1,-0.8851678021078284,2.9,-0.7838854170049574
3,CANTON,2013-02,3.52,New Construction,0.15464999999999998,3.36535,0.41506257879394465,0.17315,3.34685,0.4184312901779859,0.20129999999999998,3.3187,0.42067467531639813,0.2455,3.2745,0.41378362043677575,0.29049499999999995,3.229505,0.40171904163905586,0.463425,3.056575,0.3174215223361628,0.761875,2.758125,0.24930865035481883,0.0768421052631579,3.443157894736842,0.413311786697301,0.12421052631578947,3.3957894736842107,0.4077700706806281,0.15736842105263157,3.3626315789473686,0.41864731624653173,0.8463157894736841,2.673684210526316,0.7594323945220468,1.9842105263157896,1.5357894736842104,0.7118869339399464,2.782631578947368,0.7373684210526319,0.4793323296104929,3.165263157894737,0.35473684210526324,0.33459933077105264,38808856509.5085,0.7741321905007664,10740081615.3953,-0.75415146858994,88.920473853359,-0.8192790610204435,2.5,-0.8851678021078284,2.4,-0.7838854170049574
4,CANTON,2013-08,3.65,New Construction,0.11782999999999999,3.53217,0.41506257879394465,0.1493142857142857,3.5006857142857144,0.4184312901779859,0.1840704761904762,3.465929523809524,0.42067467531639813,0.22633523809523812,3.423664761904762,0.41378362043677575,0.2633952380952381,3.3866047619047617,0.40171904163905586,0.3949285714285714,3.2550714285714286,0.3174215223361628,0.6679499999999999,2.98205,0.24930865035481883,0.03681818181818183,3.6131818181818183,0.413311786697301,0.07181818181818184,3.578181818181818,0.4077700706806281,0.12681818181818183,3.523181818181818,0.41864731624653173,1.5204545454545455,2.1295454545454544,0.7594323945220468,2.7372727272727273,0.9127272727272726,0.7118869339399464,3.488181818181818,0.16181818181818208,0.4793323296104929,3.757727272727273,-0.1077272727272729,0.33459933077105264,41507587847.7023,0.7741321905007664,9498561196.652071,-0.75415146858994,86.47441597957871,-0.8192790610204435,2.9,-0.8851678021078284,2.7,-0.7838854170049574
5,CANTON,2014-05,4.62,New Construction,0.08842000000000001,4.53158,0.41506257879394465,0.1198375,4.5001625,0.4184312901779859,0.15035749999999998,4.4696425,0.42067467531639813,0.1914675,4.4285325,0.41378362043677575,0.22609000000000004,4.39391,0.40171904163905586,0.3231200000000001,4.29688,0.3174215223361628,0.537955,4.082045,0.24930865035481883,0.026666666666666665,4.593333333333334,0.413311786697301,0.05190476190476192,4.568095238095238,0.4077700706806281,0.0966666666666667,4.523333333333333,0.41864731624653173,1.5928571428571427,3.0271428571428576,0.7594323945220468,2.559047619047619,2.060952380952381,0.7118869339399464,3.1152380952380954,1.5047619047619047,0.4793323296104929,3.3899999999999997,1.2300000000000004,0.33459933077105264,44555116847.5878,0.7741321905007664,10011024566.6146,-0.75415146858994,81.9669757663089,-0.8192790610204435,2.2,-0.8851678021078284,2.2,-0.7838854170049574
6,CANTON,2018-01,4.4,New Construction,1.4378880952380952,2.962111904761905,0.41506257879394465,1.467563181818182,2.9324368181818183,0.4184312901779859,1.5610881818181819,2.8389118181818187,0.42067467531639813,1.6355336363636364,2.764466363636364,0.41378362043677575,1.733970909090909,2.6660290909090913,0.40171904163905586,1.9067609090909092,2.493239090909091,0.3174215223361628,2.196459545454545,2.2035404545454553,0.24930865035481883,1.3000000000000003,3.1,0.413311786697301,1.6199999999999994,2.780000000000001,0.4077700706806281,1.8028571428571425,2.597142857142858,0.41864731624653173,2.381904761904762,2.0180952380952384,0.7594323945220468,2.5838095238095242,1.8161904761904761,0.7118869339399464,2.7342857142857144,1.665714285714286,0.4793323296104929,2.8776190476190475,1.5223809523809528,0.33459933077105264,50938614889.0817,0.7741321905007664,11537595366.1601,-0.75415146858994,87.010875232225,-0.8192790610204435,1.9,-0.8851678021078284,1.5,-0.7838854170049574
