,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(1),Corr with student_vol(1),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(3),Corr with mortgage 90(3)
0,EL PASO,2010-08,4.295,New Construction,0.23101619047619049,4.063983809523809,0.3812670273406704,0.2659952380952381,4.029004761904762,0.38101960741703966,0.27546238095238096,4.019537619047619,0.38524142114971244,0.3123080952380952,3.9826919047619045,0.397619220536522,0.3625466666666667,3.932453333333333,0.4125251371799771,0.5790957142857143,3.7159042857142857,0.4169320317367644,0.9435780952380955,3.3514219047619043,0.41326970633347776,0.15409090909090908,4.140909090909091,0.38638638130944464,0.19136363636363637,4.1036363636363635,0.38754335945343976,0.25909090909090904,4.035909090909091,0.39039393596205085,1.4654545454545451,2.829545454545455,0.5034515096919787,2.6986363636363637,1.5963636363636362,0.4449655081050135,3.516818181818181,0.7781818181818188,0.24643784797592475,3.8031818181818178,0.49181818181818215,0.16610004989218563,30512069858.4251,0.30189463285331136,12342273869.2704,0.5585943131227896,94.51558950569391,-0.24101870622794028,5.0,-0.4027565601468396,2.9,-0.24055640977027487
1,EL PASO,2012-07,3.95,New Construction,0.16720454545454547,3.7827954545454547,0.3812670273406704,0.19873636363636368,3.7512636363636367,0.38101960741703966,0.24646136363636365,3.7035386363636364,0.38524142114971244,0.34024999999999994,3.60975,0.397619220536522,0.4535545454545455,3.4964454545454546,0.4125251371799771,0.7302181818181818,3.2197818181818185,0.4169320317367644,1.0653181818181816,2.884681818181819,0.41326970633347776,0.06952380952380956,3.8804761904761906,0.38638638130944464,0.14571428571428574,3.8042857142857143,0.38754335945343976,0.18571428571428572,3.7642857142857142,0.39039393596205085,0.6195238095238095,3.330476190476191,0.5034515096919787,1.5266666666666664,2.423333333333334,0.4449655081050135,2.217142857142857,1.732857142857143,0.24643784797592475,2.5900000000000003,1.3599999999999999,0.16610004989218563,37571290060.6541,0.30189463285331136,11986368496.8635,0.5585943131227896,89.6061116730853,-0.24101870622794028,4.0,-0.4027565601468396,2.2,-0.24055640977027487
2,EL PASO,2012-10,2.65,New Construction,0.15320434782608702,2.4967956521739127,0.3812670273406704,0.17955217391304346,2.4704478260869562,0.38101960741703966,0.21346521739130433,2.4365347826086956,0.38524142114971244,0.2717391304347827,2.378260869565217,0.397619220536522,0.3304891304347827,2.3195108695652173,0.4125251371799771,0.5823021739130435,2.0676978260869565,0.4169320317367644,0.9185760869565219,1.731423913043478,0.41326970633347776,0.10952380952380951,2.5404761904761903,0.38638638130944464,0.14904761904761904,2.500952380952381,0.38754335945343976,0.17952380952380956,2.4704761904761905,0.39039393596205085,0.7085714285714285,1.9414285714285713,0.5034515096919787,1.7461904761904758,0.9038095238095241,0.4449655081050135,2.505714285714286,0.14428571428571413,0.24643784797592475,2.90047619047619,-0.2504761904761903,0.16610004989218563,38808856509.5085,0.30189463285331136,10740081615.3953,0.5585943131227896,90.2956809830492,-0.24101870622794028,5.2,-0.4027565601468396,2.5,-0.24055640977027487
3,EL PASO,2013-01,3.6,New Construction,0.16043181818181818,3.439568181818182,0.3812670273406704,0.17947272727272726,3.4205272727272726,0.38101960741703966,0.20497272727272725,3.395027272727273,0.38524142114971244,0.2497954545454545,3.3502045454545457,0.397619220536522,0.30261363636363625,3.297386363636364,0.4125251371799771,0.48810454545454546,3.1118954545454547,0.4169320317367644,0.8142727272727271,2.785727272727273,0.41326970633347776,0.05190476190476192,3.548095238095238,0.38638638130944464,0.10761904761904766,3.4923809523809526,0.38754335945343976,0.14523809523809525,3.454761904761905,0.39039393596205085,0.8052380952380951,2.794761904761905,0.5034515096919787,1.9147619047619049,1.6852380952380952,0.4449655081050135,2.681428571428571,0.918571428571429,0.24643784797592475,3.0804761904761913,0.5195238095238088,0.16610004989218563,39298206327.5877,0.30189463285331136,11080080767.5225,0.5585943131227896,88.794109524791,-0.24101870622794028,5.6,-0.4027565601468396,2.1,-0.24055640977027487
4,EL PASO,2013-06,2.9,New Construction,0.13074,2.76926,0.3812670273406704,0.15964599999999998,2.740354,0.38101960741703966,0.19319250000000002,2.7068075,0.38524142114971244,0.23164600000000002,2.668354,0.397619220536522,0.27374,2.62626,0.4125251371799771,0.4139935,2.4860065,0.4169320317367644,0.6839425000000002,2.2160575,0.41326970633347776,0.0345,2.8655,0.38638638130944464,0.08750000000000002,2.8125,0.38754335945343976,0.142,2.758,0.39039393596205085,1.2035,1.6965,0.5034515096919787,2.3000000000000003,0.5999999999999996,0.4449655081050135,3.0740000000000003,-0.17400000000000038,0.24643784797592475,3.400000000000001,-0.5000000000000009,0.16610004989218563,41334062733.8549,0.30189463285331136,8901986132.75728,0.5585943131227896,90.32258801944451,-0.24101870622794028,4.8,-0.4027565601468396,2.0,-0.24055640977027487
5,EL PASO,2014-01,4.6,New Construction,0.09003181818181817,4.509968181818182,0.3812670273406704,0.1219931818181818,4.478006818181818,0.38101960741703966,0.1597090909090909,4.440290909090908,0.38524142114971244,0.204425,4.395575,0.397619220536522,0.23822954545454544,4.3617704545454545,0.4125251371799771,0.33795909090909093,4.262040909090909,0.4169320317367644,0.5752999999999999,4.024699999999999,0.41326970633347776,0.017142857142857144,4.582857142857143,0.38638638130944464,0.0690476190476191,4.530952380952381,0.38754335945343976,0.11619047619047623,4.483809523809524,0.39039393596205085,1.6466666666666665,2.953333333333333,0.5034515096919787,2.858095238095238,1.7419047619047618,0.4449655081050135,3.521904761904762,1.0780952380952376,0.24643784797592475,3.76904761904762,0.8309523809523798,0.16610004989218563,44555116847.5878,0.30189463285331136,10011024566.6146,0.5585943131227896,83.69462947740479,-0.24101870622794028,4.2,-0.4027565601468396,1.8,-0.24055640977027487
6,EL PASO,2015-09,3.75,New Construction,0.1344409090909091,3.615559090909091,0.3812670273406704,0.15661363636363634,3.5933863636363634,0.38101960741703966,0.20107727272727274,3.548922727272727,0.38524142114971244,0.26589318181818195,3.484106818181818,0.397619220536522,0.3311113636363637,3.4188886363636364,0.4125251371799771,0.5371681818181817,3.2128318181818183,0.4169320317367644,0.8526636363636364,2.897336363636364,0.41326970633347776,0.008571428571428572,3.7414285714285715,0.38638638130944464,0.17952380952380947,3.5704761904761906,0.38754335945343976,0.3733333333333333,3.376666666666667,0.39039393596205085,1.4900000000000002,2.26,0.5034515096919787,2.1728571428571435,1.5771428571428565,0.4449655081050135,2.618095238095238,1.131904761904762,0.24643784797592475,2.9528571428571433,0.7971428571428567,0.16610004989218563,48491901272.6637,0.30189463285331136,11758109185.709,0.5585943131227896,82.4529898168143,-0.24101870622794028,3.7,-0.4027565601468396,1.8,-0.24055640977027487
7,EL PASO,2016-07,4.13,New Construction,0.41380476190476195,3.716195238095238,0.3812670273406704,0.43819285714285716,3.691807142857143,0.38101960741703966,0.4828833333333333,3.647116666666667,0.38524142114971244,0.5734595238095239,3.556540476190476,0.397619220536522,0.6963095238095237,3.4336904761904763,0.4125251371799771,0.9990666666666668,3.130933333333333,0.4169320317367644,1.31707619047619,2.81292380952381,0.41326970633347776,0.2635000000000001,3.8665,0.38638638130944464,0.4040000000000001,3.726,0.38754335945343976,0.5135000000000001,3.6165,0.39039393596205085,1.0715,3.0585,0.5034515096919787,1.504,2.626,0.4449655081050135,1.8224999999999998,2.3075,0.24643784797592475,2.227,1.903,0.16610004989218563,50249654907.7038,0.30189463285331136,11412820253.2316,0.5585943131227896,88.1942388876454,-0.24101870622794028,3.0,-0.4027565601468396,1.8,-0.24055640977027487
8,EL PASO,2016-08,4.13,New Construction,0.41817045454545454,3.7118295454545454,0.3812670273406704,0.4429568181818182,3.687043181818182,0.38101960741703966,0.5122418181818182,3.6177581818181817,0.38524142114971244,0.6351372727272727,3.4948627272727273,0.397619220536522,0.810223181818182,3.319776818181818,0.4125251371799771,1.1977463636363632,2.9322536363636367,0.4169320317367644,1.5097959090909088,2.620204090909091,0.41326970633347776,0.2608695652173914,3.8691304347826083,0.38638638130944464,0.4460869565217393,3.6839130434782605,0.38754335945343976,0.5682608695652173,3.5617391304347827,0.39039393596205085,1.1330434782608694,2.9969565217391305,0.5034515096919787,1.5565217391304347,2.573478260869565,0.4449655081050135,1.8895652173913038,2.240434782608696,0.24643784797592475,2.261739130434783,1.868260869565217,0.16610004989218563,50034086230.3872,0.30189463285331136,11482367114.4991,0.5585943131227896,88.3913281030881,-0.24101870622794028,3.1,-0.4027565601468396,1.6,-0.24055640977027487
9,EL PASO,2017-10,3.6,New Construction,1.1834895238095235,2.4165104761904765,0.3812670273406704,1.2040609090909093,2.3959390909090907,0.38101960741703966,1.2385486363636362,2.361451363636364,0.38524142114971244,1.287584090909091,2.312415909090909,0.397619220536522,1.3607931818181818,2.2392068181818185,0.4125251371799771,1.541957272727273,2.058042727272727,0.4169320317367644,1.8208568181818179,1.7791431818181822,0.41326970633347776,0.9957142857142858,2.604285714285714,0.38638638130944464,1.2495238095238093,2.350476190476191,0.38754335945343976,1.3976190476190478,2.2023809523809526,0.39039393596205085,1.9809523809523806,1.6190476190476195,0.5034515096919787,2.3600000000000003,1.2399999999999998,0.4449655081050135,2.649047619047619,0.9509523809523812,0.24643784797592475,2.8780952380952383,0.7219047619047618,0.16610004989218563,50617906919.2487,0.30189463285331136,11707722927.962,0.5585943131227896,87.3618752869242,-0.24101870622794028,3.6,-0.4027565601468396,1.5,-0.24055640977027487
10,EL PASO,2017-12,3.73,New Construction,1.3144094736842107,2.415590526315789,0.3812670273406704,1.3913115789473685,2.3386884210526313,0.38101960741703966,1.4850410526315792,2.2449589473684206,0.38524142114971244,1.5354463157894738,2.1945536842105264,0.397619220536522,1.6017521052631578,2.128247894736842,0.4125251371799771,1.7680373684210524,1.9619626315789476,0.4169320317367644,2.0434931578947366,1.6865068421052634,0.41326970633347776,1.204,2.526,0.38638638130944464,1.4950000000000003,2.2349999999999994,0.38754335945343976,1.7005,2.0295,0.39039393596205085,2.1819999999999995,1.5480000000000005,0.5034515096919787,2.4025,1.3275000000000001,0.4449655081050135,2.5970000000000004,1.1329999999999996,0.24643784797592475,2.768,0.9620000000000002,0.16610004989218563,49574400061.0285,0.30189463285331136,11226317067.5623,0.5585943131227896,88.1148323663994,-0.24101870622794028,4.5,-0.4027565601468396,1.2,-0.24055640977027487
11,EL PASO,2018-05,4.33,New Construction,1.7065971428571427,2.6234028571428576,0.3812670273406704,1.7524533333333332,2.5775466666666667,0.38101960741703966,1.94629,2.3837099999999998,0.38524142114971244,2.0937409523809523,2.236259047619048,0.397619220536522,2.3356085714285713,1.9943914285714288,0.4125251371799771,2.499740476190476,1.830259523809524,0.4169320317367644,2.754757142857143,1.575242857142857,0.41326970633347776,1.706818181818182,2.623181818181818,0.38638638130944464,2.0731818181818187,2.2568181818181814,0.38754335945343976,2.2736363636363635,2.0563636363636366,0.39039393596205085,2.816818181818181,1.513181818181819,0.5034515096919787,2.977727272727273,1.352272727272727,0.4449655081050135,3.0518181818181818,1.2781818181818183,0.24643784797592475,3.1318181818181827,1.1981818181818173,0.16610004989218563,50800995008.8069,0.30189463285331136,12484889768.5791,0.5585943131227896,87.17587933428369,-0.24101870622794028,4.5,-0.4027565601468396,1.1,-0.24055640977027487
