,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-3),Corr with student_vol(-3),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3)
0,2011-04,TX,HOUSTON,2011-04,3.73,"(-95.69695300000001, 29.795447999999997)",89399.09,New Construction,0.14759444444444447,0.47103837469440557,0.19237777777777781,0.4740253281668747,0.22143500000000005,0.473870212086127,0.25190277777777786,0.46311563760548236,0.28138222222222226,0.4487387353896213,0.44229888888888896,0.3981337177219728,0.7700555555555555,0.3737868899076689,0.029500000000000005,0.474092979188614,0.11950000000000002,0.4651617128014408,0.24650000000000002,0.4721408646315215,2.169,0.6711628794101867,3.4549999999999996,0.5964404151639557,4.276000000000001,0.4209770797964054,4.5015,0.3451404245213773,31041077337.2648,0.13274728418997025,11568364841.7538,-0.41749204334582884,90.24550000965358,-0.35870154370701285,3.7,-0.28134035623014236,3.0,0.08092834624828142
1,2011-06,TX,HOUSTON,2011-06,4.32,"(-95.481727, 29.993245)",55341.21,New Construction,0.12706818181818183,0.47103837469440557,0.1615431818181819,0.4740253281668747,0.18716409090909092,0.473870212086127,0.21923909090909086,0.46311563760548236,0.24782409090909094,0.4487387353896213,0.39758,0.3981337177219728,0.7268749999999999,0.3737868899076689,0.0190909090909091,0.474092979188614,0.1013636363636364,0.4651617128014408,0.18090909090909094,0.4721408646315215,1.5799999999999998,0.6711628794101867,3.002272727272727,0.5964404151639557,3.9145454545454546,0.4209770797964054,4.2327272727272724,0.3451404245213773,31992172727.7437,0.13274728418997025,11311909309.5948,-0.41749204334582884,88.33905735772379,-0.35870154370701285,4.0,-0.28134035623014236,3.1,0.08092834624828142
2,2011-09,TX,HOUSTON,2011-09,4.25,"(-95.7007447, 29.8386239)",41361.3,New Construction,0.14525181818181823,0.47103837469440557,0.1884,0.4740253281668747,0.23085045454545455,0.473870212086127,0.2845913636363636,0.46311563760548236,0.3502268181818181,0.4487387353896213,0.5222018181818182,0.3981337177219728,0.8332045454545454,0.3737868899076689,0.005714285714285713,0.474092979188614,0.04333333333333335,0.4651617128014408,0.10476190476190479,0.4721408646315215,0.9004761904761904,0.6711628794101867,1.9752380952380955,0.5964404151639557,2.8271428571428574,0.4209770797964054,3.182380952380953,0.3451404245213773,34623712775.9563,0.13274728418997025,12472473242.0863,-0.41749204334582884,90.35087768078328,-0.35870154370701285,4.3,-0.28134035623014236,3.3,0.08092834624828142
3,2012-06,TX,HOUSTON,2012-06,2.85,"(-95.3677, 29.7589)",44776.24,New Construction,0.163,0.47103837469440557,0.19464736842105262,0.4740253281668747,0.24319736842105263,0.473870212086127,0.3459342105263157,0.46311563760548236,0.46558684210526313,0.4487387353896213,0.7364000000000004,0.3981337177219728,1.0691894736842107,0.3737868899076689,0.05190476190476193,0.474092979188614,0.14809523809523809,0.4651617128014408,0.18904761904761905,0.4721408646315215,0.7114285714285714,0.6711628794101867,1.6223809523809525,0.5964404151639557,2.3061904761904763,0.4209770797964054,2.698095238095238,0.3451404245213773,36601383816.48,0.13274728418997025,11251067892.2966,-0.41749204334582884,89.6061116730853,-0.35870154370701285,4.1,-0.28134035623014236,2.5,0.08092834624828142
4,2012-09,TX,HOUSTON,2012-09,2.4,"(-95.3677, 29.7589)",28491.43,New Construction,0.15189500000000006,0.47103837469440557,0.183625,0.4740253281668747,0.22133750000000002,0.473870212086127,0.3079875,0.46311563760548236,0.3856325000000001,0.4487387353896213,0.6716749999999999,0.3981337177219728,0.9997750000000002,0.3737868899076689,0.07526315789473685,0.474092979188614,0.13736842105263158,0.4651617128014408,0.17578947368421055,0.4721408646315215,0.6689473684210526,0.6711628794101867,1.7231578947368422,0.5964404151639557,2.488421052631579,0.4209770797964054,2.8815789473684212,0.3451404245213773,37685204803.0042,0.13274728418997025,14585937143.4485,-0.41749204334582884,90.2956809830492,-0.35870154370701285,4.6,-0.28134035623014236,2.6,0.08092834624828142
5,2012-11,TX,HOUSTON,2012-11,2.6,"(-95.339742, 29.828077)",23682.1,New Construction,0.1555,0.47103837469440557,0.18060909090909089,0.4740253281668747,0.20888636363636362,0.473870212086127,0.25813636363636355,0.46311563760548236,0.31102272727272723,0.4487387353896213,0.528347727272727,0.3981337177219728,0.8631931818181818,0.3737868899076689,0.12449999999999999,0.474092979188614,0.14450000000000002,0.4651617128014408,0.17850000000000002,0.4721408646315215,0.665,0.6711628794101867,1.654,0.5964404151639557,2.3894999999999995,0.4209770797964054,2.8034999999999997,0.3451404245213773,38808856509.5085,0.13274728418997025,11986368496.8635,-0.41749204334582884,91.578064558499,-0.35870154370701285,4.3,-0.28134035623014236,2.4,0.08092834624828142
6,2013-01,TX,HOUSTON,2013-01,2.725,"(-95.39, 29.73)",65878.76000000001,New Construction,0.16043181818181818,0.47103837469440557,0.17947272727272726,0.4740253281668747,0.20497272727272725,0.473870212086127,0.2497954545454545,0.46311563760548236,0.30261363636363625,0.4487387353896213,0.48810454545454546,0.3981337177219728,0.8142727272727271,0.3737868899076689,0.05190476190476192,0.474092979188614,0.10761904761904766,0.4651617128014408,0.14523809523809525,0.4721408646315215,0.8052380952380951,0.6711628794101867,1.9147619047619049,0.5964404151639557,2.681428571428571,0.4209770797964054,3.0804761904761913,0.3451404245213773,39658399389.4891,0.13274728418997025,12022315813.7363,-0.41749204334582884,88.920473853359,-0.35870154370701285,4.6,-0.28134035623014236,2.3,0.08092834624828142
7,2013-03,TX,HOUSTON,2013-03,3.97,"(-95.63972700000001, 29.878815000000003)",57637.15,New Construction,0.15505000000000002,0.47103837469440557,0.17309999999999998,0.4740253281668747,0.20345,0.473870212086127,0.2419,0.46311563760548236,0.28190000000000004,0.4487387353896213,0.44782500000000003,0.3981337177219728,0.7351250000000001,0.3737868899076689,0.07800000000000003,0.474092979188614,0.11450000000000005,0.4651617128014408,0.14750000000000002,0.4721408646315215,0.8185000000000002,0.6711628794101867,1.9575,0.5964404151639557,2.7840000000000003,0.4209770797964054,3.1625000000000005,0.3451404245213773,40395555554.9932,0.13274728418997025,11337096053.4966,-0.41749204334582884,88.29263433660921,-0.35870154370701285,4.1,-0.28134035623014236,2.1,0.08092834624828142
8,2014-11,TX,HOUSTON,2014-11,4.39,"(-95.367737, 29.751675)",190979.05,New Construction,0.09656999999999999,0.47103837469440557,0.12222499999999999,0.4740253281668747,0.1548075,0.473870212086127,0.20246,0.46311563760548236,0.23286250000000003,0.4487387353896213,0.32679500000000006,0.3981337177219728,0.56206,0.3737868899076689,0.04166666666666668,0.474092979188614,0.06944444444444448,0.4651617128014408,0.13444444444444448,0.4721408646315215,1.6205555555555557,0.6711628794101867,2.325555555555556,0.5964404151639557,2.7644444444444445,0.4209770797964054,3.038333333333333,0.3451404245213773,45241950015.4561,0.13274728418997025,11117378455.0815,-0.41749204334582884,80.33849809561521,-0.35870154370701285,3.3,-0.28134035623014236,1.8,0.08092834624828142
9,2015-04,TX,HOUSTON,2015-04,3.42,"(-95.327476, 29.636377000000003)",32756.57,New Construction,0.12200000000000003,0.47103837469440557,0.14605250000000003,0.4740253281668747,0.18076750000000003,0.473870212086127,0.22830999999999996,0.46311563760548236,0.27596,0.4487387353896213,0.404505,0.3981337177219728,0.6969449999999999,0.3737868899076689,0.018181818181818188,0.474092979188614,0.09363636363636368,0.4651617128014408,0.23363636363636367,0.4721408646315215,1.3545454545454545,0.6711628794101867,1.9349999999999996,0.5964404151639557,2.334090909090909,0.4209770797964054,2.5859090909090905,0.3451404245213773,47692027772.9219,0.13274728418997025,11733364706.6996,-0.41749204334582884,82.75451956383341,-0.35870154370701285,2.6,-0.28134035623014236,1.5,0.08092834624828142
