,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(4),Corr with student_vol(4),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
1,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
2,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
3,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
4,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
5,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
6,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.3,-0.501724687616838
7,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.3,-0.501724687616838
8,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.5,-0.501724687616838
9,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.4544136163465884,0.1893409090909091,4.060659090909091,0.45833085073918123,0.24185227272727275,4.0081477272727275,0.470950299367192,0.35079999999999995,3.8992,0.47968280512806943,0.4732886363636363,3.776711363636364,0.49189073661439975,0.741275,3.508725,0.4903666338107481,1.0534477272727274,3.1965522727272724,0.5008141274376487,0.06363636363636366,4.1863636363636365,0.44790027891939815,0.14227272727272727,4.1077272727272724,0.5016755327864032,0.19000000000000003,4.06,0.5380961721976385,1.0172727272727273,3.2327272727272724,0.7544869871221699,2.1727272727272724,2.0772727272727276,0.7494796380066756,2.9404545454545454,1.3095454545454546,0.4767214786515395,3.281363636363636,0.9686363636363642,0.30799641374112435,34825519831.2788,0.4909771584135598,16111780903.4699,0.6856666466825089,89.00857713430821,-0.42467646023754657,2.2,-0.38471912410120945,3.2,-0.501724687616838
