,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
0,DC,WASHINGTON,2009-12,5.55,New Construction,0.17885714285714288,5.371142857142857,0.011419548917629575,0.2141833333333333,5.335816666666666,0.015371962158212729,0.23288904761904766,5.317110952380952,-0.0020349087298140757,0.24197238095238102,5.3080276190476186,-0.017137610703127006,0.2530461904761905,5.296953809523809,-0.04126749545866863,0.4528776190476191,5.0971223809523805,-0.06276666091845831,0.9993009523809523,4.550699047619047,-0.003531092112853453,0.03181818181818183,5.518181818181818,0.007461745881696954,0.16772727272727275,5.382272727272727,-0.009696290316539057,0.37136363636363634,5.178636363636364,0.012118698306242145,2.3404545454545453,3.2095454545454545,0.4837134188459148,3.589999999999999,1.9600000000000009,0.7269179355098278,4.399545454545455,1.1504545454545445,0.7028272994450006,4.494090909090908,1.0559090909090916,0.6707079741853346,27606233351.339,-0.541148857803527,12931336765.2583,0.5103815899826711,101.129830992893,0.6232803905406457,3.1,0.6034801951271247,5.3,0.47614935599867125
1,DC,WASHINGTON,2010-06,6.1,New Construction,0.29840136363636366,5.801598636363636,0.011419548917629575,0.3291213636363637,5.770878636363636,0.015371962158212729,0.3487363636363637,5.751263636363636,-0.0020349087298140757,0.4336950000000001,5.6663049999999995,-0.017137610703127006,0.5368986363636363,5.563101363636363,-0.04126749545866863,0.7518195454545455,5.348180454545454,-0.06276666091845831,1.187955909090909,4.912044090909091,-0.003531092112853453,0.07954545454545457,6.0204545454545455,0.007461745881696954,0.19090909090909092,5.909090909090908,-0.009696290316539057,0.3181818181818181,5.781818181818181,0.012118698306242145,1.9963636363636363,4.1036363636363635,0.4837134188459148,3.2040909090909095,2.89590909090909,0.7269179355098278,3.9499999999999997,2.15,0.7028272994450006,4.127727272727272,1.9722727272727276,0.6707079741853346,30512069858.4251,-0.541148857803527,14228362706.5907,0.5103815899826711,99.0214107435932,0.6232803905406457,3.5,0.6034801951271247,4.9,0.47614935599867125
2,DC,WASHINGTON,2011-06,4.4996,New Construction,0.12706818181818183,4.372531818181818,0.011419548917629575,0.1615431818181819,4.338056818181818,0.015371962158212729,0.18716409090909092,4.312435909090909,-0.0020349087298140757,0.21923909090909086,4.280360909090909,-0.017137610703127006,0.24782409090909094,4.2517759090909095,-0.04126749545866863,0.39758,4.10202,-0.06276666091845831,0.7268749999999999,3.7727250000000003,-0.003531092112853453,0.0190909090909091,4.4805090909090906,0.007461745881696954,0.1013636363636364,4.3982363636363635,-0.009696290316539057,0.18090909090909094,4.318690909090909,0.012118698306242145,1.5799999999999998,2.9196,0.4837134188459148,3.002272727272727,1.497327272727273,0.7269179355098278,3.9145454545454546,0.5850545454545455,0.7028272994450006,4.2327272727272724,0.2668727272727276,0.6707079741853346,34623712775.9563,-0.541148857803527,11726514214.1317,0.5103815899826711,92.5881563190625,0.6232803905406457,3.1,0.6034801951271247,4.7,0.47614935599867125
3,DC,WASHINGTON,2011-10,3.9,New Construction,0.1416352380952381,3.7583647619047618,0.011419548917629575,0.19074095238095234,3.7092590476190477,0.015371962158212729,0.24373904761904758,3.6562609523809524,-0.0020349087298140757,0.3185252380952381,3.581474761904762,-0.017137610703127006,0.4064785714285714,3.4935214285714284,-0.04126749545866863,0.59521,3.3047899999999997,-0.06276666091845831,0.9086428571428572,2.991357142857143,-0.003531092112853453,0.013500000000000003,3.8865,0.007461745881696954,0.05450000000000003,3.8455,-0.009696290316539057,0.1145,3.7855,0.012118698306242145,1.0614999999999999,2.8385,0.4837134188459148,2.1519999999999997,1.7480000000000002,0.7269179355098278,2.8695,1.0305,0.7028272994450006,3.128,0.7719999999999998,0.6707079741853346,35532707747.113,-0.541148857803527,12472473242.0863,0.5103815899826711,88.33905735772379,0.6232803905406457,3.0,0.6034801951271247,4.8,0.47614935599867125
4,DC,WASHINGTON,2012-06,3.55,New Construction,0.163,3.387,0.011419548917629575,0.19464736842105262,3.3553526315789473,0.015371962158212729,0.24319736842105263,3.306802631578947,-0.0020349087298140757,0.3459342105263157,3.204065789473684,-0.017137610703127006,0.46558684210526313,3.084413157894737,-0.04126749545866863,0.7364000000000004,2.813599999999999,-0.06276666091845831,1.0691894736842107,2.480810526315789,-0.003531092112853453,0.05190476190476193,3.498095238095238,0.007461745881696954,0.14809523809523809,3.4019047619047615,-0.009696290316539057,0.18904761904761905,3.360952380952381,0.012118698306242145,0.7114285714285714,2.8385714285714285,0.4837134188459148,1.6223809523809525,1.9276190476190473,0.7269179355098278,2.3061904761904763,1.2438095238095235,0.7028272994450006,2.698095238095238,0.8519047619047617,0.6707079741853346,37685204803.0042,-0.541148857803527,10728874885.7875,0.5103815899826711,89.00857713430821,0.6232803905406457,3.0,0.6034801951271247,4.3,0.47614935599867125
5,DC,WASHINGTON,2013-05,2.7,New Construction,0.1435047619047619,2.556495238095238,0.011419548917629575,0.1638380952380952,2.536161904761905,0.015371962158212729,0.19670952380952378,2.503290476190476,-0.0020349087298140757,0.23396000000000003,2.46604,-0.017137610703127006,0.27416904761904765,2.4258309523809527,-0.04126749545866863,0.42137333333333327,2.278626666666667,-0.06276666091845831,0.6936104761904763,2.0063895238095237,-0.003531092112853453,0.020454545454545458,2.6795454545454547,0.007461745881696954,0.08090909090909093,2.619090909090909,-0.009696290316539057,0.11863636363636366,2.5813636363636365,0.012118698306242145,0.840909090909091,1.8590909090909091,0.4837134188459148,1.9281818181818182,0.771818181818182,0.7269179355098278,2.7286363636363635,-0.02863636363636335,0.7028272994450006,3.112727272727273,-0.4127272727272726,0.6707079741853346,41062625933.5941,-0.541148857803527,11154944519.578999,0.5103815899826711,88.920473853359,0.6232803905406457,2.2,0.6034801951271247,3.4,0.47614935599867125
6,DC,WASHINGTON,2013-09,4.18,New Construction,0.11272380952380952,4.06727619047619,0.011419548917629575,0.14323238095238094,4.036767619047619,0.015371962158212729,0.18057476190476196,3.9994252380952378,-0.0020349087298140757,0.22133904761904755,3.958660952380952,-0.017137610703127006,0.2531785714285715,3.9268214285714285,-0.04126749545866863,0.38033809523809525,3.7996619047619045,-0.06276666091845831,0.6526857142857143,3.5273142857142856,-0.003531092112853453,0.017500000000000005,4.1625,0.007461745881696954,0.04150000000000001,4.1385,-0.009696290316539057,0.11850000000000002,4.0615,0.012118698306242145,1.5959999999999999,2.5839999999999996,0.4837134188459148,2.8095,1.3704999999999998,0.7269179355098278,3.526,0.6539999999999999,0.7028272994450006,3.7870000000000004,0.39299999999999935,0.6707079741853346,42151687038.4775,-0.541148857803527,9498561196.652071,0.5103815899826711,90.32258801944451,0.6232803905406457,2.6,0.6034801951271247,3.3,0.47614935599867125
7,DC,WASHINGTON,2013-10,3.85,New Construction,0.10426086956521738,3.745739130434783,0.011419548917629575,0.13668260869565219,3.713317391304348,0.015371962158212729,0.17241521739130433,3.6775847826086956,-0.0020349087298140757,0.21265,3.63735,-0.017137610703127006,0.2417652173913043,3.6082347826086956,-0.04126749545866863,0.36121521739130424,3.488784782608696,-0.06276666091845831,0.6177847826086957,3.232215217391304,-0.003531092112853453,0.1059090909090909,3.744090909090909,0.007461745881696954,0.07590909090909094,3.774090909090909,-0.009696290316539057,0.12136363636363635,3.7286363636363635,0.012118698306242145,1.366818181818182,2.4831818181818184,0.4837134188459148,2.615909090909091,1.234090909090909,0.7269179355098278,3.3795454545454544,0.4704545454545457,0.7028272994450006,3.6759090909090903,0.17409090909090974,0.6707079741853346,43204378466.7468,-0.541148857803527,9260696074.4491,0.5103815899826711,88.1059676388142,0.6232803905406457,2.2,0.6034801951271247,3.2,0.47614935599867125
8,DC,WASHINGTON,2014-03,4.52,New Construction,0.0888,4.4312,0.011419548917629575,0.1207452380952381,4.3992547619047615,0.015371962158212729,0.15488333333333335,4.365116666666666,-0.0020349087298140757,0.19711666666666672,4.3228833333333325,-0.017137610703127006,0.23409761904761903,4.285902380952381,-0.04126749545866863,0.33106666666666673,4.188933333333333,-0.06276666091845831,0.5571428571428573,3.962857142857142,-0.003531092112853453,0.051428571428571455,4.468571428571428,0.007461745881696954,0.07857142857142858,4.441428571428571,-0.009696290316539057,0.1280952380952381,4.391904761904762,0.012118698306242145,1.6395238095238096,2.88047619047619,0.4837134188459148,2.7233333333333327,1.7966666666666669,0.7269179355098278,3.3466666666666667,1.173333333333333,0.7028272994450006,3.6209523809523807,0.8990476190476189,0.6707079741853346,44931729222.7983,-0.541148857803527,10396023519.0372,0.5103815899826711,84.4459748156831,0.6232803905406457,2.1,0.6034801951271247,2.8,0.47614935599867125
9,DC,WASHINGTON,2015-10,4.35,New Construction,0.13160454545454547,4.218395454545454,0.011419548917629575,0.15531363636363638,4.194686363636364,0.015371962158212729,0.19451136363636365,4.155488636363636,-0.0020349087298140757,0.2514522727272726,4.098547727272727,-0.017137610703127006,0.32135909090909087,4.0286409090909086,-0.04126749545866863,0.5284272727272726,3.821572727272727,-0.06276666091845831,0.8378659090909092,3.5121340909090906,-0.003531092112853453,0.014285714285714287,4.335714285714285,0.007461745881696954,0.11380952380952382,4.236190476190476,-0.009696290316539057,0.26333333333333336,4.086666666666666,0.012118698306242145,1.3857142857142857,2.964285714285714,0.4837134188459148,2.0699999999999994,2.2800000000000002,0.7269179355098278,2.5028571428571427,1.847142857142857,0.7028272994450006,2.8880952380952376,1.461904761904762,0.6707079741853346,48927223434.2447,-0.541148857803527,11517159733.1957,0.5103815899826711,82.89218119322959,0.6232803905406457,1.9,0.6034801951271247,2.0,0.47614935599867125
10,DC,WASHINGTON,2016-07,3.93,New Construction,0.41380476190476195,3.5161952380952384,0.011419548917629575,0.43819285714285716,3.491807142857143,0.015371962158212729,0.4828833333333333,3.447116666666667,-0.0020349087298140757,0.5734595238095239,3.3565404761904762,-0.017137610703127006,0.6963095238095237,3.2336904761904766,-0.04126749545866863,0.9990666666666668,2.9309333333333334,-0.06276666091845831,1.31707619047619,2.61292380952381,-0.003531092112853453,0.2635000000000001,3.6665,0.007461745881696954,0.4040000000000001,3.5260000000000002,-0.009696290316539057,0.5135000000000001,3.4165,0.012118698306242145,1.0715,2.8585000000000003,0.4837134188459148,1.504,2.426,0.7269179355098278,1.8224999999999998,2.1075000000000004,0.7028272994450006,2.227,1.7030000000000003,0.6707079741853346,49971382532.5922,-0.541148857803527,11362184412.0981,0.5103815899826711,85.2359522201137,0.6232803905406457,2.0,0.6034801951271247,1.5,0.47614935599867125
11,DC,WASHINGTON,2016-10,3.59,New Construction,0.4307719047619048,3.159228095238095,0.011419548917629575,0.457582380952381,3.1324176190476187,0.015371962158212729,0.5307795238095238,3.059220476190476,-0.0020349087298140757,0.6609890476190475,2.929010952380952,-0.017137610703127006,0.8786828571428573,2.7113171428571423,-0.04126749545866863,1.258856666666667,2.331143333333333,-0.06276666091845831,1.577814761904762,2.012185238095238,-0.003531092112853453,0.24400000000000005,3.3459999999999996,0.007461745881696954,0.47700000000000004,3.113,-0.009696290316539057,0.6595000000000001,2.9305,0.012118698306242145,1.2719999999999998,2.318,0.4837134188459148,1.7645000000000004,1.8254999999999995,0.7269179355098278,2.1705,1.4194999999999998,0.7028272994450006,2.5004999999999997,1.0895000000000001,0.6707079741853346,48913265551.9221,-0.541148857803527,11496937509.4445,0.5103815899826711,88.1942388876454,0.6232803905406457,1.9,0.6034801951271247,1.4,0.47614935599867125
12,DC,WASHINGTON,2016-11,3.0,New Construction,0.4339245454545454,2.5660754545454547,0.011419548917629575,0.45880500000000013,2.541195,0.015371962158212729,0.5631090909090911,2.4368909090909088,-0.0020349087298140757,0.7006386363636362,2.299361363636364,-0.017137610703127006,0.9084640909090909,2.091535909090909,-0.04126749545866863,1.2693081818181815,1.7306918181818185,-0.06276666091845831,1.6029650000000002,1.3970349999999998,-0.003531092112853453,0.29999999999999993,2.7,0.007461745881696954,0.5834999999999999,2.4165,-0.009696290316539057,0.736,2.2640000000000002,0.012118698306242145,1.596,1.404,0.4837134188459148,2.142,0.8580000000000001,0.7269179355098278,2.5369999999999995,0.4630000000000005,0.7028272994450006,2.8620000000000005,0.13799999999999946,0.6707079741853346,48441183549.9275,-0.541148857803527,11531266279.4831,0.5103815899826711,88.3913281030881,0.6232803905406457,1.9,0.6034801951271247,1.4,0.47614935599867125
13,DC,WASHINGTON,2017-09,3.9,New Construction,1.1784444999999997,2.7215555,0.011419548917629575,1.1967471428571432,2.7032528571428567,0.015371962158212729,1.23492,2.6650799999999997,-0.0020349087298140757,1.2721638095238097,2.62783619047619,-0.017137610703127006,1.3232957142857147,2.5767042857142854,-0.04126749545866863,1.4732157142857143,2.4267842857142856,-0.06276666091845831,1.738246666666667,2.161753333333333,-0.003531092112853453,0.9940000000000001,2.9059999999999997,0.007461745881696954,1.171,2.729,-0.009696290316539057,1.2799999999999998,2.62,0.012118698306242145,1.7975,2.1025,0.4837134188459148,2.2020000000000004,1.6979999999999995,0.7269179355098278,2.5300000000000002,1.3699999999999997,0.7028272994450006,2.7764999999999995,1.1235000000000004,0.6707079741853346,49589347299.2381,-0.541148857803527,12747516848.3499,0.5103815899826711,88.11497433433529,0.6232803905406457,2.3,0.6034801951271247,1.3,0.47614935599867125
14,DC,WASHINGTON,2018-01,3.34,New Construction,1.4378880952380952,1.9021119047619046,0.011419548917629575,1.467563181818182,1.8724368181818178,0.015371962158212729,1.5610881818181819,1.778911818181818,-0.0020349087298140757,1.6355336363636364,1.7044663636363635,-0.017137610703127006,1.733970909090909,1.6060290909090909,-0.04126749545866863,1.9067609090909092,1.4332390909090906,-0.06276666091845831,2.196459545454545,1.1435404545454548,-0.003531092112853453,1.3000000000000003,2.0399999999999996,0.007461745881696954,1.6199999999999994,1.7200000000000004,-0.009696290316539057,1.8028571428571425,1.5371428571428574,0.012118698306242145,2.381904761904762,0.9580952380952379,0.4837134188459148,2.5838095238095242,0.7561904761904756,0.7269179355098278,2.7342857142857144,0.6057142857142854,0.7028272994450006,2.8776190476190475,0.46238095238095234,0.6707079741853346,50407042046.8076,-0.541148857803527,11813706431.8634,0.5103815899826711,87.3618752869242,0.6232803905406457,1.8,0.6034801951271247,1.1,0.47614935599867125
15,DC,WASHINGTON,2018-08,4.55,New Construction,1.916485,2.633515,0.011419548917629575,1.9541377272727276,2.595862272727272,0.015371962158212729,2.074109545454545,2.4758904545454548,-0.0020349087298140757,2.18963,2.3603699999999996,-0.017137610703127006,2.323575,2.226425,-0.04126749545866863,2.5196563636363636,2.0303436363636362,-0.06276666091845831,2.8215668181818185,1.7284331818181813,-0.003531092112853453,1.9408695652173917,2.609130434782608,0.007461745881696954,2.244347826086957,2.305652173913043,-0.009696290316539057,2.445652173913043,2.104347826086957,0.012118698306242145,2.7678260869565223,1.7821739130434775,0.4837134188459148,2.889130434782609,1.660869565217391,0.7269179355098278,2.970434782608696,1.5795652173913037,0.7028272994450006,3.041739130434783,1.5082608695652167,0.6707079741853346,52638985994.1642,-0.541148857803527,12344213844.2875,0.5103815899826711,87.17587933428369,0.6232803905406457,2.0,0.6034801951271247,1.0,0.47614935599867125
