,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(-2),Corr with student_vol(-2),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4)
0,2010-02,FL,JACKSONVILLE,2010-02,5.35,"(-81.776738, 30.269674)",7449.54,New Construction,0.172487,-0.06969934207926025,0.20809400000000006,-0.05601767749586556,0.22906349999999992,-0.06821815291230501,0.23978050000000012,-0.10011922449846533,0.25051950000000006,-0.1399747569587051,0.38779850000000005,-0.20050969731692544,0.8515799999999999,-0.12494052863675605,0.05736842105263157,-0.05930265940385213,0.18105263157894735,-0.04546518443641628,0.34578947368421054,0.006987000856595727,2.363684210526315,0.7620019680292708,3.691052631578947,0.9130467416220697,4.481052631578947,0.8679778290445889,4.619473684210526,0.8395989662570302,25116521917.8418,-0.6731391196220612,14018940117.4091,0.9386404613650501,98.6449594200431,0.8958202412366846,4.3,0.5524064462364113,5.8,0.33296818212578594
1,2010-07,FL,JACKSONVILLE,2010-07,4.4,"(-81.392202, 30.304725)",16704.08,New Construction,0.26711500000000005,-0.06969934207926025,0.31483090909090916,-0.05601767749586556,0.3341213636363637,-0.06821815291230501,0.41480272727272727,-0.10011922449846533,0.5103277272727272,-0.1399747569587051,0.7185045454545452,-0.20050969731692544,1.117797727272727,-0.12494052863675605,0.15666666666666668,-0.05930265940385213,0.20047619047619053,-0.04546518443641628,0.2914285714285714,0.006987000856595727,1.7628571428571433,0.7620019680292708,3.0114285714285716,0.9130467416220697,3.796190476190476,0.8679778290445889,3.994285714285714,0.8395989662570302,28477062769.4533,-0.6731391196220612,11978266411.3233,0.9386404613650501,92.4549564204629,0.8958202412366846,4.7,0.5524064462364113,6.0,0.33296818212578594
2,2013-01,FL,JACKSONVILLE,2013-01,3.17,"(-81.49149, 30.293789)",161077.46,New Construction,0.16043181818181818,-0.06969934207926025,0.17947272727272726,-0.05601767749586556,0.20497272727272725,-0.06821815291230501,0.2497954545454545,-0.10011922449846533,0.30261363636363625,-0.1399747569587051,0.48810454545454546,-0.20050969731692544,0.8142727272727271,-0.12494052863675605,0.05190476190476192,-0.05930265940385213,0.10761904761904766,-0.04546518443641628,0.14523809523809525,0.006987000856595727,0.8052380952380951,0.7620019680292708,1.9147619047619049,0.9130467416220697,2.681428571428571,0.8679778290445889,3.0804761904761913,0.8395989662570302,39268596272.9965,-0.6731391196220612,10740081615.3953,0.9386404613650501,86.5850023909696,0.8958202412366846,3.2,0.5524064462364113,5.5,0.33296818212578594
3,2016-08,FL,JACKSONVILLE,2016-08,3.64,"(-81.603585, 30.274347)",29608.23,New Construction,0.41817045454545454,-0.06969934207926025,0.4429568181818182,-0.05601767749586556,0.5122418181818182,-0.06821815291230501,0.6351372727272727,-0.10011922449846533,0.810223181818182,-0.1399747569587051,1.1977463636363632,-0.20050969731692544,1.5097959090909088,-0.12494052863675605,0.2608695652173914,-0.05930265940385213,0.4460869565217393,-0.04546518443641628,0.5682608695652173,0.006987000856595727,1.1330434782608694,0.7620019680292708,1.5565217391304347,0.9130467416220697,1.8895652173913038,0.8679778290445889,2.261739130434783,0.8395989662570302,50596067254.1766,-0.6731391196220612,11496937509.4445,0.9386404613650501,89.2057504560787,0.8958202412366846,1.8,0.5524064462364113,1.6,0.33296818212578594
4,2018-02,FL,JACKSONVILLE,2018-02,4.1,"(-81.6218, 30.485)",59461.88,New Construction,1.4432573684210526,-0.06969934207926025,1.4712210000000003,-0.05601767749586556,1.6018225000000001,-0.06821815291230501,1.722691,-0.10011922449846533,1.874672,-0.1399747569587051,2.0893395000000003,-0.20050969731692544,2.3701375000000002,-0.12494052863675605,1.3805263157894736,-0.05930265940385213,1.7857894736842108,-0.04546518443641628,1.9636842105263155,0.006987000856595727,2.599473684210526,0.7620019680292708,2.8589473684210525,0.9130467416220697,3.016842105263158,0.8679778290445889,3.1310526315789478,0.8395989662570302,49574400061.0285,-0.6731391196220612,11223830878.8235,0.9386404613650501,86.55198240492871,0.8958202412366846,1.8,0.5524064462364113,1.5,0.33296818212578594
