,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(2),Corr with student_vol(2),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2010-11,CO,DENVER,2010-11,4.0,"(-105.044606, 39.768122999999996)",16515.67,New Construction,0.22869727272727272,0.299476984461766,0.24913818181818187,0.2961512050338976,0.2541922727272727,0.2874383264804618,0.27004181818181816,0.2799470356596155,0.2871204545454545,0.26555455722695787,0.44597000000000014,0.2639720199794712,0.7651345454545454,0.2728887627159106,0.13400000000000004,0.2922311724502987,0.182,0.29970800816262716,0.25200000000000006,0.3220067740535623,1.35,0.46287104993183203,2.7630000000000003,0.41018071138225143,3.817999999999999,0.32311650885124743,4.186,0.2816155532978891,32217867353.4185,-0.11543866050841634,11568364841.7538,0.7309332760779912,94.7176548951663,0.269477555729753,2.7,0.42799156323314835,2.7,0.35116066520219874,-105.044606,39.768122999999996
1,2011-02,CO,DENVER,2011-02,4.89,"(-104.905612, 39.740317)",11754.62,New Construction,0.23214,0.299476984461766,0.25165,0.2961512050338976,0.26292499999999996,0.2874383264804618,0.28731249999999997,0.2799470356596155,0.31189999999999996,0.26555455722695787,0.46404500000000004,0.2639720199794712,0.7933949999999999,0.2728887627159106,0.11473684210526319,0.2922311724502987,0.16842105263157894,0.29970800816262716,0.2863157894736842,0.3220067740535623,2.257894736842106,0.46287104993183203,3.5763157894736834,0.41018071138225143,4.423684210526316,0.32311650885124743,4.652105263157895,0.2816155532978891,31041077337.2648,-0.11543866050841634,15995126134.7035,0.7309332760779912,91.59671843464591,0.269477555729753,2.9,0.42799156323314835,2.6,0.35116066520219874,-104.905612,39.740317
2,2011-04,CO,DENVER,2011-04,4.0,"(-104.96841299999998, 39.740736)",13502.68,New Construction,0.14759444444444447,0.299476984461766,0.19237777777777781,0.2961512050338976,0.22143500000000005,0.2874383264804618,0.25190277777777786,0.2799470356596155,0.28138222222222226,0.26555455722695787,0.44229888888888896,0.2639720199794712,0.7700555555555555,0.2728887627159106,0.029500000000000005,0.2922311724502987,0.11950000000000002,0.29970800816262716,0.24650000000000002,0.3220067740535623,2.169,0.46287104993183203,3.4549999999999996,0.41018071138225143,4.276000000000001,0.32311650885124743,4.5015,0.2816155532978891,31992172727.7437,-0.11543866050841634,12472473242.0863,0.7309332760779912,91.13289228397959,0.269477555729753,2.9,0.42799156323314835,2.5,0.35116066520219874,-104.96841299999998,39.740736
3,2011-07,CO,DENVER,2011-07,4.1,"(-104.96066599999999, 39.745502)",14740.23,New Construction,0.12388095238095237,0.299476984461766,0.1598857142857143,0.2961512050338976,0.18661904761904766,0.2874383264804618,0.2182333333333334,0.2799470356596155,0.24991190476190472,0.26555455722695787,0.41392857142857137,0.2639720199794712,0.7452261904761905,0.2728887627159106,0.037500000000000006,0.2922311724502987,0.08400000000000002,0.29970800816262716,0.185,0.3220067740535623,1.541,0.46287104993183203,3.003,0.41018071138225143,3.9475000000000002,0.32311650885124743,4.2705,0.2816155532978891,34623712775.9563,-0.11543866050841634,11655650147.2578,0.7309332760779912,88.33905735772379,0.269477555729753,2.4,0.42799156323314835,2.4,0.35116066520219874,-104.96066599999999,39.745502
4,2011-10,CO,DENVER,2011-10,3.6,"(-87.316286, 41.550856)",28645.84,New Construction,0.1416352380952381,0.299476984461766,0.19074095238095234,0.2961512050338976,0.24373904761904758,0.2874383264804618,0.3185252380952381,0.2799470356596155,0.4064785714285714,0.26555455722695787,0.59521,0.2639720199794712,0.9086428571428572,0.2728887627159106,0.013500000000000003,0.2922311724502987,0.05450000000000003,0.29970800816262716,0.1145,0.3220067740535623,1.0614999999999999,0.46287104993183203,2.1519999999999997,0.41018071138225143,2.8695,0.32311650885124743,3.128,0.2816155532978891,35385458151.3724,-0.11543866050841634,11508699084.1195,0.7309332760779912,90.35087768078328,0.269477555729753,2.4,0.42799156323314835,2.3,0.35116066520219874,-87.316286,41.550856
5,2011-12,CO,DENVER,2011-12,4.25,"(-104.9653, 39.7348)",40760.3,New Construction,0.1499335,0.299476984461766,0.2029985,0.2961512050338976,0.2836085,0.2874383264804618,0.40829250000000006,0.2799470356596155,0.5557375,0.26555455722695787,0.7798775000000001,0.2639720199794712,1.1003555000000003,0.2728887627159106,0.0033333333333333335,0.2922311724502987,0.048571428571428585,0.29970800816262716,0.11523809523809528,0.3220067740535623,0.8914285714285713,0.46287104993183203,1.9780952380952384,0.41018071138225143,2.6676190476190476,0.32311650885124743,2.9823809523809524,0.2816155532978891,35767585536.868996,-0.11543866050841634,10728874885.7875,0.7309332760779912,90.7743282432688,0.269477555729753,2.7,0.42799156323314835,2.3,0.35116066520219874,-104.9653,39.7348
6,2012-01,CO,DENVER,2012-01,2.92,"(9.08333, 45.81667)",27130.1,New Construction,0.14564761904761903,0.299476984461766,0.2014238095238095,0.2961512050338976,0.28289523809523814,0.2874383264804618,0.41424761904761903,0.2799470356596155,0.5659000000000001,0.26555455722695787,0.7969761904761906,0.2639720199794712,1.1145476190476191,0.2728887627159106,0.0245,0.2922311724502987,0.06550000000000003,0.29970800816262716,0.11500000000000003,0.3220067740535623,0.835,0.46287104993183203,1.9664999999999995,0.41018071138225143,2.6950000000000003,0.32311650885124743,3.026,0.2816155532978891,36623269866.4569,-0.11543866050841634,11251067892.2966,0.7309332760779912,90.6452366150782,0.269477555729753,2.3,0.42799156323314835,2.2,0.35116066520219874,9.08333,45.81667
7,2012-08,CO,DENVER,2012-08,4.6,"(-104.977764, 39.755967)",6398.74,New Construction,0.15374090909090915,0.299476984461766,0.18745454545454548,0.2961512050338976,0.23783863636363634,0.2874383264804618,0.3331136363636364,0.2799470356596155,0.43259999999999993,0.26555455722695787,0.7177749999999997,0.2639720199794712,1.0426272727272727,0.2728887627159106,0.09217391304347829,0.2922311724502987,0.14043478260869566,0.29970800816262716,0.18347826086956526,0.3220067740535623,0.7139130434782609,0.46287104993183203,1.6782608695652175,0.41018071138225143,2.3978260869565218,0.32311650885124743,2.7708695652173914,0.2816155532978891,38410438812.4053,-0.11543866050841634,12022315813.7363,0.7309332760779912,89.513287195688,0.269477555729753,2.3,0.42799156323314835,1.9,0.35116066520219874,-104.977764,39.755967
8,2012-11,CO,DENVER,2012-11,3.145,"(-104.985193, 39.753231)",19328.71,New Construction,0.1555,0.299476984461766,0.18060909090909089,0.2961512050338976,0.20888636363636362,0.2874383264804618,0.25813636363636355,0.2799470356596155,0.31102272727272723,0.26555455722695787,0.528347727272727,0.2639720199794712,0.8631931818181818,0.2728887627159106,0.12449999999999999,0.2922311724502987,0.14450000000000002,0.29970800816262716,0.17850000000000002,0.3220067740535623,0.665,0.46287104993183203,1.654,0.41018071138225143,2.3894999999999995,0.32311650885124743,2.8034999999999997,0.2816155532978891,39658399389.4891,-0.11543866050841634,11154944519.578999,0.7309332760779912,89.2801736441717,0.269477555729753,2.2,0.42799156323314835,1.7,0.35116066520219874,-104.985193,39.753231
9,2013-03,CO,DENVER,2013-03,2.92,"(-75.37876991, 39.87880641)",72892.2,New Construction,0.15505000000000002,0.299476984461766,0.17309999999999998,0.2961512050338976,0.20345,0.2874383264804618,0.2419,0.2799470356596155,0.28190000000000004,0.26555455722695787,0.44782500000000003,0.2639720199794712,0.7351250000000001,0.2728887627159106,0.07800000000000003,0.2922311724502987,0.11450000000000005,0.29970800816262716,0.14750000000000002,0.3220067740535623,0.8185000000000002,0.46287104993183203,1.9575,0.41018071138225143,2.7840000000000003,0.32311650885124743,3.1625000000000005,0.2816155532978891,41507587847.7023,-0.11543866050841634,9498561196.652071,0.7309332760779912,86.5850023909696,0.269477555729753,2.0,0.42799156323314835,1.5,0.35116066520219874,-75.37876991,39.87880641
10,2013-09,CO,DENVER,2013-09,2.95,"(-75.23333000000001, 4.433330000000001)",12507.24,New Construction,0.11272380952380952,0.299476984461766,0.14323238095238094,0.2961512050338976,0.18057476190476196,0.2874383264804618,0.22133904761904755,0.2799470356596155,0.2531785714285715,0.26555455722695787,0.38033809523809525,0.2639720199794712,0.6526857142857143,0.2728887627159106,0.017500000000000005,0.2922311724502987,0.04150000000000001,0.29970800816262716,0.11850000000000002,0.3220067740535623,1.5959999999999999,0.46287104993183203,2.8095,0.41018071138225143,3.526,0.32311650885124743,3.7870000000000004,0.2816155532978891,41561863313.5151,-0.11543866050841634,10396023519.0372,0.7309332760779912,85.7873584996498,0.269477555729753,1.7,0.42799156323314835,1.1,0.35116066520219874,-75.23333000000001,4.433330000000001
11,2014-07,CO,DENVER,2014-07,3.73,"(-104.9213, 39.7644)",59694.1,New Construction,0.09286956521739129,0.299476984461766,0.12270652173913045,0.2961512050338976,0.15438695652173914,0.2874383264804618,0.1955586956521739,0.2799470356596155,0.23417391304347826,0.26555455722695787,0.32826086956521744,0.2639720199794712,0.5557695652173912,0.2728887627159106,0.024090909090909093,0.2922311724502987,0.059545454545454575,0.29970800816262716,0.11136363636363639,0.3220067740535623,1.699545454545455,0.46287104993183203,2.542272727272727,0.41018071138225143,3.071363636363636,0.32311650885124743,3.3318181818181816,0.2816155532978891,44591810060.8257,-0.11543866050841634,11159124696.1814,0.7309332760779912,81.06604477988621,0.269477555729753,1.6,0.42799156323314835,1.0,0.35116066520219874,-104.9213,39.7644
12,2015-04,CO,DENVER,2015-04,4.0,"(-104.98251699999999, 39.751033)",92241.17,New Construction,0.12200000000000003,0.299476984461766,0.14605250000000003,0.2961512050338976,0.18076750000000003,0.2874383264804618,0.22830999999999996,0.2799470356596155,0.27596,0.26555455722695787,0.404505,0.2639720199794712,0.6969449999999999,0.2728887627159106,0.018181818181818188,0.2922311724502987,0.09363636363636368,0.29970800816262716,0.23363636363636367,0.3220067740535623,1.3545454545454545,0.46287104993183203,1.9349999999999996,0.41018071138225143,2.334090909090909,0.32311650885124743,2.5859090909090905,0.2816155532978891,48668534366.8701,-0.11543866050841634,11517159733.1957,0.7309332760779912,83.34061286074021,0.269477555729753,1.5,0.42799156323314835,0.7,0.35116066520219874,-104.98251699999999,39.751033
13,2017-03,CO,DENVER,2017-03,3.7,"(-76.24025300000001, 41.055825)",199947.6,New Construction,0.8095565217391305,0.299476984461766,0.8706386956521739,0.2961512050338976,0.9286352173913045,0.2874383264804618,0.982656956521739,0.2799470356596155,1.134713043478261,0.26555455722695787,1.4258673913043478,0.2639720199794712,1.8069104347826086,0.2728887627159106,0.662608695652174,0.2922311724502987,0.8856521739130436,0.29970800816262716,1.0104347826086957,0.3220067740535623,2.013478260869565,0.46287104993183203,2.4817391304347827,0.41018071138225143,2.8317391304347823,0.32311650885124743,3.0813043478260873,0.2816155532978891,49068548953.9206,-0.11543866050841634,12747516848.3499,0.7309332760779912,89.1200725980081,0.269477555729753,1.2,0.42799156323314835,0.4,0.35116066520219874,-76.24025300000001,41.055825
