,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(-3),Corr with student_vol(-3),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3)
0,HOUSTON,2011-04,3.73,New Construction,0.14759444444444447,3.5824055555555554,0.4464340599004469,0.19237777777777781,3.5376222222222222,0.45079907494478977,0.22143500000000005,3.508565,0.45627364931937203,0.25190277777777786,3.478097222222222,0.4502155988240172,0.28138222222222226,3.448617777777778,0.44151482813656273,0.44229888888888896,3.287701111111111,0.4007848577908701,0.7700555555555555,2.9599444444444445,0.38130890458866457,0.029500000000000005,3.7005,0.45827802705401033,0.11950000000000002,3.6105,0.4567038554843785,0.24650000000000002,3.4835,0.46837709206775346,2.169,1.561,0.6737154847213682,3.4549999999999996,0.27500000000000036,0.588491092242093,4.276000000000001,-0.5460000000000007,0.399113924870286,4.5015,-0.7715000000000001,0.31699606917751955,31041077337.2648,0.13274728418997025,11568364841.7538,-0.41749204334582884,90.24550000965358,-0.35870154370701285,3.7,-0.28134035623014236,3.0,0.08092834624828142
1,HOUSTON,2011-06,4.32,New Construction,0.12706818181818183,4.192931818181818,0.4464340599004469,0.1615431818181819,4.1584568181818184,0.45079907494478977,0.18716409090909092,4.132835909090909,0.45627364931937203,0.21923909090909086,4.100760909090909,0.4502155988240172,0.24782409090909094,4.07217590909091,0.44151482813656273,0.39758,3.9224200000000002,0.4007848577908701,0.7268749999999999,3.5931250000000006,0.38130890458866457,0.0190909090909091,4.300909090909091,0.45827802705401033,0.1013636363636364,4.218636363636364,0.4567038554843785,0.18090909090909094,4.13909090909091,0.46837709206775346,1.5799999999999998,2.74,0.6737154847213682,3.002272727272727,1.3177272727272733,0.588491092242093,3.9145454545454546,0.40545454545454573,0.399113924870286,4.2327272727272724,0.08727272727272783,0.31699606917751955,31992172727.7437,0.13274728418997025,11311909309.5948,-0.41749204334582884,88.33905735772379,-0.35870154370701285,4.0,-0.28134035623014236,3.1,0.08092834624828142
2,HOUSTON,2011-09,4.25,New Construction,0.14525181818181823,4.104748181818182,0.4464340599004469,0.1884,4.0616,0.45079907494478977,0.23085045454545455,4.019149545454545,0.45627364931937203,0.2845913636363636,3.9654086363636365,0.4502155988240172,0.3502268181818181,3.899773181818182,0.44151482813656273,0.5222018181818182,3.727798181818182,0.4007848577908701,0.8332045454545454,3.4167954545454546,0.38130890458866457,0.005714285714285713,4.244285714285715,0.45827802705401033,0.04333333333333335,4.206666666666667,0.4567038554843785,0.10476190476190479,4.145238095238096,0.46837709206775346,0.9004761904761904,3.3495238095238093,0.6737154847213682,1.9752380952380955,2.2747619047619043,0.588491092242093,2.8271428571428574,1.4228571428571426,0.399113924870286,3.182380952380953,1.067619047619047,0.31699606917751955,34623712775.9563,0.13274728418997025,12472473242.0863,-0.41749204334582884,90.35087768078328,-0.35870154370701285,4.3,-0.28134035623014236,3.3,0.08092834624828142
3,HOUSTON,2012-06,2.85,New Construction,0.163,2.6870000000000003,0.4464340599004469,0.19464736842105262,2.6553526315789475,0.45079907494478977,0.24319736842105263,2.6068026315789474,0.45627364931937203,0.3459342105263157,2.5040657894736844,0.4502155988240172,0.46558684210526313,2.3844131578947367,0.44151482813656273,0.7364000000000004,2.1136,0.4007848577908701,1.0691894736842107,1.7808105263157894,0.38130890458866457,0.05190476190476193,2.798095238095238,0.45827802705401033,0.14809523809523809,2.701904761904762,0.4567038554843785,0.18904761904761905,2.660952380952381,0.46837709206775346,0.7114285714285714,2.138571428571429,0.6737154847213682,1.6223809523809525,1.2276190476190476,0.588491092242093,2.3061904761904763,0.5438095238095237,0.399113924870286,2.698095238095238,0.151904761904762,0.31699606917751955,36601383816.48,0.13274728418997025,11251067892.2966,-0.41749204334582884,89.6061116730853,-0.35870154370701285,4.1,-0.28134035623014236,2.5,0.08092834624828142
4,HOUSTON,2012-09,2.4,New Construction,0.15189500000000006,2.248105,0.4464340599004469,0.183625,2.2163749999999998,0.45079907494478977,0.22133750000000002,2.1786624999999997,0.45627364931937203,0.3079875,2.0920125,0.4502155988240172,0.3856325000000001,2.0143674999999996,0.44151482813656273,0.6716749999999999,1.728325,0.4007848577908701,0.9997750000000002,1.4002249999999998,0.38130890458866457,0.07526315789473685,2.324736842105263,0.45827802705401033,0.13736842105263158,2.262631578947368,0.4567038554843785,0.17578947368421055,2.2242105263157894,0.46837709206775346,0.6689473684210526,1.7310526315789474,0.6737154847213682,1.7231578947368422,0.6768421052631577,0.588491092242093,2.488421052631579,-0.08842105263157896,0.399113924870286,2.8815789473684212,-0.48157894736842133,0.31699606917751955,37685204803.0042,0.13274728418997025,14585937143.4485,-0.41749204334582884,90.2956809830492,-0.35870154370701285,4.6,-0.28134035623014236,2.6,0.08092834624828142
5,HOUSTON,2012-11,2.6,New Construction,0.1555,2.4445,0.4464340599004469,0.18060909090909089,2.419390909090909,0.45079907494478977,0.20888636363636362,2.3911136363636363,0.45627364931937203,0.25813636363636355,2.3418636363636365,0.4502155988240172,0.31102272727272723,2.288977272727273,0.44151482813656273,0.528347727272727,2.071652272727273,0.4007848577908701,0.8631931818181818,1.7368068181818184,0.38130890458866457,0.12449999999999999,2.4755000000000003,0.45827802705401033,0.14450000000000002,2.4555000000000002,0.4567038554843785,0.17850000000000002,2.4215,0.46837709206775346,0.665,1.935,0.6737154847213682,1.654,0.9460000000000002,0.588491092242093,2.3894999999999995,0.21050000000000058,0.399113924870286,2.8034999999999997,-0.20349999999999957,0.31699606917751955,38808856509.5085,0.13274728418997025,11986368496.8635,-0.41749204334582884,91.578064558499,-0.35870154370701285,4.3,-0.28134035623014236,2.4,0.08092834624828142
6,HOUSTON,2013-01,2.725,New Construction,0.16043181818181818,2.564568181818182,0.4464340599004469,0.17947272727272726,2.5455272727272726,0.45079907494478977,0.20497272727272725,2.520027272727273,0.45627364931937203,0.2497954545454545,2.4752045454545457,0.4502155988240172,0.30261363636363625,2.422386363636364,0.44151482813656273,0.48810454545454546,2.2368954545454547,0.4007848577908701,0.8142727272727271,1.9107272727272728,0.38130890458866457,0.05190476190476192,2.673095238095238,0.45827802705401033,0.10761904761904766,2.6173809523809526,0.4567038554843785,0.14523809523809525,2.579761904761905,0.46837709206775346,0.8052380952380951,1.919761904761905,0.6737154847213682,1.9147619047619049,0.8102380952380952,0.588491092242093,2.681428571428571,0.04357142857142904,0.399113924870286,3.0804761904761913,-0.35547619047619117,0.31699606917751955,39658399389.4891,0.13274728418997025,12022315813.7363,-0.41749204334582884,88.920473853359,-0.35870154370701285,4.6,-0.28134035623014236,2.3,0.08092834624828142
7,HOUSTON,2013-03,3.97,New Construction,0.15505000000000002,3.81495,0.4464340599004469,0.17309999999999998,3.7969000000000004,0.45079907494478977,0.20345,3.76655,0.45627364931937203,0.2419,3.7281000000000004,0.4502155988240172,0.28190000000000004,3.6881000000000004,0.44151482813656273,0.44782500000000003,3.5221750000000003,0.4007848577908701,0.7351250000000001,3.234875,0.38130890458866457,0.07800000000000003,3.8920000000000003,0.45827802705401033,0.11450000000000005,3.8555,0.4567038554843785,0.14750000000000002,3.8225000000000002,0.46837709206775346,0.8185000000000002,3.1515,0.6737154847213682,1.9575,2.0125,0.588491092242093,2.7840000000000003,1.186,0.399113924870286,3.1625000000000005,0.8074999999999997,0.31699606917751955,40395555554.9932,0.13274728418997025,11337096053.4966,-0.41749204334582884,88.29263433660921,-0.35870154370701285,4.1,-0.28134035623014236,2.1,0.08092834624828142
8,HOUSTON,2014-11,4.39,New Construction,0.09656999999999999,4.29343,0.4464340599004469,0.12222499999999999,4.267774999999999,0.45079907494478977,0.1548075,4.2351925,0.45627364931937203,0.20246,4.187539999999999,0.4502155988240172,0.23286250000000003,4.157137499999999,0.44151482813656273,0.32679500000000006,4.063205,0.4007848577908701,0.56206,3.82794,0.38130890458866457,0.04166666666666668,4.348333333333333,0.45827802705401033,0.06944444444444448,4.320555555555555,0.4567038554843785,0.13444444444444448,4.2555555555555555,0.46837709206775346,1.6205555555555557,2.769444444444444,0.6737154847213682,2.325555555555556,2.064444444444444,0.588491092242093,2.7644444444444445,1.6255555555555552,0.399113924870286,3.038333333333333,1.3516666666666666,0.31699606917751955,45241950015.4561,0.13274728418997025,11117378455.0815,-0.41749204334582884,80.33849809561521,-0.35870154370701285,3.3,-0.28134035623014236,1.8,0.08092834624828142
9,HOUSTON,2015-04,3.42,New Construction,0.12200000000000003,3.298,0.4464340599004469,0.14605250000000003,3.2739475,0.45079907494478977,0.18076750000000003,3.2392325,0.45627364931937203,0.22830999999999996,3.19169,0.4502155988240172,0.27596,3.14404,0.44151482813656273,0.404505,3.015495,0.4007848577908701,0.6969449999999999,2.723055,0.38130890458866457,0.018181818181818188,3.401818181818182,0.45827802705401033,0.09363636363636368,3.326363636363636,0.4567038554843785,0.23363636363636367,3.186363636363636,0.46837709206775346,1.3545454545454545,2.0654545454545454,0.6737154847213682,1.9349999999999996,1.4850000000000003,0.588491092242093,2.334090909090909,1.085909090909091,0.399113924870286,2.5859090909090905,0.8340909090909094,0.31699606917751955,47692027772.9219,0.13274728418997025,11733364706.6996,-0.41749204334582884,82.75451956383341,-0.35870154370701285,2.6,-0.28134035623014236,1.5,0.08092834624828142
