,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(3),Corr with student_vol(3),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-2),Corr with mortgage 90(-2)
0,OR,PORTLAND,2012-03,4.25,New Construction,0.14720000000000003,4.1028,0.5265300366753863,0.1893409090909091,4.060659090909091,0.5316757274656708,0.24185227272727275,4.0081477272727275,0.5359174653709383,0.35079999999999995,3.8992,0.5386465695938846,0.4732886363636363,3.776711363636364,0.5328510882406011,0.741275,3.508725,0.5066849623733736,1.0534477272727274,3.1965522727272724,0.5033775534547434,0.06363636363636366,4.1863636363636365,0.5300055536445367,0.14227272727272727,4.1077272727272724,0.5366412271767774,0.19000000000000003,4.06,0.559857383330156,1.0172727272727273,3.2327272727272724,0.7449489086072711,2.1727272727272724,2.0772727272727276,0.8274357953005332,2.9404545454545454,1.3095454545454546,0.6625353401469445,3.281363636363636,0.9686363636363642,0.5340966360353179,34825519831.2788,0.42033144569102243,14585937143.4485,0.7400093822649267,89.00857713430821,-0.4334859680648262,2.0,-0.44461162272966287,3.2,-0.47393307635888077
1,OR,PORTLAND,2012-07,2.99,New Construction,0.16720454545454547,2.8227954545454548,0.5265300366753863,0.19873636363636368,2.7912636363636367,0.5316757274656708,0.24646136363636365,2.7435386363636365,0.5359174653709383,0.34024999999999994,2.64975,0.5386465695938846,0.4535545454545455,2.5364454545454547,0.5328510882406011,0.7302181818181818,2.2597818181818186,0.5066849623733736,1.0653181818181816,1.9246818181818186,0.5033775534547434,0.06952380952380956,2.9204761904761907,0.5300055536445367,0.14571428571428574,2.8442857142857143,0.5366412271767774,0.18571428571428572,2.8042857142857143,0.559857383330156,0.6195238095238095,2.370476190476191,0.7449489086072711,1.5266666666666664,1.4633333333333338,0.8274357953005332,2.217142857142857,0.7728571428571431,0.6625353401469445,2.5900000000000003,0.3999999999999999,0.5340966360353179,35767585536.868996,0.42033144569102243,12022315813.7363,0.7400093822649267,89.6061116730853,-0.4334859680648262,2.0,-0.44461162272966287,3.2,-0.47393307635888077
2,OR,PORTLAND,2012-12,2.64,New Construction,0.1631578947368421,2.476842105263158,0.5265300366753863,0.1875157894736842,2.452484210526316,0.5316757274656708,0.21092631578947374,2.4290736842105263,0.5359174653709383,0.2552894736842105,2.3847105263157897,0.5386465695938846,0.30947368421052623,2.330526315789474,0.5328510882406011,0.5145657894736843,2.1254342105263158,0.5066849623733736,0.8483157894736841,1.791684210526316,0.5033775534547434,0.039500000000000014,2.6005000000000003,0.5300055536445367,0.11950000000000005,2.5205,0.5366412271767774,0.1585,2.4815,0.559857383330156,0.6960000000000001,1.944,0.7449489086072711,1.7189999999999999,0.9210000000000003,0.8274357953005332,2.4675000000000002,0.17249999999999988,0.6625353401469445,2.8835,-0.24350000000000005,0.5340966360353179,37160101000.5239,0.42033144569102243,9855625468.0504,0.7400093822649267,91.578064558499,-0.4334859680648262,2.1,-0.44461162272966287,3.0,-0.47393307635888077
3,OR,PORTLAND,2013-02,2.9,New Construction,0.15464999999999998,2.7453499999999997,0.5265300366753863,0.17315,2.7268499999999998,0.5316757274656708,0.20129999999999998,2.6987,0.5359174653709383,0.2455,2.6545,0.5386465695938846,0.29049499999999995,2.609505,0.5328510882406011,0.463425,2.436575,0.5066849623733736,0.761875,2.138125,0.5033775534547434,0.0768421052631579,2.823157894736842,0.5300055536445367,0.12421052631578947,2.7757894736842106,0.5366412271767774,0.15736842105263157,2.7426315789473685,0.559857383330156,0.8463157894736841,2.053684210526316,0.7449489086072711,1.9842105263157896,0.9157894736842103,0.8274357953005332,2.782631578947368,0.11736842105263179,0.6625353401469445,3.165263157894737,-0.26526315789473687,0.5340966360353179,37685204803.0042,0.42033144569102243,9498561196.652071,0.7400093822649267,88.920473853359,-0.4334859680648262,1.8,-0.44461162272966287,2.8,-0.47393307635888077
4,OR,PORTLAND,2015-06,3.73,New Construction,0.12293636363636364,3.607063636363636,0.5265300366753863,0.14681590909090908,3.583184090909091,0.5316757274656708,0.1858840909090909,3.544115909090909,0.5359174653709383,0.23472954545454539,3.4952704545454547,0.5386465695938846,0.2827113636363637,3.4472886363636364,0.5328510882406011,0.43974545454545466,3.2902545454545455,0.5066849623733736,0.7702659090909093,2.9597340909090906,0.5033775534547434,0.007727272727272728,3.722272727272727,0.5300055536445367,0.08681818181818185,3.643181818181818,0.5366412271767774,0.2754545454545455,3.4545454545454546,0.559857383330156,1.6836363636363636,2.0463636363636364,0.7449489086072711,2.3636363636363638,1.3663636363636362,0.8274357953005332,2.8454545454545452,0.8845454545454547,0.6625353401469445,3.1118181818181814,0.6181818181818186,0.5340966360353179,45758876905.2845,0.42033144569102243,11492007418.0579,0.7400093822649267,81.7923503982947,-0.4334859680648262,1.0,-0.44461162272966287,1.4,-0.47393307635888077
5,OR,PORTLAND,2015-10,3.77,New Construction,0.13160454545454547,3.6383954545454547,0.5265300366753863,0.15531363636363638,3.6146863636363635,0.5316757274656708,0.19451136363636365,3.5754886363636365,0.5359174653709383,0.2514522727272726,3.5185477272727272,0.5386465695938846,0.32135909090909087,3.4486409090909094,0.5328510882406011,0.5284272727272726,3.2415727272727275,0.5066849623733736,0.8378659090909092,2.932134090909091,0.5033775534547434,0.014285714285714287,3.755714285714286,0.5300055536445367,0.11380952380952382,3.656190476190476,0.5366412271767774,0.26333333333333336,3.506666666666667,0.559857383330156,1.3857142857142857,2.3842857142857143,0.7449489086072711,2.0699999999999994,1.7000000000000006,0.8274357953005332,2.5028571428571427,1.2671428571428573,0.6625353401469445,2.8880952380952376,0.8819047619047624,0.5340966360353179,48997735451.5931,0.42033144569102243,11404853913.5663,0.7400093822649267,81.9752078939728,-0.4334859680648262,1.1,-0.44461162272966287,1.2,-0.47393307635888077
6,OR,PORTLAND,2016-08,2.95,New Construction,0.41817045454545454,2.5318295454545456,0.5265300366753863,0.4429568181818182,2.507043181818182,0.5316757274656708,0.5122418181818182,2.437758181818182,0.5359174653709383,0.6351372727272727,2.3148627272727276,0.5386465695938846,0.810223181818182,2.139776818181818,0.5328510882406011,1.1977463636363632,1.752253636363637,0.5066849623733736,1.5097959090909088,1.4402040909090914,0.5033775534547434,0.2608695652173914,2.6891304347826086,0.5300055536445367,0.4460869565217393,2.503913043478261,0.5366412271767774,0.5682608695652173,2.381739130434783,0.559857383330156,1.1330434782608694,1.8169565217391308,0.7449489086072711,1.5565217391304347,1.3934782608695655,0.8274357953005332,1.8895652173913038,1.0604347826086964,0.6625353401469445,2.261739130434783,0.6882608695652173,0.5340966360353179,48887248013.451,0.42033144569102243,12137144620.0221,0.7400093822649267,88.3913281030881,-0.4334859680648262,0.9,-0.44461162272966287,0.9,-0.47393307635888077
7,OR,PORTLAND,2017-05,4.05,New Construction,0.9286509523809523,3.1213490476190477,0.5265300366753863,0.9479980952380954,3.1020019047619045,0.5316757274656708,1.0114261904761905,3.0385738095238093,0.5359174653709383,1.0843647619047618,2.965635238095238,0.5386465695938846,1.185849523809524,2.864150476190476,0.5328510882406011,1.424545714285714,2.6254542857142855,0.5066849623733736,1.7495038095238098,2.3004961904761903,0.5033775534547434,0.7281818181818184,3.3218181818181813,0.5300055536445367,1.035,3.0149999999999997,0.5366412271767774,1.1227272727272726,2.9272727272727272,0.559857383330156,1.836818181818182,2.213181818181818,0.7449489086072711,2.3036363636363633,1.7463636363636366,0.8274357953005332,2.695909090909091,1.354090909090909,0.6625353401469445,2.9590909090909094,1.0909090909090904,0.5340966360353179,49588706606.1033,0.42033144569102243,12103218541.1776,0.7400093822649267,88.94830277813108,-0.4334859680648262,0.8,-0.44461162272966287,0.5,-0.47393307635888077
8,OR,PORTLAND,2018-04,4.3,New Construction,1.7027510000000003,2.5972489999999997,0.5265300366753863,1.7432829999999995,2.5567170000000004,0.5316757274656708,1.896724,2.403276,0.5359174653709383,2.0408605,2.2591395,0.5386465695938846,2.349426,1.950574,0.5328510882406011,2.493657999999999,1.8063420000000008,0.5066849623733736,2.7355454999999997,1.5644545,0.5033775534547434,1.6604761904761904,2.6395238095238094,0.5300055536445367,1.9780952380952381,2.3219047619047615,0.5366412271767774,2.153809523809524,2.1461904761904758,0.559857383330156,2.701904761904762,1.598095238095238,0.7449489086072711,2.869047619047619,1.4309523809523808,0.8274357953005332,2.9595238095238092,1.3404761904761906,0.6625353401469445,3.0719047619047624,1.2280952380952375,0.5340966360353179,50617906919.2487,0.42033144569102243,13062636860.3963,0.7400093822649267,86.55198240492871,-0.4334859680648262,1.0,-0.44461162272966287,0.4,-0.47393307635888077
