,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(4),Corr with mortgage 90(4)
0,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
1,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
2,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.1,0.06401009648984626
3,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
4,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
5,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.1,0.06401009648984626
6,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
7,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
8,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.1,0.06401009648984626
9,CINCINNATI,2010-10,4.54,New Construction,0.22598619047619048,4.31401380952381,0.44253864106404467,0.25051619047619045,4.2894838095238095,0.44518680097645874,0.25605714285714287,4.283942857142857,0.4321341107173763,0.2720304761904762,4.267969523809524,0.41402109329507747,0.28884,4.2511600000000005,0.38799423627920027,0.45499142857142844,4.085008571428571,0.321403358805547,0.7680966666666665,3.7719033333333334,0.26534422537180097,0.14050000000000004,4.3995,0.4337865738802457,0.17650000000000005,4.3635,0.3750808993338316,0.22800000000000006,4.312,0.33403581799793075,1.1824999999999999,3.3575,0.23962361226655687,2.54,2.0,0.29557187627099696,3.524,1.016,0.21134821599275092,3.8724999999999996,0.6675000000000004,0.1546945570286444,30207558860.6451,-0.20094466352657528,11556490165.0911,-0.6378001191412911,95.78917846656341,0.41497200344786034,3.8,0.24779013029935942,3.0,0.06401009648984626
