,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(3),Corr with student_vol(3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2010-05,MO,ST. LOUIS,2010-05,4.4,"(-90.272544, 38.674393)",63113,6409.0,New Construction,0.2957715789473684,-0.3475376002343441,0.3152057894736842,-0.35553994440854786,0.3354642105263158,-0.35837213103659743,0.39242105263157895,-0.3693532457922577,0.45851421052631586,-0.37918827742486,0.6592468421052632,-0.4118623585080711,1.129987894736842,-0.41195760262760717,0.147,-0.33185250631311036,0.22350000000000003,-0.3332393664284969,0.37099999999999994,-0.3381064018943794,2.1799999999999997,0.1391157939778329,3.4199999999999995,0.6088400954552992,4.1145,0.7521909572869353,4.286,0.7610045549845901,25615073952.9669,-0.5575193228927497,11556490165.0911,-0.37929534687102934,97.9962893430168,0.2733803795624416,3.3,0.5329717097246363,3.3,0.5299727498301091,-90.272544,38.674393
1,2010-12,MO,ST. LOUIS,2010-12,5.4,"(-90.231605, 38.632412)",63103,84007.19,New Construction,0.24122190476190472,-0.3475376002343441,0.25412380952380953,-0.35553994440854786,0.26178857142857137,-0.35837213103659743,0.28196571428571415,-0.3693532457922577,0.30272333333333334,-0.37918827742486,0.4583942857142857,-0.4118623585080711,0.7839004761904763,-0.41195760262760717,0.0854166666666667,-0.33185250631311036,0.19333333333333338,-0.3332393664284969,0.2937499999999999,-0.3381064018943794,1.9429166666666664,0.1391157939778329,3.2949999999999995,0.6088400954552992,4.173333333333333,0.7521909572869353,4.415,0.7610045549845901,29160609360.1217,-0.5575193228927497,11311909309.5948,-0.37929534687102934,95.6415096715633,0.2733803795624416,4.0,0.5329717097246363,3.2,0.5299727498301091,-90.231605,38.632412
2,2012-03,MO,ST. LOUIS,2012-03,3.4,"(-90.2295, 38.6722)",63104,15768.66,New Construction,0.14720000000000003,-0.3475376002343441,0.1893409090909091,-0.35553994440854786,0.24185227272727275,-0.35837213103659743,0.35079999999999995,-0.3693532457922577,0.4732886363636363,-0.37918827742486,0.741275,-0.4118623585080711,1.0534477272727274,-0.41195760262760717,0.06363636363636366,-0.33185250631311036,0.14227272727272727,-0.3332393664284969,0.19000000000000003,-0.3381064018943794,1.0172727272727273,0.1391157939778329,2.1727272727272724,0.6088400954552992,2.9404545454545454,0.7521909572869353,3.281363636363636,0.7610045549845901,34825519831.2788,-0.5575193228927497,14585937143.4485,-0.37929534687102934,90.35087768078328,0.2733803795624416,3.6,0.5329717097246363,3.0,0.5299727498301091,-90.2295,38.6722
3,2013-04,MO,ST. LOUIS,2013-04,3.9,"(-90.25275699999999, 38.674265000000005)",63115,22437.81,New Construction,0.1539047619047619,-0.3475376002343441,0.17210476190476193,-0.35553994440854786,0.19953333333333334,-0.35837213103659743,0.24005714285714277,-0.3693532457922577,0.27714285714285714,-0.37918827742486,0.4360190476190476,-0.4118623585080711,0.7168333333333334,-0.41195760262760717,0.049090909090909116,-0.33185250631311036,0.09409090909090913,-0.3332393664284969,0.12454545454545456,-0.3381064018943794,0.7104545454545454,0.1391157939778329,1.7590909090909093,0.6088400954552992,2.5500000000000003,0.7521909572869353,2.9327272727272726,0.7610045549845901,38808856509.5085,-0.5575193228927497,8901986132.75728,-0.37929534687102934,89.2801736441717,0.2733803795624416,3.3,0.5329717097246363,2.4,0.5299727498301091,-90.25275699999999,38.674265000000005
4,2014-04,MO,ST. LOUIS,2014-04,4.7,"(-90.20513100000001, 38.650925)",63106,4046.87,New Construction,0.08864000000000001,-0.3475376002343441,0.120115,-0.35553994440854786,0.1517,-0.35837213103659743,0.1918625,-0.3693532457922577,0.227495,-0.37918827742486,0.32422500000000004,-0.4118623585080711,0.550005,-0.41195760262760717,0.023333333333333345,-0.33185250631311036,0.05333333333333336,-0.3332393664284969,0.10761904761904763,-0.3381064018943794,1.7009523809523805,0.1391157939778329,2.705238095238095,0.6088400954552992,3.265238095238095,0.7521909572869353,3.5176190476190476,0.7610045549845901,41561863313.5151,-0.5575193228927497,10638305940.4607,-0.37929534687102934,85.3165844012547,0.2733803795624416,2.6,0.5329717097246363,2.0,0.5299727498301091,-90.20513100000001,38.650925
5,2014-10,MO,ST. LOUIS,2014-10,4.34,"(-90.20183399999999, 38.614553)",63104,27372.01,New Construction,0.09059565217391304,-0.3475376002343441,0.11953260869565213,-0.35553994440854786,0.15351739130434783,-0.35837213103659743,0.1974043478260869,-0.3693532457922577,0.2313760869565217,-0.37918827742486,0.3236195652173913,-0.4118623585080711,0.5523869565217392,-0.41195760262760717,0.020909090909090912,-0.33185250631311036,0.05045454545454548,-0.3332393664284969,0.10454545454545458,-0.3381064018943794,1.5459090909090911,0.1391157939778329,2.304090909090909,0.6088400954552992,2.7731818181818184,0.7521909572869353,3.039999999999999,0.7610045549845901,43938467193.2505,-0.5575193228927497,11733364706.6996,-0.37929534687102934,81.9669757663089,0.2733803795624416,2.6,0.5329717097246363,1.9,0.5299727498301091,-90.20183399999999,38.614553
6,2014-11,MO,ST. LOUIS,2014-11,4.05,"(122.50188, 10.692825)",63125,12181.08,New Construction,0.09656999999999999,-0.3475376002343441,0.12222499999999999,-0.35553994440854786,0.1548075,-0.35837213103659743,0.20246,-0.3693532457922577,0.23286250000000003,-0.37918827742486,0.32679500000000006,-0.4118623585080711,0.56206,-0.41195760262760717,0.04166666666666668,-0.33185250631311036,0.06944444444444448,-0.3332393664284969,0.13444444444444448,-0.3381064018943794,1.6205555555555557,0.1391157939778329,2.325555555555556,0.6088400954552992,2.7644444444444445,0.7521909572869353,3.038333333333333,0.7610045549845901,44931729222.7983,-0.5575193228927497,11837215038.8922,-0.37929534687102934,81.64661519553,0.2733803795624416,2.8,0.5329717097246363,2.0,0.5299727498301091,122.50188,10.692825
7,2015-05,MO,ST. LOUIS,2015-05,3.8,"(-90.352114, 38.629416)",63144,175621.01,New Construction,0.12315789473684212,-0.3475376002343441,0.14795,-0.35553994440854786,0.1842289473684211,-0.35837213103659743,0.2296,-0.3693532457922577,0.2795368421052632,-0.37918827742486,0.41659473684210524,-0.4118623585080711,0.7346236842105265,-0.41195760262760717,0.013000000000000001,-0.33185250631311036,0.07950000000000002,-0.3332393664284969,0.24100000000000002,-0.3381064018943794,1.5385000000000002,0.1391157939778329,2.1975000000000002,0.6088400954552992,2.692,0.7521909572869353,2.9550000000000005,0.7610045549845901,45667781053.6763,-0.5575193228927497,10986955735.8103,-0.37929534687102934,80.33849809561521,0.2733803795624416,2.1,0.5329717097246363,1.5,0.5299727498301091,-90.352114,38.629416
8,2016-12,MO,ST. LOUIS,2016-12,3.44,"(-90.290901, 38.655446000000005)",63112,33141.58,New Construction,0.5606285,-0.3475376002343441,0.6315605,-0.35553994440854786,0.7119585,-0.35837213103659743,0.7883325000000001,-0.3693532457922577,0.9753284999999998,-0.37918827742486,1.3063339999999999,-0.4118623585080711,1.6692235,-0.41195760262760717,0.42333333333333334,-0.33185250631311036,0.638095238095238,-0.3332393664284969,0.8661904761904763,-0.3381064018943794,1.9590476190476194,0.1391157939778329,2.491904761904762,0.6088400954552992,2.835238095238095,0.7521909572869353,3.1133333333333324,0.7610045549845901,50596067254.1766,-0.5575193228927497,12509011080.2031,-0.37929534687102934,88.1942388876454,0.2733803795624416,2.1,0.5329717097246363,1.2,0.5299727498301091,-90.290901,38.655446000000005
9,2017-08,MO,ST. LOUIS,2017-08,3.33,"(-90.198451, 38.629469)",63103,238171.31,New Construction,1.1775518181818179,-0.3475376002343441,1.197803181818182,-0.35553994440854786,1.2317690909090908,-0.35837213103659743,1.264191818181818,-0.3693532457922577,1.314176818181818,-0.37918827742486,1.453699090909091,-0.4118623585080711,1.7253381818181814,-0.41195760262760717,0.9795652173913042,-0.33185250631311036,1.1291304347826083,-0.3332393664284969,1.2291304347826086,-0.3381064018943794,1.7765217391304353,0.1391157939778329,2.209130434782609,0.6088400954552992,2.552173913043478,0.7521909572869353,2.795217391304348,0.7610045549845901,47316214443.3566,-0.5575193228927497,11707722927.962,-0.37929534687102934,89.1200725980081,0.2733803795624416,2.1,0.5329717097246363,1.0,0.5299727498301091,-90.198451,38.629469
