1 Mo,1 Yr,10 Yr,12M,1M,1W,20 Yr,2M,30 Yr,3M,5 Yr,6 Mo,6M,Category,Corr with 1 Mo treasury,Corr with 1 Yr treasury,Corr with 10 Yr treasury,Corr with 20 Yr treasury,Corr with 30 Yr treasury,Corr with 5 Yr treasury,Corr with 6 Mo treasury,Corr with auto_vol(-1),Corr with auto_vol(-4),Corr with auto_vol(4),Corr with credit_tightness(-2),Corr with credit_tightness(-4),Corr with credit_tightness(2),Corr with credit_tightness(4),Corr with libor 12M,Corr with libor 1M,Corr with libor 1W,Corr with libor 2M,Corr with libor 3M,Corr with libor 6M,Corr with libor ON,Corr with student_vol(-2),Corr with student_vol(-4),Corr with student_vol(3),INTEREST RATE,Month,ON,PROPERTY CITY,auto_vol(-1),auto_vol(-4),auto_vol(4),credit_tightness(-2),credit_tightness(-4),credit_tightness(2),credit_tightness(4),spread between 1 Mo treasury,spread between 1 Yr treasury,spread between 10 Yr treasury,spread between 20 Yr treasury,spread between 30 Yr treasury,spread between 5 Yr treasury,spread between 6 Mo treasury,spread between libor 12M,spread between libor 1M,spread between libor 1W,spread between libor 2M,spread between libor 3M,spread between libor 6M,spread between libor ON,student_vol(-2),student_vol(-4),student_vol(3)
0.29999999999999993,0.736,2.142,1.6029650000000002,0.5631090909090911,0.45880500000000013,2.5369999999999995,0.7006386363636362,2.8620000000000005,0.9084640909090909,1.596,0.5834999999999999,1.2693081818181815,New Construction,,,,,,,,,,,,,,,,,,,,,,,,,3.88,2016-11,0.4339245454545454,BOSTON,,49971382532.5922,,,89.2057504560787,,,3.58,3.144,1.738,1.3430000000000004,1.0179999999999993,2.284,3.2965,2.2770349999999997,3.3168909090909087,3.421195,3.179361363636364,2.971535909090909,2.6106918181818184,3.4460754545454546,,12137144620.0221,
0.42333333333333334,0.8661904761904763,2.491904761904762,1.6692235,0.7119585,0.6315605,2.835238095238095,0.7883325000000001,3.1133333333333324,0.9753284999999998,1.9590476190476194,0.638095238095238,1.3063339999999999,New Construction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,3.6,2016-12,0.5606285,PHILADELPHIA,,51124149514.2735,,,88.1697673489486,,,3.1766666666666667,2.7338095238095237,1.1080952380952382,0.764761904761905,0.4866666666666677,1.6409523809523807,2.961904761904762,1.9307765000000001,2.8880415,2.9684395,2.8116675,2.6246715000000003,2.293666,3.0393715,,12605986919.9069,
1.706818181818182,2.2736363636363635,2.977727272727273,2.754757142857143,1.94629,1.7524533333333332,3.0518181818181818,2.0937409523809523,3.1318181818181827,2.3356085714285713,2.816818181818181,2.0731818181818187,2.499740476190476,New Construction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,4.2,2018-05,1.7065971428571427,PHILADELPHIA,,50407042046.8076,,,86.55198240492871,,,2.493181818181818,1.9263636363636367,1.2222727272727272,1.1481818181818184,1.0681818181818175,1.3831818181818192,2.1268181818181815,1.445242857142857,2.25371,2.4475466666666668,2.106259047619048,1.864391428571429,1.7002595238095242,2.4934028571428577,,12109088557.0787,
0.039500000000000014,0.1585,1.7189999999999999,0.8483157894736841,0.21092631578947374,0.1875157894736842,2.4675000000000002,0.2552894736842105,2.8835,0.30947368421052623,0.6960000000000001,0.11950000000000005,0.5145657894736843,New Construction,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,,-1.0,,,1.0,,,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,,1.0,,2.78,2012-12,0.1631578947368421,NEW YORK,,38808856509.5085,,,89.2801736441717,,,2.7405,2.6214999999999997,1.061,0.31249999999999956,-0.10350000000000037,2.0839999999999996,2.6605,1.9316842105263157,2.569073684210526,2.5924842105263157,2.5247105263157894,2.4705263157894737,2.2654342105263154,2.616842105263158,,11337096053.4966,
0.023333333333333345,0.10761904761904763,2.705238095238095,0.550005,0.1517,0.120115,3.265238095238095,0.1918625,3.5176190476190476,0.227495,1.7009523809523805,0.05333333333333336,0.32422500000000004,New Construction,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,,-1.0,,,1.0,,,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,,1.0,,4.98,2014-04,0.08864000000000001,NEW YORK,,44109559396.2995,,,82.56600445924391,,,4.956666666666667,4.8723809523809525,2.274761904761905,1.7147619047619056,1.4623809523809528,3.2790476190476197,4.926666666666667,4.429995000000001,4.8283000000000005,4.859885,4.7881375,4.752505,4.655775,4.891360000000001,,11032404366.8063,
0.03181818181818183,0.37136363636363634,3.589999999999999,0.9993009523809523,0.23288904761904766,0.2141833333333333,4.399545454545455,0.24197238095238102,4.494090909090908,0.2530461904761905,2.3404545454545453,0.16772727272727275,0.4528776190476191,New Construction,0.027780136395687917,0.037004930254911514,0.7003644896961039,0.6722739229357655,0.6413961709750035,0.47583886227067707,0.017092243235142045,,,-0.5269550387317984,,,0.5153458604813097,,0.030039609272837466,0.019992303218211757,0.03547431651355158,0.007783980323275064,-0.012400218793352348,-0.02575273746172186,0.031556592468257816,,-0.45635553977491095,,5.55,2009-12,0.17885714285714288,WASHINGTON,,,29160609360.1217,,,95.78917846656341,,5.518181818181818,5.178636363636364,1.9600000000000009,1.1504545454545445,1.0559090909090916,3.2095454545454545,5.382272727272727,4.550699047619047,5.317110952380952,5.335816666666666,5.3080276190476186,5.296953809523809,5.0971223809523805,5.371142857142857,,14018940117.4091,
0.07954545454545457,0.3181818181818181,3.2040909090909095,1.187955909090909,0.3487363636363637,0.3291213636363637,3.9499999999999997,0.4336950000000001,4.127727272727272,0.5368986363636363,1.9963636363636363,0.19090909090909092,0.7518195454545455,New Construction,0.027780136395687917,0.037004930254911514,0.7003644896961039,0.6722739229357655,0.6413961709750035,0.47583886227067707,0.017092243235142045,,,-0.5269550387317984,,,0.5153458604813097,,0.030039609272837466,0.019992303218211757,0.03547431651355158,0.007783980323275064,-0.012400218793352348,-0.02575273746172186,0.031556592468257816,,-0.45635553977491095,,6.1,2010-06,0.29840136363636366,WASHINGTON,,,32217867353.4185,,,94.7176548951663,,6.0204545454545455,5.781818181818181,2.89590909090909,2.15,1.9722727272727276,4.1036363636363635,5.909090909090908,4.912044090909091,5.751263636363636,5.770878636363636,5.6663049999999995,5.563101363636363,5.348180454545454,5.801598636363636,,11833891080.8667,
0.0190909090909091,0.18090909090909094,3.002272727272727,0.7268749999999999,0.18716409090909092,0.1615431818181819,3.9145454545454546,0.21923909090909086,4.2327272727272724,0.24782409090909094,1.5799999999999998,0.1013636363636364,0.39758,New Construction,0.027780136395687917,0.037004930254911514,0.7003644896961039,0.6722739229357655,0.6413961709750035,0.47583886227067707,0.017092243235142045,,,-0.5269550387317984,,,0.5153458604813097,,0.030039609272837466,0.019992303218211757,0.03547431651355158,0.007783980323275064,-0.012400218793352348,-0.02575273746172186,0.031556592468257816,,-0.45635553977491095,,4.4996,2011-06,0.12706818181818183,WASHINGTON,,,35532707747.113,,,90.48744874686929,,4.4805090909090906,4.318690909090909,1.497327272727273,0.5850545454545455,0.2668727272727276,2.9196,4.3982363636363635,3.7727250000000003,4.312435909090909,4.338056818181818,4.280360909090909,4.2517759090909095,4.10202,4.372531818181818,,12472473242.0863,
0.013500000000000003,0.1145,2.1519999999999997,0.9086428571428572,0.24373904761904758,0.19074095238095234,2.8695,0.3185252380952381,3.128,0.4064785714285714,1.0614999999999999,0.05450000000000003,0.59521,New Construction,0.027780136395687917,0.037004930254911514,0.7003644896961039,0.6722739229357655,0.6413961709750035,0.47583886227067707,0.017092243235142045,,,-0.5269550387317984,,,0.5153458604813097,,0.030039609272837466,0.019992303218211757,0.03547431651355158,0.007783980323275064,-0.012400218793352348,-0.02575273746172186,0.031556592468257816,,-0.45635553977491095,,3.9,2011-10,0.1416352380952381,WASHINGTON,,,36186315501.0541,,,89.00857713430821,,3.8865,3.7855,1.7480000000000002,1.0305,0.7719999999999998,2.8385,3.8455,2.991357142857143,3.6562609523809524,3.7092590476190477,3.581474761904762,3.4935214285714284,3.3047899999999997,3.7583647619047618,,10258833668.6773,
0.05190476190476193,0.18904761904761905,1.6223809523809525,1.0691894736842107,0.24319736842105263,0.19464736842105262,2.3061904761904763,0.3459342105263157,2.698095238095238,0.46558684210526313,0.7114285714285714,0.14809523809523809,0.7364000000000004,New Construction,0.027780136395687917,0.037004930254911514,0.7003644896961039,0.6722739229357655,0.6413961709750035,0.47583886227067707,0.017092243235142045,,,-0.5269550387317984,,,0.5153458604813097,,0.030039609272837466,0.019992303218211757,0.03547431651355158,0.007783980323275064,-0.012400218793352348,-0.02575273746172186,0.031556592468257816,,-0.45635553977491095,,3.55,2012-06,0.163,WASHINGTON,,,39658399389.4891,,,89.2801736441717,,3.498095238095238,3.360952380952381,1.9276190476190473,1.2438095238095235,0.8519047619047617,2.8385714285714285,3.4019047619047615,2.480810526315789,3.306802631578947,3.3553526315789473,3.204065789473684,3.084413157894737,2.813599999999999,3.387,,14585937143.4485,
