PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto loan volume,auto_vol(-1),Corr with lag 1 auto loan volume,auto_vol(-2),Corr with lag 2 auto loan volume,auto_vol(-3),Corr with lag 3 auto loan volume,auto_vol(-4),Corr with lag 4 auto loan volume,auto_vol(1),Corr with lead 1 auto loan volume,auto_vol(2),Corr with lead 2 auto loan volume,auto_vol(3),Corr with lead 3 auto loan volume,auto_vol(4),Corr with lead 4 auto loan volume,student_vol,Corr with student loan volume,student_vol(-1),Corr with lag 1 student loan volume,student_vol(-2),Corr with lag 2 student loan volume,student_vol(-3),Corr with lag 3 student loan volume,student_vol(-4),Corr with lag 4 student loan volume,student_vol(1),Corr with lead 1 student loan volume,student_vol(2),Corr with lead 2 student loan volume,student_vol(3),Corr with lead 3 student loan volume,student_vol(4),Corr with lead 4 student loan volume,credit_tightness,Corr with credit tightness,credit_tightness(-1),Corr with lag 1 credit tightness,credit_tightness(-2),Corr with lag 2 credit tightness,credit_tightness(-3),Corr with lag 3 credit tightness,credit_tightness(-4),Corr with lag 4 credit tightness,credit_tightness(1),Corr with lead 1 credit tightness,credit_tightness(2),Corr with lead 2 credit tightness,credit_tightness(3),Corr with lead 3 credit tightness,credit_tightness(4),Corr with lead 4 credit tightness
BOSTON,2016-11,3.88,New Construction,0.4339245454545454,3.4460754545454546,,0.45880500000000013,3.421195,,0.5631090909090911,3.3168909090909087,,0.7006386363636362,3.179361363636364,,0.9084640909090909,2.971535909090909,,1.2693081818181815,2.6106918181818184,,1.6029650000000002,2.2770349999999997,,0.29999999999999993,3.58,,0.5834999999999999,3.2965,,0.736,3.144,,1.596,2.284,,2.142,1.738,,2.5369999999999995,1.3430000000000004,,2.8620000000000005,1.0179999999999993,,49971382532.5922,,50034086230.3872,,50249654907.7038,,50596067254.1766,,49692544708.3448,,51124149514.2735,,49588706606.1033,,48913265551.9221,,48441183549.9275,,12137144620.0221,,11692339154.1207,,11482367114.4991,,11412820253.2316,,11531266279.4831,,12605986919.9069,,12351593318.9066,,12722317795.1324,,12509011080.2031,,89.2057504560787,,88.43997566936979,,88.3913281030881,,88.1942388876454,,87.39008859346599,,88.1697673489486,,87.62096056152771,,84.4501908643932,,88.7707153640316,
PHILADELPHIA,2016-12,3.6,New Construction,0.5606285,3.0393715,1.0,0.6315605,2.9684395,1.0,0.7119585,2.8880415,1.0,0.7883325000000001,2.8116675,1.0,0.9753284999999998,2.6246715000000003,1.0,1.3063339999999999,2.293666,1.0,1.6692235,1.9307765000000001,1.0,0.42333333333333334,3.1766666666666667,1.0,0.638095238095238,2.961904761904762,1.0,0.8661904761904763,2.7338095238095237,1.0,1.9590476190476194,1.6409523809523807,1.0,2.491904761904762,1.1080952380952382,1.0,2.835238095238095,0.764761904761905,1.0,3.1133333333333324,0.4866666666666677,1.0,51124149514.2735,-1.0,49971382532.5922,1.0,50034086230.3872,1.0,50249654907.7038,-1.0,50596067254.1766,-1.0,49588706606.1033,1.0,48913265551.9221,0.9999999999999999,48441183549.9275,1.0,47316214443.3566,1.0,12605986919.9069,-0.9999999999999999,12137144620.0221,1.0,11692339154.1207,0.9999999999999999,11482367114.4991,-1.0,11412820253.2316,-1.0,12351593318.9066,1.0,12722317795.1324,1.0,12509011080.2031,1.0,12388258203.7622,-1.0,88.1697673489486,-1.0,89.2057504560787,-1.0,88.43997566936979,0.9999999999999999,88.3913281030881,-1.0,88.1942388876454,-0.9999999999999999,87.62096056152771,-1.0,84.4501908643932,1.0,88.7707153640316,-1.0,89.1200725980081,
PHILADELPHIA,2018-05,4.2,New Construction,1.7065971428571427,2.4934028571428577,1.0,1.7524533333333332,2.4475466666666668,1.0,1.94629,2.25371,1.0,2.0937409523809523,2.106259047619048,1.0,2.3356085714285713,1.864391428571429,1.0,2.499740476190476,1.7002595238095242,1.0,2.754757142857143,1.445242857142857,1.0,1.706818181818182,2.493181818181818,1.0,2.0731818181818187,2.1268181818181815,1.0,2.2736363636363635,1.9263636363636367,1.0,2.816818181818181,1.3831818181818192,1.0,2.977727272727273,1.2222727272727272,1.0,3.0518181818181818,1.1481818181818184,1.0,3.1318181818181827,1.0681818181818175,1.0,50407042046.8076,-1.0,50505964400.0098,1.0,50828048870.0026,1.0,49574400061.0285,-1.0,49589347299.2381,-1.0,50165072031.0326,1.0,50800995008.8069,0.9999999999999999,50563742345.0186,1.0,50593420247.4287,1.0,12109088557.0787,-0.9999999999999999,12344213844.2875,1.0,11725018303.5706,0.9999999999999999,11318405616.2761,-1.0,11226317067.5623,-1.0,12484889768.5791,1.0,13062636860.3963,1.0,12917630009.557,1.0,12115078194.3566,-1.0,86.55198240492871,-1.0,88.437943439718,-1.0,88.50967086025801,0.9999999999999999,87.010875232225,-1.0,88.1148323663994,-0.9999999999999999,87.17587933428369,-1.0,89.25060298401242,1.0,85.8866598662335,-1.0,,
NEW YORK,2012-12,2.78,New Construction,0.1631578947368421,2.616842105263158,-0.9999999999999999,0.1875157894736842,2.5924842105263157,-1.0,0.21092631578947374,2.569073684210526,-0.9999999999999999,0.2552894736842105,2.5247105263157894,-0.9999999999999999,0.30947368421052623,2.4705263157894737,-1.0,0.5145657894736843,2.2654342105263154,-1.0,0.8483157894736841,1.9316842105263157,-1.0,0.039500000000000014,2.7405,-1.0,0.11950000000000005,2.6605,-1.0,0.1585,2.6214999999999997,-1.0,0.6960000000000001,2.0839999999999996,1.0,1.7189999999999999,1.061,1.0,2.4675000000000002,0.31249999999999956,1.0,2.8835,-0.10350000000000037,1.0,38808856509.5085,0.9999999999999999,38410438812.4053,0.9999999999999999,37685204803.0042,1.0,37571290060.6541,1.0,37160101000.5239,1.0,39268596272.9965,1.0,39658399389.4891,1.0,39298206327.5877,0.9999999999999999,40395555554.9932,0.9999999999999999,11337096053.4966,-0.9999999999999999,10740081615.3953,-1.0,12022315813.7363,-1.0,11631947675.6117,-0.9999999999999999,11986368496.8635,-0.9999999999999999,11154944519.578999,-1.0,11080080767.5225,-1.0,9855625468.0504,1.0,9123117418.53368,1.0,89.2801736441717,-0.9999999999999999,90.2956809830492,-0.9999999999999999,90.37816904639429,-1.0,89.513287195688,-0.9999999999999999,89.6061116730853,-1.0,91.578064558499,-1.0,88.794109524791,-1.0,88.920473853359,-1.0,86.5850023909696,-1.0
NEW YORK,2014-04,4.98,New Construction,0.08864000000000001,4.891360000000001,-0.9999999999999999,0.120115,4.859885,-1.0,0.1517,4.8283000000000005,-0.9999999999999999,0.1918625,4.7881375,-0.9999999999999999,0.227495,4.752505,-1.0,0.32422500000000004,4.655775,-1.0,0.550005,4.429995000000001,-1.0,0.023333333333333345,4.956666666666667,-1.0,0.05333333333333336,4.926666666666667,-1.0,0.10761904761904763,4.8723809523809525,-1.0,1.7009523809523805,3.2790476190476197,1.0,2.705238095238095,2.274761904761905,1.0,3.265238095238095,1.7147619047619056,1.0,3.5176190476190476,1.4623809523809528,1.0,44109559396.2995,0.9999999999999999,44555116847.5878,0.9999999999999999,43204378466.7468,1.0,42151687038.4775,1.0,41561863313.5151,1.0,44462292713.4678,1.0,43938467193.2505,1.0,44931729222.7983,0.9999999999999999,45277214883.1472,0.9999999999999999,11032404366.8063,-0.9999999999999999,10653400066.5467,-1.0,10011024566.6146,-1.0,9438159522.248821,-0.9999999999999999,9402239044.86975,-0.9999999999999999,9507943209.106209,-1.0,10121843859.6075,-1.0,10638305940.4607,1.0,11117378455.0815,1.0,82.56600445924391,-0.9999999999999999,80.910251046009,-0.9999999999999999,83.69462947740479,-1.0,84.4459748156831,-0.9999999999999999,85.3165844012547,-1.0,82.11515832772571,-1.0,81.9669757663089,-1.0,81.64661519553,-1.0,81.06604477988621,-1.0
WASHINGTON,2009-12,5.55,New Construction,0.17885714285714288,5.371142857142857,0.031556592468257816,0.2141833333333333,5.335816666666666,0.03547431651355158,0.23288904761904766,5.317110952380952,0.019992303218211757,0.24197238095238102,5.3080276190476186,0.007783980323275064,0.2530461904761905,5.296953809523809,-0.012400218793352348,0.4528776190476191,5.0971223809523805,-0.02575273746172186,0.9993009523809523,4.550699047619047,0.030039609272837466,0.03181818181818183,5.518181818181818,0.027780136395687917,0.16772727272727275,5.382272727272727,0.017092243235142045,0.37136363636363634,5.178636363636364,0.037004930254911514,2.3404545454545453,3.2095454545454545,0.47583886227067707,3.589999999999999,1.9600000000000009,0.7003644896961039,4.399545454545455,1.1504545454545445,0.6722739229357655,4.494090909090908,1.0559090909090916,0.6413961709750035,25435545396.8332,-0.5103339836290104,25282528298.0118,-0.5215490536697378,23715763008.5817,-0.5100086715808092,23237431326.4023,-0.5094029760645119,28639144125.4552,-0.4904932841388405,25615073952.9669,-0.5223753155971533,25116521917.8418,-0.5110249985550654,27482962505.147003,-0.4771493892494642,27606233351.339,-0.5144308900369566,14018940117.4091,0.31977720985593094,14438684843.1307,0.46996536759273866,14402813469.2945,0.4378731201220491,12891808542.898,0.33440542802314666,12931336765.2583,0.4979481180574101,14107591663.4702,0.13939588908396564,14228362706.5907,0.3572861622582676,14217328271.8582,0.21606458491625016,13493693756.3064,0.19602026708611064,96.94128995699529,0.3232605904231471,96.8995739482615,0.46887343419015864,101.129830992893,0.4989116764246987,103.99632208797199,0.5002834521381678,104.452941325903,0.4526095849752129,97.9962893430168,0.3438137235121692,97.8799778094334,0.32760603581770037,99.3021234972081,0.46661655365678806,99.0214107435932,0.40906166857834375
WASHINGTON,2010-06,6.1,New Construction,0.29840136363636366,5.801598636363636,0.031556592468257816,0.3291213636363637,5.770878636363636,0.03547431651355158,0.3487363636363637,5.751263636363636,0.019992303218211757,0.4336950000000001,5.6663049999999995,0.007783980323275064,0.5368986363636363,5.563101363636363,-0.012400218793352348,0.7518195454545455,5.348180454545454,-0.02575273746172186,1.187955909090909,4.912044090909091,0.030039609272837466,0.07954545454545457,6.0204545454545455,0.027780136395687917,0.19090909090909092,5.909090909090908,0.017092243235142045,0.3181818181818181,5.781818181818181,0.037004930254911514,1.9963636363636363,4.1036363636363635,0.47583886227067707,3.2040909090909095,2.89590909090909,0.7003644896961039,3.9499999999999997,2.15,0.6722739229357655,4.127727272727272,1.9722727272727276,0.6413961709750035,28389074974.2894,-0.5103339836290104,27396832704.0094,-0.5215490536697378,27606233351.339,-0.5100086715808092,27482962505.147003,-0.5094029760645119,25116521917.8418,-0.4904932841388405,28477062769.4533,-0.5223753155971533,29160609360.1217,-0.5110249985550654,29826615528.9652,-0.4771493892494642,30512069858.4251,-0.5144308900369566,11833891080.8667,0.31977720985593094,11978266411.3233,0.46996536759273866,13493693756.3064,0.4378731201220491,14217328271.8582,0.33440542802314666,14228362706.5907,0.4979481180574101,10534224377.9144,0.13939588908396564,11556490165.0911,0.3572861622582676,12342273869.2704,0.21606458491625016,11822726022.5574,0.19602026708611064,95.78917846656341,0.3232605904231471,98.6449594200431,0.46887343419015864,99.0214107435932,0.4989116764246987,99.3021234972081,0.5002834521381678,97.8799778094334,0.4526095849752129,95.21340255359091,0.3438137235121692,95.6415096715633,0.32760603581770037,94.51558950569391,0.46661655365678806,92.4549564204629,0.40906166857834375
WASHINGTON,2011-06,4.4996,New Construction,0.12706818181818183,4.372531818181818,0.031556592468257816,0.1615431818181819,4.338056818181818,0.03547431651355158,0.18716409090909092,4.312435909090909,0.019992303218211757,0.21923909090909086,4.280360909090909,0.007783980323275064,0.24782409090909094,4.2517759090909095,-0.012400218793352348,0.39758,4.10202,-0.02575273746172186,0.7268749999999999,3.7727250000000003,0.030039609272837466,0.0190909090909091,4.4805090909090906,0.027780136395687917,0.1013636363636364,4.3982363636363635,0.017092243235142045,0.18090909090909094,4.318690909090909,0.037004930254911514,1.5799999999999998,2.9196,0.47583886227067707,3.002272727272727,1.497327272727273,0.7003644896961039,3.9145454545454546,0.5850545454545455,0.6722739229357655,4.2327272727272724,0.2668727272727276,0.6413961709750035,31300541846.2612,-0.5103339836290104,31041077337.2648,-0.5215490536697378,31252070876.7547,-0.5100086715808092,31565012894.7234,-0.5094029760645119,32217867353.4185,-0.4904932841388405,31992172727.7437,-0.5223753155971533,31754785132.2305,-0.5110249985550654,33690910289.8878,-0.4771493892494642,34623712775.9563,-0.5144308900369566,12472473242.0863,0.31977720985593094,13753511368.0623,0.46996536759273866,15995126134.7035,0.4378731201220491,11311909309.5948,0.33440542802314666,11726514214.1317,0.4979481180574101,13238482167.5647,0.13939588908396564,12477113046.1263,0.3572861622582676,11655650147.2578,0.21606458491625016,10258833668.6773,0.19602026708611064,90.24550000965358,0.3232605904231471,91.13289228397959,0.46887343419015864,92.5881563190625,0.4989116764246987,91.59671843464591,0.5002834521381678,93.74313363440879,0.4526095849752129,90.5649414475864,0.3438137235121692,88.33905735772379,0.32760603581770037,90.4806728327692,0.46661655365678806,91.3646878868074,0.40906166857834375
WASHINGTON,2011-10,3.9,New Construction,0.1416352380952381,3.7583647619047618,0.031556592468257816,0.19074095238095234,3.7092590476190477,0.03547431651355158,0.24373904761904758,3.6562609523809524,0.019992303218211757,0.3185252380952381,3.581474761904762,0.007783980323275064,0.4064785714285714,3.4935214285714284,-0.012400218793352348,0.59521,3.3047899999999997,-0.02575273746172186,0.9086428571428572,2.991357142857143,0.030039609272837466,0.013500000000000003,3.8865,0.027780136395687917,0.05450000000000003,3.8455,0.017092243235142045,0.1145,3.7855,0.037004930254911514,1.0614999999999999,2.8385,0.47583886227067707,2.1519999999999997,1.7480000000000002,0.7003644896961039,2.8695,1.0305,0.6722739229357655,3.128,0.7719999999999998,0.6413961709750035,34623712775.9563,-0.5103339836290104,33690910289.8878,-0.5215490536697378,31754785132.2305,-0.5100086715808092,31992172727.7437,-0.5094029760645119,31300541846.2612,-0.4904932841388405,34825519831.2788,-0.5223753155971533,35344521679.5642,-0.5110249985550654,35385458151.3724,-0.4771493892494642,35532707747.113,-0.5144308900369566,10258833668.6773,0.31977720985593094,11655650147.2578,0.46996536759273866,12477113046.1263,0.4378731201220491,13238482167.5647,0.33440542802314666,12472473242.0863,0.4979481180574101,11784187253.6333,0.13939588908396564,11508699084.1195,0.3572861622582676,11510278467.2037,0.21606458491625016,10728874885.7875,0.19602026708611064,91.3646878868074,0.3232605904231471,90.4806728327692,0.46887343419015864,88.33905735772379,0.4989116764246987,90.5649414475864,0.5002834521381678,90.24550000965358,0.4526095849752129,90.35087768078328,0.3438137235121692,90.48744874686929,0.32760603581770037,90.7743282432688,0.46661655365678806,90.6452366150782,0.40906166857834375
WASHINGTON,2012-06,3.55,New Construction,0.163,3.387,0.031556592468257816,0.19464736842105262,3.3553526315789473,0.03547431651355158,0.24319736842105263,3.306802631578947,0.019992303218211757,0.3459342105263157,3.204065789473684,0.007783980323275064,0.46558684210526313,3.084413157894737,-0.012400218793352348,0.7364000000000004,2.813599999999999,-0.02575273746172186,1.0691894736842107,2.480810526315789,0.030039609272837466,0.05190476190476193,3.498095238095238,0.027780136395687917,0.14809523809523809,3.4019047619047615,0.017092243235142045,0.18904761904761905,3.360952380952381,0.037004930254911514,0.7114285714285714,2.8385714285714285,0.47583886227067707,1.6223809523809525,1.9276190476190473,0.7003644896961039,2.3061904761904763,1.2438095238095235,0.6722739229357655,2.698095238095238,0.8519047619047617,0.6413961709750035,36186315501.0541,-0.5103339836290104,36777908030.9335,-0.5215490536697378,36623269866.4569,-0.5100086715808092,35767585536.868996,-0.5094029760645119,35532707747.113,-0.4904932841388405,36601383816.48,-0.5223753155971533,37160101000.5239,-0.5110249985550654,37571290060.6541,-0.4771493892494642,37685204803.0042,-0.5144308900369566,14585937143.4485,0.31977720985593094,12770391029.1034,0.46996536759273866,11641401212.0971,0.4378731201220491,11251067892.2966,0.33440542802314666,10728874885.7875,0.4979481180574101,16111780903.4699,0.13939588908396564,11986368496.8635,0.3572861622582676,11631947675.6117,0.21606458491625016,12022315813.7363,0.19602026708611064,89.56768058609659,0.3232605904231471,89.6038877472871,0.46887343419015864,89.00857713430821,0.4989116764246987,90.0868950067716,0.5002834521381678,90.6452366150782,0.4526095849752129,89.02745876405929,0.3438137235121692,89.6061116730853,0.32760603581770037,89.513287195688,0.46661655365678806,90.37816904639429,0.40906166857834375
