,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-3),Corr with student_vol(-3),credit_tightness,Corr with credit_tightness,mortgage 30-89,Corr with mortgage 30-89,mortgage 90(4),Corr with mortgage 90(4)
0,BOSTON,2011-10,3.8,Other FHA,0.1416352380952381,3.6583647619047617,0.11763255282957798,0.19074095238095234,3.6092590476190476,0.11578255716038632,0.24373904761904758,3.5562609523809523,0.11186947185968873,0.3185252380952381,3.481474761904762,0.10438445405302708,0.4064785714285714,3.3935214285714284,0.08287806439207163,0.59521,3.20479,0.013405159967514759,0.9086428571428572,2.8913571428571427,-0.03449098064713283,0.013500000000000003,3.7864999999999998,0.16500670801817777,0.05450000000000003,3.7455,0.11207585588494194,0.1145,3.6854999999999998,0.0911078398465245,1.0614999999999999,2.7385,0.43691342356524443,2.1519999999999997,1.6480000000000001,0.5729147926482409,2.8695,0.9304999999999999,0.4567007009951543,3.128,0.6719999999999997,0.36523918333013616,35532707747.113,0.1682267968165343,13238482167.5647,-0.39620574592234037,91.3646878868074,-0.7062328686510312,2.5,-0.29540612705801417,3.1,0.08615525223949987
1,BOSTON,2012-06,2.61,Other FHA,0.163,2.447,0.11763255282957798,0.19464736842105262,2.4153526315789473,0.11578255716038632,0.24319736842105263,2.366802631578947,0.11186947185968873,0.3459342105263157,2.264065789473684,0.10438445405302708,0.46558684210526313,2.1444131578947365,0.08287806439207163,0.7364000000000004,1.8735999999999995,0.013405159967514759,1.0691894736842107,1.5408105263157892,-0.03449098064713283,0.05190476190476193,2.558095238095238,0.16500670801817777,0.14809523809523809,2.4619047619047616,0.11207585588494194,0.18904761904761905,2.420952380952381,0.0911078398465245,0.7114285714285714,1.8985714285714286,0.43691342356524443,1.6223809523809525,0.9876190476190474,0.5729147926482409,2.3061904761904763,0.30380952380952353,0.4567007009951543,2.698095238095238,-0.08809523809523823,0.36523918333013616,37685204803.0042,0.1682267968165343,11251067892.2966,-0.39620574592234037,89.56768058609659,-0.7062328686510312,2.5,-0.29540612705801417,2.6,0.08615525223949987
2,BOSTON,2012-12,2.85,Other FHA,0.1631578947368421,2.686842105263158,0.11763255282957798,0.1875157894736842,2.662484210526316,0.11578255716038632,0.21092631578947374,2.6390736842105262,0.11186947185968873,0.2552894736842105,2.5947105263157897,0.10438445405302708,0.30947368421052623,2.540526315789474,0.08287806439207163,0.5145657894736843,2.3354342105263157,0.013405159967514759,0.8483157894736841,2.001684210526316,-0.03449098064713283,0.039500000000000014,2.8105,0.16500670801817777,0.11950000000000005,2.7305,0.11207585588494194,0.1585,2.6915,0.0911078398465245,0.6960000000000001,2.154,0.43691342356524443,1.7189999999999999,1.1310000000000002,0.5729147926482409,2.4675000000000002,0.38249999999999984,0.4567007009951543,2.8835,-0.033500000000000085,0.36523918333013616,40395555554.9932,0.1682267968165343,11631947675.6117,-0.39620574592234037,89.2801736441717,-0.7062328686510312,2.8,-0.29540612705801417,2.4,0.08615525223949987
3,BOSTON,2013-03,2.75,Other FHA,0.15505000000000002,2.59495,0.11763255282957798,0.17309999999999998,2.5769,0.11578255716038632,0.20345,2.54655,0.11186947185968873,0.2419,2.5080999999999998,0.10438445405302708,0.28190000000000004,2.4680999999999997,0.08287806439207163,0.44782500000000003,2.302175,0.013405159967514759,0.7351250000000001,2.014875,-0.03449098064713283,0.07800000000000003,2.672,0.16500670801817777,0.11450000000000005,2.6355,0.11207585588494194,0.14750000000000002,2.6025,0.0911078398465245,0.8185000000000002,1.9314999999999998,0.43691342356524443,1.9575,0.7925,0.5729147926482409,2.7840000000000003,-0.03400000000000025,0.4567007009951543,3.1625000000000005,-0.41250000000000053,0.36523918333013616,41471481477.9035,0.1682267968165343,11337096053.4966,-0.39620574592234037,88.920473853359,-0.7062328686510312,2.6,-0.29540612705801417,2.3,0.08615525223949987
4,BOSTON,2013-08,3.17,Other FHA,0.11782999999999999,3.05217,0.11763255282957798,0.1493142857142857,3.0206857142857144,0.11578255716038632,0.1840704761904762,2.985929523809524,0.11186947185968873,0.22633523809523812,2.943664761904762,0.10438445405302708,0.2633952380952381,2.9066047619047617,0.08287806439207163,0.3949285714285714,2.7750714285714286,0.013405159967514759,0.6679499999999999,2.50205,-0.03449098064713283,0.03681818181818183,3.1331818181818183,0.16500670801817777,0.07181818181818184,3.098181818181818,0.11207585588494194,0.12681818181818183,3.043181818181818,0.0911078398465245,1.5204545454545455,1.6495454545454544,0.43691342356524443,2.7372727272727273,0.4327272727272726,0.5729147926482409,3.488181818181818,-0.3181818181818179,0.4567007009951543,3.757727272727273,-0.5877272727272729,0.36523918333013616,41561863313.5151,0.1682267968165343,9498561196.652071,-0.39620574592234037,88.1059676388142,-0.7062328686510312,2.4,-0.29540612705801417,2.3,0.08615525223949987
5,BOSTON,2014-03,4.6,Other FHA,0.0888,4.5112,0.11763255282957798,0.1207452380952381,4.479254761904762,0.11578255716038632,0.15488333333333335,4.445116666666666,0.11186947185968873,0.19711666666666672,4.402883333333333,0.10438445405302708,0.23409761904761903,4.365902380952381,0.08287806439207163,0.33106666666666673,4.268933333333333,0.013405159967514759,0.5571428571428573,4.042857142857143,-0.03449098064713283,0.051428571428571455,4.548571428571428,0.16500670801817777,0.07857142857142858,4.521428571428571,0.11207585588494194,0.1280952380952381,4.471904761904762,0.0911078398465245,1.6395238095238096,2.9604761904761903,0.43691342356524443,2.7233333333333327,1.876666666666667,0.5729147926482409,3.3466666666666667,1.253333333333333,0.4567007009951543,3.6209523809523807,0.9790476190476189,0.36523918333013616,44931729222.7983,0.1682267968165343,9402239044.86975,-0.39620574592234037,80.910251046009,-0.7062328686510312,2.1,-0.29540612705801417,2.1,0.08615525223949987
6,BOSTON,2014-04,3.95,Other FHA,0.08864000000000001,3.8613600000000003,0.11763255282957798,0.120115,3.829885,0.11578255716038632,0.1517,3.7983000000000002,0.11186947185968873,0.1918625,3.7581375,0.10438445405302708,0.227495,3.722505,0.08287806439207163,0.32422500000000004,3.625775,0.013405159967514759,0.550005,3.399995,-0.03449098064713283,0.023333333333333345,3.9266666666666667,0.16500670801817777,0.05333333333333336,3.896666666666667,0.11207585588494194,0.10761904761904763,3.8423809523809527,0.0911078398465245,1.7009523809523805,2.2490476190476194,0.43691342356524443,2.705238095238095,1.244761904761905,0.5729147926482409,3.265238095238095,0.6847619047619053,0.4567007009951543,3.5176190476190476,0.43238095238095253,0.36523918333013616,45277214883.1472,0.1682267968165343,9438159522.248821,-0.39620574592234037,82.56600445924391,-0.7062328686510312,1.8,-0.29540612705801417,2.1,0.08615525223949987
7,BOSTON,2014-07,3.89,Other FHA,0.09286956521739129,3.7971304347826087,0.11763255282957798,0.12270652173913045,3.7672934782608696,0.11578255716038632,0.15438695652173914,3.735613043478261,0.11186947185968873,0.1955586956521739,3.6944413043478264,0.10438445405302708,0.23417391304347826,3.655826086956522,0.08287806439207163,0.32826086956521744,3.5617391304347827,0.013405159967514759,0.5557695652173912,3.334230434782609,-0.03449098064713283,0.024090909090909093,3.865909090909091,0.16500670801817777,0.059545454545454575,3.8304545454545456,0.11207585588494194,0.11136363636363639,3.778636363636364,0.0911078398465245,1.699545454545455,2.1904545454545454,0.43691342356524443,2.542272727272727,1.347727272727273,0.5729147926482409,3.071363636363636,0.8186363636363643,0.4567007009951543,3.3318181818181816,0.5581818181818186,0.36523918333013616,44940573200.2924,0.1682267968165343,11032404366.8063,-0.39620574592234037,81.64661519553,-0.7062328686510312,2.0,-0.29540612705801417,2.1,0.08615525223949987
8,BOSTON,2014-08,3.9,Other FHA,0.090785,3.809215,0.11763255282957798,0.121725,3.778275,0.11578255716038632,0.15602,3.74398,0.11186947185968873,0.19527250000000002,3.7047274999999997,0.10438445405302708,0.23465000000000003,3.66535,0.08287806439207163,0.32965500000000003,3.5703449999999997,0.013405159967514759,0.55889,3.34111,-0.03449098064713283,0.030000000000000006,3.87,0.16500670801817777,0.0523809523809524,3.8476190476190477,0.11207585588494194,0.10714285714285714,3.7928571428571427,0.0911078398465245,1.6314285714285717,2.2685714285714282,0.43691342356524443,2.42,1.48,0.5729147926482409,2.9366666666666665,0.9633333333333334,0.4567007009951543,3.2009523809523808,0.6990476190476191,0.36523918333013616,45241950015.4561,0.1682267968165343,9507943209.106209,-0.39620574592234037,81.06604477988621,-0.7062328686510312,2.1,-0.29540612705801417,2.1,0.08615525223949987
9,BOSTON,2014-09,3.7,Other FHA,0.09027272727272727,3.609727272727273,0.11763255282957798,0.12087045454545454,3.5791295454545455,0.11578255716038632,0.15410454545454544,3.545895454545455,0.11186947185968873,0.19699999999999998,3.503,0.10438445405302708,0.23403181818181817,3.465968181818182,0.08287806439207163,0.32999090909090917,3.370009090909091,0.013405159967514759,0.5770545454545455,3.1229454545454547,-0.03449098064713283,0.01142857142857143,3.6885714285714286,0.16500670801817777,0.04380952380952382,3.6561904761904764,0.11207585588494194,0.10952380952380954,3.5904761904761906,0.0911078398465245,1.7738095238095242,1.926190476190476,0.43691342356524443,2.5342857142857147,1.1657142857142855,0.5729147926482409,3.0133333333333328,0.6866666666666674,0.4567007009951543,3.26,0.4400000000000004,0.36523918333013616,45667781053.6763,0.1682267968165343,10121843859.6075,-0.39620574592234037,82.2508390398281,-0.7062328686510312,1.9,-0.29540612705801417,2.1,0.08615525223949987
