,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(4),Corr with mortgage 90(4)
0,PHILADELPHIA,2012-06,3.05,Other FHA,0.163,2.887,0.23263863142072097,0.19464736842105262,2.8553526315789473,0.2336134339899344,0.24319736842105263,2.806802631578947,0.23913561062582814,0.3459342105263157,2.704065789473684,0.2317927698342667,0.46558684210526313,2.584413157894737,0.21489456104224008,0.7364000000000004,2.313599999999999,0.15026933254602937,1.0691894736842107,1.9808105263157891,0.11455366960761786,0.05190476190476193,2.998095238095238,0.2648739262541298,0.14809523809523809,2.9019047619047615,0.23790134078467112,0.18904761904761905,2.860952380952381,0.24178126370024813,0.7114285714285714,2.3385714285714285,0.60737548585363,1.6223809523809525,1.4276190476190473,0.7568330334999042,2.3061904761904763,0.7438095238095235,0.6440955207826722,2.698095238095238,0.3519047619047617,0.557953941221451,37685204803.0042,0.37453092975048535,10728874885.7875,-0.7214401766560951,89.6061116730853,-0.49676632792280334,3.8,-0.44394264286493273,4.3,-0.3254968288088707
1,PHILADELPHIA,2012-11,2.29,Other FHA,0.1555,2.1345,0.23263863142072097,0.18060909090909089,2.109390909090909,0.2336134339899344,0.20888636363636362,2.081113636363636,0.23913561062582814,0.25813636363636355,2.0318636363636364,0.2317927698342667,0.31102272727272723,1.9789772727272728,0.21489456104224008,0.528347727272727,1.761652272727273,0.15026933254602937,0.8631931818181818,1.4268068181818183,0.11455366960761786,0.12449999999999999,2.1655,0.2648739262541298,0.14450000000000002,2.1455,0.23790134078467112,0.17850000000000002,2.1115,0.24178126370024813,0.665,1.625,0.60737548585363,1.654,0.6360000000000001,0.7568330334999042,2.3894999999999995,-0.09949999999999948,0.6440955207826722,2.8034999999999997,-0.5134999999999996,0.557953941221451,39298206327.5877,0.37453092975048535,16111780903.4699,-0.7214401766560951,91.578064558499,-0.49676632792280334,4.0,-0.44394264286493273,4.3,-0.3254968288088707
2,PHILADELPHIA,2013-09,3.89,Other FHA,0.11272380952380952,3.7772761904761905,0.23263863142072097,0.14323238095238094,3.746767619047619,0.2336134339899344,0.18057476190476196,3.709425238095238,0.23913561062582814,0.22133904761904755,3.668660952380953,0.2317927698342667,0.2531785714285715,3.6368214285714284,0.21489456104224008,0.38033809523809525,3.509661904761905,0.15026933254602937,0.6526857142857143,3.2373142857142856,0.11455366960761786,0.017500000000000005,3.8725,0.2648739262541298,0.04150000000000001,3.8485,0.23790134078467112,0.11850000000000002,3.7715,0.24178126370024813,1.5959999999999999,2.2940000000000005,0.60737548585363,2.8095,1.0805000000000002,0.7568330334999042,3.526,0.3640000000000003,0.6440955207826722,3.7870000000000004,0.10299999999999976,0.557953941221451,42151687038.4775,0.37453092975048535,9498561196.652071,-0.7214401766560951,88.4263020205016,-0.49676632792280334,3.6,-0.44394264286493273,3.7,-0.3254968288088707
3,PHILADELPHIA,2013-10,4.15,Other FHA,0.10426086956521738,4.045739130434783,0.23263863142072097,0.13668260869565219,4.013317391304348,0.2336134339899344,0.17241521739130433,3.977584782608696,0.23913561062582814,0.21265,3.9373500000000003,0.2317927698342667,0.2417652173913043,3.9082347826086963,0.21489456104224008,0.36121521739130424,3.7887847826086962,0.15026933254602937,0.6177847826086957,3.532215217391305,0.11455366960761786,0.1059090909090909,4.04409090909091,0.2648739262541298,0.07590909090909094,4.074090909090909,0.23790134078467112,0.12136363636363635,4.028636363636364,0.24178126370024813,1.366818181818182,2.783181818181818,0.60737548585363,2.615909090909091,1.5340909090909092,0.7568330334999042,3.3795454545454544,0.770454545454546,0.6440955207826722,3.6759090909090903,0.47409090909091,0.557953941221451,43204378466.7468,0.37453092975048535,9260696074.4491,-0.7214401766560951,85.3165844012547,-0.49676632792280334,3.2,-0.44394264286493273,3.5,-0.3254968288088707
4,PHILADELPHIA,2014-09,3.6,Other FHA,0.09027272727272727,3.509727272727273,0.23263863142072097,0.12087045454545454,3.4791295454545454,0.2336134339899344,0.15410454545454544,3.4458954545454548,0.23913561062582814,0.19699999999999998,3.403,0.2317927698342667,0.23403181818181817,3.365968181818182,0.21489456104224008,0.32999090909090917,3.270009090909091,0.15026933254602937,0.5770545454545455,3.0229454545454546,0.11455366960761786,0.01142857142857143,3.5885714285714285,0.2648739262541298,0.04380952380952382,3.5561904761904763,0.23790134078467112,0.10952380952380954,3.4904761904761905,0.24178126370024813,1.7738095238095242,1.826190476190476,0.60737548585363,2.5342857142857147,1.0657142857142854,0.7568330334999042,3.0133333333333328,0.5866666666666673,0.6440955207826722,3.26,0.3400000000000003,0.557953941221451,45667781053.6763,0.37453092975048535,9507943209.106209,-0.7214401766560951,82.72786465890579,-0.49676632792280334,3.4,-0.44394264286493273,3.3,-0.3254968288088707
5,PHILADELPHIA,2014-10,3.98,Other FHA,0.09059565217391304,3.889404347826087,0.23263863142072097,0.11953260869565213,3.860467391304348,0.2336134339899344,0.15351739130434783,3.826482608695652,0.23913561062582814,0.1974043478260869,3.7825956521739132,0.2317927698342667,0.2313760869565217,3.7486239130434784,0.21489456104224008,0.3236195652173913,3.6563804347826085,0.15026933254602937,0.5523869565217392,3.427613043478261,0.11455366960761786,0.020909090909090912,3.959090909090909,0.2648739262541298,0.05045454545454548,3.9295454545454547,0.23790134078467112,0.10454545454545458,3.8754545454545455,0.24178126370024813,1.5459090909090911,2.4340909090909086,0.60737548585363,2.304090909090909,1.6759090909090908,0.7568330334999042,2.7731818181818184,1.2068181818181816,0.6440955207826722,3.039999999999999,0.9400000000000008,0.557953941221451,45758876905.2845,0.37453092975048535,10121843859.6075,-0.7214401766560951,82.4770523961592,-0.49676632792280334,3.2,-0.44394264286493273,3.2,-0.3254968288088707
6,PHILADELPHIA,2014-11,3.67,Other FHA,0.09656999999999999,3.57343,0.23263863142072097,0.12222499999999999,3.547775,0.2336134339899344,0.1548075,3.5151925,0.23913561062582814,0.20246,3.46754,0.2317927698342667,0.23286250000000003,3.4371375,0.21489456104224008,0.32679500000000006,3.3432049999999998,0.15026933254602937,0.56206,3.10794,0.11455366960761786,0.04166666666666668,3.6283333333333334,0.2648739262541298,0.06944444444444448,3.6005555555555553,0.23790134078467112,0.13444444444444448,3.5355555555555553,0.24178126370024813,1.6205555555555557,2.049444444444444,0.60737548585363,2.325555555555556,1.344444444444444,0.7568330334999042,2.7644444444444445,0.9055555555555554,0.6440955207826722,3.038333333333333,0.6316666666666668,0.557953941221451,47944164595.1044,0.37453092975048535,10638305940.4607,-0.7214401766560951,80.33849809561521,-0.49676632792280334,3.2,-0.44394264286493273,3.0,-0.3254968288088707
7,PHILADELPHIA,2015-08,3.5,Other FHA,0.13010000000000005,3.3699,0.23263863142072097,0.151965,3.348035,0.2336134339899344,0.1967275,3.3032725,0.23913561062582814,0.2610100000000001,3.23899,0.2317927698342667,0.3207975,3.1792025,0.21489456104224008,0.5193599999999999,2.98064,0.15026933254602937,0.8364375,2.6635625000000003,0.11455366960761786,0.03523809523809525,3.4647619047619047,0.2648739262541298,0.22000000000000006,3.28,0.23790134078467112,0.3757142857142857,3.124285714285714,0.24178126370024813,1.5414285714285714,1.9585714285714286,0.60737548585363,2.167142857142857,1.3328571428571432,0.7568330334999042,2.5466666666666664,0.9533333333333336,0.6440955207826722,2.8557142857142854,0.6442857142857146,0.557953941221451,48291644449.3811,0.37453092975048535,11835194000.8273,-0.7214401766560951,82.4529898168143,-0.49676632792280334,2.8,-0.44394264286493273,2.7,-0.3254968288088707
8,PHILADELPHIA,2016-06,3.58,Other FHA,0.3904409090909091,3.189559090909091,0.23263863142072097,0.41572500000000007,3.164275,0.2336134339899344,0.4527090909090909,3.127290909090909,0.23913561062582814,0.5394386363636363,3.040561363636364,0.2317927698342667,0.6516204545454546,2.9283795454545456,0.21489456104224008,0.9360386363636366,2.6439613636363637,0.15026933254602937,1.2592227272727274,2.3207772727272724,0.11455366960761786,0.22136363636363632,3.358636363636364,0.2648739262541298,0.40409090909090906,3.175909090909091,0.23790134078467112,0.5522727272727272,3.027727272727273,0.24178126370024813,1.1663636363636367,2.413636363636363,0.60737548585363,1.6440909090909095,1.9359090909090906,0.7568330334999042,2.019090909090909,1.560909090909091,0.6440955207826722,2.452272727272727,1.127727272727273,0.557953941221451,50034086230.3872,0.37453092975048535,11240513229.2606,-0.7214401766560951,88.1942388876454,-0.49676632792280334,2.7,-0.44394264286493273,2.3,-0.3254968288088707
9,PHILADELPHIA,2016-10,2.95,Other FHA,0.4307719047619048,2.519228095238095,0.23263863142072097,0.457582380952381,2.492417619047619,0.2336134339899344,0.5307795238095238,2.4192204761904765,0.23913561062582814,0.6609890476190475,2.2890109523809525,0.2317927698342667,0.8786828571428573,2.0713171428571426,0.21489456104224008,1.258856666666667,1.6911433333333332,0.15026933254602937,1.577814761904762,1.3721852380952382,0.11455366960761786,0.24400000000000005,2.706,0.2648739262541298,0.47700000000000004,2.4730000000000003,0.23790134078467112,0.6595000000000001,2.2905,0.24178126370024813,1.2719999999999998,1.6780000000000004,0.60737548585363,1.7645000000000004,1.1854999999999998,0.7568330334999042,2.1705,0.7795000000000001,0.6440955207826722,2.5004999999999997,0.44950000000000045,0.557953941221451,48913265551.9221,0.37453092975048535,11496937509.4445,-0.7214401766560951,88.1697673489486,-0.49676632792280334,2.9,-0.44394264286493273,2.3,-0.3254968288088707
10,PHILADELPHIA,2016-11,3.51,Other FHA,0.4339245454545454,3.0760754545454545,0.23263863142072097,0.45880500000000013,3.051195,0.2336134339899344,0.5631090909090911,2.9468909090909086,0.23913561062582814,0.7006386363636362,2.8093613636363637,0.2317927698342667,0.9084640909090909,2.601535909090909,0.21489456104224008,1.2693081818181815,2.2406918181818183,0.15026933254602937,1.6029650000000002,1.9070349999999996,0.11455366960761786,0.29999999999999993,3.21,0.2648739262541298,0.5834999999999999,2.9265,0.23790134078467112,0.736,2.774,0.24178126370024813,1.596,1.9139999999999997,0.60737548585363,2.142,1.3679999999999999,0.7568330334999042,2.5369999999999995,0.9730000000000003,0.6440955207826722,2.8620000000000005,0.6479999999999992,0.557953941221451,48441183549.9275,0.37453092975048535,11531266279.4831,-0.7214401766560951,87.62096056152771,-0.49676632792280334,3.1,-0.44394264286493273,2.2,-0.3254968288088707
11,PHILADELPHIA,2017-02,3.66,Other FHA,0.6863609999999999,2.9736390000000004,0.23263863142072097,0.7163664999999999,2.9436335000000002,0.2336134339899344,0.7767084999999999,2.8832915000000003,0.23913561062582814,0.8480275,2.8119725,0.2317927698342667,1.0445964999999997,2.6154035,0.21489456104224008,1.3514585000000001,2.3085415,0.15026933254602937,1.723958,1.936042,0.11455366960761786,0.48210526315789465,3.1778947368421053,0.2648739262541298,0.653157894736842,3.006842105263158,0.23790134078467112,0.8205263157894739,2.8394736842105264,0.24178126370024813,1.9015789473684213,1.7584210526315789,0.60737548585363,2.4189473684210525,1.2410526315789476,0.7568330334999042,2.763684210526316,0.8963157894736842,0.6440955207826722,3.0321052631578946,0.6278947368421055,0.557953941221451,49068548953.9206,0.37453092975048535,11692339154.1207,-0.7214401766560951,89.1200725980081,-0.49676632792280334,3.2,-0.44394264286493273,2.0,-0.3254968288088707
12,PHILADELPHIA,2017-03,3.29,Other FHA,0.8095565217391305,2.4804434782608693,0.23263863142072097,0.8706386956521739,2.4193613043478264,0.2336134339899344,0.9286352173913045,2.3613647826086956,0.23913561062582814,0.982656956521739,2.307343043478261,0.2317927698342667,1.134713043478261,2.155286956521739,0.21489456104224008,1.4258673913043478,1.8641326086956522,0.15026933254602937,1.8069104347826086,1.4830895652173914,0.11455366960761786,0.662608695652174,2.6273913043478263,0.2648739262541298,0.8856521739130436,2.4043478260869566,0.23790134078467112,1.0104347826086957,2.2795652173913044,0.24178126370024813,2.013478260869565,1.2765217391304349,0.60737548585363,2.4817391304347827,0.8082608695652174,0.7568330334999042,2.8317391304347823,0.4582608695652177,0.6440955207826722,3.0813043478260873,0.20869565217391273,0.557953941221451,48416221734.2909,0.37453092975048535,12137144620.0221,-0.7214401766560951,89.1832712740787,-0.49676632792280334,2.8,-0.44394264286493273,1.9,-0.3254968288088707
13,PHILADELPHIA,2017-06,3.5,Other FHA,1.0640909090909094,2.4359090909090906,0.23263863142072097,1.1183336363636365,2.3816663636363637,0.2336134339899344,1.1714068181818182,2.3285931818181815,0.23913561062582814,1.2101513636363637,2.2898486363636366,0.2317927698342667,1.2624095454545452,2.2375904545454546,0.21489456104224008,1.4322822727272726,2.0677177272727274,0.15026933254602937,1.7322577272727273,1.7677422727272727,0.11455366960761786,0.8413636363636363,2.6586363636363637,0.2648739262541298,1.1095454545454546,2.3904545454545456,0.23790134078467112,1.200909090909091,2.299090909090909,0.24178126370024813,1.7740909090909094,1.7259090909090906,0.60737548585363,2.186818181818182,1.313181818181818,0.7568330334999042,2.5399999999999996,0.9600000000000004,0.6440955207826722,2.796363636363637,0.7036363636363632,0.557953941221451,49855182727.6109,0.37453092975048535,12722317795.1324,-0.7214401766560951,88.23467488709129,-0.49676632792280334,2.9,-0.44394264286493273,1.8,-0.3254968288088707
14,PHILADELPHIA,2017-07,3.59,Other FHA,1.1766928571428568,2.413307142857143,0.23263863142072097,1.1913757142857144,2.3986242857142854,0.2336134339899344,1.2280366666666667,2.361963333333333,0.23913561062582814,1.2566676190476191,2.3333323809523807,0.2317927698342667,1.307512857142857,2.2824871428571427,0.21489456104224008,1.4570814285714284,2.132918571428571,0.15026933254602937,1.7410885714285718,1.848911428571428,0.11455366960761786,0.9720000000000001,2.618,0.2648739262541298,1.1284999999999996,2.4615,0.23790134078467112,1.2235,2.3665,0.24178126370024813,1.8720000000000003,1.7179999999999995,0.60737548585363,2.3179999999999996,1.2720000000000002,0.7568330334999042,2.6505,0.9394999999999998,0.6440955207826722,2.884,0.706,0.557953941221451,50938614889.0817,0.37453092975048535,12509011080.2031,-0.7214401766560951,89.9213768261837,-0.49676632792280334,2.7,-0.44394264286493273,1.8,-0.3254968288088707
15,PHILADELPHIA,2017-08,3.26,Other FHA,1.1775518181818179,2.082448181818182,0.23263863142072097,1.197803181818182,2.0621968181818175,0.2336134339899344,1.2317690909090908,2.028230909090909,0.23913561062582814,1.264191818181818,1.9958081818181819,0.2317927698342667,1.314176818181818,1.9458231818181817,0.21489456104224008,1.453699090909091,1.8063009090909088,0.15026933254602937,1.7253381818181814,1.5346618181818183,0.11455366960761786,0.9795652173913042,2.2804347826086957,0.2648739262541298,1.1291304347826083,2.1308695652173917,0.23790134078467112,1.2291304347826086,2.030869565217391,0.24178126370024813,1.7765217391304353,1.4834782608695645,0.60737548585363,2.209130434782609,1.0508695652173907,0.7568330334999042,2.552173913043478,0.7078260869565218,0.6440955207826722,2.795217391304348,0.4647826086956517,0.557953941221451,50617906919.2487,0.37453092975048535,12388258203.7622,-0.7214401766560951,87.46440959377459,-0.49676632792280334,3.1,-0.44394264286493273,1.9,-0.3254968288088707
16,PHILADELPHIA,2018-01,3.65,Other FHA,1.4378880952380952,2.2121119047619047,0.23263863142072097,1.467563181818182,2.182436818181818,0.2336134339899344,1.5610881818181819,2.088911818181818,0.23913561062582814,1.6355336363636364,2.0144663636363633,0.2317927698342667,1.733970909090909,1.916029090909091,0.21489456104224008,1.9067609090909092,1.7432390909090907,0.15026933254602937,2.196459545454545,1.4535404545454549,0.11455366960761786,1.3000000000000003,2.3499999999999996,0.2648739262541298,1.6199999999999994,2.0300000000000002,0.23790134078467112,1.8028571428571425,1.8471428571428574,0.24178126370024813,2.381904761904762,1.268095238095238,0.60737548585363,2.5838095238095242,1.0661904761904757,0.7568330334999042,2.7342857142857144,0.9157142857142855,0.6440955207826722,2.8776190476190475,0.7723809523809524,0.557953941221451,50407042046.8076,0.37453092975048535,11813706431.8634,-0.7214401766560951,88.50967086025801,-0.49676632792280334,3.2,-0.44394264286493273,1.4,-0.3254968288088707
17,PHILADELPHIA,2018-04,3.91,Other FHA,1.7027510000000003,2.207249,0.23263863142072097,1.7432829999999995,2.1667170000000007,0.2336134339899344,1.896724,2.0132760000000003,0.23913561062582814,2.0408605,1.8691395000000002,0.2317927698342667,2.349426,1.5605740000000003,0.21489456104224008,2.493657999999999,1.416342000000001,0.15026933254602937,2.7355454999999997,1.1744545000000004,0.11455366960761786,1.6604761904761904,2.2495238095238097,0.2648739262541298,1.9780952380952381,1.931904761904762,0.23790134078467112,2.153809523809524,1.756190476190476,0.24178126370024813,2.701904761904762,1.2080952380952383,0.60737548585363,2.869047619047619,1.040952380952381,0.7568330334999042,2.9595238095238092,0.9504761904761909,0.6440955207826722,3.0719047619047624,0.8380952380952378,0.557953941221451,50563742345.0186,0.37453092975048535,11223830878.8235,-0.7214401766560951,87.17587933428369,-0.49676632792280334,2.9,-0.44394264286493273,1.4,-0.3254968288088707
18,PHILADELPHIA,2018-07,4.07,Other FHA,1.918467142857143,2.1515328571428576,0.23263863142072097,1.9587813636363633,2.111218636363637,0.2336134339899344,2.0789990909090905,1.9910009090909098,0.23913561062582814,2.1733236363636363,1.896676363636364,0.2317927698342667,2.3391181818181823,1.730881818181818,0.21489456104224008,2.519525454545455,1.5504745454545454,0.15026933254602937,2.7944931818181815,1.2755068181818188,0.11455366960761786,1.8933333333333329,2.1766666666666676,0.2648739262541298,2.1680952380952383,1.901904761904762,0.23790134078467112,2.3876190476190478,1.6823809523809525,0.24178126370024813,2.7776190476190483,1.292380952380952,0.60737548585363,2.8890476190476195,1.1809523809523808,0.7568330334999042,2.944761904761905,1.1252380952380951,0.6440955207826722,3.006666666666667,1.0633333333333335,0.557953941221451,52055589128.0929,0.37453092975048535,11725018303.5706,-0.7214401766560951,,-0.49676632792280334,2.5,-0.44394264286493273,1.4,-0.3254968288088707
