,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90,Corr with mortgage 90
7,CHICAGO,2011-09,3.65,Other FHA,0.14525181818181823,3.5047481818181816,0.241086352962645,0.1884,3.4616,0.2437026897745793,0.23085045454545455,3.4191495454545455,0.2434673816637611,0.2845913636363636,3.3654086363636364,0.2370659903696609,0.3502268181818181,3.299773181818182,0.22521446641650447,0.5222018181818182,3.1277981818181817,0.17604121152762986,0.8332045454545454,2.8167954545454545,0.1637417170311188,0.005714285714285713,3.644285714285714,0.25150885713866333,0.04333333333333335,3.6066666666666665,0.23979690853824545,0.10476190476190479,3.545238095238095,0.2602971537109484,0.9004761904761904,2.7495238095238097,0.6418900588029489,1.9752380952380955,1.6747619047619045,0.727395448360942,2.8271428571428574,0.8228571428571425,0.6006394244199456,3.182380952380953,0.46761904761904693,0.5396001258898314,35344521679.5642,-0.1111416846433104,11510278467.2037,0.3024554352289992,90.48744874686929,-0.1349620299291399,3.3,-0.0881478692034443,5.0,-0.05529428867930945
8,CHICAGO,2011-10,3.85,Other FHA,0.1416352380952381,3.708364761904762,0.241086352962645,0.19074095238095234,3.659259047619048,0.2437026897745793,0.24373904761904758,3.6062609523809526,0.2434673816637611,0.3185252380952381,3.531474761904762,0.2370659903696609,0.4064785714285714,3.4435214285714286,0.22521446641650447,0.59521,3.25479,0.17604121152762986,0.9086428571428572,2.941357142857143,0.1637417170311188,0.013500000000000003,3.8365,0.25150885713866333,0.05450000000000003,3.7955,0.23979690853824545,0.1145,3.7355,0.2602971537109484,1.0614999999999999,2.7885,0.6418900588029489,2.1519999999999997,1.6980000000000004,0.727395448360942,2.8695,0.9805000000000001,0.6006394244199456,3.128,0.722,0.5396001258898314,35385458151.3724,-0.1111416846433104,10728874885.7875,0.3024554352289992,90.7743282432688,-0.1349620299291399,3.2,-0.0881478692034443,5.0,-0.05529428867930945
9,CHICAGO,2012-02,3.335,Other FHA,0.1410714285714286,3.1939285714285712,0.241086352962645,0.19146190476190478,3.143538095238095,0.2437026897745793,0.2500238095238095,3.0849761904761905,0.2434673816637611,0.3686547619047619,2.966345238095238,0.2370659903696609,0.5032404761904763,2.8317595238095237,0.22521446641650447,0.7572880952380953,2.577711904761905,0.17604121152762986,1.0711880952380954,2.2638119047619045,0.1637417170311188,0.06350000000000003,3.2715,0.25150885713866333,0.124,3.211,0.23979690853824545,0.161,3.174,0.2602971537109484,0.8310000000000001,2.504,0.6418900588029489,1.9674999999999998,1.3675000000000002,0.727395448360942,2.7479999999999998,0.5870000000000002,0.6006394244199456,3.109,0.22599999999999998,0.5396001258898314,36777908030.9335,-0.1111416846433104,14585937143.4485,0.3024554352289992,89.6038877472871,-0.1349620299291399,3.5,-0.0881478692034443,5.1,-0.05529428867930945
10,CHICAGO,2012-06,3.1,Other FHA,0.163,2.9370000000000003,0.241086352962645,0.19464736842105262,2.9053526315789475,0.2437026897745793,0.24319736842105263,2.8568026315789474,0.2434673816637611,0.3459342105263157,2.7540657894736844,0.2370659903696609,0.46558684210526313,2.6344131578947367,0.22521446641650447,0.7364000000000004,2.3636,0.17604121152762986,1.0691894736842107,2.0308105263157894,0.1637417170311188,0.05190476190476193,3.048095238095238,0.25150885713866333,0.14809523809523809,2.951904761904762,0.23979690853824545,0.18904761904761905,2.910952380952381,0.2602971537109484,0.7114285714285714,2.388571428571429,0.6418900588029489,1.6223809523809525,1.4776190476190476,0.727395448360942,2.3061904761904763,0.7938095238095237,0.6006394244199456,2.698095238095238,0.401904761904762,0.5396001258898314,37571290060.6541,-0.1111416846433104,12022315813.7363,0.3024554352289992,89.513287195688,-0.1349620299291399,2.9,-0.0881478692034443,4.8,-0.05529428867930945
11,CHICAGO,2012-08,2.45,Other FHA,0.15374090909090915,2.296259090909091,0.241086352962645,0.18745454545454548,2.262545454545455,0.2437026897745793,0.23783863636363634,2.2121613636363637,0.2434673816637611,0.3331136363636364,2.1168863636363637,0.2370659903696609,0.43259999999999993,2.0174000000000003,0.22521446641650447,0.7177749999999997,1.7322250000000006,0.17604121152762986,1.0426272727272727,1.4073727272727274,0.1637417170311188,0.09217391304347829,2.3578260869565217,0.25150885713866333,0.14043478260869566,2.3095652173913046,0.23979690853824545,0.18347826086956526,2.266521739130435,0.2602971537109484,0.7139130434782609,1.7360869565217394,0.6418900588029489,1.6782608695652175,0.7717391304347827,0.727395448360942,2.3978260869565218,0.052173913043478404,0.6006394244199456,2.7708695652173914,-0.3208695652173912,0.5396001258898314,38410438812.4053,-0.1111416846433104,11337096053.4966,0.3024554352289992,90.2956809830492,-0.1349620299291399,3.2,-0.0881478692034443,4.7,-0.05529428867930945
12,CHICAGO,2012-09,2.43,Other FHA,0.15189500000000006,2.278105,0.241086352962645,0.183625,2.246375,0.2437026897745793,0.22133750000000002,2.2086625,0.2434673816637611,0.3079875,2.1220125000000003,0.2370659903696609,0.3856325000000001,2.0443675,0.22521446641650447,0.6716749999999999,1.7583250000000001,0.17604121152762986,0.9997750000000002,1.430225,0.1637417170311188,0.07526315789473685,2.3547368421052632,0.25150885713866333,0.13736842105263158,2.2926315789473684,0.23979690853824545,0.17578947368421055,2.2542105263157897,0.2602971537109484,0.6689473684210526,1.7610526315789476,0.6418900588029489,1.7231578947368422,0.7068421052631579,0.727395448360942,2.488421052631579,-0.05842105263157871,0.6006394244199456,2.8815789473684212,-0.4515789473684211,0.5396001258898314,38808856509.5085,-0.1111416846433104,11154944519.578999,0.3024554352289992,89.2801736441717,-0.1349620299291399,3.2,-0.0881478692034443,4.7,-0.05529428867930945
13,CHICAGO,2012-10,2.545,Other FHA,0.15320434782608702,2.3917956521739128,0.241086352962645,0.17955217391304346,2.3654478260869567,0.2437026897745793,0.21346521739130433,2.3315347826086956,0.2434673816637611,0.2717391304347827,2.2732608695652172,0.2370659903696609,0.3304891304347827,2.2145108695652174,0.22521446641650447,0.5823021739130435,1.9626978260869565,0.17604121152762986,0.9185760869565219,1.626423913043478,0.1637417170311188,0.10952380952380951,2.4354761904761904,0.25150885713866333,0.14904761904761904,2.395952380952381,0.23979690853824545,0.17952380952380956,2.3654761904761905,0.2602971537109484,0.7085714285714285,1.8364285714285713,0.6418900588029489,1.7461904761904758,0.7988095238095241,0.727395448360942,2.505714285714286,0.039285714285714146,0.6006394244199456,2.90047619047619,-0.3554761904761903,0.5396001258898314,39268596272.9965,-0.1111416846433104,11080080767.5225,0.3024554352289992,91.578064558499,-0.1349620299291399,3.2,-0.0881478692034443,4.6,-0.05529428867930945
14,CHICAGO,2012-11,2.455,Other FHA,0.1555,2.2995,0.241086352962645,0.18060909090909089,2.274390909090909,0.2437026897745793,0.20888636363636362,2.2461136363636363,0.2434673816637611,0.25813636363636355,2.1968636363636365,0.2370659903696609,0.31102272727272723,2.143977272727273,0.22521446641650447,0.528347727272727,1.926652272727273,0.17604121152762986,0.8631931818181818,1.5918068181818184,0.1637417170311188,0.12449999999999999,2.3305000000000002,0.25150885713866333,0.14450000000000002,2.3105,0.23979690853824545,0.17850000000000002,2.2765,0.2602971537109484,0.665,1.79,0.6418900588029489,1.654,0.8010000000000002,0.727395448360942,2.3894999999999995,0.06550000000000056,0.6006394244199456,2.8034999999999997,-0.3484999999999996,0.5396001258898314,39658399389.4891,-0.1111416846433104,9855625468.0504,0.3024554352289992,88.794109524791,-0.1349620299291399,3.2,-0.0881478692034443,4.6,-0.05529428867930945
15,CHICAGO,2012-12,2.485,Other FHA,0.1631578947368421,2.321842105263158,0.241086352962645,0.1875157894736842,2.297484210526316,0.2437026897745793,0.21092631578947374,2.274073684210526,0.2434673816637611,0.2552894736842105,2.2297105263157895,0.2370659903696609,0.30947368421052623,2.1755263157894738,0.22521446641650447,0.5145657894736843,1.9704342105263155,0.17604121152762986,0.8483157894736841,1.6366842105263157,0.1637417170311188,0.039500000000000014,2.4455,0.25150885713866333,0.11950000000000005,2.3655,0.23979690853824545,0.1585,2.3265,0.2602971537109484,0.6960000000000001,1.7889999999999997,0.6418900588029489,1.7189999999999999,0.766,0.727395448360942,2.4675000000000002,0.017499999999999627,0.6006394244199456,2.8835,-0.3985000000000003,0.5396001258898314,39298206327.5877,-0.1111416846433104,9123117418.53368,0.3024554352289992,88.920473853359,-0.1349620299291399,3.0,-0.0881478692034443,4.4,-0.05529428867930945
16,CHICAGO,2013-01,2.75,Other FHA,0.16043181818181818,2.5895681818181817,0.241086352962645,0.17947272727272726,2.5705272727272725,0.2437026897745793,0.20497272727272725,2.545027272727273,0.2434673816637611,0.2497954545454545,2.5002045454545456,0.2370659903696609,0.30261363636363625,2.4473863636363635,0.22521446641650447,0.48810454545454546,2.2618954545454546,0.17604121152762986,0.8142727272727271,1.9357272727272727,0.1637417170311188,0.05190476190476192,2.698095238095238,0.25150885713866333,0.10761904761904766,2.6423809523809525,0.23979690853824545,0.14523809523809525,2.604761904761905,0.2602971537109484,0.8052380952380951,1.944761904761905,0.6418900588029489,1.9147619047619049,0.8352380952380951,0.727395448360942,2.681428571428571,0.06857142857142895,0.6006394244199456,3.0804761904761913,-0.33047619047619126,0.5396001258898314,40395555554.9932,-0.1111416846433104,9498561196.652071,0.3024554352289992,86.5850023909696,-0.1349620299291399,3.1,-0.0881478692034443,4.4,-0.05529428867930945
