,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
11,2013-02,MN,MINNEAPOLIS,2013-02,2.865,"(-93.288721, 44.906056)",55419,17715.315000000002,Improvements_Additions for Apartments_Coops,0.15464999999999998,0.20233944984072846,0.17315,0.2019489619680824,0.20129999999999998,0.20235931852175693,0.2455,0.20212256979274668,0.29049499999999995,0.19833723574882903,0.463425,0.16204143452966072,0.761875,0.1389168993628102,0.0768421052631579,0.2163767580655897,0.12421052631578947,0.21103407051646175,0.15736842105263157,0.22081878094689747,0.8463157894736841,0.5677767334403937,1.9842105263157896,0.5463436214998171,2.782631578947368,0.40886067753349453,3.165263157894737,0.3434406640045871,39298206327.5877,0.06909842355047704,9260696074.4491,0.4980586658817363,89.95115518901541,-0.287841091154725,1.8,-0.14153313002649145,2.1,-0.06212819386454829,-93.288721,44.906056
12,2013-03,MN,MINNEAPOLIS,2013-03,3.35,"(-93.309354, 44.980027)",55405,13628.54,Improvements_Additions for Apartments_Coops,0.15505000000000002,0.20233944984072846,0.17309999999999998,0.2019489619680824,0.20345,0.20235931852175693,0.2419,0.20212256979274668,0.28190000000000004,0.19833723574882903,0.44782500000000003,0.16204143452966072,0.7351250000000001,0.1389168993628102,0.07800000000000003,0.2163767580655897,0.11450000000000005,0.21103407051646175,0.14750000000000002,0.22081878094689747,0.8185000000000002,0.5677767334403937,1.9575,0.5463436214998171,2.7840000000000003,0.40886067753349453,3.1625000000000005,0.3434406640045871,40395555554.9932,0.06909842355047704,8901986132.75728,0.4980586658817363,90.32258801944451,-0.287841091154725,1.7,-0.14153313002649145,2.0,-0.06212819386454829,-93.309354,44.980027
13,2013-04,MN,MINNEAPOLIS,2013-04,3.25,"(-93.28521690000001, 45.0545189)",55411,13225.21,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.20233944984072846,0.17210476190476193,0.2019489619680824,0.19953333333333334,0.20235931852175693,0.24005714285714277,0.20212256979274668,0.27714285714285714,0.19833723574882903,0.4360190476190476,0.16204143452966072,0.7168333333333334,0.1389168993628102,0.049090909090909116,0.2163767580655897,0.09409090909090913,0.21103407051646175,0.12454545454545456,0.22081878094689747,0.7104545454545454,0.5677767334403937,1.7590909090909093,0.5463436214998171,2.5500000000000003,0.40886067753349453,2.9327272727272726,0.3434406640045871,40995097959.5386,0.06909842355047704,10210246554.7955,0.4980586658817363,88.1059676388142,-0.287841091154725,1.8,-0.14153313002649145,1.9,-0.06212819386454829,-93.28521690000001,45.0545189
14,2013-05,MN,MINNEAPOLIS,2013-05,3.15,"(-93.25801700000001, 44.978297999999995)",55418,32977.17,Improvements_Additions for Apartments_Coops,0.1435047619047619,0.20233944984072846,0.1638380952380952,0.2019489619680824,0.19670952380952378,0.20235931852175693,0.23396000000000003,0.20212256979274668,0.27416904761904765,0.19833723574882903,0.42137333333333327,0.16204143452966072,0.6936104761904763,0.1389168993628102,0.020454545454545458,0.2163767580655897,0.08090909090909093,0.21103407051646175,0.11863636363636366,0.22081878094689747,0.840909090909091,0.5677767334403937,1.9281818181818182,0.5463436214998171,2.7286363636363635,0.40886067753349453,3.112727272727273,0.3434406640045871,41507587847.7023,0.06909842355047704,10216278752.7557,0.4980586658817363,86.47441597957871,-0.287841091154725,1.9,-0.14153313002649145,1.8,-0.06212819386454829,-93.25801700000001,44.978297999999995
15,2013-07,MN,MINNEAPOLIS,2013-07,2.92,"(-93.206665, 44.948651)",55406,31342.28,Improvements_Additions for Apartments_Coops,0.12117913043478262,0.20233944984072846,0.15611695652173913,0.2019489619680824,0.19111913043478265,0.20235931852175693,0.232388695652174,0.20212256979274668,0.26758260869565215,0.19833723574882903,0.40307869565217386,0.16204143452966072,0.6838491304347826,0.1389168993628102,0.020909090909090912,0.2163767580655897,0.07363636363636367,0.21103407051646175,0.12181818181818184,0.22081878094689747,1.4031818181818183,0.5677767334403937,2.5822727272727275,0.5463436214998171,3.3072727272727276,0.40886067753349453,3.605,0.3434406640045871,41334062733.8549,0.06909842355047704,10396023519.0372,0.4980586658817363,88.4263020205016,-0.287841091154725,1.8,-0.14153313002649145,1.7,-0.06212819386454829,-93.206665,44.948651
16,2013-08,MN,MINNEAPOLIS,2013-08,3.835,"(-93.2655, 44.9773)",55406,13858.009999999998,Improvements_Additions for Apartments_Coops,0.11782999999999999,0.20233944984072846,0.1493142857142857,0.2019489619680824,0.1840704761904762,0.20235931852175693,0.22633523809523812,0.20212256979274668,0.2633952380952381,0.19833723574882903,0.3949285714285714,0.16204143452966072,0.6679499999999999,0.1389168993628102,0.03681818181818183,0.2163767580655897,0.07181818181818184,0.21103407051646175,0.12681818181818183,0.22081878094689747,1.5204545454545455,0.5677767334403937,2.7372727272727273,0.5463436214998171,3.488181818181818,0.40886067753349453,3.757727272727273,0.3434406640045871,41062625933.5941,0.06909842355047704,9402239044.86975,0.4980586658817363,85.3165844012547,-0.287841091154725,1.6,-0.14153313002649145,1.6,-0.06212819386454829,-93.2655,44.9773
17,2013-12,MN,MINNEAPOLIS,2013-12,4.1025,"(-93.265679, 45.008021)",55418,25850.9175,Improvements_Additions for Apartments_Coops,0.10022500000000001,0.20233944984072846,0.1273025,0.2019489619680824,0.16723,0.20235931852175693,0.2127325,0.20212256979274668,0.24389749999999996,0.19833723574882903,0.34639499999999995,0.16204143452966072,0.579045,0.1389168993628102,0.019047619047619053,0.2163767580655897,0.09523809523809526,0.21103407051646175,0.13285714285714287,0.22081878094689747,1.5761904761904764,0.5677767334403937,2.901904761904762,0.5463436214998171,3.6266666666666674,0.40886067753349453,3.889047619047619,0.3434406640045871,42151687038.4775,0.06909842355047704,11032404366.8063,0.4980586658817363,82.56600445924391,-0.287841091154725,1.8,-0.14153313002649145,1.4,-0.06212819386454829,-93.265679,45.008021
18,2014-01,MN,MINNEAPOLIS,2014-01,4.23,"(-93.241703, 44.963758)",55404,28271.76,Improvements_Additions for Apartments_Coops,0.09003181818181817,0.20233944984072846,0.1219931818181818,0.2019489619680824,0.1597090909090909,0.20235931852175693,0.204425,0.20212256979274668,0.23822954545454544,0.19833723574882903,0.33795909090909093,0.16204143452966072,0.5752999999999999,0.1389168993628102,0.017142857142857144,0.2163767580655897,0.0690476190476191,0.21103407051646175,0.11619047619047623,0.22081878094689747,1.6466666666666665,0.5677767334403937,2.858095238095238,0.5463436214998171,3.521904761904762,0.40886067753349453,3.76904761904762,0.3434406640045871,43204378466.7468,0.06909842355047704,9507943209.106209,0.4980586658817363,82.11515832772571,-0.287841091154725,1.5,-0.14153313002649145,1.4,-0.06212819386454829,-93.241703,44.963758
19,2014-02,MN,MINNEAPOLIS,2014-02,4.14,"(-93.238386, 44.935223)",55407,51600.32,Improvements_Additions for Apartments_Coops,0.08627,0.20233944984072846,0.11939250000000004,0.2019489619680824,0.155105,0.20235931852175693,0.19663749999999997,0.20212256979274668,0.23520249999999998,0.19833723574882903,0.3308,0.16204143452966072,0.554605,0.1389168993628102,0.046842105263157914,0.2163767580655897,0.08105263157894738,0.21103407051646175,0.11684210526315793,0.22081878094689747,1.5157894736842106,0.5677767334403937,2.7094736842105265,0.5463436214998171,3.3847368421052626,0.40886067753349453,3.6626315789473685,0.3434406640045871,44555116847.5878,0.06909842355047704,10121843859.6075,0.4980586658817363,81.9669757663089,-0.287841091154725,1.5,-0.14153313002649145,1.3,-0.06212819386454829,-93.238386,44.935223
20,2014-03,MN,MINNEAPOLIS,2014-03,3.91,"(-93.24, 44.91)",55417,50390.51,Improvements_Additions for Apartments_Coops,0.0888,0.20233944984072846,0.1207452380952381,0.2019489619680824,0.15488333333333335,0.20235931852175693,0.19711666666666672,0.20212256979274668,0.23409761904761903,0.19833723574882903,0.33106666666666673,0.16204143452966072,0.5571428571428573,0.1389168993628102,0.051428571428571455,0.2163767580655897,0.07857142857142858,0.21103407051646175,0.1280952380952381,0.22081878094689747,1.6395238095238096,0.5677767334403937,2.7233333333333327,0.5463436214998171,3.3466666666666667,0.40886067753349453,3.6209523809523807,0.3434406640045871,44109559396.2995,0.06909842355047704,10638305940.4607,0.4980586658817363,81.64661519553,-0.287841091154725,1.3,-0.14153313002649145,1.4,-0.06212819386454829,-93.24,44.91
