,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(1),Corr with student_vol(1),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(2),Corr with mortgage 90(2)
0,PORTAGE,2010-01,5.25,Improvements_Additions for Apartments_Coops,0.172129,5.077871,0.18229912857622652,0.207845,5.042155,0.18894257239213272,0.23159750000000004,5.0184025,0.1790296130754572,0.24093950000000003,5.0090605,0.15703861409940936,0.25011950000000005,4.9998805,0.13491511112255025,0.39936099999999997,4.850639,0.1297305497954854,0.8985025,4.3514975,0.2022164630887682,0.022631578947368423,5.227368421052631,0.1623883089321768,0.14842105263157898,5.101578947368421,0.17190559499835353,0.3457894736842104,4.90421052631579,0.19933162295239615,2.4842105263157896,2.7657894736842104,0.7952050843692847,3.7331578947368427,1.5168421052631573,0.844668227635372,4.501578947368422,0.7484210526315778,0.7358320768652062,4.604736842105263,0.6452631578947372,0.6835583304559559,27396832704.0094,-0.6433449064509986,14228362706.5907,0.7899233488304785,101.129830992893,0.8227485435971962,4.6,0.7713331375522373,3.5,0.5631987288784657
1,PORTAGE,2011-04,4.45,Improvements_Additions for Apartments_Coops,0.14759444444444447,4.302405555555556,0.18229912857622652,0.19237777777777781,4.257622222222222,0.18894257239213272,0.22143500000000005,4.228565,0.1790296130754572,0.25190277777777786,4.198097222222223,0.15703861409940936,0.28138222222222226,4.1686177777777775,0.13491511112255025,0.44229888888888896,4.007701111111111,0.1297305497954854,0.7700555555555555,3.6799444444444447,0.2022164630887682,0.029500000000000005,4.4205000000000005,0.1623883089321768,0.11950000000000002,4.3305,0.17190559499835353,0.24650000000000002,4.2035,0.19933162295239615,2.169,2.281,0.7952050843692847,3.4549999999999996,0.9950000000000006,0.844668227635372,4.276000000000001,0.1739999999999995,0.7358320768652062,4.5015,-0.05149999999999988,0.6835583304559559,31754785132.2305,-0.6433449064509986,13753511368.0623,0.7899233488304785,94.0022251537174,0.8227485435971962,3.2,0.7713331375522373,2.9,0.5631987288784657
2,PORTAGE,2011-06,3.58,Improvements_Additions for Apartments_Coops,0.12706818181818183,3.4529318181818183,0.18229912857622652,0.1615431818181819,3.4184568181818182,0.18894257239213272,0.18716409090909092,3.392835909090909,0.1790296130754572,0.21923909090909086,3.360760909090909,0.15703861409940936,0.24782409090909094,3.332175909090909,0.13491511112255025,0.39758,3.18242,0.1297305497954854,0.7268749999999999,2.8531250000000004,0.2022164630887682,0.0190909090909091,3.560909090909091,0.1623883089321768,0.1013636363636364,3.4786363636363635,0.17190559499835353,0.18090909090909094,3.399090909090909,0.19933162295239615,1.5799999999999998,2.0,0.7952050843692847,3.002272727272727,0.5777272727272731,0.844668227635372,3.9145454545454546,-0.3345454545454545,0.7358320768652062,4.2327272727272724,-0.6527272727272724,0.6835583304559559,34623712775.9563,-0.6433449064509986,13238482167.5647,0.7899233488304785,91.59671843464591,0.8227485435971962,3.2,0.7713331375522373,2.9,0.5631987288784657
3,PORTAGE,2013-07,3.23,Improvements_Additions for Apartments_Coops,0.12117913043478262,3.1088208695652173,0.18229912857622652,0.15611695652173913,3.073883043478261,0.18894257239213272,0.19111913043478265,3.0388808695652174,0.1790296130754572,0.232388695652174,2.997611304347826,0.15703861409940936,0.26758260869565215,2.962417391304348,0.13491511112255025,0.40307869565217386,2.826921304347826,0.1297305497954854,0.6838491304347826,2.5461508695652175,0.2022164630887682,0.020909090909090912,3.209090909090909,0.1623883089321768,0.07363636363636367,3.1563636363636363,0.17190559499835353,0.12181818181818184,3.108181818181818,0.19933162295239615,1.4031818181818183,1.8268181818181817,0.7952050843692847,2.5822727272727275,0.6477272727272725,0.844668227635372,3.3072727272727276,-0.0772727272727276,0.7358320768652062,3.605,-0.375,0.6835583304559559,41658198449.9001,-0.6433449064509986,10210246554.7955,0.7899233488304785,86.5850023909696,0.8227485435971962,2.8,0.7713331375522373,1.8,0.5631987288784657
4,PORTAGE,2014-07,3.64,Improvements_Additions for Apartments_Coops,0.09286956521739129,3.5471304347826087,0.18229912857622652,0.12270652173913045,3.5172934782608696,0.18894257239213272,0.15438695652173914,3.485613043478261,0.1790296130754572,0.1955586956521739,3.4444413043478264,0.15703861409940936,0.23417391304347826,3.405826086956522,0.13491511112255025,0.32826086956521744,3.3117391304347827,0.1297305497954854,0.5557695652173912,3.084230434782609,0.2022164630887682,0.024090909090909093,3.615909090909091,0.1623883089321768,0.059545454545454575,3.5804545454545456,0.17190559499835353,0.11136363636363639,3.528636363636364,0.19933162295239615,1.699545454545455,1.9404545454545452,0.7952050843692847,2.542272727272727,1.097727272727273,0.844668227635372,3.071363636363636,0.5686363636363643,0.7358320768652062,3.3318181818181816,0.30818181818181856,0.6835583304559559,44940573200.2924,-0.6433449064509986,11117378455.0815,0.7899233488304785,82.56600445924391,0.8227485435971962,2.4,0.7713331375522373,1.7,0.5631987288784657
5,PORTAGE,2014-10,3.89,Improvements_Additions for Apartments_Coops,0.09059565217391304,3.799404347826087,0.18229912857622652,0.11953260869565213,3.770467391304348,0.18894257239213272,0.15351739130434783,3.736482608695652,0.1790296130754572,0.1974043478260869,3.6925956521739134,0.15703861409940936,0.2313760869565217,3.6586239130434786,0.13491511112255025,0.3236195652173913,3.5663804347826087,0.1297305497954854,0.5523869565217392,3.337613043478261,0.2022164630887682,0.020909090909090912,3.869090909090909,0.1623883089321768,0.05045454545454548,3.839545454545455,0.17190559499835353,0.10454545454545458,3.7854545454545456,0.19933162295239615,1.5459090909090911,2.344090909090909,0.7952050843692847,2.304090909090909,1.585909090909091,0.844668227635372,2.7731818181818184,1.1168181818181817,0.7358320768652062,3.039999999999999,0.850000000000001,0.6835583304559559,45758876905.2845,-0.6433449064509986,11357071284.6333,0.7899233488304785,81.64661519553,0.8227485435971962,2.9,0.7713331375522373,1.5,0.5631987288784657
6,PORTAGE,2015-04,2.75,Improvements_Additions for Apartments_Coops,0.12200000000000003,2.628,0.18229912857622652,0.14605250000000003,2.6039475,0.18894257239213272,0.18076750000000003,2.5692325,0.1790296130754572,0.22830999999999996,2.52169,0.15703861409940936,0.27596,2.47404,0.13491511112255025,0.404505,2.345495,0.1297305497954854,0.6969449999999999,2.053055,0.2022164630887682,0.018181818181818188,2.731818181818182,0.1623883089321768,0.09363636363636368,2.6563636363636363,0.17190559499835353,0.23363636363636367,2.516363636363636,0.19933162295239615,1.3545454545454545,1.3954545454545455,0.7952050843692847,1.9349999999999996,0.8150000000000004,0.844668227635372,2.334090909090909,0.415909090909091,0.7358320768652062,2.5859090909090905,0.1640909090909095,0.6835583304559559,48836554747.323,-0.6433449064509986,11119760586.3258,0.7899233488304785,80.33849809561521,0.8227485435971962,2.0,0.7713331375522373,1.3,0.5631987288784657
7,PORTAGE,2015-09,3.5,Improvements_Additions for Apartments_Coops,0.1344409090909091,3.365559090909091,0.18229912857622652,0.15661363636363634,3.3433863636363634,0.18894257239213272,0.20107727272727274,3.298922727272727,0.1790296130754572,0.26589318181818195,3.234106818181818,0.15703861409940936,0.3311113636363637,3.1688886363636364,0.13491511112255025,0.5371681818181817,2.9628318181818183,0.1297305497954854,0.8526636363636364,2.647336363636364,0.2022164630887682,0.008571428571428572,3.4914285714285715,0.1623883089321768,0.17952380952380947,3.3204761904761906,0.17190559499835353,0.3733333333333333,3.126666666666667,0.19933162295239615,1.4900000000000002,2.01,0.7952050843692847,2.1728571428571435,1.3271428571428565,0.844668227635372,2.618095238095238,0.881904761904762,0.7358320768652062,2.9528571428571433,0.5471428571428567,0.6835583304559559,48154770296.6926,-0.6433449064509986,11758109185.709,0.7899233488304785,82.75451956383341,0.8227485435971962,2.1,0.7713331375522373,0.9,0.5631987288784657
8,PORTAGE,2016-11,3.67,Improvements_Additions for Apartments_Coops,0.4339245454545454,3.2360754545454546,0.18229912857622652,0.45880500000000013,3.211195,0.18894257239213272,0.5631090909090911,3.1068909090909087,0.1790296130754572,0.7006386363636362,2.969361363636364,0.15703861409940936,0.9084640909090909,2.761535909090909,0.13491511112255025,1.2693081818181815,2.4006918181818184,0.1297305497954854,1.6029650000000002,2.0670349999999997,0.2022164630887682,0.29999999999999993,3.37,0.1623883089321768,0.5834999999999999,3.0865,0.17190559499835353,0.736,2.934,0.19933162295239615,1.596,2.074,0.7952050843692847,2.142,1.528,0.844668227635372,2.5369999999999995,1.1330000000000005,0.7358320768652062,2.8620000000000005,0.8079999999999994,0.6835583304559559,48441183549.9275,-0.6433449064509986,12605986919.9069,0.7899233488304785,88.1942388876454,0.8227485435971962,2.6,0.7713331375522373,0.9,0.5631987288784657
9,PORTAGE,2018-06,4.14,Improvements_Additions for Apartments_Coops,1.8376333333333337,2.302366666666666,0.18229912857622652,1.9170571428571423,2.2229428571428573,0.18894257239213272,2.068429047619047,2.0715709523809527,0.1790296130754572,2.1502619047619045,1.9897380952380952,0.15703861409940936,2.330264285714286,1.8097357142857136,0.13491511112255025,2.4958952380952377,1.644104761904762,0.1297305497954854,2.759644285714286,1.3803557142857135,0.2022164630887682,1.8052380952380953,2.3347619047619044,0.1623883089321768,2.113809523809524,2.0261904761904757,0.17190559499835353,2.328095238095238,1.8119047619047617,0.19933162295239615,2.775714285714286,1.3642857142857139,0.7952050843692847,2.9123809523809525,1.2276190476190472,0.844668227635372,2.9776190476190476,1.162380952380952,0.7358320768652062,3.0500000000000007,1.089999999999999,0.6835583304559559,51507450037.54,-0.6433449064509986,13062636860.3963,0.7899233488304785,88.50967086025801,0.8227485435971962,2.1,0.7713331375522373,0.6,0.5631987288784657
