,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(-2),Corr with mortgage 90(-2)
0,MEDFORD,2010-09,3.84,Improvements_Additions for Apartments_Coops,0.22657136363636363,3.6134286363636363,-0.07971194751266635,0.251059090909091,3.588940909090909,-0.07073300148377143,0.25699454545454536,3.5830054545454546,-0.055064249013958004,0.2738163636363636,3.566183636363636,-0.059937239934833436,0.2913659090909092,3.5486340909090908,-0.05421119156679431,0.4777727272727273,3.3622272727272726,-0.05270396319016053,0.8043745454545456,3.035625454545454,-0.02788702942254568,0.1166666666666667,3.723333333333333,-0.066657144012711,0.19333333333333336,3.6466666666666665,-0.03250226826365514,0.2566666666666666,3.583333333333333,8.35262221659771e-05,1.4104761904761904,2.4295238095238094,0.44287104745571115,2.6476190476190475,1.1923809523809523,0.6466981357251118,3.4690476190476183,0.3709523809523816,0.5482362218477153,3.773333333333333,0.06666666666666687,0.5217005846491972,31618591270.7387,0.11560823997281935,11833891080.8667,-0.6238797984291253,94.7176548951663,-0.41214063514809696,3.0,-0.3805020739196824,3.8,-0.1344829512057782
1,MEDFORD,2011-08,3.97,Improvements_Additions for Apartments_Coops,0.14468363636363638,3.8253163636363636,-0.07971194751266635,0.18038681818181818,3.789613181818182,-0.07073300148377143,0.21116590909090904,3.758834090909091,-0.055064249013958004,0.24895727272727275,3.7210427272727276,-0.059937239934833436,0.29323772727272723,3.676762272727273,-0.05421119156679431,0.45919454545454547,3.5108054545454546,-0.05270396319016053,0.7783581818181818,3.1916418181818185,-0.02788702942254568,0.017391304347826094,3.952608695652174,-0.066657144012711,0.06217391304347828,3.907826086956522,-0.03250226826365514,0.11478260869565218,3.855217391304348,8.35262221659771e-05,1.021304347826087,2.948695652173913,0.44287104745571115,2.303043478260869,1.6669565217391313,0.6466981357251118,3.244782608695652,0.7252173913043483,0.5482362218477153,3.6513043478260867,0.3186956521739135,0.5217005846491972,35344521679.5642,0.11560823997281935,13753511368.0623,-0.6238797984291253,90.35087768078328,-0.41214063514809696,2.4,-0.3805020739196824,3.7,-0.1344829512057782
2,MEDFORD,2012-10,2.47,Improvements_Additions for Apartments_Coops,0.15320434782608702,2.316795652173913,-0.07971194751266635,0.17955217391304346,2.2904478260869565,-0.07073300148377143,0.21346521739130433,2.256534782608696,-0.055064249013958004,0.2717391304347827,2.1982608695652175,-0.059937239934833436,0.3304891304347827,2.1395108695652176,-0.05421119156679431,0.5823021739130435,1.8876978260869568,-0.05270396319016053,0.9185760869565219,1.5514239130434784,-0.02788702942254568,0.10952380952380951,2.3604761904761906,-0.066657144012711,0.14904761904761904,2.3209523809523813,-0.03250226826365514,0.17952380952380956,2.2904761904761908,8.35262221659771e-05,0.7085714285714285,1.7614285714285716,0.44287104745571115,1.7461904761904758,0.7238095238095243,0.6466981357251118,2.505714285714286,-0.03571428571428559,0.5482362218477153,2.90047619047619,-0.43047619047619,0.5217005846491972,39658399389.4891,0.11560823997281935,16111780903.4699,-0.6238797984291253,91.578064558499,-0.41214063514809696,2.5,-0.3805020739196824,4.6,-0.1344829512057782
3,MEDFORD,2013-04,3.35,Improvements_Additions for Apartments_Coops,0.1539047619047619,3.1960952380952383,-0.07971194751266635,0.17210476190476193,3.177895238095238,-0.07073300148377143,0.19953333333333334,3.1504666666666665,-0.055064249013958004,0.24005714285714277,3.1099428571428573,-0.059937239934833436,0.27714285714285714,3.072857142857143,-0.05421119156679431,0.4360190476190476,2.9139809523809523,-0.05270396319016053,0.7168333333333334,2.633166666666667,-0.02788702942254568,0.049090909090909116,3.300909090909091,-0.066657144012711,0.09409090909090913,3.255909090909091,-0.03250226826365514,0.12454545454545456,3.2254545454545456,8.35262221659771e-05,0.7104545454545454,2.6395454545454546,0.44287104745571115,1.7590909090909093,1.5909090909090908,0.6466981357251118,2.5500000000000003,0.7999999999999998,0.5482362218477153,2.9327272727272726,0.41727272727272746,0.5217005846491972,41334062733.8549,0.11560823997281935,11154944519.578999,-0.6238797984291253,90.32258801944451,-0.41214063514809696,1.6,-0.3805020739196824,3.8,-0.1344829512057782
4,MEDFORD,2014-01,4.43,Improvements_Additions for Apartments_Coops,0.09003181818181817,4.339968181818182,-0.07971194751266635,0.1219931818181818,4.308006818181818,-0.07073300148377143,0.1597090909090909,4.2702909090909085,-0.055064249013958004,0.204425,4.225575,-0.059937239934833436,0.23822954545454544,4.191770454545455,-0.05421119156679431,0.33795909090909093,4.092040909090909,-0.05270396319016053,0.5752999999999999,3.8547,-0.02788702942254568,0.017142857142857144,4.412857142857143,-0.066657144012711,0.0690476190476191,4.360952380952381,-0.03250226826365514,0.11619047619047623,4.313809523809524,8.35262221659771e-05,1.6466666666666665,2.783333333333333,0.44287104745571115,2.858095238095238,1.571904761904762,0.6466981357251118,3.521904761904762,0.9080952380952376,0.5482362218477153,3.76904761904762,0.6609523809523798,0.5217005846491972,44462292713.4678,0.11560823997281935,9473893018.88319,-0.6238797984291253,82.56600445924391,-0.41214063514809696,0.6,-0.3805020739196824,3.1,-0.1344829512057782
5,MEDFORD,2014-03,3.97,Improvements_Additions for Apartments_Coops,0.0888,3.8812,-0.07971194751266635,0.1207452380952381,3.849254761904762,-0.07073300148377143,0.15488333333333335,3.815116666666667,-0.055064249013958004,0.19711666666666672,3.7728833333333336,-0.059937239934833436,0.23409761904761903,3.735902380952381,-0.05421119156679431,0.33106666666666673,3.6389333333333336,-0.05270396319016053,0.5571428571428573,3.412857142857143,-0.02788702942254568,0.051428571428571455,3.9185714285714286,-0.066657144012711,0.07857142857142858,3.8914285714285715,-0.03250226826365514,0.1280952380952381,3.841904761904762,8.35262221659771e-05,1.6395238095238096,2.3304761904761904,0.44287104745571115,2.7233333333333327,1.2466666666666675,0.6466981357251118,3.3466666666666667,0.6233333333333335,0.5482362218477153,3.6209523809523807,0.3490476190476195,0.5217005846491972,44931729222.7983,0.11560823997281935,9402239044.86975,-0.6238797984291253,81.9669757663089,-0.41214063514809696,1.1,-0.3805020739196824,3.4,-0.1344829512057782
6,MEDFORD,2016-02,3.43,Improvements_Additions for Apartments_Coops,0.3714619047619048,3.058538095238095,-0.07971194751266635,0.39233095238095245,3.0376690476190475,-0.07073300148377143,0.43129761904761904,2.998702380952381,-0.055064249013958004,0.5186452380952381,2.911354761904762,-0.059937239934833436,0.6227190476190477,2.8072809523809523,-0.05421119156679431,0.8697642857142857,2.5602357142857146,-0.05270396319016053,1.1407690476190477,2.2892309523809526,-0.02788702942254568,0.25600000000000006,3.174,-0.066657144012711,0.445,2.9850000000000003,-0.03250226826365514,0.534,2.896,8.35262221659771e-05,1.222,2.208,0.44287104745571115,1.7794999999999999,1.6505000000000003,0.6466981357251118,2.1990000000000003,1.2309999999999999,0.5482362218477153,2.623,0.8069999999999999,0.5217005846491972,49206523977.8161,0.11560823997281935,10798655053.3939,-0.6238797984291253,85.2359522201137,-0.41214063514809696,1.5,-0.3805020739196824,1.7,-0.1344829512057782
7,MEDFORD,2016-03,3.54,Improvements_Additions for Apartments_Coops,0.3739333333333333,3.1660666666666666,-0.07971194751266635,0.39734047619047613,3.142659523809524,-0.07073300148377143,0.43639523809523806,3.103604761904762,-0.055064249013958004,0.5204357142857143,3.019564285714286,-0.059937239934833436,0.632,2.908,-0.05421119156679431,0.9009761904761905,2.6390238095238097,-0.05270396319016053,1.2156690476190475,2.3243309523809526,-0.02788702942254568,0.2531818181818182,3.286818181818182,-0.066657144012711,0.47,3.0700000000000003,-0.03250226826365514,0.6563636363636364,2.8836363636363638,8.35262221659771e-05,1.3759090909090912,2.164090909090909,0.44287104745571115,1.889090909090909,1.650909090909091,0.6466981357251118,2.2759090909090913,1.2640909090909087,0.5482362218477153,2.6845454545454546,0.8554545454545455,0.5217005846491972,49692544708.3448,0.11560823997281935,13039171751.3192,-0.6238797984291253,85.1896726255448,-0.41214063514809696,1.3,-0.3805020739196824,1.5,-0.1344829512057782
8,MEDFORD,2016-04,3.58,Improvements_Additions for Apartments_Coops,0.38031428571428566,3.1996857142857142,-0.07971194751266635,0.39864523809523805,3.181354761904762,-0.07073300148377143,0.4373976190476192,3.142602380952381,-0.055064249013958004,0.5229452380952381,3.057054761904762,-0.059937239934833436,0.6327499999999999,2.9472500000000004,-0.05421119156679431,0.9025404761904764,2.6774595238095236,-0.05270396319016053,1.2222214285714286,2.3577785714285717,-0.02788702942254568,0.18761904761904763,3.3923809523809525,-0.066657144012711,0.37238095238095237,3.2076190476190476,-0.03250226826365514,0.5557142857142858,3.024285714285714,8.35262221659771e-05,1.2580952380952382,2.321904761904762,0.44287104745571115,1.8052380952380953,1.7747619047619048,0.6466981357251118,2.2104761904761907,1.3695238095238094,0.5482362218477153,2.6233333333333335,0.9566666666666666,0.5217005846491972,50596067254.1766,0.11560823997281935,11404853913.5663,-0.6238797984291253,87.39008859346599,-0.41214063514809696,1.4,-0.3805020739196824,1.7,-0.1344829512057782
9,MEDFORD,2016-07,3.97,Improvements_Additions for Apartments_Coops,0.41380476190476195,3.5561952380952384,-0.07971194751266635,0.43819285714285716,3.531807142857143,-0.07073300148377143,0.4828833333333333,3.487116666666667,-0.055064249013958004,0.5734595238095239,3.3965404761904763,-0.059937239934833436,0.6963095238095237,3.2736904761904766,-0.05421119156679431,0.9990666666666668,2.9709333333333334,-0.05270396319016053,1.31707619047619,2.65292380952381,-0.02788702942254568,0.2635000000000001,3.7065,-0.066657144012711,0.4040000000000001,3.5660000000000003,-0.03250226826365514,0.5135000000000001,3.4565,8.35262221659771e-05,1.0715,2.8985000000000003,0.44287104745571115,1.504,2.466,0.6466981357251118,1.8224999999999998,2.1475000000000004,0.5482362218477153,2.227,1.7430000000000003,0.5217005846491972,49971382532.5922,0.11560823997281935,10916249757.9916,-0.6238797984291253,88.43997566936979,-0.41214063514809696,1.0,-0.3805020739196824,1.1,-0.1344829512057782
10,MEDFORD,2017-12,3.3,Improvements_Additions for Apartments_Coops,1.3144094736842107,1.9855905263157891,-0.07971194751266635,1.3913115789473685,1.9086884210526314,-0.07073300148377143,1.4850410526315792,1.8149589473684207,-0.055064249013958004,1.5354463157894738,1.764553684210526,-0.059937239934833436,1.6017521052631578,1.698247894736842,-0.05421119156679431,1.7680373684210524,1.5319626315789474,-0.05270396319016053,2.0434931578947366,1.2565068421052632,-0.02788702942254568,1.204,2.096,-0.066657144012711,1.4950000000000003,1.8049999999999995,-0.03250226826365514,1.7005,1.5995,8.35262221659771e-05,2.1819999999999995,1.1180000000000003,0.44287104745571115,2.4025,0.8975,0.6466981357251118,2.5970000000000004,0.7029999999999994,0.5482362218477153,2.768,0.532,0.5217005846491972,50505964400.0098,0.11560823997281935,11813706431.8634,-0.6238797984291253,88.50967086025801,-0.41214063514809696,1.1,-0.3805020739196824,0.7,-0.1344829512057782
