,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
0,TULSA,2010-11,3.68,Improvements_Additions for Apartments_Coops,0.22869727272727272,3.4513027272727275,0.23666076758467383,0.24913818181818187,3.4308618181818185,0.24396873426553242,0.2541922727272727,3.4258077272727276,0.23595424059858228,0.27004181818181816,3.409958181818182,0.20397649178355745,0.2871204545454545,3.3928795454545457,0.15163851729283975,0.44597000000000014,3.23403,0.0998345003628401,0.7651345454545454,2.914865454545455,0.10185892823139418,0.13400000000000004,3.5460000000000003,0.2602455017964417,0.182,3.498,0.246718532096118,0.25200000000000006,3.428,0.2551401325649435,1.35,2.33,0.5081720548214927,2.7630000000000003,0.9169999999999998,0.7067220446031892,3.817999999999999,-0.137999999999999,0.6536763263015776,4.186,-0.5059999999999998,0.6044322439603305,30207558860.6451,-0.1565383308576488,12342273869.2704,0.6382492352014939,95.21340255359091,0.4119286308957725,4.2,0.4562187731588523,2.8,0.2635121140010292
1,TULSA,2011-05,3.8,Improvements_Additions for Apartments_Coops,0.130775,3.669225,0.23666076758467383,0.16787249999999998,3.6321274999999997,0.24396873426553242,0.1978005,3.6021994999999998,0.23595424059858228,0.23078799999999994,3.569212,0.20397649178355745,0.260713,3.539287,0.15163851729283975,0.41407550000000004,3.3859245,0.0998345003628401,0.7391499999999999,3.06085,0.10185892823139418,0.024285714285714285,3.7757142857142854,0.2602455017964417,0.0866666666666667,3.713333333333333,0.246718532096118,0.18809523809523812,3.6119047619047615,0.2551401325649435,1.8423809523809527,1.9576190476190471,0.5081720548214927,3.168571428571429,0.6314285714285708,0.7067220446031892,4.011428571428572,-0.21142857142857174,0.6536763263015776,4.293333333333333,-0.4933333333333332,0.6044322439603305,31041077337.2648,-0.1565383308576488,11311909309.5948,0.6382492352014939,94.0022251537174,0.4119286308957725,4.3,0.4562187731588523,3.0,0.2635121140010292
2,TULSA,2011-06,4.43,Improvements_Additions for Apartments_Coops,0.12706818181818183,4.3029318181818175,0.23666076758467383,0.1615431818181819,4.268456818181818,0.24396873426553242,0.18716409090909092,4.242835909090909,0.23595424059858228,0.21923909090909086,4.210760909090909,0.20397649178355745,0.24782409090909094,4.182175909090909,0.15163851729283975,0.39758,4.03242,0.0998345003628401,0.7268749999999999,3.703125,0.10185892823139418,0.0190909090909091,4.41090909090909,0.2602455017964417,0.1013636363636364,4.328636363636363,0.246718532096118,0.18090909090909094,4.249090909090909,0.2551401325649435,1.5799999999999998,2.8499999999999996,0.5081720548214927,3.002272727272727,1.4277272727272727,0.7067220446031892,3.9145454545454546,0.5154545454545452,0.6536763263015776,4.2327272727272724,0.19727272727272727,0.6044322439603305,31300541846.2612,-0.1565383308576488,15995126134.7035,0.6382492352014939,93.74313363440879,0.4119286308957725,4.1,0.4562187731588523,3.0,0.2635121140010292
3,TULSA,2012-05,3.4,Improvements_Additions for Apartments_Coops,0.15161363636363637,3.2483863636363637,0.23666076758467383,0.19053181818181822,3.2094681818181816,0.24396873426553242,0.23893181818181805,3.161068181818182,0.23595424059858228,0.3457045454545453,3.0542954545454544,0.20397649178355745,0.4665318181818183,2.9334681818181814,0.15163851729283975,0.732990909090909,2.667009090909091,0.0998345003628401,1.0615068181818177,2.3384931818181824,0.10185892823139418,0.06590909090909093,3.334090909090909,0.2602455017964417,0.14545454545454548,3.2545454545454544,0.246718532096118,0.19181818181818186,3.208181818181818,0.2551401325649435,0.7618181818181818,2.638181818181818,0.5081720548214927,1.8031818181818189,1.596818181818181,0.7067220446031892,2.525909090909091,0.874090909090909,0.6536763263015776,2.930909090909091,0.4690909090909088,0.6044322439603305,36777908030.9335,-0.1565383308576488,11251067892.2966,0.6382492352014939,90.7743282432688,0.4119286308957725,4.0,0.4562187731588523,3.3,0.2635121140010292
4,TULSA,2012-06,3.815,Improvements_Additions for Apartments_Coops,0.163,3.652,0.23666076758467383,0.19464736842105262,3.6203526315789474,0.24396873426553242,0.24319736842105263,3.5718026315789473,0.23595424059858228,0.3459342105263157,3.4690657894736843,0.20397649178355745,0.46558684210526313,3.3494131578947366,0.15163851729283975,0.7364000000000004,3.0786,0.0998345003628401,1.0691894736842107,2.7458105263157893,0.10185892823139418,0.05190476190476193,3.763095238095238,0.2602455017964417,0.14809523809523809,3.6669047619047617,0.246718532096118,0.18904761904761905,3.625952380952381,0.2551401325649435,0.7114285714285714,3.1035714285714286,0.5081720548214927,1.6223809523809525,2.1926190476190475,0.7067220446031892,2.3061904761904763,1.5088095238095236,0.6536763263015776,2.698095238095238,1.1169047619047618,0.6044322439603305,36186315501.0541,-0.1565383308576488,11641401212.0971,0.6382492352014939,90.6452366150782,0.4119286308957725,3.5,0.4562187731588523,3.2,0.2635121140010292
5,TULSA,2012-07,3.1,Improvements_Additions for Apartments_Coops,0.16720454545454547,2.9327954545454546,0.23666076758467383,0.19873636363636368,2.9012636363636366,0.24396873426553242,0.24646136363636365,2.8535386363636364,0.23595424059858228,0.34024999999999994,2.7597500000000004,0.20397649178355745,0.4535545454545455,2.6464454545454545,0.15163851729283975,0.7302181818181818,2.3697818181818184,0.0998345003628401,1.0653181818181816,2.0346818181818183,0.10185892823139418,0.06952380952380956,3.0304761904761905,0.2602455017964417,0.14571428571428574,2.954285714285714,0.246718532096118,0.18571428571428572,2.9142857142857146,0.2551401325649435,0.6195238095238095,2.4804761904761907,0.5081720548214927,1.5266666666666664,1.5733333333333337,0.7067220446031892,2.217142857142857,0.882857142857143,0.6536763263015776,2.5900000000000003,0.5099999999999998,0.6044322439603305,36601383816.48,-0.1565383308576488,12770391029.1034,0.6382492352014939,90.0868950067716,0.4119286308957725,3.3,0.4562187731588523,2.8,0.2635121140010292
6,TULSA,2015-11,3.64,Improvements_Additions for Apartments_Coops,0.13066666666666668,3.5093333333333336,0.23666076758467383,0.1559214285714286,3.4840785714285714,0.24396873426553242,0.20844761904761913,3.431552380952381,0.23595424059858228,0.286702380952381,3.353297619047619,0.20397649178355745,0.3709714285714286,3.2690285714285716,0.15163851729283975,0.6063738095238096,3.0336261904761903,0.0998345003628401,0.9343738095238093,2.705626190476191,0.10185892823139418,0.07105263157894738,3.568947368421053,0.2602455017964417,0.32789473684210524,3.312105263157895,0.246718532096118,0.47684210526315784,3.1631578947368424,0.2551401325649435,1.6710526315789473,1.9689473684210528,0.5081720548214927,2.2631578947368416,1.3768421052631585,0.7067220446031892,2.6863157894736847,0.9536842105263155,0.6536763263015776,3.03,0.6100000000000003,0.6044322439603305,48491901272.6637,-0.1565383308576488,11492007418.0579,0.6382492352014939,81.7923503982947,0.4119286308957725,2.5,0.4562187731588523,1.8,0.2635121140010292
7,TULSA,2016-08,3.33,Improvements_Additions for Apartments_Coops,0.41817045454545454,2.9118295454545455,0.23666076758467383,0.4429568181818182,2.887043181818182,0.24396873426553242,0.5122418181818182,2.817758181818182,0.23595424059858228,0.6351372727272727,2.6948627272727275,0.20397649178355745,0.810223181818182,2.519776818181818,0.15163851729283975,1.1977463636363632,2.132253636363637,0.0998345003628401,1.5097959090909088,1.8202040909090913,0.10185892823139418,0.2608695652173914,3.0691304347826085,0.2602455017964417,0.4460869565217393,2.8839130434782607,0.246718532096118,0.5682608695652173,2.761739130434783,0.2551401325649435,1.1330434782608694,2.1969565217391307,0.5081720548214927,1.5565217391304347,1.7734782608695654,0.7067220446031892,1.8895652173913038,1.4404347826086963,0.6536763263015776,2.261739130434783,1.0682608695652172,0.6044322439603305,50596067254.1766,-0.1565383308576488,11496937509.4445,0.6382492352014939,84.0267577476249,0.4119286308957725,2.2,0.4562187731588523,1.5,0.2635121140010292
8,TULSA,2017-04,3.62,Improvements_Additions for Apartments_Coops,0.9290682352941175,2.6909317647058826,0.23666076758467383,0.9469605882352942,2.673039411764706,0.24396873426553242,0.9906858823529412,2.629314117647059,0.23595424059858228,1.0343464705882355,2.585653529411765,0.20397649178355745,1.1592282352941174,2.460771764705883,0.15163851729283975,1.4162570588235293,2.203742941176471,0.0998345003628401,1.7758141176470588,1.8441858823529413,0.10185892823139418,0.7457894736842106,2.8742105263157898,0.2602455017964417,0.9489473684210525,2.671052631578948,0.246718532096118,1.0421052631578949,2.5778947368421052,0.2551401325649435,1.8242105263157897,1.7957894736842104,0.5081720548214927,2.297368421052632,1.3226315789473682,0.7067220446031892,2.6673684210526316,0.9526315789473685,0.6536763263015776,2.9415789473684213,0.6784210526315788,0.6044322439603305,47316214443.3566,-0.1565383308576488,12722317795.1324,0.6382492352014939,88.1697673489486,0.4119286308957725,3.4,0.4562187731588523,1.6,0.2635121140010292
9,TULSA,2018-04,3.6,Improvements_Additions for Apartments_Coops,1.7027510000000003,1.8972489999999997,0.23666076758467383,1.7432829999999995,1.8567170000000006,0.24396873426553242,1.896724,1.703276,0.23595424059858228,2.0408605,1.5591395000000001,0.20397649178355745,2.349426,1.2505740000000003,0.15163851729283975,2.493657999999999,1.106342000000001,0.0998345003628401,2.7355454999999997,0.8644545000000003,0.10185892823139418,1.6604761904761904,1.9395238095238096,0.2602455017964417,1.9780952380952381,1.621904761904762,0.246718532096118,2.153809523809524,1.446190476190476,0.2551401325649435,2.701904761904762,0.8980952380952383,0.5081720548214927,2.869047619047619,0.730952380952381,0.7067220446031892,2.9595238095238092,0.6404761904761909,0.6536763263015776,3.0719047619047624,0.5280952380952377,0.6044322439603305,50505964400.0098,-0.1565383308576488,11318405616.2761,0.6382492352014939,88.55316323110772,0.4119286308957725,3.4,0.4562187731588523,1.6,0.2635121140010292
