,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(4),Corr with student_vol(4),credit_tightness,Corr with credit_tightness,mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(4),Corr with mortgage 90(4)
0,BUFFALO,2009-10,6.2,Improvements_Additions for Apartments_Coops,0.18474166666666667,6.015258333333334,-0.0669959864415183,0.22661833333333328,5.973381666666667,-0.0722586677318778,0.24403166666666665,5.955968333333334,-0.08664477826128228,0.2545108333333333,5.9454891666666665,-0.10228071721708365,0.2821075,5.9178925,-0.12279372549656825,0.5802633333333334,5.619736666666666,-0.09480470311390102,1.2295858333333334,4.970414166666667,-0.008141128053814669,0.04,6.16,-0.08728578110434446,0.16833333333333333,6.031666666666667,-0.07508189552426929,0.3858333333333334,5.814166666666667,-0.06086524669699059,2.394166666666667,3.805833333333333,0.2486064060900773,3.459166666666667,2.7408333333333332,0.5944543679805758,4.238333333333332,1.9616666666666678,0.631847610929954,4.263333333333333,1.9366666666666674,0.5922275714431738,23455620687.4635,-0.7039365931371743,14228362706.5907,0.6415947966507496,101.129830992893,0.7119815791240939,3.6,0.8313219273037026,2.4,0.3361078481854699
1,BUFFALO,2009-12,4.24,Improvements_Additions for Apartments_Coops,0.17885714285714288,4.061142857142857,-0.0669959864415183,0.2141833333333333,4.025816666666667,-0.0722586677318778,0.23288904761904766,4.007110952380953,-0.08664477826128228,0.24197238095238102,3.9980276190476194,-0.10228071721708365,0.2530461904761905,3.9869538095238095,-0.12279372549656825,0.4528776190476191,3.7871223809523813,-0.09480470311390102,0.9993009523809523,3.240699047619048,-0.008141128053814669,0.03181818181818183,4.208181818181818,-0.08728578110434446,0.16772727272727275,4.072272727272727,-0.07508189552426929,0.37136363636363634,3.868636363636364,-0.06086524669699059,2.3404545454545453,1.8995454545454549,0.2486064060900773,3.589999999999999,0.6500000000000012,0.5944543679805758,4.399545454545455,-0.1595454545454551,0.631847610929954,4.494090909090908,-0.25409090909090803,0.5922275714431738,28639144125.4552,-0.7039365931371743,13493693756.3064,0.6415947966507496,96.94128995699529,0.7119815791240939,3.4,0.8313219273037026,2.3,0.3361078481854699
2,BUFFALO,2010-12,5.725,Improvements_Additions for Apartments_Coops,0.24122190476190472,5.483778095238095,-0.0669959864415183,0.25412380952380953,5.47087619047619,-0.0722586677318778,0.26178857142857137,5.463211428571428,-0.08664477826128228,0.28196571428571415,5.443034285714285,-0.10228071721708365,0.30272333333333334,5.422276666666666,-0.12279372549656825,0.4583942857142857,5.266605714285714,-0.09480470311390102,0.7839004761904763,4.941099523809523,-0.008141128053814669,0.0854166666666667,5.6395833333333325,-0.08728578110434446,0.19333333333333338,5.531666666666666,-0.07508189552426929,0.2937499999999999,5.4312499999999995,-0.06086524669699059,1.9429166666666664,3.7820833333333335,0.2486064060900773,3.2949999999999995,2.43,0.5944543679805758,4.173333333333333,1.5516666666666667,0.631847610929954,4.415,1.3099999999999996,0.5922275714431738,29160609360.1217,-0.7039365931371743,15995126134.7035,0.6415947966507496,94.7176548951663,0.7119815791240939,3.8,0.8313219273037026,2.2,0.3361078481854699
3,BUFFALO,2011-07,3.75,Improvements_Additions for Apartments_Coops,0.12388095238095237,3.6261190476190475,-0.0669959864415183,0.1598857142857143,3.590114285714286,-0.0722586677318778,0.18661904761904766,3.5633809523809523,-0.08664477826128228,0.2182333333333334,3.5317666666666665,-0.10228071721708365,0.24991190476190472,3.5000880952380955,-0.12279372549656825,0.41392857142857137,3.3360714285714286,-0.09480470311390102,0.7452261904761905,3.0047738095238095,-0.008141128053814669,0.037500000000000006,3.7125,-0.08728578110434446,0.08400000000000002,3.666,-0.07508189552426929,0.185,3.565,-0.06086524669699059,1.541,2.209,0.2486064060900773,3.003,0.7469999999999999,0.5944543679805758,3.9475000000000002,-0.19750000000000023,0.631847610929954,4.2705,-0.5205000000000002,0.5922275714431738,31565012894.7234,-0.7039365931371743,11784187253.6333,0.6415947966507496,90.5649414475864,0.7119815791240939,2.3,0.8313219273037026,2.4,0.3361078481854699
4,BUFFALO,2013-10,4.6,Improvements_Additions for Apartments_Coops,0.10426086956521738,4.4957391304347825,-0.0669959864415183,0.13668260869565219,4.463317391304347,-0.0722586677318778,0.17241521739130433,4.427584782608696,-0.08664477826128228,0.21265,4.38735,-0.10228071721708365,0.2417652173913043,4.358234782608696,-0.12279372549656825,0.36121521739130424,4.238784782608695,-0.09480470311390102,0.6177847826086957,3.982215217391304,-0.008141128053814669,0.1059090909090909,4.494090909090909,-0.08728578110434446,0.07590909090909094,4.5240909090909085,-0.07508189552426929,0.12136363636363635,4.4786363636363635,-0.06086524669699059,1.366818181818182,3.2331818181818175,0.2486064060900773,2.615909090909091,1.9840909090909085,0.5944543679805758,3.3795454545454544,1.2204545454545452,0.631847610929954,3.6759090909090903,0.9240909090909093,0.5922275714431738,41507587847.7023,-0.7039365931371743,10011024566.6146,0.6415947966507496,85.7873584996498,0.7119815791240939,3.1,0.8313219273037026,2.3,0.3361078481854699
5,BUFFALO,2014-09,3.5,Improvements_Additions for Apartments_Coops,0.09027272727272727,3.409727272727273,-0.0669959864415183,0.12087045454545454,3.3791295454545454,-0.0722586677318778,0.15410454545454544,3.3458954545454547,-0.08664477826128228,0.19699999999999998,3.303,-0.10228071721708365,0.23403181818181817,3.265968181818182,-0.12279372549656825,0.32999090909090917,3.1700090909090908,-0.09480470311390102,0.5770545454545455,2.9229454545454545,-0.008141128053814669,0.01142857142857143,3.4885714285714284,-0.08728578110434446,0.04380952380952382,3.4561904761904763,-0.07508189552426929,0.10952380952380954,3.3904761904761904,-0.06086524669699059,1.7738095238095242,1.7261904761904758,0.2486064060900773,2.5342857142857147,0.9657142857142853,0.5944543679805758,3.0133333333333328,0.48666666666666725,0.631847610929954,3.26,0.2400000000000002,0.5922275714431738,44462292713.4678,-0.7039365931371743,11733364706.6996,0.6415947966507496,82.2508390398281,0.7119815791240939,2.5,0.8313219273037026,2.3,0.3361078481854699
6,BUFFALO,2014-10,3.95,Improvements_Additions for Apartments_Coops,0.09059565217391304,3.859404347826087,-0.0669959864415183,0.11953260869565213,3.830467391304348,-0.0722586677318778,0.15351739130434783,3.7964826086956522,-0.08664477826128228,0.1974043478260869,3.7525956521739134,-0.10228071721708365,0.2313760869565217,3.7186239130434786,-0.12279372549656825,0.3236195652173913,3.6263804347826087,-0.09480470311390102,0.5523869565217392,3.3976130434782608,-0.008141128053814669,0.020909090909090912,3.929090909090909,-0.08728578110434446,0.05045454545454548,3.899545454545455,-0.07508189552426929,0.10454545454545458,3.8454545454545457,-0.06086524669699059,1.5459090909090911,2.4040909090909093,0.2486064060900773,2.304090909090909,1.645909090909091,0.5944543679805758,2.7731818181818184,1.1768181818181818,0.631847610929954,3.039999999999999,0.910000000000001,0.5922275714431738,43938467193.2505,-0.7039365931371743,11837215038.8922,0.6415947966507496,82.08517590205541,0.7119815791240939,2.8,0.8313219273037026,2.0,0.3361078481854699
7,BUFFALO,2014-11,3.85,Improvements_Additions for Apartments_Coops,0.09656999999999999,3.7534300000000003,-0.0669959864415183,0.12222499999999999,3.7277750000000003,-0.0722586677318778,0.1548075,3.6951925,-0.08664477826128228,0.20246,3.6475400000000002,-0.10228071721708365,0.23286250000000003,3.6171375,-0.12279372549656825,0.32679500000000006,3.523205,-0.09480470311390102,0.56206,3.28794,-0.008141128053814669,0.04166666666666668,3.8083333333333336,-0.08728578110434446,0.06944444444444448,3.7805555555555554,-0.07508189552426929,0.13444444444444448,3.7155555555555555,-0.06086524669699059,1.6205555555555557,2.2294444444444443,0.2486064060900773,2.325555555555556,1.5244444444444443,0.5944543679805758,2.7644444444444445,1.0855555555555556,0.631847610929954,3.038333333333333,0.811666666666667,0.5922275714431738,44931729222.7983,-0.7039365931371743,12019442988.8631,0.6415947966507496,82.72786465890579,0.7119815791240939,3.0,0.8313219273037026,2.1,0.3361078481854699
8,BUFFALO,2014-12,4.175,Improvements_Additions for Apartments_Coops,0.1101,4.0649,-0.0669959864415183,0.1330809523809524,4.041919047619047,-0.0722586677318778,0.16305,4.01195,-0.08664477826128228,0.20744285714285715,3.967557142857143,-0.10228071721708365,0.2446071428571429,3.930392857142857,-0.12279372549656825,0.34302142857142864,3.831978571428571,-0.09480470311390102,0.6021190476190476,3.5728809523809524,-0.008141128053814669,0.02500000000000001,4.1499999999999995,-0.08728578110434446,0.1063636363636364,4.068636363636363,-0.07508189552426929,0.21454545454545454,3.9604545454545454,-0.06086524669699059,1.64,2.535,0.2486064060900773,2.2072727272727275,1.9677272727272723,0.5944543679805758,2.5504545454545453,1.6245454545454545,0.631847610929954,2.8331818181818185,1.3418181818181814,0.5922275714431738,45277214883.1472,-0.7039365931371743,11835194000.8273,0.6415947966507496,82.4770523961592,0.7119815791240939,2.8,0.8313219273037026,2.0,0.3361078481854699
9,BUFFALO,2015-02,3.83,Improvements_Additions for Apartments_Coops,0.11784999999999998,3.7121500000000003,-0.0669959864415183,0.13764249999999997,3.6923575,-0.0722586677318778,0.17207499999999998,3.657925,-0.08664477826128228,0.2121925,3.6178075,-0.10228071721708365,0.25842,3.57158,-0.12279372549656825,0.37596500000000005,3.454035,-0.09480470311390102,0.6601375,3.1698625,-0.008141128053814669,0.017894736842105265,3.812105263157895,-0.08728578110434446,0.07105263157894741,3.758947368421053,-0.07508189552426929,0.22421052631578947,3.6057894736842107,-0.06086524669699059,1.472631578947368,2.357368421052632,0.2486064060900773,1.9752631578947366,1.8547368421052635,0.5944543679805758,2.3384210526315794,1.4915789473684207,0.631847610929954,2.566315789473684,1.263684210526316,0.5922275714431738,44591810060.8257,-0.7039365931371743,11517159733.1957,0.6415947966507496,82.122236078369,0.7119815791240939,2.8,0.8313219273037026,2.1,0.3361078481854699
