,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-3),Corr with auto_vol(-3),student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4)
0,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.8,-0.3169987268876264
1,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.8,-0.3169987268876264
2,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.6,-0.3169987268876264
3,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.3,-0.3169987268876264
4,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.3,-0.3169987268876264
5,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.2,-0.3169987268876264
6,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.3,-0.3169987268876264
7,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.3,-0.3169987268876264
8,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,3.9,-0.2981356419362036,3.2,-0.3169987268876264
9,RICHMOND,2010-05,3.81,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.5142284210526316,0.39167014584150167,0.3152057894736842,3.4947942105263157,0.39397490339744345,0.3354642105263158,3.474535789473684,0.3905635414414473,0.39242105263157895,3.4175789473684213,0.38468096495550613,0.45851421052631586,3.351485789473684,0.38132371245002755,0.6592468421052632,3.1507531578947368,0.350970299255142,1.129987894736842,2.680012105263158,0.3643494625107972,0.147,3.6630000000000003,0.36864647171419757,0.22350000000000003,3.5865,0.40293434550453194,0.37099999999999994,3.439,0.4389437226600733,2.1799999999999997,1.6300000000000003,0.8252549245767125,3.4199999999999995,0.39000000000000057,0.7634704982932007,4.1145,-0.30449999999999955,0.5490383987727362,4.286,-0.47599999999999953,0.46504676310153886,25116521917.8418,0.07830240590428503,12342273869.2704,0.44496202945817087,97.8799778094334,0.12521870418174444,4.6,-0.2981356419362036,3.8,-0.3169987268876264
