,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(-3),Corr with student_vol(-3),credit_tightness,Corr with credit_tightness,mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.3,-0.1611289326804727
1,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.6,-0.1611289326804727
2,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.6,-0.1611289326804727
3,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.3,-0.1611289326804727
4,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.6,-0.1611289326804727
5,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.6,-0.1611289326804727
6,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.3,-0.1611289326804727
7,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.6,-0.1611289326804727
8,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.6,-0.1611289326804727
9,NEW YORK,2011-05,4.51,Improvements_Additions for Apartments_Coops,0.130775,4.379225,0.012755678450969124,0.16787249999999998,4.3421275,0.014287355900066074,0.1978005,4.3121995,0.018059106299256836,0.23078799999999994,4.279212,0.01287731764847563,0.260713,4.249287,0.012287559946457628,0.41407550000000004,4.0959245,0.00736735401168109,0.7391499999999999,3.77085,0.014136757212197553,0.024285714285714285,4.485714285714286,0.012218965852112284,0.0866666666666667,4.423333333333333,0.02842131360875992,0.18809523809523812,4.3219047619047615,0.04293471096083044,1.8423809523809527,2.667619047619047,0.23608006940151255,3.168571428571429,1.3414285714285707,0.3885035354635134,4.011428571428572,0.4985714285714282,0.3949086397562307,4.293333333333333,0.21666666666666679,0.37362917519466415,31618591270.7387,0.07772699978053572,11726514214.1317,-0.18405897892941792,91.13289228397959,-0.10779028528490979,2.8,-0.2701798703256899,5.3,-0.1611289326804727
