,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(3),Corr with student_vol(3),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(4),Corr with mortgage 90(4)
0,IN,SOUTH BEND,2011-03,4.35,Improvements_Additions for Apartments_Coops,0.2076739130434783,4.142326086956522,0.32921657050112313,0.23889782608695653,4.111102173913043,0.40927726134321557,0.2532847826086956,4.096715217391304,0.45285516433841183,0.2829456521739131,4.067054347826087,0.3271756589808414,0.30843478260869567,4.041565217391304,0.17427144938852834,0.4607826086956522,3.8892173913043475,0.050457401657277356,0.7797065217391305,3.570293478260869,0.055533968989534346,0.06478260869565221,4.285217391304347,0.33800672213635324,0.15652173913043482,4.193478260869565,0.1501597416270599,0.25913043478260867,4.090869565217391,0.2930203530621311,2.1134782608695653,2.2365217391304344,0.7737726930526792,3.414347826086956,0.9356521739130437,0.7685662065170697,4.26608695652174,0.08391304347826001,0.6830483046315875,4.5139130434782615,-0.16391304347826186,0.6471810363820939,31992172727.7437,-0.40426273868278684,12472473242.0863,0.8170465752542537,94.0022251537174,0.3812470821925316,3.4,-0.3900096896048077,3.7,0.37860870950853076
1,IN,SOUTH BEND,2011-11,3.75,Improvements_Additions for Apartments_Coops,0.14255090909090912,3.607449090909091,0.32921657050112313,0.19244863636363635,3.557551363636364,0.40927726134321557,0.2536463636363637,3.4963536363636365,0.45285516433841183,0.3593790909090909,3.390620909090909,0.3271756589808414,0.47529181818181826,3.274708181818182,0.17427144938852834,0.6805422727272729,3.0694577272727273,0.050457401657277356,1.000305,2.749695,0.055533968989534346,0.013999999999999999,3.736,0.33800672213635324,0.04650000000000002,3.7035,0.1501597416270599,0.11200000000000002,3.638,0.2930203530621311,0.908,2.842,0.7737726930526792,2.0134999999999996,1.7365000000000004,0.7685662065170697,2.7180000000000004,1.0319999999999996,0.6830483046315875,3.0155000000000003,0.7344999999999997,0.6471810363820939,35767585536.868996,-0.40426273868278684,10728874885.7875,0.8170465752542537,90.4806728327692,0.3812470821925316,4.8,-0.3900096896048077,3.6,0.37860870950853076
2,IN,SOUTH BEND,2012-12,2.75,Improvements_Additions for Apartments_Coops,0.1631578947368421,2.586842105263158,0.32921657050112313,0.1875157894736842,2.562484210526316,0.40927726134321557,0.21092631578947374,2.539073684210526,0.45285516433841183,0.2552894736842105,2.4947105263157896,0.3271756589808414,0.30947368421052623,2.440526315789474,0.17427144938852834,0.5145657894736843,2.2354342105263156,0.050457401657277356,0.8483157894736841,1.9016842105263159,0.055533968989534346,0.039500000000000014,2.7105,0.33800672213635324,0.11950000000000005,2.6305,0.1501597416270599,0.1585,2.5915,0.2930203530621311,0.6960000000000001,2.054,0.7737726930526792,1.7189999999999999,1.0310000000000001,0.7685662065170697,2.4675000000000002,0.28249999999999975,0.6830483046315875,2.8835,-0.13350000000000017,0.6471810363820939,40395555554.9932,-0.40426273868278684,9855625468.0504,0.8170465752542537,90.37816904639429,0.3812470821925316,4.9,-0.3900096896048077,2.8,0.37860870950853076
3,IN,SOUTH BEND,2013-06,2.85,Improvements_Additions for Apartments_Coops,0.13074,2.7192600000000002,0.32921657050112313,0.15964599999999998,2.690354,0.40927726134321557,0.19319250000000002,2.6568075,0.45285516433841183,0.23164600000000002,2.618354,0.3271756589808414,0.27374,2.57626,0.17427144938852834,0.4139935,2.4360065,0.050457401657277356,0.6839425000000002,2.1660575,0.055533968989534346,0.0345,2.8155,0.33800672213635324,0.08750000000000002,2.7625,0.1501597416270599,0.142,2.708,0.2930203530621311,1.2035,1.6465,0.7737726930526792,2.3000000000000003,0.5499999999999998,0.7685662065170697,3.0740000000000003,-0.2240000000000002,0.6830483046315875,3.400000000000001,-0.5500000000000007,0.6471810363820939,41244159430.5284,-0.40426273868278684,10216278752.7557,0.8170465752542537,86.5850023909696,0.3812470821925316,3.5,-0.3900096896048077,2.2,0.37860870950853076
4,IN,SOUTH BEND,2013-08,3.92,Improvements_Additions for Apartments_Coops,0.11782999999999999,3.80217,0.32921657050112313,0.1493142857142857,3.7706857142857144,0.40927726134321557,0.1840704761904762,3.735929523809524,0.45285516433841183,0.22633523809523812,3.693664761904762,0.3271756589808414,0.2633952380952381,3.6566047619047617,0.17427144938852834,0.3949285714285714,3.5250714285714286,0.050457401657277356,0.6679499999999999,3.25205,0.055533968989534346,0.03681818181818183,3.8831818181818183,0.33800672213635324,0.07181818181818184,3.848181818181818,0.1501597416270599,0.12681818181818183,3.793181818181818,0.2930203530621311,1.5204545454545455,2.3995454545454544,0.7737726930526792,2.7372727272727273,1.1827272727272726,0.7685662065170697,3.488181818181818,0.4318181818181821,0.6830483046315875,3.757727272727273,0.16227272727272712,0.6471810363820939,41561863313.5151,-0.40426273868278684,10396023519.0372,0.8170465752542537,89.95115518901541,0.3812470821925316,3.4,-0.3900096896048077,2.2,0.37860870950853076
5,IN,SOUTH BEND,2015-08,3.65,Improvements_Additions for Apartments_Coops,0.13010000000000005,3.5199,0.32921657050112313,0.151965,3.498035,0.40927726134321557,0.1967275,3.4532724999999997,0.45285516433841183,0.2610100000000001,3.3889899999999997,0.3271756589808414,0.3207975,3.3292025,0.17427144938852834,0.5193599999999999,3.13064,0.050457401657277356,0.8364375,2.8135624999999997,0.055533968989534346,0.03523809523809525,3.6147619047619046,0.33800672213635324,0.22000000000000006,3.4299999999999997,0.1501597416270599,0.3757142857142857,3.274285714285714,0.2930203530621311,1.5414285714285714,2.1085714285714285,0.7737726930526792,2.167142857142857,1.482857142857143,0.7685662065170697,2.5466666666666664,1.1033333333333335,0.6830483046315875,2.8557142857142854,0.7942857142857145,0.6471810363820939,48291644449.3811,-0.40426273868278684,10798655053.3939,0.8170465752542537,82.75451956383341,0.3812470821925316,2.8,-0.3900096896048077,1.7,0.37860870950853076
