,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-4),Corr with student_vol(-4),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-2),Corr with mortgage 90(-2),long,lat
0,2010-09,VA,CHARLOTTESVILLE,2010-09,4.2,"(-78.51499, 38.026637)",22902,21105.06,Improvements_Additions for Apartments_Coops,0.22657136363636363,0.24578182458414408,0.251059090909091,0.2530520281365075,0.25699454545454536,0.25473452368076704,0.2738163636363636,0.2455334593540135,0.2913659090909092,0.23106352455856866,0.4777727272727273,0.19805599356873163,0.8043745454545456,0.18728368816851948,0.1166666666666667,0.2823349438745601,0.19333333333333336,0.297128678697351,0.2566666666666666,0.31308446801841566,1.4104761904761904,0.6443144678788756,2.6476190476190475,0.7546589350919868,3.4690476190476183,0.6008101121506791,3.773333333333333,0.5294842283050746,30512069858.4251,0.045823687771602,11978266411.3233,-0.5928233916944218,92.4549564204629,-0.24248367241897803,3.9,0.33638241492800397,1.4,-0.2582729534418109,-78.51499,38.026637
1,2010-12,VA,CHARLOTTESVILLE,2010-12,3.94,"(-78.4767, 38.0293)",22901,96247.91,Improvements_Additions for Apartments_Coops,0.24122190476190472,0.24578182458414408,0.25412380952380953,0.2530520281365075,0.26178857142857137,0.25473452368076704,0.28196571428571415,0.2455334593540135,0.30272333333333334,0.23106352455856866,0.4583942857142857,0.19805599356873163,0.7839004761904763,0.18728368816851948,0.0854166666666667,0.2823349438745601,0.19333333333333338,0.297128678697351,0.2937499999999999,0.31308446801841566,1.9429166666666664,0.6443144678788756,3.2949999999999995,0.7546589350919868,4.173333333333333,0.6008101121506791,4.415,0.5294842283050746,31618591270.7387,0.045823687771602,11556490165.0911,-0.5928233916944218,94.0022251537174,-0.24248367241897803,2.8,0.33638241492800397,1.5,-0.2582729534418109,-78.4767,38.0293
2,2012-09,VA,CHARLOTTESVILLE,2012-09,2.95,"(-78.514513, 38.025736)",22902,3032.79,Improvements_Additions for Apartments_Coops,0.15189500000000006,0.24578182458414408,0.183625,0.2530520281365075,0.22133750000000002,0.25473452368076704,0.3079875,0.2455334593540135,0.3856325000000001,0.23106352455856866,0.6716749999999999,0.19805599356873163,0.9997750000000002,0.18728368816851948,0.07526315789473685,0.2823349438745601,0.13736842105263158,0.297128678697351,0.17578947368421055,0.31308446801841566,0.6689473684210526,0.6443144678788756,1.7231578947368422,0.7546589350919868,2.488421052631579,0.6008101121506791,2.8815789473684212,0.5294842283050746,37685204803.0042,0.045823687771602,12770391029.1034,-0.5928233916944218,90.37816904639429,-0.24248367241897803,3.0,0.33638241492800397,2.0,-0.2582729534418109,-78.514513,38.025736
3,2012-10,VA,CHARLOTTESVILLE,2012-10,2.775,"(-78.4767, 38.0293)",22911,34489.905,Improvements_Additions for Apartments_Coops,0.15320434782608702,0.24578182458414408,0.17955217391304346,0.2530520281365075,0.21346521739130433,0.25473452368076704,0.2717391304347827,0.2455334593540135,0.3304891304347827,0.23106352455856866,0.5823021739130435,0.19805599356873163,0.9185760869565219,0.18728368816851948,0.10952380952380951,0.2823349438745601,0.14904761904761904,0.297128678697351,0.17952380952380956,0.31308446801841566,0.7085714285714285,0.6443144678788756,1.7461904761904758,0.7546589350919868,2.505714285714286,0.6008101121506791,2.90047619047619,0.5294842283050746,38410438812.4053,0.045823687771602,14585937143.4485,-0.5928233916944218,90.2956809830492,-0.24248367241897803,2.5,0.33638241492800397,1.8,-0.2582729534418109,-78.4767,38.0293
4,2013-02,VA,CHARLOTTESVILLE,2013-02,2.89,"(-78.450645, 38.029051)",22911,17567.53,Improvements_Additions for Apartments_Coops,0.15464999999999998,0.24578182458414408,0.17315,0.2530520281365075,0.20129999999999998,0.25473452368076704,0.2455,0.2455334593540135,0.29049499999999995,0.23106352455856866,0.463425,0.19805599356873163,0.761875,0.18728368816851948,0.0768421052631579,0.2823349438745601,0.12421052631578947,0.297128678697351,0.15736842105263157,0.31308446801841566,0.8463157894736841,0.6443144678788756,1.9842105263157896,0.7546589350919868,2.782631578947368,0.6008101121506791,3.165263157894737,0.5294842283050746,39298206327.5877,0.045823687771602,12022315813.7363,-0.5928233916944218,88.920473853359,-0.24248367241897803,2.3,0.33638241492800397,1.7,-0.2582729534418109,-78.450645,38.029051
5,2014-04,VA,CHARLOTTESVILLE,2014-04,4.1899999999999995,"(-78.482174, 38.084041)",22901,42395.21,Improvements_Additions for Apartments_Coops,0.08864000000000001,0.24578182458414408,0.120115,0.2530520281365075,0.1517,0.25473452368076704,0.1918625,0.2455334593540135,0.227495,0.23106352455856866,0.32422500000000004,0.19805599356873163,0.550005,0.18728368816851948,0.023333333333333345,0.2823349438745601,0.05333333333333336,0.297128678697351,0.10761904761904763,0.31308446801841566,1.7009523809523805,0.6443144678788756,2.705238095238095,0.7546589350919868,3.265238095238095,0.6008101121506791,3.5176190476190476,0.5294842283050746,44462292713.4678,0.045823687771602,9402239044.86975,-0.5928233916944218,82.11515832772571,-0.24248367241897803,3.0,0.33638241492800397,1.4,-0.2582729534418109,-78.482174,38.084041
6,2015-10,VA,CHARLOTTESVILLE,2015-10,3.7,"(-78.437945, 38.030471)",22901,64487.06,Improvements_Additions for Apartments_Coops,0.13160454545454547,0.24578182458414408,0.15531363636363638,0.2530520281365075,0.19451136363636365,0.25473452368076704,0.2514522727272726,0.2455334593540135,0.32135909090909087,0.23106352455856866,0.5284272727272726,0.19805599356873163,0.8378659090909092,0.18728368816851948,0.014285714285714287,0.2823349438745601,0.11380952380952382,0.297128678697351,0.26333333333333336,0.31308446801841566,1.3857142857142857,0.6443144678788756,2.0699999999999994,0.7546589350919868,2.5028571428571427,0.6008101121506791,2.8880952380952376,0.5294842283050746,48491901272.6637,0.045823687771602,11517159733.1957,-0.5928233916944218,81.9752078939728,-0.24248367241897803,2.2,0.33638241492800397,1.2,-0.2582729534418109,-78.437945,38.030471
7,2015-12,VA,CHARLOTTESVILLE,2015-12,4.12,"(-78.5, 38.02)",22902,141811.58,Improvements_Additions for Apartments_Coops,0.2286238095238095,0.24578182458414408,0.289352380952381,0.2530520281365075,0.3523071428571429,0.25473452368076704,0.44092857142857156,0.2455334593540135,0.5332357142857143,0.23106352455856866,0.7638285714285715,0.19805599356873163,1.0841380952380955,0.18728368816851948,0.17181818181818184,0.2823349438745601,0.4990909090909091,0.297128678697351,0.6536363636363638,0.31308446801841566,1.6986363636363635,0.6443144678788756,2.2427272727272736,0.7546589350919868,2.6072727272727274,0.6008101121506791,2.97,0.5294842283050746,48154770296.6926,0.045823687771602,10986955735.8103,-0.5928233916944218,83.80897781081251,-0.24248367241897803,1.7,0.33638241492800397,1.0,-0.2582729534418109,-78.5,38.02
8,2016-04,VA,CHARLOTTESVILLE,2016-04,3.2,"(-78.492576, 38.003081)",22902,90627.3,Improvements_Additions for Apartments_Coops,0.38031428571428566,0.24578182458414408,0.39864523809523805,0.2530520281365075,0.4373976190476192,0.25473452368076704,0.5229452380952381,0.2455334593540135,0.6327499999999999,0.23106352455856866,0.9025404761904764,0.19805599356873163,1.2222214285714286,0.18728368816851948,0.18761904761904763,0.2823349438745601,0.37238095238095237,0.297128678697351,0.5557142857142858,0.31308446801841566,1.2580952380952382,0.6443144678788756,1.8052380952380953,0.7546589350919868,2.2104761904761907,0.6008101121506791,2.6233333333333335,0.5294842283050746,49276189942.4712,0.045823687771602,13039171751.3192,-0.5928233916944218,85.2359522201137,-0.24248367241897803,2.1,0.33638241492800397,1.1,-0.2582729534418109,-78.492576,38.003081
9,2016-11,VA,CHARLOTTESVILLE,2016-11,3.25,"(-78.48761929999999, 37.996982200000005)",22902,136273.37,Improvements_Additions for Apartments_Coops,0.4339245454545454,0.24578182458414408,0.45880500000000013,0.2530520281365075,0.5631090909090911,0.25473452368076704,0.7006386363636362,0.2455334593540135,0.9084640909090909,0.23106352455856866,1.2693081818181815,0.19805599356873163,1.6029650000000002,0.18728368816851948,0.29999999999999993,0.2823349438745601,0.5834999999999999,0.297128678697351,0.736,0.31308446801841566,1.596,0.6443144678788756,2.142,0.7546589350919868,2.5369999999999995,0.6008101121506791,2.8620000000000005,0.5294842283050746,51124149514.2735,0.045823687771602,11531266279.4831,-0.5928233916944218,88.1697673489486,-0.24248367241897803,1.5,0.33638241492800397,1.0,-0.2582729534418109,-78.48761929999999,37.996982200000005
