,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(-2),Corr with mortgage 90(-2)
0,IN,LAFAYETTE,2010-09,4.7,Improvements_Additions for Apartments_Coops,0.22657136363636363,4.473428636363637,0.06171571784865197,0.251059090909091,4.44894090909091,0.04516151826273694,0.25699454545454536,4.443005454545455,0.010067849456191562,0.2738163636363636,4.426183636363636,-0.0397444441811105,0.2913659090909092,4.408634090909091,-0.08137082283415115,0.4777727272727273,4.222227272727273,-0.05614039802910137,0.8043745454545456,3.8956254545454545,-0.026994524587298237,0.1166666666666667,4.583333333333334,0.10246690984348474,0.19333333333333336,4.506666666666667,0.13839567953252835,0.2566666666666666,4.443333333333333,0.18292438234268085,1.4104761904761904,3.2895238095238097,0.2687374692657896,2.6476190476190475,2.0523809523809526,0.14420783981513763,3.4690476190476183,1.230952380952382,0.07284011541772249,3.773333333333333,0.9266666666666672,0.08134538687891878,29826615528.9652,-0.12154930141315502,11556490165.0911,0.46687963575282393,98.6449594200431,0.24448697717178947,3.5,0.46582585436397184,2.5,-0.21964786211039522
1,IN,LAFAYETTE,2011-12,3.43,Improvements_Additions for Apartments_Coops,0.1499335,3.2800665,0.06171571784865197,0.2029985,3.2270015,0.04516151826273694,0.2836085,3.1463915,0.010067849456191562,0.40829250000000006,3.0217075,-0.0397444441811105,0.5557375,2.8742625000000004,-0.08137082283415115,0.7798775000000001,2.6501225,-0.05614039802910137,1.1003555000000003,2.3296444999999997,-0.026994524587298237,0.0033333333333333335,3.4266666666666667,0.10246690984348474,0.048571428571428585,3.3814285714285717,0.13839567953252835,0.11523809523809528,3.314761904761905,0.18292438234268085,0.8914285714285713,2.5385714285714287,0.2687374692657896,1.9780952380952384,1.4519047619047618,0.14420783981513763,2.6676190476190476,0.7623809523809526,0.07284011541772249,2.9823809523809524,0.4476190476190478,0.08134538687891878,35344521679.5642,-0.12154930141315502,11784187253.6333,0.46687963575282393,88.33905735772379,0.24448697717178947,2.4,0.46582585436397184,2.6,-0.21964786211039522
2,IN,LAFAYETTE,2012-01,3.35,Improvements_Additions for Apartments_Coops,0.14564761904761903,3.204352380952381,0.06171571784865197,0.2014238095238095,3.1485761904761906,0.04516151826273694,0.28289523809523814,3.067104761904762,0.010067849456191562,0.41424761904761903,2.935752380952381,-0.0397444441811105,0.5659000000000001,2.7841,-0.08137082283415115,0.7969761904761906,2.5530238095238094,-0.05614039802910137,1.1145476190476191,2.235452380952381,-0.026994524587298237,0.0245,3.3255,0.10246690984348474,0.06550000000000003,3.2845,0.13839567953252835,0.11500000000000003,3.235,0.18292438234268085,0.835,2.515,0.2687374692657896,1.9664999999999995,1.3835000000000006,0.14420783981513763,2.6950000000000003,0.6549999999999998,0.07284011541772249,3.026,0.3240000000000003,0.08134538687891878,35385458151.3724,-0.12154930141315502,11508699084.1195,0.46687963575282393,90.4806728327692,0.24448697717178947,2.4,0.46582585436397184,2.4,-0.21964786211039522
3,IN,LAFAYETTE,2012-04,3.09,Improvements_Additions for Apartments_Coops,0.14868421052631575,2.941315789473684,0.06171571784865197,0.18980526315789473,2.900194736842105,0.04516151826273694,0.23982894736842097,2.8501710526315787,0.010067849456191562,0.34777368421052635,2.7422263157894733,-0.0397444441811105,0.46680789473684203,2.6231921052631577,-0.08137082283415115,0.7313999999999999,2.3586,-0.05614039802910137,1.048621052631579,2.041378947368421,-0.026994524587298237,0.0666666666666667,3.023333333333333,0.10246690984348474,0.13904761904761903,2.9509523809523808,0.13839567953252835,0.18333333333333335,2.9066666666666663,0.18292438234268085,0.8947619047619045,2.1952380952380954,0.2687374692657896,2.0528571428571425,1.0371428571428574,0.14420783981513763,2.8166666666666664,0.27333333333333343,0.07284011541772249,3.1842857142857137,-0.09428571428571386,0.08134538687891878,36623269866.4569,-0.12154930141315502,11251067892.2966,0.46687963575282393,90.48744874686929,0.24448697717178947,2.5,0.46582585436397184,2.6,-0.21964786211039522
4,IN,LAFAYETTE,2013-05,3.3,Improvements_Additions for Apartments_Coops,0.1435047619047619,3.156495238095238,0.06171571784865197,0.1638380952380952,3.1361619047619045,0.04516151826273694,0.19670952380952378,3.103290476190476,0.010067849456191562,0.23396000000000003,3.0660399999999997,-0.0397444441811105,0.27416904761904765,3.0258309523809523,-0.08137082283415115,0.42137333333333327,2.8786266666666664,-0.05614039802910137,0.6936104761904763,2.6063895238095234,-0.026994524587298237,0.020454545454545458,3.2795454545454543,0.10246690984348474,0.08090909090909093,3.219090909090909,0.13839567953252835,0.11863636363636366,3.181363636363636,0.18292438234268085,0.840909090909091,2.459090909090909,0.2687374692657896,1.9281818181818182,1.3718181818181816,0.14420783981513763,2.7286363636363635,0.5713636363636363,0.07284011541772249,3.112727272727273,0.18727272727272704,0.08134538687891878,40995097959.5386,-0.12154930141315502,9123117418.53368,0.46687963575282393,91.578064558499,0.24448697717178947,2.3,0.46582585436397184,2.4,-0.21964786211039522
5,IN,LAFAYETTE,2013-07,2.89,Improvements_Additions for Apartments_Coops,0.12117913043478262,2.7688208695652174,0.06171571784865197,0.15611695652173913,2.733883043478261,0.04516151826273694,0.19111913043478265,2.6988808695652176,0.010067849456191562,0.232388695652174,2.657611304347826,-0.0397444441811105,0.26758260869565215,2.622417391304348,-0.08137082283415115,0.40307869565217386,2.486921304347826,-0.05614039802910137,0.6838491304347826,2.2061508695652177,-0.026994524587298237,0.020909090909090912,2.869090909090909,0.10246690984348474,0.07363636363636367,2.8163636363636364,0.13839567953252835,0.12181818181818184,2.768181818181818,0.18292438234268085,1.4031818181818183,1.4868181818181818,0.2687374692657896,2.5822727272727275,0.3077272727272726,0.14420783981513763,3.3072727272727276,-0.41727272727272746,0.07284011541772249,3.605,-0.7149999999999999,0.08134538687891878,41471481477.9035,-0.12154930141315502,9260696074.4491,0.46687963575282393,88.920473853359,0.24448697717178947,2.2,0.46582585436397184,2.3,-0.21964786211039522
6,IN,LAFAYETTE,2013-08,2.97,Improvements_Additions for Apartments_Coops,0.11782999999999999,2.85217,0.06171571784865197,0.1493142857142857,2.8206857142857147,0.04516151826273694,0.1840704761904762,2.785929523809524,0.010067849456191562,0.22633523809523812,2.7436647619047623,-0.0397444441811105,0.2633952380952381,2.706604761904762,-0.08137082283415115,0.3949285714285714,2.575071428571429,-0.05614039802910137,0.6679499999999999,2.3020500000000004,-0.026994524587298237,0.03681818181818183,2.9331818181818186,0.10246690984348474,0.07181818181818184,2.8981818181818184,0.13839567953252835,0.12681818181818183,2.8431818181818183,0.18292438234268085,1.5204545454545455,1.4495454545454547,0.2687374692657896,2.7372727272727273,0.2327272727272729,0.14420783981513763,3.488181818181818,-0.5181818181818176,0.07284011541772249,3.757727272727273,-0.7877272727272726,0.08134538687891878,41334062733.8549,-0.12154930141315502,8901986132.75728,0.46687963575282393,86.5850023909696,0.24448697717178947,2.3,0.46582585436397184,2.1,-0.21964786211039522
7,IN,LAFAYETTE,2013-10,4.0,Improvements_Additions for Apartments_Coops,0.10426086956521738,3.895739130434783,0.06171571784865197,0.13668260869565219,3.863317391304348,0.04516151826273694,0.17241521739130433,3.8275847826086955,0.010067849456191562,0.21265,3.78735,-0.0397444441811105,0.2417652173913043,3.758234782608696,-0.08137082283415115,0.36121521739130424,3.638784782608696,-0.05614039802910137,0.6177847826086957,3.3822152173913045,-0.026994524587298237,0.1059090909090909,3.894090909090909,0.10246690984348474,0.07590909090909094,3.924090909090909,0.13839567953252835,0.12136363636363635,3.8786363636363634,0.18292438234268085,1.366818181818182,2.633181818181818,0.2687374692657896,2.615909090909091,1.3840909090909088,0.14420783981513763,3.3795454545454544,0.6204545454545456,0.07284011541772249,3.6759090909090903,0.32409090909090965,0.08134538687891878,41244159430.5284,-0.12154930141315502,10216278752.7557,0.46687963575282393,89.95115518901541,0.24448697717178947,2.6,0.46582585436397184,1.8,-0.21964786211039522
8,IN,LAFAYETTE,2013-12,3.5,Improvements_Additions for Apartments_Coops,0.10022500000000001,3.399775,0.06171571784865197,0.1273025,3.3726975,0.04516151826273694,0.16723,3.33277,0.010067849456191562,0.2127325,3.2872675,-0.0397444441811105,0.24389749999999996,3.2561025,-0.08137082283415115,0.34639499999999995,3.153605,-0.05614039802910137,0.579045,2.920955,-0.026994524587298237,0.019047619047619053,3.480952380952381,0.10246690984348474,0.09523809523809526,3.4047619047619047,0.13839567953252835,0.13285714285714287,3.367142857142857,0.18292438234268085,1.5761904761904764,1.9238095238095236,0.2687374692657896,2.901904761904762,0.598095238095238,0.14420783981513763,3.6266666666666674,-0.12666666666666737,0.07284011541772249,3.889047619047619,-0.3890476190476191,0.08134538687891878,41561863313.5151,-0.12154930141315502,10396023519.0372,0.46687963575282393,88.1059676388142,0.24448697717178947,1.8,0.46582585436397184,1.6,-0.21964786211039522
9,IN,LAFAYETTE,2014-10,3.53,Improvements_Additions for Apartments_Coops,0.09059565217391304,3.4394043478260867,0.06171571784865197,0.11953260869565213,3.4104673913043477,0.04516151826273694,0.15351739130434783,3.376482608695652,0.010067849456191562,0.1974043478260869,3.332595652173913,-0.0397444441811105,0.2313760869565217,3.2986239130434782,-0.08137082283415115,0.3236195652173913,3.2063804347826084,-0.05614039802910137,0.5523869565217392,2.977613043478261,-0.026994524587298237,0.020909090909090912,3.509090909090909,0.10246690984348474,0.05045454545454548,3.4795454545454545,0.13839567953252835,0.10454545454545458,3.4254545454545453,0.18292438234268085,1.5459090909090911,1.9840909090909087,0.2687374692657896,2.304090909090909,1.2259090909090906,0.14420783981513763,2.7731818181818184,0.7568181818181814,0.07284011541772249,3.039999999999999,0.49000000000000066,0.08134538687891878,44591810060.8257,-0.12154930141315502,11159124696.1814,0.46687963575282393,81.9669757663089,0.24448697717178947,2.0,0.46582585436397184,1.3,-0.21964786211039522
